project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
Ryder's Coffee Bar,TABS2024023466,Ryder's Coffee Bar,"US 377 & Stella St., Argyle, TX 76226",Denton,8/15/2024,1/15/2025,"$900,000",New Construction,"This project is privately funded, on private land for private use.",New construction of a coffee shop,"3,073 ft 2",Rio Ingram,"US 377 & Stella Street, Argyle, Texas 76226",(425) 466-7365,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023466,,,,
1950 Parker Rd,TABS2024023457,1950 Parker Rd,"1950 Parker Rd, Carrollton, TX 75010",Denton,8/15/2024,12/24/2024,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Installation of new demising wall to break up space into multiple suites, adding new restrooms per IBC","20,795 ft 2",Billingsley Company,"1722 Routh Street Suite 770, Dallas, Texas 75201",214-270-0950,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023457,O'Brien Architects,"1722 Routh Street, Suite 122, Dallas, Texas 75201",972-788-1010,
Krum ISD | New Middle School,TABS2024023392,Krum ISD | New Middle School,"FM 2450, Krum, TX 76249",Denton,9/9/2024,7/1/2026,"$88,000,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",Krum ISD | New Middle School,"127,845 ft 2",Krum ISD,"1200 Bobcat Boulevard, Krum, Texas 76249",(254) 631-5120,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023392,Huckabee,"801 Cherry Street Ste. 500, Fort Worth, Texas 76102",(800) 687-1229,
IBCTX,TABS2024023386,507 MAIN STREET,"507 MAIN STREET, Lake Dallas, TX 75065",Denton,9/1/2024,2/1/2025,"$600,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Finish out existing suite.,"6,375 ft 2",Curt Hanson,"507 Main Street Suite B, Lake Dallas, Texas 75065",(214) 837-0474,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023386,Jones Commercial Interiors,"3900 Willow Street Suite 150, Dallas, Texas 75226",(214) 755-0607,
Marketing Office,TABS2024023383,Marketing Office,"2450 Lakeside Parkway, Suite #120, Flower Mound, TX 75022",Denton,8/1/2024,10/1/2024,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant build out.,985 ft 2,"3111 Sunset Owner, LLC","909 Lake Carolyn Parkway Suite 150, Irving, Texas 75039",(469) 533-4100,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023383,,,,
RDC Denton Eagle Student Housing,TABS2024023382,RDC Denton Eagle Student Housing,"1501 W Eagle Drive, 76201, Denton, TX 76201",Denton,10/14/2024,10/12/2026,"$40,000,000",New Construction,"This project is privately funded, on private land for private use.",195 student housing apartments with parking structure. Leasing & amenity spaces will also be included. ,"389,790 ft 2",RDC Denton Investments,"14850 Montfort Drive, Suite 185, Dallas, Texas 75254",(214) 272-9790,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023382,,,,
Walmart #05707.1004 Cross Roads TX - ESS Project,TABS2024023318,Walmart,"11700 US Highway 380, Cross Roads, TX 76227",Denton,7/6/2025,8/1/2025,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","INSTALL INTERIOR & EXTERIOR DOOR(S), RE-WORK EXISTING EXTERIOR PAVEMENT IN ACCOMMODATION OF NEW EXTERIOR DOOR(S), UPDATE DOOR HARDWARE. 100SqFt",100 ft 2,Walmart,"PO Box 8050, MS0555, Bentonville, Arkansas 72712",(479) 426-5712,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023318,CESO Inc.,"3601 Rigby Road #300, Miamisburg, Ohio 45342",(937) 435-8584,
Walmart #04240.1005 Highland Village TX - ESS Project,TABS2024023314,Walmart,"3060 Justin Road, Highland Village, TX 75077",Denton,8/31/2025,9/26/2025,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","INSTALL INTERIOR & EXTERIOR DOOR(S), RE-WORK EXISTING EXTERIOR PAVEMENT IN ACCOMMODATION OF NEW EXTERIOR DOOR(S), UPDATE DOOR HARDWARE. 100SqFt",100 ft 2,Walmart,"PO Box 8050, MS0555, Bentonville, Arkansas 75077",(479) 426-5712,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023314,CESO Inc.,"3601 Rigby Road #300, Miamisburg, Ohio 45342",(937) 435-8584,
KBC Mayhill Bldg 2 - Encore TI,TABS2024023236,Mayhill 380 Business Park,"1501 N. Mayhill Road, B2, Denton, TX 76137",Denton,8/12/2024,10/4/2024,"$100,000",New Construction,"This project is privately funded, on private land for private use.",1st generation interior restroom improvement within an existing warehouse building shell. ,271 ft 2,"Velocis Denton South JV, LP","300 Crescent Ct., Suite 850, Dallas, Texas 75201",214.702.0217,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023236,Ware Malcomb,"3090 Nowitzki Way, Suite 300, Dallas, Texas 75219",281.661.4789,
Texas Oncology Flower Mound LINAC Upgrade,TABS2024022968,Texas Oncology - Flower Mound,"4370 Medical Arts Drive, Flower Mound, TX 75028",Denton,8/5/2024,10/15/2024,"$525,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior renovations include: new ceilings, lighting, partitions, casework, and finishes, existing mechanical, plumbing, and electrical systems to be modified as indicated to support new construction and equipment in selected areas. ","1,094 ft 2",Well Tower Inc,"4370 Medical Arts Drive, Flower Mound, Texas 75028",469-424-7037,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022968,RS&H Inc.,"4835 Lyndon B Johnson Fwy Ste 700A, Dallas, Texas 75244",469-857-7721,Lou Ciancia
