project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
CH Renovation,TABS2024022472,170 S Preston,"170 S Preston, Prosper, TX 75078",Denton,7/22/2024,8/31/2024,"$275,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovate Office- convert to office space,"2,540 ft 2",Chris Hatfield,"170 s preston, PROSPER, Texas 75078",(405) 863-7838,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022472,,,,
Little Elm HS Additions and Renovations,TABS2024022406,Little Elm High School;,"1900 Walker Lane, Little Elm, TX 75068",Denton,1/2/2025,7/1/2027,"$110,000,000",Additions to Existing Building,"This project involves public funds, public land, or is a Federally funded roadway project.","Addition of a 2-story, 2 wings of classrooms, new arena to accommodate 2,500 people, aux. gym design combined with arena is a tornado shelter, move tennis courts to west side of property with lockers, restrooms and support spaces.","264,525 ft 2",Little Elm ISD,"400 Lobo Lane, Little Elm, Texas 75068",(972) 947-9340,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022406,"PBK Architects, Inc.","14001 North Dallas Parkway Suite 400, Dallas, Texas 75240",(972) 233-1323,
Group CBS TI,TABS2024022368,Masch Branch - 380 Industrial Building 3,"1945 Masch Branch Rd, Denton, TX 76207",Denton,8/1/2024,12/1/2024,"$1,800,000",New Construction,"This project is privately funded, on private land for private use.","New construction of a 7,800 SF office space with a 2,800 SF mezzanine above & a conditioned warehouse.","10,703 ft 2","Box 380 Industrial, LLC","1801 N Masch Branch Rd, Denton, Texas 76207",972-897-2060,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022368,"RGA Architects, Inc.","301 S Oak St Ste 100, Roanoke, Texas 76262",817-430-3382,
Walmart 02463.1001 Frisco TX - ESS Project,TABS2024022354,Walmart,"355 Stonebrook Pkwy, Frisco, TX 75036",Denton,8/10/2025,9/5/2025,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Install interior & exterior door(s), re-work existing exterior pavement in accommodation of new exterior door(s), update door hardware.  100-sqft",100 ft 2,Walmart,"PO Box 8050, MS0555, Bentonville, Arkansas 72712",(479) 426-5712,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022354,"CESO, Inc.","3601 Rigby Road #300, Miamisburg, Ohio 45342",(937) 435-8584,
Green Street Park Development,TABS2024022353,"Green Street Park Denton, Buildings 1 through 8","2740 Fish Trap Road, Denton, TX 76208",Denton,10/1/2024,10/1/2026,"$28,672,400",New Construction,"This project is privately funded, on private land for private use.","Eight buildings, PEMB, C-A-S-M-E-P","143,249 ft 2","Preston Forest Capital, LLC","5495 Belt Line Road Ste 380, Dallas, Texas 75254",(214) 724-1392,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022353,,,,
Half Price Books Accessibility Ramp,TABS2024022338,Half Price Books,"1835 Forms Drive, Carrollton, TX 75006",Denton,7/20/2024,9/20/2024,"$50,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",Building of a switchback ADA ramp,200 ft 2,"Half Price Books, Inc.","1835 Forms Drive, Carrollton, Texas 75006",214-728-9986,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022338,Frame Studio Engineering,"2620 N Harbor Loop Drive, Suite 10, Bellingham, Washington 98225",360-820-3507,
FLOWER MOUND DENTAL,TABS2024022333,FLOWER MOUND DENTAL,"3025 & 3031 LONG PRAIRIE ROAD, Flower Mound, TX 75022",Denton,12/15/2024,12/15/2025,"$10,150,000",New Construction,"This project is privately funded, on private land for private use.",GROUND-UP DENTAL OFFICE,"15,600 ft 2",BRETT TITENSOR,"4409 DADE DRIVE, FLOWER MOUND, Texas 75028",(972) 800-9796,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022333,,,,
Horizon Kidz,TABS2024022246,Cannon Crossing,"295 W Byron Nelson Blvd. Ste. 124, Roanoke, TX 76262",Denton,7/2/2024,1/1/2025,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",A remodel to an existing tenant space,"2,250 ft 2",295 Cannon Crossing LLC,"3231 Harwood Road, Bedford, Texas 76021",(817) 571-5405,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022246,Cross Timbers Architects,"4315 Windsor Centre Trail, Flower Mound, Texas 75028",972-355-7754,Heather Dehoyos-Williams
Stuart Apartments,TABS2024022222,Stuart Apartments,"4201 Stuart Road, Denton, TX 76209",Denton,8/2/2024,11/2/2024,"$10,000,000",New Construction,"This project is privately funded, on private land for private use.",New construction of apartment buildings,"74,238 ft 2","Stuart Apartments Properties, LLC","2020 Diplomat Drive, Ste 100, dallas, Texas 75234",(469) 556-8138,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022222,,,,
Hotworx Trophy Club,TABS2024022207,Hotworx,"925 Trophy Club Dr, Trophy Club, TX 76262",Denton,8/2/2024,11/4/2024,"$159,600",Renovation/Alteration,"This project is privately funded, on private land for private use.",New shell interior finish out,"1,629 ft 2","KMJ Equities, LLC","925 Trophy Club Dr Suite 100, Trophy Club, Texas 76262",(972) 974-4428,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022207,SGDesign Inc,"3311 Elm Street , Suite 105, Dallas, Texas 75226",214-742-6044,"KCH Integrity, LLC"
Academy Childcare Shell Building,TABS2024022191,Academy Childcare Shell Building,"TBD Tally Blvd., Justin, TX 76247",Denton,8/15/2024,8/15/2025,"$876,000",New Construction,"This project is privately funded, on private land for private use.",New Shell Building,"10,307 ft 2",Office Equity Solutions,"365 Miron, Suite A, Southlake, Texas 76092",817416381,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022191,Kline Hardin,"701 Canyon Drive, Suite 110, Coppell, Texas 75019",972-331-5699,
Wildflower South Amenity Center,TABS2024022182,Wildflower South Amenity Center,"16380 Goldflame Drive, Fort Worth, TX 76131",Denton,7/31/2024,5/30/2025,"$5,000,000",New Construction,"This project is privately funded, on private land for private use.",New Construction of private neighborhood amenity center and pool,"4,444 ft 2",HT HWY 114 LP,"2700 Commerce Street, Dallas, Texas 75226",(512) 639-3355,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022182,,,,
