project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
HD Supply Interior Remodeling,TABS2026011332,HD SUPPLY DISTRIBUTION CENTER,"550 Lakeside Pkwy #100, Flower Mound, TX 75028",Denton,2/1/2026,8/1/2026,"$350,885",Renovation/Alteration,"This project is privately funded, on private land for private use.",2283 s/f  REMODELING- BREAK ROOM AND CONFERENCE ROOM EXTENSION,"2,283 ft 2",Prologis,"2021 McKinney Ave Suite 150, Dallas, Texas 75201",972-884-9240,Texas Licensed Engineers,"7505 Fannin St, Suite#440, Houston, TX 77054, Houston, Texas 77054",(833) 316-2186,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011332,
"GSP Redfern, LLC",TABS2026011160,Green Street Redfern,"Redfern Road, Aubrey, TX 76227",Denton,10/30/2025,10/18/2026,"$7,400,000",New Construction,"This project is privately funded, on private land for private use.","35,994 approximate square footage being made up by 6 flex space buildings.","35,994 ft 2","GSP Redfern, LLC","5495 Belt Line Rd, Ste 380, Dallas, Texas 75254",(903) 271-2100,Abide Designs LLC,"6428 Dominion Dr, Royse City, Texas 75189",(469) 721-6200,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011160,
Landmark Community Church - Fellowship Hall,TABS2026011123,Landmark Community Church - Fellowship Hall,"6209 FM 2449, Ponder, TX 76259",Denton,3/2/2026,4/2/2027,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.",New fellowship hall with associated classrooms to serve new sanctuary,"4,270 ft 2",Landmark Community Church,"6209 FM 2449, Ponder, Texas 76259",(214) 392-1242,Holtman Designworks,"403 US Hwy 377 S, ARGYLE, Texas 76226",(214) 455-5623,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011123,
City of Lewisville Grand Theater Renovation,TABS2026011111,Lewisville Grand Theater,"100 N Charles St, Lewisville, TX 75057",Denton,9/1/2026,9/30/2026,"$500,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","This project includes renovation work of the existing Concessions Area, Ticketing Booth, Men's and Women's Dressing Rooms, and the Green Rooms.","1,417 ft 2",City of Lewisville,"151 W Church Street, Lewisville, Texas 75057",(972) 219-3769,Brandstetter Carroll Inc.,"17304 Preston Rd Suite 1020, Dallas, Texas 75252",(469) 941-4926,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011111,
Landmark Community Church,TABS2026011104,Landmark Community Church,"6209 FM 2449, Ponder, TX 76259",Denton,3/2/2026,4/2/2027,"$2,000,000",New Construction,"This project is privately funded, on private land for private use.",New church statuary and associated bathrooms - Fellowship building next door via separate permit/TABS #,"5,748 ft 2",Landmark Community Church,"6209 FM 2449, Ponder, Texas 76259",(214) 392-1242,Holtman Designworks,"403 US Hwy 377 S, Argyle, Texas 76226",(214) 455-5623,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011104,
Multiquip Pallet Racking Project,TABS2026010994,Multiquip,"1800 Waters Ridge Dr #500, Lewisville, TX 75057",Denton,2/2/2026,2/6/2026,"$425,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",installation of pallet racking,"16,000 ft 2",Teachers Insurance Annuity Association (TIAA / Nuveen Real Estate),"730 Third Avenue, New York, New York 10017",214-710-9386,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010994,
Studio Pilates,TABS2026010942,Teel Plaza 1,"3740 W University Drive, Suite 40, Prosper, TX 75078",Denton,2/23/2026,4/6/2026,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant improvement to a core and shell tenant space at Teel Plaza. Existing core and shell space to be renovated into a Studio Pilates with a full scope of work to be included in this permit.,"1,495 ft 2",Teel Plaza 1 LLC & Coit20North,"6541 Doonbeg Dr, Frisco, Texas 75035",(972) 386-1412,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010942,
Tribes Church,TABS2026010904,Tribes Church,"809 FM 407, Argyle, TX 76226",Denton,3/2/2026,3/2/2027,"$3,400,000",New Construction,"This project is privately funded, on private land for private use.",New church to better serve the surrounding community,"10,400 ft 2",Tribes Church,"809 FM 407, Argyle, Texas 76226",(214) 458-4913,Holtman Designworks,"403 US Hwy 377 S, Argyle, Texas 76226",(214) 455-5623,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010904,
Brookview - Phase 1B,TABS2026010898,Brookview Phase 1B,"11780 FM 1171, Roanoke, TX 76262",Denton,6/1/2026,7/31/2026,"$245,425",New Construction,"This project is privately funded, on private land for private use.","CONSTRUCT 140 RESIDENTIAL LOTS & 9 HOA LOTS WITH PEDESTRIAN ELEMENTS THAT WILL INCLUDE BFR - 19,290 SF","19,290 ft 2",GRBK Edgewood LLC,"5501 Headquarters Drive, Suite 300W, Plano, Texas 75024",972.310.4545,Kimley-Horn,"13455 Noel Road, Suite 700, Dallas, Texas 75240",469.914.8720,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010898,
Brookview - Phase 1A,TABS2026010897,Brookview Phase 1A,"11780 FM 1171, Roanoke, TX 76262",Denton,6/1/2026,7/31/2026,"$647,300",New Construction,"This project is privately funded, on private land for private use.","Construct - 313 Residential Lots, 4 HOA Lots with pedestrian elements that will include barrier free ramps. - 62,040 SF","62,040 ft 2",GRBK Edgewood LLC,"5501 Headquarters Drive, Suite 300W, Plano, Texas 75024",972.310.4545,Kimley-Horn,"13455 Noel Road, Suite 700, Dallas, Texas 75240",469.914.8720,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010897,
