project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
Storage Shed,TABS2026022639,8343 Gateway Dr,"8343 Gateway Dr., Argyle, TX 76226",Denton,12/1/2025,5/1/2026,"$220,000",New Construction,"This project is privately funded, on private land for private use.","5,700 SF one story storage building for storage of personal items. ","5,700 ft 2",35 W Gateway LLC,"808 Lake Breeze Dr. Highland Village, Highland Village, Texas 75077",(940) 412-9100,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022639,,,,
GHODS,TABS2026022598,"KAVEH GHODS, DDS","5101 MAIN ST. BLD C SUITE 500, The Colony, TX 75056",Denton,6/30/2026,9/30/2026,"$323,233",New Construction,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT ,"2,050 ft 2","COLONY 72, LLC","7116 VALJEAN AVE, VAN NUYS, California 91406",818-779-3834,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022598,,,,
Gideon Math & Reading Argyle,TABS2026022573,Harvest Town Center,"1050 Market Way Suite 160, Argyle, TX 76226",Denton,1/5/2026,6/15/2026,"$50,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",Finish out of after school learning,"1,400 ft 2",HARVEST RETAIL PARTNERS LP,"9800 Hillwood Pkwy Ste 300, Fort Worth, Texas 76177",(817) 224-6009,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022573,Neha Mehortra,,,
Nutribon,TABS2026022555,16441 Victory Circle LLC,"16441 Victory Circle West, Fort Worth, TX 76177",Denton,7/27/2026,8/7/2026,"$578,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",installation of high pile racking,"149,874 ft 2",16441 Victory Circle LLC,"501 Madrid Avenue, Torrance, California 90501",(323) 278-5425,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022555,,,,
Rockpointe Church Children's Building,TABS2026022550,Children's Building,"4503 Cross Timbers Rd, Flower Mound, TX 75022",Denton,11/2/2026,11/1/2027,"$6,000,000",New Construction,"This project is privately funded, on private land for private use.","2 story building, 18,000sf total. Includes Sunday school rooms for various age children for the Sunday church services. ","18,000 ft 2",Rockpointe Church of Denton County,"4503 Cross Timbers Rd, Flower Mound, Texas 75022",(469) 322-0313,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022550,,Visioneering Studios Architecture,"1021 Russell St Suite 205, Nashville, Tennessee 37206",(901) 482-0893
PT Solutions - Flower Mound,TABS2026022513,Robertson's Creek Shopping Center,"5801 Long Prairie Road, Suite 740, Flower Mound, TX 75028",Denton,7/1/2026,9/7/2026,"$222,400",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior build-out of a new physical therapy clinic,"3,232 ft 2",Robertson's Creek Dunhill LLC,"3100 Monticello Suite 300, Dallas, Texas 75205",(972) 201-7799,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022513,Brandon Russell,THE INTERIOR DESIGN GROUP LTD,"750 Warrenville Road, Suite 103, Lisle, Illinois 60532",630-348-0409
GMR DENTON II INFIL,TABS2026022502,GMR DENTON II INFIL,"2400 Westcourt Road, Denton, TX 75067",Denton,7/15/2026,12/15/2026,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","REMODELING AN EXISTING BUILDING SPACE.  NO ADDITIONAL BUILDING SF ADDED.  ADDING THREE ADDITIONAL ENCLOSED SPACES WITHIN EXISTING INTERIOR SPACE. UPDATING MECHANICAL, LIGHTING, AND FINISHES WITHIN THESE NEW SPACES.","7,145 ft 2",Doud BTS,"25528 Genesee Trail Rd Ste. 501, Golden, Florida 80401",303-462-3604,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022502,GMR,Kinetic Design and Development,"2215 W Chesterfield Blvd. Ste. 01, Springfield, Arizona 65807",(417) 530-4321
St Maximus Orthodox Church,TABS2026022488,St Maximus Orthodox Church,"3582 Hartlee Field Rd, Denton, TX 76208",Denton,8/1/2026,3/31/2027,"$400,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",We have an existing 30'x50' (1500 SF) barn that we're going to renovate and add an additional 1107 SF for our new home for a total SF of 2607.,"2,607 ft 2",St Maximus Orthodox Church,"3582 Hartlee Field Rd., Denton, Texas 76208",(940) 293-3032,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022488,,,,
Downing MS Reno,TABS2026022477,Downing Middle School,"5555 Bridalwood Blvd, Flower Mound, TX 75028",Denton,6/15/2026,9/1/2026,"$636,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",renovations,"34,267 ft 2",Lewisville ISD,"1565 W. Main St. #500, Lewisville ISD, Texas 75067",469-948-7817,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022477,,Huckabee,"801 Cherry St. #500, Ft. Worth, Texas 76102",817-377-2969
Lewisville ISD | Administration Center Renovation,TABS2026022422,Lewisville ISD | Administration Center Renovation,"1565 W. Main Street, Lewisville, TX 75067",Denton,6/15/2026,8/31/2026,"$1,616,161",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Lewisville ISD | Administration Center Renovation,"8,500 ft 2",Lewisville ISD,"1597 Edmonds Lane, Lewisville, Texas 75067",(469) 948-7815,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022422,,Huckabee,"801 Cherry Street Ste. 500, Fort Worth, Texas 76102",(800) 687-1229
