project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url
NATURES PLATE,TABS2025003067,SOUTHRIDGE VILLAGE,"2430 S IH35E, Denton, TX 76205",Denton,12/1/2024,3/31/2025,"$130,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Alteration (takeout shop),"1,380 ft 2","Southridge Partners, LTD","P.O. Box 191508, Dallas, Texas 75219",(214) 213-2105,JQAQ ATALIER LLC,"227 N SHORE DRIVE, DALLAS, Texas 75216",(214) 215-7484,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003067
2024 Street Rehabilitation Project,TABS2025003042,"Creek Estates Lift Station, Aubrey Area Library, CountrySide Dr, Michelle St. Winn Ridge Blvd, etc.","226 Countryside Dr, Aubrey, TX 76227 698 Coleman St, Aubrey, TX 76227, Aubrey, TX 76227",Denton,6/1/2024,11/30/2024,"$54,364",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","387 square yards of 4-inch thick, 5-foot wide reinforced concrete sidewalk, 2 no. of Barrier Free Ramps, 820 Linear feet of Crosswalk.","3,500 ft 2",City of Aubrey,"107 S Main St, Aubrey, Texas 76227",(940) 440-9343,"Birkhoff, Hendrick & Carter, L.L.P.","11910 Greenville Ave, Suite 600, Dallas, Texas 75243",(214) 377-4006,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003042
Yesway #2238 Justin,TABS2025003020,Allsup's,"952 FM156, Justin, TX 76247",Denton,11/22/2024,12/6/2024,"$107,489",Renovation/Alteration,"This project is privately funded, on private land for private use.",New gondolas New back bar New door in the backroom New cabinets and countertop,"3,805 ft 2",BW GAS AND CONVENIENCE RETAIL LLC,"138 CONANT ST, BEVERLY, Massachusetts 01915",(254) 548-9039,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003020
Tract B Retail,TABS2025002982,Tract B Retail,"State Highway 121 & Parker Road, Lewisville, TX 75056",Denton,11/1/2024,8/30/2025,"$1,215,925",New Construction,"This project is privately funded, on private land for private use.",New Shell Retail Building,"14,305 ft 2",Breco Lands CH LLC (Bright Realty),"4400 State Highway 121, Suite 900, Lewisville, Texas 75056",(972) 410-6597,Kline Hardin Architects,"1921 State HWY 121 Suite 250 Suite 250, Lewisville, Texas 75056",(972) 331-5699,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025002982
"Justin Town Square Lot 1, Bldg B",TABS2025002979,"Justin Town Square Lot 1, Bldg B","(TBD) Tally Blvd., Justin, TX 76247",Denton,11/1/2024,8/1/2025,"$425,000",New Construction,"This project is privately funded, on private land for private use.","New Shell Building - 5,000 SF","5,000 ft 2",Office Equity Solutions,"365 Miron, Suite A, Southlake, Texas 76092",(817) 416-3981,Kline Hardin Architects,"1921 State HWY 121 Suite 250 Suite 250, Lewisville, Texas 75056",(972) 331-5699,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025002979
"Justin Town Square Lot 1, Bldg A",TABS2025002971,"Justin Town Square Lot 1, Bldg A","(TBD) Tally Blvd., Justin, TX 76247",Denton,11/1/2024,8/1/2025,"$510,000",New Construction,"This project is privately funded, on private land for private use.","New Shell Building - 6,000 SF","6,000 ft 2",Office Equity Solutions,"365 Miron, Suite A, Southlake, Texas 76092",(817) 416-3981,Kline Hardin Architects,"1921 State HWY 121 Suite 250 Suite 250, Lewisville, Texas 75056",(972) 331-5699,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025002971
Braden Meat House,TABS2025002899,Braden Meat House,"417 N. Sealy Ave., Justin, TX 76247",Denton,10/14/2024,10/31/2024,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation,"472,338 ft 2",Jeff Braden,"417 N. Sealy, Justin, Texas 76247",(817) 471-4286,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025002899
Lake Park Emergency Erosion and Trail Repair,TABS2025002864,Copperas Branch Park,"101 Highland Village Rd NE Copperas Branch Park, Highland Village, TX 75077",Denton,11/4/2024,12/31/2024,"$150,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Erosion control and repair/replacement of existing concrete walking trail.,"5,330 ft 2",City of Lewisville,"151 W Church St, Lewisville, Texas 75057",(469) 635-5481,"Halff Associates, Inc.","1201 N Bowser Rd, Richardson, Texas 75081",(214) 346-6276,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025002864
Falcon Heights - Shell Building,TABS2025002857,Falcon Heights,"Loop 288 & Hummingbird Lane, Denton, TX 76209",Denton,11/25/2024,3/31/2025,"$1,300,000",New Construction,"This project is privately funded, on private land for private use.",PROPOSED GROUND UP RETAIL LEASE SHELL BUILDING WITH PARKING AREA & DRIVE THRU.,"6,945 ft 2",RUAR Commercial Properties,"1915 Westridge Drive, Irving, Texas 75038",(972) 550-1282,Benchmark Group,"1805 N. 2nd Street, Rogers, Arkansas 72756",(479) 636-5004,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025002857
Krum Boat & RV Storage Building #8,TABS2025002843,Vincent Business Park,"5034 Hopkins Rd, Krum, TX 76249",Denton,10/18/2024,4/1/2025,"$100,000",New Construction,"This project is privately funded, on private land for private use.",New building construction ,"2,400 ft 2",Krum Boat & RV Storage LLC,"5034 Hopkins Rd Building #8, Krum, Texas 76249",(940) 206-8319,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025002843
