project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
A New Storage Building for City of Roanoke,TABS2025023909,A New Storage Building for City of Roanoke,"201 Fairway Dr., Roanoke, TX 76262",Denton,9/1/2025,2/28/2026,"$350,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","A new 1,600 pre-engineered storage building for City of Roanoke","1,600 ft 2",City of Roanoke,"265 Marshal Creek, Roanoke, Texas 76262",(682) 549-1371,Schwarz-Hanson Architects,"2627 Tillar Street, Suite 131, Fort Worth, Texas 76107",(817) 377-3600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023909,
McKinney Street Sidewalk,TABS2025023904,N/a,"McKinney Street (From Audra Ln to Loop 288), Denton, TX 76201",Denton,10/1/2025,10/30/2026,"$1,300,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Scope of work consists of construction of sidewalk, pedestrian bridge, and other improvements along south side of McKinney Street","6,500 ft 2",City of Denton,"401 N. Elm Street, Denton, Texas 76201",(940) 349-7104,"Westwood Professional Services, Inc.","11000 Frisco Street, Suite 400, Frisco, Texas 75033",469-213-1800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023904,
PONDER STATION,TABS2025023754,JJ's Homestyle American Bar & Cafe,"309 N. HWY 156, Ponder, TX 76259",Denton,8/1/2025,11/30/2025,"$80,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",SET UP THE BRUNCH CAFE,"2,682 ft 2",EVAN H LLC,"309 N. HWY 156, PONDER, Texas 76259",(917) 912-8346,JWK,"4128 BEACON ST., FLOWER MOUND, Texas 75028",972 979 3962,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023754,
Morrow Cabinet Retail Building,TABS2025023750,Morrow Cabinet Retail Building,"122 E College Street, Lewisville, TX 75057",Denton,9/1/2025,3/2/2026,"$442,827",New Construction,"This project is privately funded, on private land for private use.",New metal building with a small parking lot and site improvements,"2,350 ft 2",Randy Morrow,"136 E College Street, Lewisville, Texas 75057",(972) 221-7551,Bates Martin Architects,"2222 San Jacinto Blvd, Suite 300, Denton, Texas 75035",(940) 387-4881,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023750,
Taco El Gordo,TABS2025023715,Taco El Gordo,"180 Buckee Blvd, Melissa, TX 75454",Denton,8/31/2025,11/30/2025,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior finish out by tenant,"1,800 ft 2",Luis Oviedo,"180 Buckee Blvd, Melissa, Texas 75454",(972) 552-0506,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023715,
Jersey Mike's Subs Lewisville,TABS2025023671,Lewisville Towne Center,"1081 W Main St Ste 105, Lewisville, TX 75067",Denton,10/1/2025,12/1/2025,"$390,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant finish-out of an existing retail strip center space into a Jersey Mike's Subs restaurant.,"1,925 ft 2",TSCA-224 LIMITED PARTNERSHIP,"301 S Sherman St Ste 100, Richardson, Texas 75081",(972) 669-8440,AEP America LLC,"PO Box 123655, Fort Worth, Texas 76121",(214) 702-1528,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023671,Chad Huffhines
Action Behavior Center Lewisville Academy,TABS2025023666,Action Behavior Center Lewisville Academy,"5151 State Highway 121, The Colony, TX 75056",Denton,8/1/2025,8/31/2026,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","A 7,112 square-foot tenant improvement project in an existing stand-alone structure for Action Behavior Centers office and therapy clinic.","7,112 ft 2","Methodist Urgent Care of Texas, LLC","203 Brookview Centre Way Suite 203, Knoxville, Tennessee 37919",865-293-5587,Schwarz-Hanson Architects,"2627 Tillar Street, Suite 131, Fort Worth, Texas 76107",(817) 377-3600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023666,Connor Coleman
QuikTrip # 1859 Fryer Project,TABS2025023655,QuikTrip # 1859,"701 N. Stemmons Frwy., Sanger, TX 76266",Denton,9/28/2025,10/13/2025,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Includes re-organization of kitchen equipment and addition of new fryer units. The existing  Type 1 hood and wrapped ducts will be replaced with Type 1 new equipment. Rooftop equipment will remain existing. Project 300 sf.,300 ft 2,QuikTrip Corporation,"1120 N. Industrial Blvd., Euless, Texas 76039",(817) 786-3191,"Daniel D. Filuk, Architect","1747 E. Morten Ave., Suite 111, Phoenix, Arizona 85020",(602) 234-1868,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023655,
PJ's Coffee of New Orleans (Little Elm),TABS2025023647,380 & GARDENIA RETAIL CENTER,"26795 US Highway 380 E, Little Elm, TX 75068",Denton,7/31/2025,10/31/2025,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior tenant improvement for a retail coffee shop chain,"1,879 ft 2","380 Gardenia, LLC","5605 Matterhorn Dr, Frisco, Texas 75035",571-230-2408,L+P ARCHITECTURE,"2138 N Cleveland Massillon Rd, Akron, Ohio 44333",330.659.3161,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023647,RS Mulamba Investments LLC
The Back 9 Golf,TABS2025023600,Hickory Creek,"5017 teasley lane Ste. 121, Denton, TX 76210",Denton,8/11/2025,10/13/2025,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Moving walls, electrical, air ducts, adding water fountain.  Existing bathrooms to remain","3,000 ft 2",Hickory Creek Station LLC,"11501 Northlake Dr, Cincinnati, Ohio 45249",(513) 824-7133,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023600,
