project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
18000 J Cheshier,TABS2026004761,18000 J Cheshier,"18000 J Cheshier, Justin, TX 76247",Denton,11/25/2025,3/31/2026,"$250,000",New Construction,"This project is privately funded, on private land for private use.","Development of a private commercial truck and trailer parking facility (gravel surface) with perimeter fencing, lighting, and one pre-engineered metal building for vehicle storage/light maintenance. No public office or customer access.","280,000 ft 2",Oversized Vehicle parking Pros. LLC,"4107 Southwood E, Colleyville, Texas 76034",(214) 364-9879,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026004761,,,,
Pecan Plaza - Little Caesars,TABS2026004742,Pecan Plaza,"8040 Cleveland Gibbs Rd, Northlake, TX 76226",Denton,4/1/2026,7/1/2026,"$150,000",New Construction,"This project is privately funded, on private land for private use.",We will be building out a shell space to be a Little Caesars Pizza location. ,"1,200 ft 2","Patriot Pizza II, LLC","3575 Lone Star Cir 424, Fort Worth, Texas 76177",(254) 855-2345,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026004742,,,,
SYRA SALON,TABS2026004711,TEEL PLAZA 1 - RETAIL SHELL BLDG LOT 6,"3740 W UNIVERSITY DR #STE. 80, Prosper, TX 75078",Denton,12/5/2025,5/5/2026,"$90,000",New Construction,"This project is privately funded, on private land for private use.",NEW CONSTRUCTION ,"1,400 ft 2",TEEL PLAZA 1 LLC,"6541 DOONBEG DR, FRISCO, Texas 75035",248-345-3818,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026004711,Anagha Enterprises LLC  DBA SYRA SALON,iXD Design Studio,"3204 SAN PATRICIO DR, PLANO, Texas 75025",(573) 529-0127
Discount Tire TXD 67,TABS2026004689,Discount Tire,"2990 FM 423, Little Elm, TX 75068",Denton,2/3/2026,4/27/2026,"$260,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of an existing Discount Tire location  -  Sq Ft 1,571","1,571 ft 2",HALLE PROPERTIES LLC,"14631 N SCOTTSDALE RD, SCOTTSDALE, Arizona 85254",480-909-6811,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026004689,,Design Forum Architects,"2056 Byer Road, Miamisburg, Ohio 45342",937-853-8247
Black Sheep Coffee - Stonebrook,TABS2026004683,Black Sheep Coffee,"2200 Stonebrook Pkwy Suite #110, Frisco, TX 75034",Denton,11/3/2025,1/30/2026,"$1,000,000",New Construction,"This project is privately funded, on private land for private use.",Construction and finish out for single level coffee shop,"2,397 ft 2",Stonebrook Circle LP,"2626 Stonebrook Pkwy Ste 100, Frisco, Texas 75034",(214) 277-9390,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026004683,Christian Romero,Texture Design Studio,"8111 Lyndon B Johnson Frwy, Dallas, Texas 75251",(469) 644-3545
25099 - Lewisville 121 Business Park Building 3 Pump Room Restrooms,TABS2026004674,25099 - Lewisville 121 Business Park Building 3 Pump Room Restrooms,"1100 Spinks Road, Lewisville, TX 75067",Denton,11/17/2025,1/1/2026,"$275,228",New Construction,"This project is privately funded, on private land for private use.",Warehouse improvements of a new 500 square feet of pump room restroom in the existing Lewisville 121 Building 3,500 ft 2,CAL TDC Lewisville 121 LLC,"1900 West Loop S Suite 1300, Houston, Texas 77027",(214) 886-7313,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026004674,,RGA Architects Inc.,"301 S. Oak Street Suite 100, Roanoke, Texas 76262",(817) 430-3382
Nothing Bundt Cakes #1191,TABS2026004636,Westlake Shopping Center,"5600 W University Dr; STE 10, Prosper, TX 75078",Denton,11/17/2025,2/23/2026,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Tenant Improvement for a retail bakery (chain),"1,805 ft 2",REGENT XNG LLC,"310 SAN MARCOS DR, IRVING, Texas 75039",972-560-9393,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026004636,Frostin City Limits,L+P ARCHITECTURE,"2138 N Cleveland Massillon Rd, Akron, Ohio 44333",330-659-3161
BELL MV-75 - Early Works Demolition Package,TABS2026004612,BELL - Advanced Manufacturing Center,"15100 N. Beach Street, Fort Worth, TX 76117",Denton,12/15/2025,2/27/2026,"$3,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Demolition ,"200,000 ft 2",TERRY GRAZING ASSN,"PO BOX 3170, CHEYENNE, Wyoming 82003",(817) 239-7994,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026004612,,,,
OneMain Financial,TABS2026004524,Provident Place,"2220 San Jacinto Blvd Suite 365, Denton, TX 76205",Denton,12/1/2025,1/30/2026,"$180,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior improvements of an existing tenant space in a multi-story office building for a new OneMain Financial office.,"1,885 ft 2",2220 San Jacinto Partners LP,"P.O. BOX 978, ARGYLE, Texas 76226",(972) 691-7600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026004524,STACIA GOEKEN,Ports Architects,"8472 Vera Dr., Broadview Heights, Ohio 44147",(440) 526-6978
25108 - Alliance Gateway 71,TABS2026004444,25108 - Alliance Gateway 71,"Henrietta Creek Rd and Independence Parkway, Roanoke, TX 76262",Denton,10/29/2025,7/20/2026,"$20,000,000",New Construction,"This project is privately funded, on private land for private use.","New 501,234 sq ft cross dock warehouse building with site development and enhancement","501,234 ft 2","HWDC 1, LLC","9800 Hillwood Parkway Suite 300, Fort Worth, Texas 76177",(817) 224-6000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026004444,,RGA Architects Inc.,"301 S. Oak Street Suite 100, Roanoke, Texas 76262",(817) 430-3382
