project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
HYDERABAD JUNCTION,TABS2026004243,HYDERABAD JUNCTION,"6000 CLEVELAND GIBBS RD #STE. 300, Northlake, TX 76226",Denton,12/1/2025,6/1/2026,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT ,"3,500 ft 2","CHL INVESTMENTS I, LTD","365 MIRON DR #STE. A, SOUTHLAKE, Texas 76092",(817) 416-3981,BEAR DESIGN BUILD,"2965 VILLA CREEK DR #STE. 110, DALLAS, Texas 75234",(469) 682-7038,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026004243,
Northlake 35 Logistics Park III - Building 4,TABS2026004148,Building 4,"TBD, Northlake, TX 76247",Denton,3/2/2026,2/26/2027,"$7,000,000",New Construction,"This project is privately funded, on private land for private use.","Speculative industrial building, including associated site grading, utilities, paving, site lighting, landscape, irrigation, plumbing, mechanical and electrical, plus a small speculative office finish-out.","125,400 ft 2","Northlake 35 Logistics Park III Phase I, LLC","5440 Harvest Hill Rd. Suite 250, Dallas, Texas 75230",713-855-0091,"Alliance Architects, Inc.","1600 N. Collins Blvd. Suite 1000, Richardson, Texas 75080",(972) 233-0400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026004148,
UNT Chilton Sidewalks,TABS2026004080,East of Chilton Hall,"410 Avenue C, Denton, TX 76201",Denton,8/4/2025,10/31/2025,"$100,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",replacing  of existing sidewalk,100 ft 2,University of North Texas,"1112 Dallas Dr., denton, Texas 76205",(940) 765-5146,University of North Texas,"2204 W. Prairie Street, denton, Texas 76201",(940) 565-2360,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026004080,
Rivian PDC6,TABS2026004039,Rivian PDC,"1384 Bold Ruler Rd Suite #100, Fort Worth, TX 76052",Denton,4/1/2026,11/30/2026,"$9,900,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","FFICES, LOCKER AREA, BREAK AREA, RESTROOMS AND ASSOCIATED PLUMBING WORK IS INCLUDED. THE SCOPE OF WORK INCLUDES CONSTRUCTION OF INTERIOR NON-LOAD BEARING WALLS, DOORS, FINISHES, FURNITURE AND NEW ELECTRICAL OUTLETS FOR NEW EQUIPMENT. THE SCOPE ALSO I","522,623 ft 2",NP-OV Forth Worth Project 7 LLC,"3315 N Oak Trafficway, Kansas City, Missouri 64116",(573) 289-4551,"Reztark Design Studio, LLC","601 Main St. Suite 200, Cincinnati, Ohio 45202",(513) 765-5027,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026004039,Matt Wick
AVENIR NAIL LOUNGE,TABS2026003954,VICTORY SHOPS AT HICKORY CREEK,"3100 FM 2181 #STE. 111, Hickory Creek, TX 76210",Denton,11/1/2025,3/1/2026,"$300,000",New Construction,"This project is privately funded, on private land for private use.",FINISH OUT ,"1,870 ft 2","Victory Shops at Hickory Creek I, LLC","2911 TURTLE CREEK BLVD #STE. 700, DALLAS, Texas 75219",(469) 646-6179,NGUYEN CHAU DESIGNER & CONSULTING,"1207 FOX CHASE DR, MANSFIELD, Texas 76063",(682) 583-0921,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026003954,MINH HUY TRAN
400 Storage Court,TABS2026003940,400 Storage,"400 Storage Court, Lewisville, TX 75067",Denton,1/1/2026,12/31/2026,"$8,000,000",New Construction,"This project is privately funded, on private land for private use.",New construction industrial concrete tilt-wall 100K SF,"100,000 ft 2","2065 Stemmons, LLC.","415 E. Jones Street, Suite 300, Lewisville, Texas 75057",(972) 628-4803,LBL Architects,"1106 West Randol Mill Road, Suite 300, Arlington, Texas 76012",817-265-1510,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026003940,
FFF Enterprises,TABS2026003845,Lakeside Commerce Center III,"1650 Lakeside Parkway, Suite 404, Flower Mound, TX 75028",Denton,10/27/2025,12/31/2025,"$260,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of an existing office to include new walls, doors, electrical, ceilings, and millwork.","7,995 ft 2","QR Dallas Distribution Portfolio, LP","666 Burrard Street, Suite 800, Vancouver, Washington V6C28",213-592-0842,Ware Malcomb,"2626 Cole Avenue, Suite 501, Dallas, Texas 75204",469-369-7520,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026003845,Chris Kelley
Teel Plaza 3 - Retail Building,TABS2026003841,Lot 8 Retail Shell Building,"3840 W. University Drive, Prosper, TX 75078",Denton,12/1/2025,12/1/2026,"$4,100,000",New Construction,"This project is privately funded, on private land for private use.",New commercial retail shell building and site work.,"21,750 ft 2",Vinessa Properties LP,"14690 Gentle Breeze Road, Frisco, Texas 75035",(469) 500-3393,Hodges Architecture,"13642 Omega, Dallas, Texas 75244",(972) 387-1000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026003841,
"Kura Sushi, Rayzor Ranch Town Center",TABS2026003824,Rayzor Ranch Town Center,"3400 N Interstate 35, Suite 150, Denton, TX 76201",Denton,12/1/2025,4/30/2026,"$1,400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant restaurant fit out of newly constructed 3500 square foot lease space including: Partitions, (2) restrooms, kitchen and equipment, MEP infrastructure, equipment and fixtures, furniture, and finishes. ","3,500 ft 2","RR Town Center Associates, LLC","4500 Bissonnet Street, Suite 200, Bellaire, Texas 77401",713-693-1437,"Tricarico Architecture and Design, PD","502 Valley Road, Wayne, New Jersey 07470",973-692-0222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026003824,Chelsea Prior
Westside Lot 18R - Prosper,TABS2026003728,Retail Buildings A and B,"NEC of FM 1385 and Magnolia Blvd, Prosper, TX 75078",Denton,12/1/2025,9/1/2026,"$5,500,000",New Construction,"This project is privately funded, on private land for private use.","New commercial one-story retail Buildings A and B, and site work.","46,150 ft 2",SSSS Holdings LLC,"4617 Quiet Cir, Plano, Texas 75024",(248) 242-5759,Hodges Architecture,"13642 Omega, Dallas, Texas 75244",(972) 387-1000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026003728,
