project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
Maya Creamery & Lounge,TABS2025017043,1260 FLOWER MOUND ROAD LLC,"1260 FLOWER MOUND ROAD SUITE 100, Flower Mound, TX 75028",Denton,6/1/2025,12/1/2025,"$164,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Finish out,"1,233 ft 2",1260 FLOWER MOUND ROAD LLC,"2850 W Parker Rd, Plano, Texas 75075",(972) 342-7600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017043,,,,
Arbor Terrace Frisco,TABS2025017029,Arbor Terrace Frisco,"Frisco Markcenter, Lot A, Block 25, Frisco, TX 75033",Denton,1/1/2026,6/1/2027,"$15,000,000",New Construction,"This project is privately funded, on private land for private use.","74,100 gross square foot, 3-story Assisted Living and Memory Care community. The project houses 88 units, common/amenity spaces, staff, support, and back-of-house spaces, and a commercial kitchen. State licensed thru HHSC.","74,100 ft 2","BPS Frisco Project GP, LP","117 Cypress Point, Saint Simons Island, Georgia 31522",4-040-402-9489,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017029,Dwell Design Studio LLC,"1280 Hightower Trail, Atlanta, Georgia 30350",770-864-1035,
Parish Life Center,TABS2025016992,St Philip the Apostle Catholic Church,"5201 Cross Timbers Rd, Flower Mound, TX 75022",Denton,7/31/2025,9/30/2026,"$10,800,000",New Construction,"This project is privately funded, on private land for private use.",New Parish Life Center,"24,188 ft 2",Catholic Diocese of Fort Worth,"800 West Loop 820 South, Fort Worth, Texas 76108",(817) 945-9469,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016992,Martsolf Architecture,"815 W Daggett Ave., Fort Worth, Texas 76104",(817) 820-0005,
"MSCTX, LLC",TABS2025016946,"MSCTX, LLC","2440 Eldorado Parkway Suite 200, Frisco, TX 75034",Denton,6/2/2025,10/31/2025,"$154,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior finishout by tenant,"4,750 ft 2",Raed Maso,"2440 Eldorado Parkway Suite 200, Frisco, Texas 75034",(469) 556-2630,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016946,,,,
ILC Fort Worth Building 1,TABS2025016913,ILC Fort Worth Building 1,"TBD, Fort Worth, TX 75050",Denton,6/26/2025,9/30/2026,"$42,000,000",New Construction,"This project is privately funded, on private land for private use.",Construct a new distribution warehouse ,"699,999 ft 2","NP-OV Fort Worth Project 7, LLC","3315 N. Oak Trafficway, Kansas City, Missouri 64116",(816) 437-5055,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016913,,,,
Hunter Ranch Amenity,TABS2025016866,Hunter Ranch Amenity,"9001 Landmark Trail, Denton, TX 76207",Denton,11/1/2025,11/1/2026,"$3,995,322",New Construction,"This project is privately funded, on private land for private use.","Amenity center including Community Room (3,327sf), Family Room (1,925sf), Outdoor Pavilion (1,149sf), Observation Tower (665sf) and Restrooms (799sf)","7,865 ft 2","Landmark Phase 1, LLC","3000 Turtle Creek Blvd., Dallas, Texas 75219",972.201.2852,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016866,Robert Hidey Architects,"3337 Michelson Drive, Suite 170, Irvine, California 92612",(949) 201-2938,
Rivian Service and Sales Center,TABS2025016837,Frisco Trade Center,"15691 FM 423 - Building 3,, Frisco, TX 75033",Denton,8/4/2025,11/10/2025,"$3,200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The scope consists of 55,498 SF of interior alterations to a facility which includes an electric vehicle service shop, vehicle display area, customer area, parts and storage, conferencing, and back of house employee areas. ","55,498 ft 2",Dalfen Industrial,"17304 Preston Road, Suite 550, Dallas, Texas 75252",(810) 531-3817,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016837,MG2 Architecture Corporation,"8444 Westpark Drive - Suite 120, Mclean, Virginia 22101",(810) 531-3817,Siobhan Lee
Pegasus Interior Renovation,TABS2025016827,Northlink Logistics Center,"15301 Northlink Drive, Fort Worth, TX 76247",Denton,4/1/2025,7/1/2025,"$450,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of an existing office/warehouse facility,"2,720 ft 2",HRUS Alliance LLC,"845 Texas Street Suite 3300, Houston, Texas 77002",(972) 726-0700,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016827,"Gary levy Architect, LLC","PO Box 192334, Dallas, Texas 75219",214-880-9928,Christopher Miller
Storm Damage Repairs,TABS2025016801,"TLF Logistics II Lakepointe Crossing, LLC","2535 E State Highway 121, Lewisville, TX 75056",Denton,5/1/2025,12/31/2025,"$27,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Replace damage structural components to the roof and tilt wall due to storm damage.,"335,659 ft 2","Tlf Logistics II LakePointe Crossing, LLC","4 Embarcadero Center Suite 3300, San Franscisco, California 94111",(415) 658-3300,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016801,"Childress Engineering Services, Inc.","2505 N Plano Rd. Suite 4000, Richardson, Texas 75082",(214) 451-6630,
AZURE PLAZA,TABS2025016683,DUMONT CREAMERY AND CAFE - AZURE PLAZAA ALTA 380,"26565 E UNIVERSITY DR #STE. 300, Aubrey, TX 76227",Denton,5/28/2025,7/6/2025,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",RENOVATION ,"1,474 ft 2",LITTLE ELM 380 PLAZA LLC,"110 ROSEDALE CT, PROSPER, Texas 75078",(609) 401-9382,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016683,CORINTHIAN DESIGN ASSOCIATES LLC,"10420 AMBERGATE LN, FRISCO, Texas 75035",(214) 223-4501,ANIL KUMAR PANGULURI
Mosaic PH2B,TABS2025016558,N/A,"Keya Drive and Lamplights Drive, Celina, TX 75078",Denton,5/10/2025,5/15/2026,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.",4 AC Master planned community open space with playground and streetscape with trails and planting.,"174,240 ft 2",Tellus Group,"5301 Headquarters Drive, Suite 120, Plano, Texas 75024",214-558-9133,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016558,TBG Partners,"2001 Bryan Street, Suite 1450, Dallas, Texas 75201",214-744-0757,
Mayhill B3 West Spec Suite,TABS2025016538,Mayhill Building #3,"1501 North Mayhill Road, Suite 200, Denton, TX 76208",Denton,5/1/2025,7/25/2025,"$400,000",New Construction,"This project is privately funded, on private land for private use.",1st generation office within an existing warehouse building shell.,"1,752 ft 2","Velocis Denton South JV, LP","2828 North Harwood Street, Suite 1900, Denton, Texas 75201",214.702.0217,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016538,Ware Malcomb,"2626 Cole Avenue, Suite 501, Dallas, Texas 75204",281.661.4789,
