project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,project_url,design_name,design_address,design_phone
Highland Village Pediatrics,TABS2024018307,Highland Village Pediatrics,"2700 Village Pwky, Suite 200, Highland Village, TX 75077",Denton,5/31/2024,9/30/2024,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Buildout 9 exam room, small kitchen, new lights, move electrical","3,352 ft 2",HVOS Partners LP,"1400 Dallas Dr, Denton, Texas 76205",(940) 320-1200,HIghland Village Pediatrics,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018307,,,
Shaoneng Group,TABS2024018265,Denton Industrial - Building 2,"3333 W. University Dr, Denton, TX 76207",Denton,5/24/2024,8/24/2024,"$600,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Finish out of two office suites, approx. 6,255 SF combined, within an existing warehouse building with 135,985 SF of warehouse space. ","6,255 ft 2",Billingsley Company,"1722 Routh Street Suite 770, Dallas, Texas 75201",214-270-0950,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018265,O'Brien Architects,"1722 Routh Street, Suite 122, Dallas, Texas 75201",972-788-1010
Grandscape Podium F2 White Box,TABS2024018259,Grandscape F2,"5750 Grandscape Blvd., The Colony, TX 75056",Denton,6/10/2024,10/31/2024,"$78,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",White box finish out of existing building,975 ft 2,LMG Ventures,"700 S 72nd St Suite 900, Omaha, Nebraska 68114",(972) 668-1515,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018259,Bennett Partners,"2401 Cedar Springs Suite 320, Dallas, Texas 75201",817.335.4991
Grandscape Grotto White Box,TABS2024018258,Grandscape Grotto,"5774 Grandscape Blvd., The Colony, TX 75056",Denton,6/10/2024,10/31/2024,"$70,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",White box finish out of existing building,875 ft 2,LMG Ventures,"700 S 72nd St Suite 900, Omaha, Nebraska 68114",(972) 668-1515,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018258,Bennett Partners,"2401 Cedar Springs Suite 320, Dallas, Texas 75201",817.335.4991
Action Behavior Center Roanoke,TABS2024018234,Action Behavior Center Roanoke,"710 S Highway 377 Bldg. 5, Roanoke, TX 76262",Denton,6/1/2024,1/31/2025,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","A 4,680 square-foot tenant finish-out project in an existing shell for Action Behavior Centers office and therapy clinic.","4,680 ft 2",Newstream Capital Partners,"311 South Oak Street Suite 250, Roanoke, Texas 76262",214-995-8668,Connor Coleman,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018234,Schwarz-Hanson Architects,"2627 Tillar Street, Suite 131, Fort Worth, Texas 76107",(817) 377-3600
The Belton,TABS2024018138,The Belton,"3650 Corinth Parkway, Corinth, TX 76208",Denton,12/1/2024,12/1/2026,"$32,000,000",New Construction,"This project is privately funded, on private land for private use.","198 unit, 55+ active adult apartment complex.","200,000 ft 2",Bridgeview Multifamily LLC,"8390 LBJ Freeway, Dallas, Texas 75243",(800) 484-0073,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018138,Meeks + Partners,"16000 Memorial Dr. STE 100, Houston, Texas 77079",(281) 558-8787
Kahwa Coffee Shop,TABS2024018131,Glen Coe Office Park,"1100 FM 156 S, Unit #1, Justin, TX 76247",Denton,6/3/2024,9/2/2024,"$50,500",Renovation/Alteration,"This project is privately funded, on private land for private use.",Finish out of existing shell space,"1,190 ft 2",Glen Coe Enterprises LLC,"14942 HWY 156 S, Justin, Texas 76247",(817) 797-0782,Joshua Savering,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018131,LBL Architects,"1106 W. Randol Mill Rd Suite 300, Arlington, Texas 76012",(817) 881-1581
Freight Flex,TABS2024018126,Mission St. Office,"2437 Fort Worth Dr., Denton, TX 76205",Denton,7/1/2024,10/1/2024,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Tenant up-fit of an white box shell building.,"3,914 ft 2",Reed Rivers,"2421 Fort Worth Dr., Denton, Texas 76205",(940) 565-6700,Freight Flex,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018126,Dallas Proctor Architect,"1602 W. Business 380 S. 800, Decatur, Texas 76205",(214) 244-0506
LDHS - Fine Arts Expansion (Pkg1) & CTE Expansion (Pkg2),TABS2024018089,Lake Dallas High School,"3016 Parkridge Drive, Corinth, TX 76205",Denton,8/1/2024,8/1/2025,"$23,000,000",Additions to Existing Building,"This project involves public funds, public land, or is a Federally funded roadway project.",Renovations and additions to existing high school,"46,302 ft 2",Lake Dallas ISD,"104 Swisher Road, Lake Dallas, Texas 75065",940-497-4039,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018089,"VLK Architects, Inc.","5801 Tennyson Pkwy #100, Plano, Texas 75024",(972) 265-1885
LDHS Athletic Site Renovations,TABS2024018087,Lake Dallas HS Athletic,"3016 Parkridge Drive, Corinth, TX 76205",Denton,6/1/2024,8/1/2024,"$3,000,000",Additions to Existing Building,"This project involves public funds, public land, or is a Federally funded roadway project.","Site renovations including drives, parking, tennis courts and shed","217,800 ft 2",Lake Dallas ISD,"104 Swisher Road, Lake Dallas, Texas 75065",940-497-4039,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018087,"VLK Architects, Inc.","5801 Tennyson Pkwy #100, Plano, Texas 75024",(972) 265-1885
