project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
Treeline,TABS2024026156,Amenity Center,"8551 Treeline Parkway, Justin, TX 76247",Denton,10/15/2024,10/15/2025,"$2,076,800",New Construction,"This project is privately funded, on private land for private use.","Amenity center with HOA building,1537sf, restroom building, 837sf, Community building, 2592sf, treehouse with mezzanine, 799sf, parking area, swimming pool , playground, and pickleball courts.","5,765 ft 2",Treeline Phase 1 LLC,"3000 Turtle Creek Boulevard, Dallas, Texas 75219",(972) 201-2906,Blackmon Architecture LLC,"6333 E Mockingbird Lane Suite 147-547, Dallas, Texas 75214",214-695-5345,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024026156,
Treeline,TABS2024026133,Library Treehouse,"11510 Treehouse Trail, Justin, TX 76247",Denton,10/15/2024,4/15/2025,"$437,600",New Construction,"This project is privately funded, on private land for private use.",Elevated steel framed Library of approximately 706 sf.,706 ft 2,Treeline Phase 1 LLC,"3000 Turtle Creek Blvd, Dallas, Texas 75219",972-201-2906,Blackmon Architecture LLC,"6333 E Mockingbird Lane, Suite 147 PMB 547, Dallas, Texas 75214",214-695-5345,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024026133,
Scenthound Grooming Flower Mound,TABS2024026123,Cross Timbers Shopping Center,"3634 Long Prairie Road Suite 120, Flower Mound, TX 75022",Denton,9/16/2024,11/15/2024,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant fit out of an existing tenant suite for use as a dog grooming business.,"1,700 ft 2",BLM LLC,"4403 N Central Expressway Box 110, Dallas, Texas 75205",214-217-8250,LH2 Architecture LLC,"5909 W Loop S Suite 230, BELLAIRE, Texas 77401",(713) 201-2938,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024026123,
Park Loop Trail (Segment 1A),TABS2024026072,Park Loop Trail (Segment 1A),"5533 Squires Drive, The Colony, TX 75056",Denton,1/6/2025,6/9/2025,"$693,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Construction of two 10-ft wide concrete shared-use trails for a total length of approximately 1,850 LF for the City of The Colony, TX.","18,792 ft 2",City of The Colony,"6800 Main Street, The Colony, Texas 75056",(972) 624-3956,Halff,"3803 Parkwood Blvd #800, Frisco, Texas 75034",(214) 937-3938,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024026072,
Burger King - The Colony Renovation,TABS2024026068,Burger King,"3700 Main St., The Colony, TX 75056",Denton,8/20/2024,9/10/2024,"$202,777",Renovation/Alteration,"This project is privately funded, on private land for private use.","Exterior and Interior Finishes Renovation, Re layout of seating, servery counter and service area (3953.00 SF)","3,953 ft 2",Armaan Dossani,"520 E Northwest Highway #100, Grapevine, Texas 76051",(817) 442-1159,RA Lumbao Architects,"121 Lebovic Ave. #C-04, Toronto, Ontario M1L0J2",4-162-88--8831,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024026068,
Fox House Bar & Grill,TABS2024026056,Fox House,"101 Castle Hills Dr. Suite 102, Lewisville, TX 75056",Denton,9/2/2024,10/31/2024,"$700,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvements to existing shell lease space for a Bar and Grill,"4,356 ft 2",SEC CHD LLC,"4400 State Hwy 121 Suite 900, Lewisville, Texas 75056",(972) 410-6500,"Simmons Architects, LLC","103 Bob White Avenue, Weatherford, Texas 76086",(972) 523-9179,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024026056,Rafiq Virani
Stretch Zone TC,TABS2024025898,Trophy Club Town Center,"2240 TX-114, Trophy Club, Trophy Club, TX 76262",Denton,9/30/2024,1/6/2025,"$175,000",New Construction,"This project is privately funded, on private land for private use.","First time finish-out of a new 1,282 GSF suite located within Trophy Club Town Center, for a new business-retail space for new tenant: Stretch Zone","1,282 ft 2","TROPHY CLUB TOWN CENTER, LLC","7501 Inwood, Dallas, Texas 75209",214.559.4840,"the High-Line Group, llc.","Box. 820582, North Richland Hills, Texas 76182",(405) 410-1131,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024025898,Gavin Bales
Coyote Ridge and Furneaux Creek Drainage Improvements,TABS2024025892,Coyote Ridge and Ferneaux Creek,"W Hebron Pkwy, Carrollton, TX 75010, Carrollton, TX 75010",Denton,8/12/2024,5/30/2025,"$1,444,939",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",Drainage Improvements along Coyote Ridge and for Freneaux Creek. ,"3,000 ft 2",City of Carrollton,"1945 E Jackson Road, Carrollton, Texas 75006",972-466-3206,Gresham Smith,"500 North Akard Street, Suite 3210, Dallas, Texas 75201",(214) 366-6523,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024025892,
Woodlake Lake Enhancements,TABS2024025881,Woodlake Lake,"East Peters Colony at Paxton Drive, Carrollton, TX 75007",Denton,8/12/2024,8/29/2025,"$3,805,500",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","The renovation and construction of a park with programming and lake enhancements including but not limited to pavilion, kayak launch platform, concrete step terracing, concrete planter terracing, vehicular parking, sidewalk and trail concrete paving.","108,900 ft 2",City of Carrollton,"1945 E Jackson Road, Carrollton, Texas 75006",972-466-3206,MESA,"2001 North Lamar Street, Suite 100, Dallas, Texas 75202",(214) 871-4403,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024025881,
Krum City Hall,TABS2024025876,City Hall,"310 W. McCart St., Krum, TX 76249",Denton,8/1/2024,4/1/2025,"$700,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Interior renovation to an existing two story structure. ,"5,750 ft 2",City of Krum,"146 McCart, Krum, Texas 76249",(940) 398-7304,MKOA LLC,"1220 Kendolph Dr., Denton, Texas 76205",940-331-5237,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024025876,
Integrity Urgent Care - Sanger,TABS2024025865,Integrity Urgent Care,"500 S. Stemmons Fwy, Sanger, TX 76266",Denton,8/15/2024,12/15/2024,"$1,400,000",New Construction,"This project is privately funded, on private land for private use.",CONSTRUCTION OF A NEW 3003 SF MEDICAL WALK IN CLINIC. ,"3,003 ft 2",PALM DEVELOPMENT PARTNERS,"23134 Hwy 22 N., Yuma, Tennessee 38390",(731) 217-6613,Sudbury Design Services,"20 Scarlet Oak Cove, Jackson, Tennessee 38305",(731) 343-5248,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024025865,Kerstin Olson
Slyde's Lantana,TABS2024025864,Slyde's Car Wash,"7120 Justin Rd., Lantana, TX 76226",Denton,2/1/2024,6/1/2025,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","~5,000 SF of Site Improvements only. Demolition of existing vacuum canopy, dumpster/equipment enclosures. Construction of new vacuum canopies, dumpster/equipment enclosures, and a pergola. ","5,000 ft 2",Joe Fawaz,"6105 Southbridge Parkway, Parker, Texas 75002",(972) 697-8788,A Plus Design Group,"2653 Sagebrush Dr. #200, Flower Mound, Texas 75028",972-724-4440,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024025864,
The Learning Experience,TABS2024025838,The Learning Experience,"1195 W. FM  3040, Lewisville, TX 75067",Denton,11/1/2024,7/1/2025,"$3,500,000",New Construction,"This project is privately funded, on private land for private use.","10,000 SF single story daycare facility with 5,358 SF exterior playground.","5,358 ft 2","Lewisville ELC, LLC","9635 Maroon Circle Suite 125, Englewood, Colorado 80112",(303) 210-1948,"Boduch Design Group, Inc.","4969 South Alkire Street, Morrison, Colorado 80465",(303) 901-0720,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024025838,
PONYTAIL,TABS2024025815,THE GRAND PLAZA CENTER,"2225 OLD DENTON RD. #255, Carrollton, TX 75006",Denton,9/1/2024,11/30/2024,"$70,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",SET UP THE HAIR SALON,"1,300 ft 2","Kay Jin, CEO","2225 Old Denton Dr., Carrollton, Texas 75006",972-898-8447,JWK,"4128 BEACON ST., FLOWER MOUND, Texas 75028",972.979.3962,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024025815,CHUN SUK PARK
Cook Children's Medical Center - Prosper - Level 03 - NICU,TABS2024025776,Cook Children's Medical Center - Prosper,"4100 W. University Drive, Prosper, TX 75078",Denton,10/10/2024,9/4/2025,"$17,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Finish out of a shell floor to create a NICU unit. Additional office space and conference rooms will be constructed as well. ,"34,650 ft 2",Cook Children's Medical Center,"801 7th Avenue, Fort Worth, Texas 76104",(682) 885-4021,HKS,"1227 Magnolia Ave Suite 200, Fort Worth, Texas 76104",(817) 231-7172,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024025776,
The Rackhouse,TABS2024025771,The Rackhouse,"4847 Main Street, The Colony, TX 75056",Denton,2/22/2022,8/30/2024,"$1,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovate inside of building by rebuilding walls all electric and HVAC. Install fire system, extend indoor seating area and create upstairs patio and dining area. Install wheelchair lift for access to upstairs dining. Renovate kitchen area","11,250 ft 2","Six Top Real Estate Group, LLC","5603 Hillview Court, McKinney, Texas 75072",(214) 726-2646,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024025771,"Six Top Operating Company, LLC"
Storage Addition,TABS2024025742,South Frisco Village,"2930 Preston Rd. #500, Frisco, TX 75034",Denton,9/9/2024,9/30/2024,"$130,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Divide retail space with 2 walls. create 1 office with 2 walls. ,"6,400 ft 2","South Frisco Village SC, LP Vista Property Company","Vantage St, Dallas, Texas 75207",(214) 234-2570,West 16th Destign,"617 Green Meadows Ln., Ovilla, Texas 75154",214-801-4343,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024025742,Wes Sutton - Tarpley Music
227 Charles,TABS2024025732,227 Charles,"227 N Charles, Lewisville, TX 75057",Denton,9/23/2024,3/21/2025,"$300,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",Remodel and addition,"2,066 ft 2",CHARLES STREET RESOURCES LLC,"227 N Charles, Lewisville, Texas 75057",(817) 913-4699,WILLIAM PECK  ASSOC INC,"105 W MAIN ST, LEWISVILLE, Texas 75057",(972) 221-1424,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024025732,
