project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
The Village Church - Worship AVL Renovation,TABS2026013149,The Village Church,"2101 Justin Rd, Flower Mound, TX 75077",Denton,4/27/2026,3/31/2027,"$2,900,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior renovation of existing worship center for interior finishes, lighting, & technology improvements. ","17,250 ft 2",The Village Church,"2101 Justin Rd., Flower Mound, Texas 75028",972.537.1100,Parkhill,"5844 John Hickman Pkwy., Ste. 500, Frisco, Texas 75034",972.987.1670,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013149,
Legacy ER & Urgent Care Frisco West,TABS2026013110,Legacy ER & Urgent Care Frisco West,"Block A Lots 23-24 Frisco Market Center, Legacy Dr, Frisco, TX 75013",Denton,4/15/2026,5/1/2027,"$11,600,000",New Construction,"This project is privately funded, on private land for private use.","12,800 SF single story freestanding emergency medical care facility including 12 exam rooms, 1 multi-exam, 1 triage and a fast track urgent care suite","12,800 ft 2",Legacy Parent Inc.,"5700 Granite Parkway, Suite 455, Plano, Texas 75024",(469) 399-5003,"Earl Swensson Associates, Inc.","1033 Demonbreun St. Suite 800, Nashville, Tennessee 37203",(615) 969-9597,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013110,
Bahama Bucks #1391 - Aubrey,TABS2026013107,Bahama Bucks,"500 Pine Ridge Street Suite 100, Aubrey, TX 76227",Denton,4/16/2026,8/10/2026,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",1st gen tenant finish out of an existing lease space,"1,779 ft 2",Aubrey 377 Investments LLC,"4433 Punjab Way Ste 301,, Frisco, Texas 75033",469-252-1261,Fusion-AE,"6201 Campus Cirlce Dr E, Irving, Texas 75232",(469) 579-2227,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013107,
Proposed Shell Restaurant | OFFICE DEVELOPMENT,TABS2026013068,Proposed Shell Restaurant | OFFICE DEVELOPMENT,"307 South Oak St., Roanoke, TX 76262",Denton,6/1/2026,10/1/2027,"$2,400,000",New Construction,"This project is privately funded, on private land for private use.","Two story shell restaurant (first floor), and shell offices (second floor)","5,000 ft 2",LynBa Holdings,"2205 Castillia Path, Westlake, Texas 76262",(631) 479-3830,Rashmi C Inc.,"4117 Old Pleasant Ridge Road, Arlington, Texas 76016",(817) 891-7018,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013068,
25028 - Alliance Embraer MRO,TABS2026013049,25028 - Alliance Embraer MRO,"220 Eagle Parkway, Fort Worth, TX 76177",Denton,3/15/2026,3/15/2027,"$55,300,000",New Construction,"This project is privately funded, on private land for private use.","New construction of 156,641 SF concrete tilt-up structure with conventional and pre-engineered structural assemblies hangar and MRO facility.","156,641 ft 2",Alliance Center No. 16 Ltd.,"9800 Hillwood Parkway Suite 300, Fort Worth, Texas 76177",(817) 224-6000,RGA Architects Inc.,"301 S. Oak Street Suite 100, Roanoke, Texas 76262",(817) 430-3382,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013049,
Texas Health Family Care,TABS2026012999,Harvest Acres Condominiums,"1610 COMMONS CIR, Northlake, TX 76226",Denton,3/10/2026,4/9/2026,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation to include architectural and MEP.,"7,757 ft 2",Texas Health Resources,"612 E. Lamar Blvd. Suite 190, Arlington, Texas 76011",(214) 205-5291,"Thiel & Team, Inc.","700 North Carroll Ave. Suite 100, Southlake, Texas 76092",(405) 537-3928,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012999,James Vu
Spaw Suites,TABS2026012988,High Country Business Park PH 2 BLK 1 LOT 1,"2501 E. Hebron Pkwy Ste 200, Carrollton, TX 75010",Denton,2/17/2026,4/14/2026,"$63,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","interior remodel 1943 SF-adding a wall to create a new room, removing flooring and staining concrete, adding plumbing","1,943 ft 2",Ice Investments LLC (588843),"2501 E. Hebron Pkwy, Ste 100, Carrollton, Texas 75010",(866) 304-6801,Medina Design & Consultants,"4101 West Green Oaks Suite 305-189, Arlington, Texas 76016",817-903-3428,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012988,Hannah Weiss
Dogtopia Denton TX,TABS2026012924,Colorado Square,"2311 Colorado Blvd, Suite 103, Denton, TX 76205",Denton,5/4/2026,7/27/2026,"$490,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",tenant fit out to convert existing tenant space to a dog day care facility ,"7,153 ft 2",Colorado Square J/V,"3102 Maple Ave Suite 500, Dallas, Texas 75201",(214) 720-6627,QSR and R,"584 Bellerive Road Suite 3D, Annapolis, Maryland 21409",(585) 613-2558,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012924,Ronnie Howell
QuikTrip #927 Fryer Project,TABS2026012920,QuikTrip #927,"1701 S State Hwy 121 Bus, Lewisville, TX 75067",Denton,7/5/2026,7/20/2026,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Includes reorganization of existing kitchen equipment and addition of new fryer units. Project 300sf,300 ft 2,QT SOUTH LLC,"4705 S 129th East Ave., Tulsa, Oklahoma 74134",(945) 455-6426,"Daniel D Filuk, Architect","1747 E. MORTEN AVE SUITE 111, PHOENIX, Arizona 85020",(602) 234-1868,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012920,
Winn Ridge First Responders Park,TABS2026012786,Winn Ridge First Responders Park,"SE corner of Winn Ridge Blvd. & Ashlynn Cir, Aubrey, TX 76227",Denton,7/1/2025,2/27/2026,"$1,200,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Playground, dog park, and seating area. Sidewalks connecting between pavilion and park elements. Planting and irrigation added to the park. ","10,000 ft 2",City of Aubrey,"107 S. Main Street, Aubrey, Texas 76227",(469) 678-1684,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012786,
GOFO AUTOMATED SORTING SYSTEM INSTALLIATION,TABS2026012741,-,"401 W VISTA RIDGE MALL DR, Lewisville, TX 75067",Denton,3/30/2026,5/30/2026,"$800,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR REMODEL OF CONSTRUCTION AND WORK SPACE AREA ,"55,461 ft 2",US ELOGISTICS SERVICE CORP,"401 W VISTA RIDGE MALL DR, LEWISVILLE, Texas 75067",(972) 884-9207,AMOI GROUP,"8750 N CENTRAL EXPRESSWAY #STE. 800, DALLAS, Texas 75231",(972) 908-9558,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012741,
Brakes Plus,TABS2026012728,Brakes Plus,"NWC of FM55 and Acker Street, Sanger, TX 75219",Denton,4/2/2026,2/20/2027,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.",Ground up construction of an auto service facility,"4,950 ft 2",Sanger Retail LTD,"4143 Maple Avenue #325, Dallas TX, Texas 75219",214403663,ARCODEV ARCHITECTS PC,"45 Spyglass drive, Littleton, Colorado 80123",303-881-8925,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012728,
