project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,project_url,design_name,design_address,design_phone
School of Rock Prosper,TABS2024012318,Westside Shopping Center Prosper TX,"5600 W. University Dr., Suite 70, Prosper, TX 75071",Denton,3/25/2024,6/28/2024,"$380,000",New Construction,"This project is privately funded, on private land for private use.","Finish Out Leased Space for New School of Rock consisting of 6 Lesson Rooms, 3 Rehearsal Rooms, 2 Drum Rooms, 1 Lobby, 1 Student Lounge, 2 Bathrooms, 1 storage closet and 1 IT closet.","2,310 ft 2",Regent XNG LLC,"310 San Marcos Dr., Irving, Texas 75039",(302) 494-3699,Justin Brannan,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024012318,,,
Elida Beauty,TABS2024012265,TIGI Linea,"1655 Waters Ridge dr., Lewisville, TX 75057",Denton,2/21/2024,4/30/2024,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Remodel of portion of Elida Beauty's current office space. The space is in fair condition and renovation will consist of ceilings, lighting, walls and flooring refresh. ","8,600 ft 2",Lauren Taylor Young,"2100 Mckinney Ave. Suite 700, Dallas, Texas 75201",(205) 837-8427,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024012265,Perkins&Will,"2218 Bryan St Suite 200, Dallas, Texas 75201",(214) 283-8739
DFW Thinset Plant,TABS2024012245,DFW Thinset Plant,"740 Hennrietta Creek Road, Roanoke, TX 76262",Denton,8/1/2024,8/1/2025,"$21,600,000",New Construction,"This project is privately funded, on private land for private use.",Development of the Site and Construction of Office and Production Facility,"123,719 ft 2","UMS Property, LLC","194 Pleasant Ridge Road, Plattsburg, New York 12901",(518) 324-3444,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024012245,Alliance Architects,"1600 North Collins Blvd. Suite 1000, Richardson, Texas 75080",(942) 233-0400
Qalam Level 1 Office Addition,TABS2024012222,Qalam Institute,"4200 International Parkway, Carrollton, TX 75007",Denton,3/1/2024,4/15/2024,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Office addition,"1,420 ft 2",Qalam Institute,"4200 International Parkway, Carrollton, Texas 75007",(301) 343-5757,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024012222,Sookoor Design Studio,"10425 Aledo  Drive, Dallas, Texas 75228",(214) 228-3789
1st Floor Restrooms,TABS2024012199,The Terraces at Solana - Building 5,"1500 Solana Blvd., Westlake, TX 76262",Denton,2/26/2024,4/26/2024,"$144,006",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of existing restrooms for capital improvements,550 ft 2,"Sol Westlake, LP","8700 Bryn Mawr Avenue, Suite 130N, Chicago, Illinois 60631",(312) 424-3993,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024012199,Entos Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222
"Weider Health and Fitness, Inc.",TABS2024012193,The Terraces at Solana - Building 5,"1500 Solana Blvd. Suite 5125, Westlake, TX 76262",Denton,2/26/2024,4/26/2024,"$367,352",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement ,"4,721 ft 2","Sol Westlake, LP","8700 Bryn Mawr Avenue, Suite 130N, Chicago, Illinois 60631",(312) 424-3993,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024012193,Entos Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222
Rumit Pizza LLC - dba Little Caesars Pizza,TABS2024012189,Roanoke Center,"610 Byron Nelson Blvd, Suite 106, Roanoke, TX 76262",Denton,3/22/2024,6/30/2024,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Finish out fast food Restaurant,"1,650 ft 2",GLKZ Properties LLC,"PO Box 980, Aledo, Texas 76008",817-447-8900,Mitul Gohel,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024012189,Advanced AC & Engineering,"409 Windward Drive, Murphy, Texas 75094",469-408-8885
7555-501 DFW2,TABS2024012184,7555,"15101 N Beach Street, Fort Worth, TX 76262",Denton,3/4/2024,5/10/2024,"$963,741",Renovation/Alteration,"This project is privately funded, on private land for private use.",The addition of automatic gate arms at the existing truck guard house located at an existing distribution facility. Boring Conduit from gate arms back to guard house. Installing bollards around existing generator and at associate building entrance,774 ft 2,Alliance Center North NO 2 LTD,"PO Box 8050 MS 0555, Bentonville, Arkansas 72712",(817) 224-6000,Bucky Bailess,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024012184,Manhard Consulting,"12225 Greenville Ave. Suite 1000, Dallas, Texas 75243",(732) 546-2656
RAYZOR RANCH MARKETPLACE BUILDING F1,TABS2024012181,RAYZOR RANCH MARKETPLACE BUILDING F1,"2610 W UNIVERSITY DR, DENTON, TX 76207, Denton, TX 76207",Denton,4/29/2024,10/16/2024,"$1,576,016",New Construction,"This project is privately funded, on private land for private use.","5,292 SF, TYPE 2B CONSTRUCTION SHELL BUILDING. NO SPRINKLER. STEEL FRAME WITH CMU INFILL. ","5,292 ft 2","RAYZOR RANCH MARKETPLACE ASSOCIATES, LLC","4500 BISSONNET ST, SUITE 200, BELLAIRE, Texas 77401",(713) 693-1400,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024012181,BOUCHER DESIGN GROUP,"6802 MAPLERIDGE ST, SUITE 200, BELLAIRE, Texas 77401",(713) 785-3644
SWIG - Lantana TX (McMakin Rd),TABS2024012161,SWIG,"NWC of F.M. 407 & Jeter Road, Lantana, TX 76226",Denton,8/26/2024,12/9/2024,"$800,000",New Construction,"This project is privately funded, on private land for private use.",New SWIG drinks ground up Modular building with Drive-Thru,700 ft 2,NewQuest Properties,"8827 W. Sam Houston Parkway N., Suite 200, Houston, Texas 77040",(281) 477-4371,Jordan Hill,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024012161,Core States Group,"135 Water Street, Suite 201, Naperville, Illinois 60441",(224) 585-3955
RnR Frisco,TABS2024012101,Westside Market,"5480 FM 423, Frisco, TX 75036",Denton,4/29/2024,7/1/2024,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Upfit of children's gym and learning center.,"3,501 ft 2","FLST, Ltd. & FLSS, Ltd., Texas Limited Partnerships","PO Box 190746, Dallas, Texas 75219",(214) 802-6474,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024012101,,,
GST,TABS2024012064,Vista South,"609 E. St Hwy 121 Suite 100, Coppell, TX 75019",Denton,4/25/2024,8/30/2024,"$180,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of existing office space,600 ft 2,Nuveen,"2300 N Field St. Suite 1650, Dallas, Texas 75201",214-954-3300,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024012064,,,
Prime Office Warehouses Finish OUt,TABS2024012031,Prime Office Warehouses,"2601 SH 121, Bldg 1, Suite 101, Lewisville, TX 75056",Denton,3/15/2024,6/1/2024,"$324,500",New Construction,"This project is privately funded, on private land for private use.",finish out within existing building 1 shell,"6,490 ft 2",Mallik Gilakattula,"3220 Prentiss Ln, Leander, Texas 78641",(512) 761-8025,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024012031,"Chris Rador, Architect, Inc.","1101 WESTWOOD DR, Plano, Texas 75075",(972) 985-3833
Great American Cookie / Marble Slab Creamery,TABS2024011936,Aura at The Realm,"101 Castle Hills Dr, Lewisville, TX 75010",Denton,3/1/2024,6/30/2024,"$280,000",New Construction,"This project is privately funded, on private land for private use.",Retail build out,"1,600 ft 2","SEC CHD, LLC","4400 State Highway 121, Ste 900, Lewisville, Texas 75056",(214) 546-2622,Aliman Sultan,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011936,Sage Drafting And Design,"PO Box 117510, Carrollton, Texas 75011",(970) 331-4901
CHINCHIURIN,TABS2024011916,CHINCHIURIN,"2225 OLD DENTON RD #STE. 320, Carrollton, TX 75006",Denton,6/1/2024,12/31/2024,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR REMODEL ,"1,909 ft 2",GRAND PLAZA CENTER LLC,"4567 PONY CT, CARROLLTON, Texas 75010",(901) 651-4501,DAT NGUYEN,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011916,BEAR DESIGN BUILD,"2965 VILLA CREEK DR, DALLAS, Texas 75234",(469) 682-7038
CHICKONUT,TABS2024011915,CHICKONUT,"1000 W ELDORADO PKWY #STE. 800, Little Elm, TX 75068",Denton,6/1/2024,12/31/2024,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR RENOVATION ,"1,496 ft 2",SARAYU INVESTMENTS LLC,"4433 PUNJAB WAY #STE. 301, FRISCO, Texas 75033",(469) 536-8695,ANEELA VAVILLA,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011915,BEAR DESIGN BUILD,"2965 VILLA CREEK DR, DALLAS, Texas 75234",(469) 682-7038
Proline Office Building,TABS2024011830,Proline Office Building,"9501 Swafford Rd., Justin, TX 76247",Denton,3/15/2024,10/15/2024,"$350,000",New Construction,"This project is privately funded, on private land for private use.",2001 sq ft office Building. ,"2,002 ft 2",Norris Land Development LLC,"9501 Swafford Rd, Justin, Texas 76247",(817) 228-8675,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024011830,,,
