project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
STELLA HAVEN,TABS2025008349,STELLA HAVEN CLUB AREA,"TEASLEY LANE & SUNDOWN BLVD, Denton, TX 76210",Denton,3/15/2025,6/15/2026,"$960,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",COMMUNITY AREA IN MULTIFAMILY BUILDING,"5,200 ft 2",STELLA HAVEN LLC,"10010 N CAPITAL OF TEXAS HWY #519, AUSTIN, Texas 78759",(830) 330-0762,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008349,,,,
Stony Store - Phase 2,TABS2025008329,Stony Store,"317 W. Mulberry Street., Denton, TX 76201",Denton,4/1/2025,10/1/2025,"$275,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of an existing 800 sf historic structure, and the construction of a new accessible ramp.",800 ft 2,"Denton County, TX","750 S. Mayhill Road, Denton, Texas 76208",(940) 349-3290,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008329,"Brandstetter Carroll, Inc.","100 W. Mulberry, Denton, Texas 76201",469-941-4926,
"7-Eleven #42719 Krugerville, TX",TABS2025008320,"7-Eleven #42719 Krugerville, TX","SEC W. US 377 & Stewart Rd., Krugerville, TX 76227",Denton,4/1/2025,10/1/2025,"$1,200,000",New Construction,"This project is privately funded, on private land for private use.",Construction of a ground up one story convenient store with fuel canopy. Site and grading work ,"4,824 ft 2","Schaffer Construction - Krugerville, SEI","5700 GRANITE PARKWAY, 940, PLANO, Texas 75024",(404) 434-4485,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008320,Dimension Group,"10755 Sandhill Rd, Dallas, Texas 75238",(214) 343-9400,CANDACE BUONO
Embree Infrastructure,TABS2025008283,Embree Infrastructure,"124 McMakin Road, Bartonville, TX 76226",Denton,2/3/2025,7/31/2025,"$2,833,937",New Construction,"This project is privately funded, on private land for private use.",Infrastructure for Commercial Development,"296,426 ft 2","Embree Development Group, INC","124 McMakin Road, Bartonville, Texas 76226",(512) 819-4881,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008283,"The John R. McAdams Company, Inc.","111 Hillside Drive, Lewisville, Texas 75057",(936) 668-2230,
CLASSIC COLLISION - DENTON,TABS2025008236,CLASSIC COLLISION - DENTON,"3008 S INTERSTATE 35 E, Denton, TX 76210",Denton,2/28/2025,8/29/2025,"$650,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","RENOVATION OF AN EXISTING 15,000 SF BUILDING TO ACCOMMODATE AN AUTO COLLISION CENTER WITH CUSTOMER RECEPTION AREA, OFFICES, RESTROOMS AND BODY REPAIR SHOP.","15,000 ft 2","6S DEVLOPMENT, LLC","18333 PRESTON RD, #500, DALLAS, Texas 75252",(817) 505-8117,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008236,,,,
Elite Elm Dental,TABS2025008199,Elite Elm Dental,"305 E. Eldorado Pkwy, Little Elm, TX 75068",Denton,1/22/2024,5/2/2025,"$243,000",New Construction,"This project is privately funded, on private land for private use.",interior finish out of empty shell,"1,685 ft 2",TwoBricks Partners LLC.,"2472 Twin Oaks Dr., Little Elm, Texas 75068",(469) 544-2393,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008199,,,,Shanthala Reddy
Oasis at Sanger,TABS2025008189,Oasis at Sanger,"McReynolds Road, Sanger, TX 76266",Denton,3/3/2025,12/3/2025,"$10,000,000",New Construction,"This project is privately funded, on private land for private use.",New Multifamily,"99,835 ft 2",Oasis Equity Group,"2220 Coit Road Suite 480-214, Plano, Texas 75075",(214) 310-9296,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008189,"East Star Design, LLC","PO Box 53, Forney, Texas 75126",(972) 200-7340,
Roots Renewal Ranch,TABS2025008130,Roots Renewal Ranch,"819 Indian Trail, Argyle, TX 76226, Argyle, TX 76226",Denton,1/1/2025,1/1/2026,"$625,450",New Construction,"This project is privately funded, on private land for private use.","The enclosure of 210 SF of existing outdoor covered patio. The addition of 4 counselor cottages, as well as a bathroom cottage, the addition of gravel parking, widened drive, and corrected ADA parking. As well as grading and stormwater management.","42,000 ft 2",Brentcare Behavioral Health,"216 Centerview Drive Brentwood, TN 37027, Brentwood, Tennessee 37027",(615) 591-1998,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008130,,,,
Chick-fil-A #00879 Vista Ridge Village,TABS2025008106,Chick-fil-A,"483 E Round Grove Rd, Lewisville, TX 75067",Denton,5/3/2025,10/2/2025,"$2,900,000",New Construction,"This project is privately funded, on private land for private use.",Demolition of existing site and building. New construction of both site & building construction,"4,588 ft 2",Chick-fil-A,"5200 Buffington Road, Atlanta, Georgia 30349",(404) 765-8000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008106,MAYSE & ASSOCIATES,"14881 Quorum Dr Ste 800, Dallas, Texas 75254",(972) 386-0338,
Josey & Parker,TABS2025008096,Starbucks,"4835 N. Josey Lane, Carrollton, TX 75010",Denton,4/1/2025,4/15/2025,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Reno of existing Starbucks including minor wall framing, casework, finishes, electrical, minor mechanical, & plumbing work. 2,225sf","2,225 ft 2",Huffman Realestate,"1618 Rogers Rd, Fort Worth, Texas 76107",(817) 296-6455,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008096,"Design Forum Architects, Inc.","2056 Byers Road, Miamisburg, Ohio 45342",(844) 804-7700,Kathy Travis - Starbucks
YOHE SUSHI RESTAURANT,TABS2025008087,-,"2440 I-35 E #STE. 200, Denton, TX 76205",Denton,1/15/2025,9/15/2025,"$450,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR RENOVATION ,"7,405 ft 2",2440 I-35E REALTY LLC,"538 HAGGARD ST #STE. 412, PLANO, Texas 75074",(972) 999-6455,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008087,,,,
EMB Fire Station,TABS2025007970,Fire Station 512,"3850 Dale Earnhardt Way, Northlake, TX 76262",Denton,1/29/2025,7/14/2025,"$3,500,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",New manufactured building and construction of new site.,"5,184 ft 2",Denton County ESD 01,"511 S. Gibbons Rd, Argyle, Texas 76226",940-464-7102,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007970,Martinez Architects,"1701 W. Northwest Hwy, Suite #100, Grapevine, Texas 76051",281-800-1023,
FXG Hardening North Fort Worth,TABS2025007866,FedEx Ground,"2701 Texas Longhorn Way, Fort Worth, TX 76177",Denton,3/1/2025,5/30/2025,"$345,080",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Security Hardening for the security building.,"1,800 ft 2",MREIC Fort Worth TX LLC,"255 Eashington St., Ste. 270, Newton, Massachusetts 02458",(469) 709-2455,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007866,"Cortland Morgan Architect, AIA","711 N. Fielder Road, Arlington, Texas 76012",(817) 635-5696,
