project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,project_url,design_name,design_address,design_phone
Topolinos Pizzeria,TABS2026017377,BBD Providence Village Partners,"1605 Main St. #110, Providence Village, TX 76227",Denton,4/20/2026,8/1/2026,"$400,000",New Construction,"This project is privately funded, on private land for private use.","HVAC,plumbing,new demising walls and electrical followed by interior finish out and flooring","1,700 ft 2",BBD Providence Village Partners LLC,"5600 Tennyson Parkway, Suite 190, Plano, Texas 75024",(214) 277-4830,Abhijith Reddy Katkam,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017377,,,
"7-Eleven 42827 Aubrey, TX",TABS2026017358,"7-Eleven 42827 Aubrey, TX","Frontier Parkway & FM 1385, Aubrey, TX 76227",Denton,8/3/2026,3/31/2027,"$1,200,000",New Construction,"This project is privately funded, on private land for private use.",New construction of a one story convenient store with fueling services,"4,746 ft 2","Bryan Road Retail Partners, LP","1201 N. Riverfront Blvd, Dallas, Texas 75207",(214) 394-4109,Clint Ellis,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017358,The Dimension Group,"10755 Sandhill Rd, Dallas, Texas 75238",(214) 343-9400
Intellirent Tenant Improvements,TABS2026017344,Champion Crossing,"3532 TX 114, Fort Worth, TX 76177",Denton,4/30/2026,7/1/2026,"$3,196,376",Renovation/Alteration,"This project is privately funded, on private land for private use.",Existing TI remodel to provide new office area. Scope of remodel will provide new storefront entrance on north tilt wall and infill some existing  dock doors on south tilt wall. ,"62,624 ft 2",Champions Circle Property Owners LP,"600 Las Colinas Blvd E Ste 2100, Irving, Texas 75039",(972) 444-2177,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017344,Meinhardt & Associates Architects PLLC,"14643 Dallas Parkway Suite 636, Dallas, Texas 75254",(972) 980-8980
Koons Fuller Family Law,TABS2026017338,518 Acme Ltd.,"320 West Eagle Drive Suite 200, Denton, TX 76201",Denton,4/13/2026,5/29/2026,"$430,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior tenant office finish out in a multi-tenant office lease building,"6,611 ft 2",518 Acme Ltd / Carroll Eagle Partners Ltd.,"531 N. Locust St., Denton, Texas 76201",(512) 656-4201,Charla Bradshaw,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017338,Outside The Box Design Services,"9443 Sherwood Glen, Dallas, Texas 75228",(214) 367-7333
European Wax Center,TABS2026017334,Harvest Town Center,"1050 Market Way Suite 112, Haslet, TX 76226",Denton,5/18/2026,7/27/2026,"$277,000",New Construction,"This project is privately funded, on private land for private use.",Finish out of existing shell space.  No exterior or site work included.,"1,366 ft 2",Harvest Retail Partners LP,"9800 Hillwood Pkwy Suite 300, Fort Worth, Texas 76177",(817) 224-6000,Kishan Patel,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017334,Lokal Workshop LLC,"PO Box 531 - -, Haslet, Texas 76052",(903) 245-4324
Chick-fil-A #3981 - Spring Creek,TABS2026017275,Chick-fil-A,"7000 W Spring Creek Pkwy, Plano, TX 75024",Denton,6/13/2026,7/13/2026,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","New team member access door, Tormax Drive-thru Door, new split system HVAC and electric heater and new air curtain.",85 ft 2,Century 121 LLC,"PO Box 863975, Plano, Texas 75086",713.229.8585,Allison Regan,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017275,"Interplan, LLC","220 E Central Pkwy Suite 4000, Altamonte Springs, Florida 32701",(407) 645-5008
Saddlebrook,TABS2026017229,Saddlebrook,"1960 Post Oak Drive, Corinth, TX 76210",Denton,3/30/2026,4/1/2027,"$200,000",New Construction,"This project is privately funded, on private land for private use.",Sidewalk improvements for 97 single-family residential lot subdivision ,1 ft 2,Saddlebrook Owner LLC,"5430 LBJ Freeway Suite 1050, Dallas, Texas 75240",469-936-1695,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017229,Johnson Volk Consulting,"704 Central Parkway East Suite 1200, Plano, Texas 75074",972-201-3100
Great Clips,TABS2026017182,Harvest Town Center,"1046 Market Way 110, Argyle, TX 76226",Denton,4/15/2026,7/15/2026,"$120,000",New Construction,"This project is privately funded, on private land for private use.","Interior finish out 1,119 SF","1,119 ft 2",Harvest Retail Partners,"9800 Hillwood Parkway 300, Fort Worth, Texas 76177",(817) 224-6000,Atul Jagada,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017182,EMR Engineering & Design,"4236 Hwy 3630, Annville, Kentucky 40402",(606) 364-2886
Golf Spa,TABS2026017084,The Ridge West - Building 3,"6100 Cleveland Gibbs, Suite 100, Northlake, TX 76226",Denton,5/1/2026,12/1/2026,"$148,950",New Construction,"This project is privately funded, on private land for private use.",Tenant Interior Finish Out of Golf Simulation Club,"1,986 ft 2","CHL Investments I, Ltd.","421 W. 3rd Street, Ste 920, Fort Worth, Texas 76102",(817) 416-3981,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017084,Kline Hardin Architects,"1921 SH 121, Suite 250, Lewisville, Texas 75056",(972) 331-5699
121 Commerce - Demising Wall,TABS2026017067,121 Commerce Center,"1800 State Hwy 121, Grapevine, TX 76051",Denton,5/1/2026,8/1/2026,"$1,200,000",New Construction,"This project is privately funded, on private land for private use.",Demising wall within existing shell building,"272,160 ft 2",GTIS HIGHWAY 121 SPE,"787 SEVENTH AVE 50TH FL, NEW YORK, New York 10019",281-216-0051,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017067,Meinhardt & Associates,"14643 Dallas Parkway, Suite 636, Dallas, Texas 75254",(972) 934-5406
