project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
Lotte Logistic-Cafeteria Installation,TABS2026016143,Lotte Logistic-Cafeteria Installation,"221 North Western Blvd, Denton, TX 76207",Denton,4/30/2026,7/30/2026,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Partial Interior Renovation By Tenant,"3,000 ft 2",Gisu Jung,"221 North Western Blvd, Denton, Texas 76207",(972) 854-1850,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016143,,,,
Buona Beef - Rainbow Cone,TABS2026016131,Buona Beef Rainbow Cone,"5770 W UNIVERSITY DRIVE, Prosper, TX 75078",Denton,5/4/2026,1/31/2027,"$1,250,000",New Construction,"This project is privately funded, on private land for private use.","New construction of a Buona Beef - Rainbow Cone quick-service restaurant franchise. Scope includes new sitework including grading, landscaping, lighting, and pavement. New foundations and soil abatement, and new MEP systems throughout.","4,800 ft 2","RoundRock520, LLC","405 State Hwy 121 Bypass Suite C140, Lewisville, Texas 75067",(469) 455-1820,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016131,,,,
ROADSTER 34,TABS2026016123,ROADSTER 34,"3085 FM 2931, Aubrey, TX 76227",Denton,10/5/2026,10/29/2027,"$668,520",New Construction,"This project is privately funded, on private land for private use.","THE SCOPE OF THIS PROJECT IS THE DESIGN OF A ONE STORY BUILDING COMPRISES OF 5,571 S.F.  USED FOR CONVENIENCE STORE . PROVIDE ARCHITECTURAL, ELECTRICAL, PLUMBING, AND MECHANICAL FEATURES. ","5,571 ft 2",FM 2931 REAL ESTATE LLC,"222 PENNBRIGHT DR. STE.137, HOUSTON, Texas 77090",(281) 701-1295,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016123,MB&B ARCHITECTS AND ENGINEERS,"5300 HOLLISTER STE 402, HOUSTON, Texas 77040",(713) 370-8750,
23135C- Arhaus - Frisco,TABS2026016091,Arhaus / Fields West,"14400 Wentwood Ave, Frisco, TX 75003",Denton,2/1/2027,1/20/2028,"$8,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Exterior and Interior construction for a new Arhaus Furniture store. Main structural cage and Roof by shell Architect. +/-23,000SF","23,000 ft 2",Fields West Propco L.P.,"7901 Windrose Avenue Suite 2606, Plano, Texas 75024",(214) 473-9700,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016091,"RDL Architects, Inc.","21111 Chagrin Blvd Suite 110, Beachwood, Ohio 44122",(216) 752-4300,Abby Wimpsett
"HTeaO #591 - Fort Worth, TX",TABS2026015958,HTeaO,"US Highway 114 & Champions Parkway, Fort Worth, TX 76177",Denton,7/11/2026,1/11/2027,"$1,290,000",New Construction,"This project is privately funded, on private land for private use.","Construction of a new typical 1,957sf HTeaO Tea Bar with a 193sf cooler/freezer, a single lane drive-thru, and a single bay dumpster enclosure with all associated site work.","1,960 ft 2",Ladera FW LP,"5530 Purdue Ave, Dallas, Texas 75209",(691) 227-2408,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015958,Interplan LLC,"1 East 22nd Street Suite 400, Lombard, Illinois 60148",(630) 932-2336,"Tily Tea Company, LLC"
Messett Financial,TABS2026015827,1200 Flower Mound,"1200 Flower Mound Road, Flower Mound, TX 75028",Denton,4/13/2026,7/17/2026,"$260,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior finish out of a small single story office building,"4,895 ft 2",Stancoff Messett Properties LLC,"1013 Long Prairie Road Suite 102, Flower Mound, Texas 75022",(817) 840-5910,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015827,ENTOS Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,
Bella Vin Wine Bar,TABS2026015821,Justin Town Square Building 8B,"408 Justin Lane, Suite 100, Justin, TX 76247",Denton,6/1/2026,6/1/2027,"$306,765",New Construction,"This project is privately funded, on private land for private use.",Interior finish out of wine bar,"3,609 ft 2","JTS 2-8 B-C, Ltd","365 Miron, Suite A, Southlake, Texas 76092",(817) 416-3981,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015821,Kline Hardin Architects,"1921 SH 121, Suite 250, Lewisville, Texas 75056",(972) 331-5699,
CONFERENCE RENOVATION,TABS2026015804,TOYOTA MOTOR NORTH AMERICAN,"6565 HEADQUARTERS DR, Plano, TX 75024",Denton,6/15/2026,9/9/2026,"$676,199",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR TENANT RENOVATION IN AN EXISTING OFFICE BUILDING.,"3,600 ft 2",TOYOTA FINANCIAL SERVICES INC,"6565 Headquarters Dr, Plano, Texas 75024",(214) 656-0245,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015804,LPA,"1801 N Lamar St #150, Dallas, Texas 75202",(463) 899-5100,Mark Redford
Sushi Sakana,TABS2026015756,Sushi Sakana,"3245 Main St Ste.245, Frisco, TX 75034",Denton,4/27/2026,7/27/2026,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Remodeling By Tenant,"2,500 ft 2",James Park,"3245 Main St Ste.245, Frisco, Texas 75034",(214) 557-5817,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015756,,,,
Installation of Traffic Signals (CSJ: 0718-01-077),TABS2026015755,CSJ: 0718-01-077,"At Chaplin Drive, Fort Worth, TX 76247",Denton,5/1/2028,7/1/2028,"$56,600",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Install traffic signals, pedestrian elements and pavement markings.",840 ft 2,TxDOT District: Dallas,"4777 E. Highway 80, Mesquite, Texas 75150",(214) 320-6200,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015755,"Kimley-Horn & Associates, Inc.","801 Cherry Street, Suite 1300, Fort Worth, Texas 76102",(817) 335-6511,
