project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
AZURE SQUARE,TABS2026009152,AZURE SQUARE,"26553 East University Drive, Aubrey, TX 76227",Denton,1/15/2026,9/16/2026,"$2,024,532",New Construction,"This project is privately funded, on private land for private use.","14,780 sq/ft shell retail building.  Steel Construction","14,780 ft 2","Little Elm 380 Plaza, LLC","26553 E. University Drive, Aubrey, Texas 76227",(609) 401-9382,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009152,,,,
The Cage,TABS2026009150,The Cage,"14029 Friendship Rd, Pilot Point, TX 76258, Pilot Point, TX 76258",Denton,2/2/2026,6/30/2026,"$400,000",New Construction,"This project is privately funded, on private land for private use.",Batting Cage & Cricket/Baseball Training Facility,"6,000 ft 2",LOURDHUREDDY KOMMAREDDY,"14029 FRIENDSHIP RD PILOT POINT TX, Pilot point, Texas 76258",(309) 826-3625,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009150,,,,
Partners in Building Furst Ranch Model Home,TABS2026009149,Partners in Building Furst Ranch Model Home,"2009 Tupelo Trail, Argyle, TX 76226",Denton,2/1/2026,6/30/2026,"$850,000",New Construction,"This project is privately funded, on private land for private use.",New single family residential to be used as a model home,"5,191 ft 2",SPUR FURST RANCH DEVELOPMENT,"8433 Enterprise Cir Ste 100, Lakewood Ranch, Florida 34202",941.388.0707,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009149,,,,
7580 Snug Harbor Office Warehouse,TABS2026009097,7580 Snug Harbor Office Warehouse,"7580 Snug Harbor Circle, Hackberry, TX 75036",Denton,6/1/2026,12/31/2027,"$125,000",New Construction,"This project is privately funded, on private land for private use.",New Office Warehouse Building,"2,520 ft 2","Nest Tiny, LLC","11188 Windjammer Drive, Frisco, Texas 75036",(972) 800-1620,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009097,Davison Engineering,"405 Leslie Drive, Bryan, Texas 77802",(979) 575-8179,
7624 Snug Harbor Office Warehouse,TABS2026009096,7624 Snug Harbor Office Warehouse,"7624 Snug Harbor Circle, Hackberry, TX 75036",Denton,6/1/2026,12/31/2026,"$125,000",New Construction,"This project is privately funded, on private land for private use.",New Office Warehouse Building,"2,520 ft 2","Nest Tiny, LLC","11188 Windjammer Drive, Frisco, Texas 75036",(972) 800-1620,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009096,Davison Engineering,"405 Leslie Drive, Bryan, Texas 77802",(979) 575-8179,
A Bronx Slice,TABS2026009088,Frisco Crossing,"1525 US 380 Unit 400 Frisco TX, Frisco, TX 75033",Denton,1/2/2026,2/2/2026,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Alteration of existing restaurant to establish a new pizzeria,"1,705 ft 2","SEC 423/380, LTD.","211 N Stadium BLVD STE 2012 ,, Columbia, Missouri 65203",573-449-8323,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009088,Rittiluechai Architecture PC,"2060 N Collins BLVD STE 118, Richardson, Texas 75080",214-919-4414,Paul Kolaj
25099 - Lewisville 121 Business Park SW Remote Office,TABS2026009069,25099 - Lewisville 121 Business Park SW Remote Office,"1100 Spinks Road, Lewisville, TX 75067",Denton,12/30/2025,6/4/2026,"$583,122",New Construction,"This project is privately funded, on private land for private use.",New construction of a 4370 sf office,"4,370 ft 2",CAL TDC Lewisville 121 LLC,"1900 West Loop S Suite 1300, Houston, Texas 77027",(214) 886-7313,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009069,RGA Architects Inc.,"301 S. Oak Street Suite 100, Roanoke, Texas 76262",(817) 430-3382,
905 N oak street building 2,TABS2026009046,905 n oak street building 2,"905 n oak street roanoke tx, Roanoke, TX 76262",Denton,2/2/2026,4/1/2026,"$150,000",New Construction,"This project is privately funded, on private land for private use.",new commercial shell building,"3,500 ft 2",Bill Janacek,"PO box 262562, plano, Texas 75026",(972) 977-9164,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009046,,,,
Saratoga Phase 1 - Subdivision Public Sidewalks and Curb Ramps,TABS2026009023,Phase 1 Subdivision Public Improvements,"Northwest of FM 2931 and E Blackjack Rd, Aubrey, TX 76227",Denton,1/3/2024,12/29/2025,"$100,000",New Construction,"This project is privately funded, on private land for private use.","Project is privately funded for Public Right of Way easement. 5,500 s/f of PROW sidewalks and 4 curb ramps within a MUD District ROW. ","5,500 ft 2",550 Belmont Development LP,"2727 Routh Street, Dallas, Texas 75201",(214) 455-8759,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009023,,,,
FM 1385 (CSJ: 1315-01-037),TABS2026009003,CSJ: 1315-01-037,"From: North of Mustang Rd To: FM 455, Pilot Point, TX 76258",Denton,9/1/2031,12/1/2033,"$4,324,287",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",Widen and reconstruct from 2 lane urban undivided to 4 lanes divided (Ultimate 6 lanes). ,"432,291 ft 2",TxDOT District: Dallas,"4777 E. Highway 80, Mesquite, Texas 75150",(214) 320-6200,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009003,"Lina T. Ramey & Associates, Inc.","3320 Belt Line Road, Farmers Branch, Texas 75234",(214) 979-1144,
Medical City Denton - Sleep Rooms,TABS2026009002,Medical City Denton,"3535 S. I-35 E, Denton, TX 76210",Denton,1/12/2026,2/28/2026,"$80,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovate existing sleep rooms to create new configuration,"1,700 ft 2",Epic Development Inc,"3535 S. I-35 E, Denton, Texas 76210",(940) 205-6754,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009002,LBL Architects,"318 W Main St Suite 200, Arlington, Texas 76010",(817) 881-1581,
Medical City Denton - Sim Lab,TABS2026009001,Medical City Denton,"3535 S. I-35 E, Denton, TX 76210",Denton,1/12/2026,2/28/2026,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",renovate existing dr offices to new medical simulation lab,"3,000 ft 2",Epic Development Inc,"3535 S. I-35 E Suite 200, Denton, Texas 76210",(940) 205-6754,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009001,LBL Architects,"318 W Main St Suite 200, Arlington, Texas 76010",(817) 881-1581,
Canyon Falls Retaining Wall Repair,TABS2026008983,Canyon Falls Trail,"6950 Canyon Falls Drive, Northlake, TX 76226",Denton,1/30/2026,9/30/2026,"$143,045",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Reconstruction of concrete trail associated with trail-adjacent retaining wall repairs. 4,800 SF of ped. facilities","4,800 ft 2",Town of Northlake,"1500 Commons Circle, Ste. 300, Northlake, TX, 7622, Northlake, Texas 76226",940-242-5704,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026008983,"Halff Associates, Inc.","2601 Meacham Boulevard, Ste. 600, Fort Worth, Texas 76137",210-704-1382,
