project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
Hillside Lane Reconstruction,TABS2025003584,Hillside Lane,"901 Hillside Lane, Flower Mound, TX 75028",Denton,1/29/2024,10/31/2024,"$69,225",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Project consists of road reconstruction and includes replacement of sidewalks and pedestrian ramps,"11,000 ft 2",Town of Flower Mound,"2121 Cross Timbers Road, Flower Mound, Texas 75028",(972) 874-6302,Westwood,"4060 Bryant Irvin Road, Fort Worth, Texas 76109",817-412-7155,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003584,
Prime integrative dentistry,TABS2025003572,Prime integrative dentistry,"3909 long praire Rd. #100, Flower Mound, TX 75028",Denton,11/1/2024,3/1/2025,"$78,200",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior finish out,"1,794 ft 2",Minaxi Mirkal,"3909 Long Prairie Rd. #100, Flower mound, Texas 75028",(617) 838-8342,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003572,
Mosaic PH1A,TABS2025003548,N/A,"W Frontier Pkwy and Sunrise Lane, Prosper, TX 75078",Denton,10/4/2024,10/4/2025,"$6,000,000",New Construction,"This project is privately funded, on private land for private use.","17.38 AC Master planned community open space including trails, seating, lighting etc.","757,073 ft 2",Tellus Group,"130 N. Preston Road,  Suite 130, Prosper, Texas 75078",214-558-9133,TBG Partners,"2001 Bryan Street, Suite 1450, Dallas, Texas 75201",214-744-0757,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003548,
Action Behavior Center Little Elm - Savannah,TABS2025003437,Action Behavior Center Little Elm - Savannah,"26795 U.S. 380 Building 2, Little Elm, TX 75068",Denton,11/1/2024,11/30/2025,"$450,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","A 7,239 square-foot tenant finish-out project in an existing shell for Action Behavior Centers office and therapy clinic.","7,239 ft 2",380Gardenia LLC,"5613 Alpenrose Avenue, Frisco, Texas 75035",571-230-2408,Schwarz-Hanson Architects,"2627 Tillar Street, Suite 131, Fort Worth, Texas 76107",(817) 377-3600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003437,Connor Coleman
Lake Highlands Project,TABS2025003393,Lake Highlands Retail Building,"4774 Main Street, Lake Highlands, TX 75056",Denton,11/1/2024,11/28/2025,"$680,000",New Construction,"This project is privately funded, on private land for private use.",New Development of 3200 SF Retail/ Office Building ,"3,200 ft 2",Ivan Gonzalez,"4544 North Horseshoe Trail, The Colony, Texas 75056",(469) 352-3991,"Marshall Gage, LLC","207 E Virginia Suite 216, McKinney, Texas 75069",972-542-1222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003393,
Heartland Dental #SN2213099,TABS2025003366,Heartland Dental,"FM 720 & US HWY 380, Cross Roads, TX 76227",Denton,3/24/2025,8/1/2025,"$1,400,000",New Construction,"This project is privately funded, on private land for private use.",New ground up Dental Office utilizing VB construction.,"4,387 ft 2",Heartland Dental,"1200 Network Centre Drive, Effingham, Illinois 62401",(314) 330-2241,GPD Group Professional Corporation,"520 S. Main ST STE 2531, Akron, Ohio 44311",(330) 572-3617,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003366,
Cornerstone NTX,TABS2025003356,Cornerstone Christian Academy,"1107 S FM 156, Justin, TX 76247",Denton,11/1/2024,1/31/2025,"$174,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel of existing office facility to create new daycare facility,"5,128 ft 2",Downey Publishing,"1107 S FM 156, Justin, Texas 76247",(817) 797-0782,Staci Renfro Design,"577 Lake forest Dr., Coppell, Texas 75019",214-995-3212,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003356,Jason Cravey
Papa Ds,TABS2025003329,Whitworth Property,"311 N. 4th St Suite 100, Sanger, TX 76266",Denton,11/11/2024,4/28/2025,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Construction of a restaurant in an existing building.,"3,146 ft 2",WHITWORTH PROPERTIES LLC,"10000 Pollard Rd, Sanger, Texas 76266",(940) 391-5063,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003329,Diego Puga
Tribute Chelsea Green High Density - Amenity Center,TABS2025003305,Cove Bay Amenity Center,"1256 Rheims, The Colony, TX 75056",Denton,10/28/2024,6/16/2025,"$3,000,000",New Construction,"This project is privately funded, on private land for private use.","52,904 sf amenity center with pool, putting green, playground, pavilion, and restrooms.","52,904 ft 2",The Tribute Lakeside Golf & Resort Community,"320 W Main Street, Lewisville, Texas 75057",972-221-1199,TBG Partners,"2001 Bryan Street, Suite 1450, Dallas, Texas 75201",214-744-0757,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003305,
Roanoke Lofts,TABS2025003222,Roanoke Lofts,"1104 TX-114, Roanoke, TX 76262",Denton,12/15/2024,10/15/2026,"$50,000,000",New Construction,"This project is privately funded, on private land for private use.","293 luxury multifamily units, info center and commercial space.","244,660 ft 2",Leeds Residential Inc.,"11700 Preston Road, Suite 660, Dallas, Texas 75323",(972) 754-1024,Randall Kiespert LLC,"17963 State Hwy 64 West, Tyler, Texas 75704",(214) 522-8780,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003222,
