ProjectNumber,FacilityName,City,County,TypeOfWork,EstimatedCost,ProjectStatus,ProjectId,DataVersionId,ProjectName,ProjectCreatedOn,EstimatedStartDate,EstimatedEndDate,URL
TABS2026022639,8343 Gateway Dr,61,2061,9001,220000.0,3008,387f8df3-a05a-417e-9c0d-5a856119f21b,900001,Storage Shed,2026-06-11T13:21:26.58,2025-12-01T00:00:00,2026-05-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022639
TABS2026022598,"KAVEH GHODS, DDS",1727,2061,9001,323233.0,3008,b75e5c9c-9723-4c38-b267-00b3a0deb9b2,900001,GHODS,2026-06-11T10:05:20.39,2026-06-30T00:00:00,2026-09-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022598
TABS2026022573,Harvest Town Center,61,2061,9003,50000.0,3008,cdb575cb-1c5f-4862-9568-a618910388f6,900001,Gideon Math & Reading Argyle,2026-06-10T18:37:33.367,2026-01-05T00:00:00,2026-06-15T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022573
TABS2026022555,16441 Victory Circle LLC,606,2061,9002,578000.0,3008,67cc0dab-08f9-412c-b8ba-2e74c85f2625,900001,Nutribon,2026-06-10T16:06:34.383,2026-07-27T00:00:00,2026-08-07T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022555
TABS2026022550,Children's Building,586,2061,9001,6000000.0,3008,95371897-09fa-4786-913c-74b2d1ef1ce8,900001,Rockpointe Church Children's Building,2026-06-10T15:29:52.547,2026-11-02T00:00:00,2027-11-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022550
TABS2026022513,Robertson's Creek Shopping Center,586,2061,9002,222400.0,3008,7a865238-2c39-4041-8ef1-37bfcc00fdc6,900001,PT Solutions - Flower Mound,2026-06-10T12:20:23.203,2026-07-01T00:00:00,2026-09-07T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022513
TABS2026022502,GMR DENTON II INFIL,445,2061,9002,500000.0,3008,4a8112db-2cf1-4772-939c-a85628eeae91,900001,GMR DENTON II INFIL,2026-06-10T11:15:38.833,2026-07-15T00:00:00,2026-12-15T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022502
TABS2026022488,St Maximus Orthodox Church,445,2061,9003,400000.0,3008,c417a6a7-ebb1-44ed-b4c7-9313278ceee1,900001,St Maximus Orthodox Church,2026-06-10T10:09:02.947,2026-08-01T00:00:00,2027-03-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022488
TABS2026022477,Downing Middle School,586,2061,9002,636000.0,3008,c4295dbb-f1ae-4391-99fe-1c1cfb624e7f,900001,Downing MS Reno,2026-06-10T08:47:44.113,2026-06-15T00:00:00,2026-09-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022477
TABS2026022422,Lewisville ISD | Administration Center Renovation,985,2061,9002,1616161.0,3008,f3f77540-9563-4875-a175-5fc7069e5d23,900001,Lewisville ISD | Administration Center Renovation,2026-06-09T15:15:36.157,2026-06-15T00:00:00,2026-08-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022422
TABS2026022407,Legacy Christian Academy,623,2061,9001,1400000.0,3008,9db102c9-d161-42c5-810f-d08c3c713bfd,900001,Legacy Christian Academy - Parking Lot,2026-06-09T14:20:03.007,2026-06-09T00:00:00,2026-11-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022407
TABS2026022364,The UPS Store,269,2061,9002,70000.0,3008,7799410b-4b99-4d46-8fee-d52cb9786fde,900001,The UPS Store Carrollton,2026-06-09T09:34:17.76,2026-06-29T00:00:00,2026-07-29T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022364
TABS2026022343,Green Meadows - 3A,286,2061,9001,105000.0,3008,de1f1871-171f-4ac9-9771-6700d23012d6,900001,Green Meadows - 3A,2026-06-08T22:28:45.243,2025-04-28T00:00:00,2026-07-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022343
TABS2026022311,Panda Express,445,2061,9001,2000000.0,3008,d2c573a4-b682-4c31-9d13-5259f0ae2385,900001,Panda Express - Randall Street,2026-06-08T15:51:50.09,2027-06-03T00:00:00,2028-01-07T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022311
TABS2026022235,PASSION HEALTH PRIMARY CARE,75,2061,9001,179835.0,3008,60f364bb-5d4a-4a3e-8370-ac10bfb7601d,900001,CHENTHA,2026-06-08T08:16:26.647,2026-06-30T00:00:00,2026-09-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022235
