project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
SUZANNE & ZOE LLC,TABS2026019830,VP EMPIRE - FAMILY EVENT CENTER,"1941 PRESTON RD, Plano, TX 75093",Collin,5/8/2026,5/30/2030,"$60,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",FAMILY EVENT CENTER ENTERTAINMENT ,"4,950 ft 2",SUZANNE & ZOE LLC,"1941 PRESTON RD, PLANO, Texas 75093",(817) 307-9253,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019830,,,,
Shield AI TI,TABS2026019827,Star Business Park Bldg. 8B,"NE Corner of Corporate Dr. & Executive Dr., Frisco, TX 75078",Collin,6/1/2026,7/31/2026,"$400,000",New Construction,"This project is privately funded, on private land for private use.",New construction in existing building,"2,858 ft 2",Star Business Park LLC,"1 Cowboys Way, Frisco, Texas 75034",(214) 437-3653,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019827,,,,
Affluent Refresh,TABS2026019819,J.P.Morgan Chase Branch - LEGACY & LEBANON,"5375 Lebanon Rd, Frisco, TX 75034",Collin,7/24/2026,9/29/2026,"$294,822",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior refresh of 4,197 sf retail bank branch per Affluent program. Removal of existing non-load bearing partitions, associated finishes, and furniture. Replacement of light fixtures, new non-load bearing office walls, new furniture, millwork.","4,197 ft 2",BANC ONE MANAGEMENT CORP,"PO BOX 561305, Dallas, Texas 75356",614-623-3813,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019819,Gensler,"5005 Greenville Ave, Dallas, Texas 75206",214-273-1500,
"EWS DNT, LLC",TABS2026019804,"EWS DNT, LLC","4280 S DALLAS PKWY, Prosper, TX 75078",Collin,8/1/2026,2/28/2027,"$2,800,000",New Construction,"This project is privately funded, on private land for private use.",New Construction Retail Building,"8,077 ft 2","EWS DNT, LLC","3414 MIDCOURT RD STE 108, CARROLLTON, Texas 75006",(214) 492-9650,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019804,"JAW ARCHITECTS, INC","6115 CAMP BOWIE BLVD STE 200, FORT WORTH, Texas 76116",(817) 705-3387,
Frisco Chamber of Commerce,TABS2026019767,Patios on the Rail,"7511 Main Street,  Ste 200, Frisco, TX 75034",Collin,5/15/2026,9/15/2026,"$489,402",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of existing office suite.,"11,789 ft 2",Frisco Chamber of Commerce,"PO BOX 1074 FRISCO, TX 75034-1074, Frisco, Texas 75034",806-239-5452,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019767,Cresa,"1 Cowboys Way, Frisco, Texas 75034",(214) 674-0942,Karen Kim
"RSM Medical, PLLC",TABS2026019759,"Mateo Office Park, Building 11","8501 Wade Blvd, Suite 1140 (1100-400), Frisco, TX 75034",Collin,6/15/2026,8/31/2026,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel of existing Offices,"3,601 ft 2",Nazah LLC,"2814 Ranch Road, Sachse, Texas 75048",(903) 952-3061,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019759,"Demko Construction & Design, Inc.","4757 FM 2946, Emory, Texas 75044",(214) 632-1701,Mark More
Book Ministry,TABS2026019752,Book Ministry,"6312 Millie Way, Mckinney, TX 75070",Collin,6/1/2026,9/25/2026,"$3,000,000",New Construction,"This project is privately funded, on private land for private use.","A new facility for the Book Ministry composed of office space, a retail component, and affiliated storage and support spaces.","14,680 ft 2",Wood Patti P,"P.O. Box 1099, Rising Star, Texas 76471",(214) 802-9885,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019752,Parmadesign,"1712 Akard, Dallas, Texas 75215",(214) 735-2795,
"Walmart 2918.1007 - 730 W Exchange Pkwy Allen, TX",TABS2026019743,Walmart 2918.1007,"730 W Exchange Pkwy, Allen, TX 75013",Collin,1/1/2027,4/22/2027,"$2,895,477",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior and exterior remodel of an existing Walmart Supercenter. Clean, Prep and paint walls, replace floor, replace finishes, etc.","34,258 ft 2","Walmart, Inc.","814 Respect Dr, Bentonville, Arkansas 72716",479-492-8285,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019743,"Sevan Design, LLC","3025 Highland Parkway, Downers Grove, Illinois 60515",630-297-5131,
"THE CROSSING AT MOORE FARM (CCL), BLK A, LOT 2",TABS2026019679,Prime IV Hydration & Wellness - Celina,"305 E Ownsby Pkwy, Celina, TX 75009",Collin,8/1/2026,10/1/2026,"$260,000",New Construction,"This project is privately funded, on private land for private use.","1,400 sq. ft. commercial space to be built-out for a new IV therapy store. Space will include a reception & waiting area, a dedicated consultation room, an infusion lounge, & clinic, a mixing/prep lab, utility room, break room, and a restroom.","1,400 ft 2",CELINA EAST R-MF LLC,"1110 COWAN RD, Celina, Texas 75009",682-207-8464,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019679,BR Design & Architecture,"1 Trans Am Plaza Dr. Suite #120, Oakbrook Terrace, Illinois 60181",708-508-7281,Prime IV Hydration & Wellness - Celina
Stoner's Pizza Plano,TABS2026019676,UNITED CITY CENTER,"2830 W 15th St, Plano, TX 75075",Collin,6/1/2026,8/1/2026,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation finish out for a restaurant ,"1,176 ft 2",W. W. Willingham Family Limited Partnership No. II,"8525 Ferndale Suite 204, Dallas, Texas 75238",(214) 553-0000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019676,Renovis Design LLC,"2831 W Parker Rd Suite 5, Plano, Texas 75023",(469) 669-2661,Wakaas Abdrazak
25142 - CS Richardson - DC5,TABS2026019653,Charles Schwab DC5,"1811 Renner Rd., Richards, TX 75082",Collin,5/12/2026,10/16/2026,"$730,007",Renovation/Alteration,"This project is privately funded, on private land for private use.",Minor construction of a Type II commercial data center. ,"116,091 ft 2",Charles Schwab,"1811 E Renner Rd., Richardson, Texas 75082",(817) 393-6225,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019653,RGA Architects Inc.,"301 S. Oak Street Suite 100, Roanoke, Texas 76262",(817) 430-3382,
1876 CC - Clubhouse,TABS2026019578,1876 Country Club - Clubhouse,"3500 North Legacy Drive, Celina, TX 75009",Collin,8/1/2026,8/1/2027,"$5,000,000",New Construction,"This project is privately funded, on private land for private use.","Country club clubhouse building with Type II-A construction, hospitality,  commercial kitchen, dining, fitness, yoga, locker rooms, and private amenities.","21,589 ft 2",1876 Country Club LLC,"1800 Valley View Lane Suite 300, Farmers Branch, Texas 75234",(972) 890-7904,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019578,Midtown Architects,"1801 Wittington Place Suite 120, Famers Branch, Texas 75234",(214) 396-5573,
Preston Corner Retail Building 2,TABS2026019552,Building 2,"4360 S Preston Rd., Celina, TX 75009",Collin,8/15/2026,5/15/2027,"$1,616,700",New Construction,"This project is privately funded, on private land for private use.",Construction of new shell retail building ,"10,064 ft 2",Prefrocell LLC,"14741 Rollover Pass Ln, Frisco, Texas 75035",(713) 751-9890,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019552,Cross Architects,"1255 W 15th St. #125, Plano, Texas 75075",972-467-9749,
Preston Corner Retail Building 1,TABS2026019548,Building 1,"4360 S Preston Rd., Celina, TX 75009",Collin,8/15/2026,5/15/2027,"$1,616,700",New Construction,"This project is privately funded, on private land for private use.",Construction of new shell retail building,"10,070 ft 2",Prefrocell LLC,"14741 Rollover Pass Ln, Frisco, Texas 75035",(713) 751-9890,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019548,Cross Architects,"1255 W 15th St. #125, Plano, Texas 75075",972-467-9749,
KONE - Office Refresh,TABS2026019535,Allen Place I,"450 Century Parkway, Allen, TX 75013",Collin,6/1/2026,10/16/2026,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant Improvement project including: selective demo, electrical, plumbing, mechanical, partition, ceilings, finishes, and life safety.","25,885 ft 2",CP 450 Global Investors,"20475 State Highway 249 STE 100, Houston, Texas 77070",(713) 547-5100,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019535,Horn Design,"343 W Erie St STE 630, Chicago, Illinois 60654",(312) 402-8400,Bryce Warren
MRTI,TABS2026019526,PDC 5,"3001 Summit Ave Suite 100, Plano, TX 75074",Collin,6/1/2026,9/25/2026,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Existing lease area. Remodel to demo portion of office area and return to warehouse condition. ,"15,520 ft 2",PROLOGIS TARGETED U S LOGISTICS FUND LP,"1800 WAZEE ST, Denver, Colorado 80202",(972) 884-9276,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019526,Meinhardt & Associates Architects PLLC,"14643 Dallas Parkway Suite 636, Dallas, Texas 75254",(972) 980-8980,
LHS Wrestling Gym Add,TABS2026019507,Lovejoy HS Wrestling Gym,"2350 Estates Pkwy, Lucas, TX 75002",Collin,7/6/2026,3/8/2027,"$3,800,000",Additions to Existing Building,"This project involves public funds, public land, or is a Federally funded roadway project.",Wrestling gym addition to existing high school.,"5,560 ft 2",Lovejoy ISD,"259 Country Club Rd, Allen, Texas 75002",469-742-8000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019507,VLK,"5801 Tennyson Pkwy #100, Plano, Texas 75024",(972) 265-1885,
Mubarak,TABS2026019492,Mubarak,"5677 W Spring Creek Pkwy Suite 115, Plano, TX 75024",Collin,5/15/2026,7/15/2026,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior finish out of doctor’s office,"3,959 ft 2",Spring Creek Office Plaza LLC,"16818 Dallas Pkwy Suite 100, Dallas, Texas 75248",972-897-0562,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019492,"Techno Systems, Inc","708 Bryson Way, Southlake, Texas 76092",214-415-0551,Hannah Martinez
