project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
Legacy Spa & Massage,TABS2026001364,Marriott Legacy Town Center,"7121 Bishop Rd., Plano, TX 75024",Collin,12/8/2025,5/11/2026,"$300,000",New Construction,"This project is privately funded, on private land for private use.",One story plus mezzanine level Massage and Wellness center - Interior finish out.,"3,500 ft 2",Pios Grande XGen Plano MRT LLC,"50 APPLIED BANK BLVD, Glen Mills, Pennsylvania 19342",(484) 840-2746,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026001364,,,,
"Rabia Chaudhry DVM,PLLC",TABS2026001327,"Rabia Chaudhry DVM,PLLC","7410 Preston Rd. Suite 123, Frisco, TX 75034",Collin,10/21/2025,1/12/2026,"$165,872",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior finish out of an existing shell,"1,050 ft 2",Uniformsx LLC,"7410 Preston Rd. Suite 123, Frisco, Texas 75034",(713) 599-3515,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026001327,Rabia Chaudhry,,,
Walmart Special Project #5673,TABS2026001319,Walmart store #5866,"8015 Woodbridge Pkwy, Sachse, TX 75048",Collin,9/24/2025,1/15/2026,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Installation of tortilla maker and warmer in grocery/deli area. Installation of ice maker and water dispenser in associate breakroom. ,100 ft 2,Walmart Real Estate Business Trust,"PO Box 8050, Bentonville, Arkansas 72716",4-795-35--5649,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026001319,,pb2 architecture + engineering,"4886 W. Pauline Whitaker Pkwy, ste 200, Rogers, Arkansas 72758",(479) 636-3545
Walmart Special Project,TABS2026001309,Walmart store #5866,"8555 Preston Road, Frisco, TX 75034",Collin,10/1/2025,1/8/2026,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Installation of tortilla maker and warmer in grocery/deli area. Installation of ice maker and water dispenser in associate breakroom.,100 ft 2,Walmart Real Estate Business Trust,"PO Box 8050, Bentonville, Arkansas 72716",4-795-35--5649,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026001309,,pb2 architecture + engineering,"4886 W. Pauline Whitaker Pkwy, ste 200, Rogers, Arkansas 72758",(479) 877-6920
Flexential Plano,TABS2026001237,Flexential,"3500 E Plano Parkway, Plano, TX 75074",Collin,11/1/2025,1/31/2026,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Project is a minor renovation of (3) existing suites to add new offices, new conference rooms, and (2) new break rooms. ","6,401 ft 2",Flxential,"7807 E Peakview Ave Suite 200, Centennial, Colorado 80111",(720) 735-8188,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026001237,,Fluency Architecture & Design,"240 N Broadway, Denver, Colorado 80203",(720) 515-5584
RaceTrac #2371 Parkwood,TABS2026001222,RaceTrac #2371 Parkwood (HFR#25.765),"5700 State Hwy 121, Plano, TX 75024",Collin,3/2/2026,9/15/2027,"$835,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Modify existing equipment line to incorporate new Grab-N-Go offer, remove equipment & re-locate equipment throughout sales floor. Scope to include architectural, plumbing, mechanical and electrical trades.","5,928 ft 2",RaceTrac Inc.,"200 Galleria Parkway Southeast Suite 900, Atlanta, Georgia 30339",(770) 431-7600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026001222,,Hill Foley Rossi & Associates,"3680 Pleasant Hill Road Suite 200, Duluth, Georgia 30096",(770) 622-9858
iCode North McKinney TX,TABS2026001210,Shops at Lake Forest,"4590 W. University Drive Suite 240, Mckinney, TX 75071",Collin,10/24/2025,1/23/2026,"$150,000",New Construction,"This project is privately funded, on private land for private use.","Interior tenant fit out 1,405 sq ft","1,405 ft 2","BMS Investments Group, LLC","6383 Francis Lane, Frisco, Texas 75035",(214) 986-4538,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026001210,Sonal Takkar,RSW Consultants,"12305 Colwick, San Antonio, Texas 78216",(910) 408-1860
Oak Dental Frisco,TABS2026001205,Oak Dental Frisco,"6311 Hillcrest Rd. suite 200, Frisco, TX 75035",Collin,10/17/2025,1/1/2026,"$493,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation and expansion of an existing dental office ,"3,324 ft 2",Dr. Reemon Ashoty,"6311 Hillcrest Rd., Frisco, Texas 75035",(469) 579-1547,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026001205,,,,
The Royalton at McKinney,TABS2026001141,The Royalton at McKinney,"5800 Trinity Falls Parkway, Mckinney, TX 75071",Collin,3/23/2026,3/31/2028,"$450,000",New Construction,"This project is privately funded, on private land for private use.","312 apartment units consisting of 15 unit types, 2 HC unit types, 4-story wood frame elevator building with a 4.5 story concrete parking garage including an integrated clubhouse, resident lounge areas, refreshment station, a mail kiosk and fitness","7,078 ft 2",SWBC MCKINNEY LP,"5949 Sherry Ln 750, Dallas, Texas 75225",(214) 924-4156,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026001141,,"Cross Architects, PLLC","879 Junction Drive, Allen, Texas 75013",(972) 977-2716
DOLD (PT) - FRISCO,TABS2026001140,STAR SPORTS THERAPY,"6700 NORTH DALLAS PKWY SUITE 110, Frisco, TX 75034",Collin,10/6/2025,1/13/2026,"$285,360",New Construction,"This project is privately funded, on private land for private use.",INTERIOR FINISHOUT,"3,000 ft 2",FRISCO FORUM INVESTMENT GROUP LP,"5090 RICHMOND AVENUE, SUITE 314, HOUSTON, Texas 77056",(281) 895-1889,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026001140,,,,
