ProjectId,ProjectNumber,ProjectName,ProjectCreatedOn,ProjectStatus,FacilityName,City,County,TypeOfWork,EstimatedCost,DataVersionId,EstimatedStartDate,EstimatedEndDate
f77815c7-1d91-4bc6-a7a9-2d3eb7219c3b,TABS2024000160,Bowman Middle School Track,2023-09-05T12:28:29.843,3008,Bowman Middle School,1362,2043,9001,800000.0,900001,2023-10-01T00:00:00,2024-06-01T00:00:00
2f72c87a-1bb2-4009-98c6-fc9343a08ed4,TABS2024000156,Brinker Elementary School Playgrounds,2023-09-05T12:03:41.62,3008,Brinker Elementary School,1362,2043,9001,600000.0,900001,2023-10-01T00:00:00,2024-06-01T00:00:00
1af66d33-a7de-436e-a5c0-32571c32f544,TABS2024000152,Boggess Elementary School Playgrounds,2023-09-05T11:27:44.413,3008,Boggess Elementary School,1194,2043,9001,600000.0,900001,2023-10-01T00:00:00,2024-06-01T00:00:00
5fbc679b-1de7-46a1-a165-92730f6c9e6b,TABS2024000147,Carlisle Elementary School Playgrounds,2023-09-05T11:02:19.66,3008,Carlisle Elementary School,1362,2043,9001,600000.0,900001,2023-10-01T00:00:00,2024-06-01T00:00:00
dcef0dfc-36b7-4e87-bf5d-988be175ebc5,TABS2024000144,Barksdale Elementary School Playgrounds,2023-09-05T10:43:28.08,3008,Barksdale Elementary School,1362,2043,9001,600000.0,900001,2023-10-01T00:00:00,2024-06-01T00:00:00
9be47cec-c464-4c93-8710-758182f80c87,TABS2024000143,Bethany Elementary School Playgrounds,2023-09-05T10:23:26.077,3008,Bethany Elementary School,1362,2043,9001,600000.0,900001,2023-10-01T00:00:00,2024-06-01T00:00:00
62938a87-577e-4c94-9a86-91487f52c5bb,TABS2024000139,Beverly Elementary School Playgrounds,2023-09-05T10:03:35.467,3008,Beverly Elementary School,27,2043,9001,600000.0,900001,2023-10-01T00:00:00,2024-06-01T00:00:00
b3521389-75d7-4c1b-82e9-64a9515d8a6d,TABS2024000138,Spring Creek Office & Laundry Room Remodel,2023-09-05T09:56:50.247,3009,Spring Creek Office and Laundry Buildings,1362,2043,9002,100000.0,900001,2023-09-14T00:00:00,2023-12-31T00:00:00
516be1a7-1062-4b47-941e-31cb1b2be4d6,TABS2024000119,Moore Supply,2023-09-04T09:27:32.807,3009,Summit Avenue Building,1362,2043,9002,150000.0,900001,2023-09-18T00:00:00,2023-11-20T00:00:00
706a7b93-2299-4e8f-9727-ab7c6fb8aeba,TABS2024000112,Best Brains Learning Center,2023-09-02T20:31:27.6,3009,Best Brains,623,2043,9002,300000.0,900001,2024-01-15T00:00:00,2024-05-15T00:00:00
