project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
Everything Madeleine,TABS2026003678,Everything Madeleine,"4757 W Park Blvd STE 114, Plano, TX 75093",Collin,11/3/2025,2/3/2026,"$100,000",New Construction,"This project is privately funded, on private land for private use.",2068 s/f Interior Finish-Out ,"2,068 ft 2","Sweet Roost, LLC","5900 Balcones Drive Ste.100, Austin, Texas 78731",512-463-5555,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026003678,,,,
BSA Design Group Office Finish Out,TABS2026003655,2929 NCX,"2929 N Central Expressway Suite 120, Richardson, TX 75080",Collin,10/20/2025,12/15/2025,"$140,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation to 3581sf. New walls, modified break room and print room. New flooring, paint, ceiling tile, lighting.","3,581 ft 2",Stephen Blum,"14850 Quorum Dr Suite 100, Dallas, Texas 75254",(972) 284-1009,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026003655,"BSA Design Group, Inc.","BSA Design Group, Inc.","8750 N Central Expressway Suite 1725, Dallas, Texas 75231",(214) 818-0563
Einstein Bros Bagels -Lavon Tx,TABS2026003641,Einstein Bros Bagels,"845 S State Hwy 78 suite 110, Lavon, TX 75166",Collin,2/23/2025,6/7/2026,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","tenant finish out of an existing leased space improvements include complete finish out of the interior to include new non load bearing walls, ceiling, floor finishes, millwork, seating, mech, electrical and plumbing ","1,821 ft 2",FM 78 & 205 Retail Development LLP,"3381 Berkwood PL, Frisco, Texas 75034",(469) 174-5160,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026003641,Einstein Bros Bagels - Erik Smith,,,
City of Prosper IT Renovation,TABS2026003593,Prosper Town Hall,"250 West First St., Prosper, TX 75078",Collin,10/27/2025,12/19/2025,"$135,574",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","1,956 SF of demolition renovation of existing interior spaces, including ceiling, walls, flooring and millwork. Work shall include furnishing and installation of new finishes, doors, glazing, mechanical adjustments, electrical modifications and fire.","1,956 ft 2",Town of Prosper,"250 West 1st Street, Prosper, Texas 75078",(972) 569-1143,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026003593,,,,
DR AGARWAL,TABS2026003579,DR AGARWAL,"5152 VILLAGE CREEK DR, Plano, TX 75093",Collin,10/25/2025,12/15/2025,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIO REMODEL OF OFFICE SPACE TO BE MADE INTO A DERATOLOGY OFFICE,"3,732 ft 2",AVANT VENTURES LLC,"1100 W CAMPBELL RD SUITE 200, RICHARDSON, Texas 75080",972-608-3100,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026003579,,TECHNO SYSTEMS INC,"708 BRYSON WAY, SOUTHLAKE, Texas 76092",214-415-0551
Pandora,TABS2026003578,The Gates @ Prosper,"700 RICHLAND BOULEVARD Suite 110, Prosper, TX 75078",Collin,1/5/2026,3/27/2026,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant remodel of an existing tenant space ,"2,000 ft 2",380 & 289 LP,"COWBOYS CENTER 1 COWBOYS WAY, FRISCO, Texas 75034",(214) 740-3300,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026003578,Roxanne Berlien,Little,"615 S. College St Suite 1600, Charlotte, North Carolina 28202",704-676-3352
MRCC - Pet/CT Equipment Replacement,TABS2026003571,Methodist Richardson Cancer Center,"2805 E President George Bush Hwy, Richardson, TX 76016",Collin,11/7/2025,2/27/2026,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Equipment Replacement, Flooring and ceiling replacement",800 ft 2,Methodist Hospitals of Dallas,"1441 N Beckley AVE, Dallas, Texas 75203",(469) 600-5330,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026003571,,Modus Architecture,"4040 N Central Expy, Suite 720, Dallas, Texas 75204",(314) 302-6864
McKinney EDC Office Expansion Renovation,TABS2026003566,"DISTRICT 121 ADDITION (CMC), BLK A, LOT 4","7300 STATE HWY 121 MCKINNEY, TX 75070 Suite 200 & 250, Mckinney, TX 75070",Collin,1/1/2026,6/1/2026,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant renovation and expansion of 5,666 square foot office space for typical office use.  ","5,666 ft 2","KDP D121 I, LP","2601 Olive St Ste 1420, Dallas, Texas 75201",214414810,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026003566,Deana Smithee,Parkhill,"3000 Internet Blvd. Ste. 550, Frisco, Texas 75034",972.987.1670
Belk Outlet Store,TABS2026003560,Centre at Preston Ridge,"3333 Preston Rd #700, Frisco, TX 75034",Collin,10/21/2025,11/16/2025,"$257,923",Renovation/Alteration,"This project is privately funded, on private land for private use.","Conversion of former Big Lots store to Belk Outlet store. Work includes new non-load bearing walls, new flooring, new fitting rooms, and painting.","36,000 ft 2",BRE Retail Residual Owner 1 LLC,"3259 Preston Rd Suite 2,, Frisco, Texas 75034",(407) 903-2914,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026003560,Belk Inc,,,
Main Entry Improvements at Allen City Hall,TABS2026003527,Allen City Hall,"305 Century Parkway, Allen, TX 75013",Collin,12/1/2025,4/24/2026,"$500,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","New sidewalks, steps, ramps, hand railings, retaining walls, landscape and irrigation","5,300 ft 2","City of Allen, Texas","305 Century Parkway, Allen, Texas 75013",(214) 509-4602,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026003527,,"Huitt-Zollars, Inc.","5430 LBJ Freeway, Dallas, Texas 75240",(214) 871-3311
1418 Coffee - Celina,TABS2026003517,Celina Station Retails Building 7,"565 S. Preston Road, Suite 100, Celina, TX 75009",Collin,10/30/2025,2/28/2026,"$500,000",New Construction,"This project is privately funded, on private land for private use.","A 3,000 sqft interior finish-out of a new shell tenant space into a coffee shop.","3,000 ft 2","Stella Rooftop, Ltd.","812 W. McDermott, PMB #1296, Allen, Texas 75013",(214) 714-5343,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026003517,David Bryant,"NuPlan Group, LLC.","7178 Yellowstone Drive Fisco, Texas 75033, Frisco, Texas 75033",(469) 222-8240
