project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
Anna Child Care Center,TABS2024016652,Anna Child Care Center,"1460 S Ferguson pkwy, Anna, TX 75409",Collin,7/15/2024,7/15/2025,"$1,300,000",New Construction,"This project is privately funded, on private land for private use.",New single story wood framed child care center,"13,600 ft 2",RY Development,"2903 Bold Ruler Rd, Celina, Texas 75009",(909) 965-6606,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016652,,,,
T-Mobile LER Expansion,TABS2024016643,T-Mobile,"3560 Dallas Parkway, Frisco, TX 75034",Collin,7/1/2024,9/30/2024,"$116,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",THE SCOPE OF THIS PROJECT IS A NON-STRUCTURAL INTERIOR FINISH-OUT IN AN EXISTING SINGLE FLOOR SUITE FOR THE ABOVE NAMED TENANT. SCOPE INCLUDES HVAC & ELECTRICAL.,"2,100 ft 2",Parkway Admin Bldg LLC HTA-Dallas,"16435 N Scottsdale Rd Ste 320, Scottsdale, Arizona 85254",(214) 668-9899,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016643,idGroup,"2641 Irving Blvd, Dallas, Texas 75207",(214) 638-6800,
Prosper Town Hall Remodel of Misc. Areas,TABS2024016629,City of Prosper Town Hall,"250 w. 1st Street, Prosper, TX 75078",Collin,5/1/2024,7/31/2024,"$336,436",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Some wall relocation, some millwork alterations","3,800 ft 2","City of Prosper, Facilities Management","250 W. 1st Street, Prosper, Texas 75078",(972) 569-1143,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016629,Joyce Crum,"118 Lynn Avenue Suite 300, Lewisville, Texas 75057",(972) 867-1713,
Tower at Frisco Square Lobby Renovation,TABS2024016599,Tower at Frisco Square,"5757 Main Street Floor 1, Frisco, TX 75034",Collin,6/1/2024,8/1/2024,"$238,919",Renovation/Alteration,"This project is privately funded, on private land for private use.","Lobby Renovation- 2,220sf","2,220 ft 2","Frisco Tower Acquisition DE, LLC","104 Armour Rd, North Kansas City, Missouri 64116",816-303-4500,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016599,Jones Commercial Interiors,"3900 Willow St, Suite 150, Dallas, Texas 75226",972-690-3400,
Day Lumber Office,TABS2024016578,Day Lumber Co,"607 Commerce Dr., Wylie, TX 75098",Collin,5/1/2024,12/31/2024,"$1,000,000",New Construction,"This project is privately funded, on private land for private use.",New office/warehouse building,"6,000 ft 2","Phoenix Ascending Investments, LLC","607 Commerce Dr., Wylie, Texas 75098",(214) 458-0214,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016578,Elm Residential Designs,"5717 Legacy Dr. #250, Plano, Texas 75024",214-649-9328,
Behavioral Innovations- Plano Independence,TABS2024016561,450 Independence Pkwy.,"450 Independence Pkwy. Suite 200, Plano, TX 75075",Collin,6/1/2024,12/1/2024,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The scope of this project is a non-structural first generation interior finish-out in an existing single floor suite for the above named tenant. Scope includes HVAC, electrical, and plumbing. The estimated square footage is 3,929 SF.","3,929 ft 2",Independence 190 LLC,"1170 West Corporate Dr. Suite 240, Plano, Texas 76006",(817) 640-1108,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016561,idGROUP,"2641 Irving Blvd, Dallas, Texas 75207",214-638-6800,Laura Furr
Medical Office Shell Buildings,TABS2024016531,CrReekside at Wade Office Park,"9450 Wade Blvd, Frisco, TX 75034",Collin,6/3/2024,11/29/2024,"$2,300,000",New Construction,"This project is privately funded, on private land for private use.","Construction of two 9,000 SF single story shell buildings for future office/medical office use.","18,000 ft 2",SLS Devco LLC | Steward Financial LLC,"6015 CLUB OAKS DRIVE, Dallas, Texas 75248",(310) 562-8064,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016531,Hwai Yang Architects,"10450 Donoho Place, Frontenac, Missouri 63131",(314) 853-8008,
ALLOY PERSONAL TRAINING,TABS2024016454,NEW SPECTRUM HAIR SALON RETAIL CENTER,"141 N. Murphy Rd Suite 101, Murphy, TX 75094",Collin,6/1/2024,8/1/2024,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",COMMERCIAL ALTERATIONS,"1,607 ft 2",PALATINE IVESTMENT GROUP LLC,"141 N MURPHY ROAD, MURPHY, Texas 75094",(214) 407-2692,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016454,,,,
Delta Electronics,TABS2024016433,Delta Electronics,"601 Data Drive, Plano, TX 75075",Collin,4/22/2024,5/20/2024,"$68,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Demo of Interior Walls, Finishes, & Millwork","139,477 ft 2",Delta Electronics (USA) Inc,"601 Data Drive, Plano, Texas 75075",469-330-3232,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016433,,,,
Gates of Prosper - Phase III (Building B),TABS2024016428,Building - B (Shell Building),"TBD, Prosper, TX 75078",Collin,7/22/2024,5/12/2025,"$9,881,723",New Construction,"This project is privately funded, on private land for private use.",One story mercantile shell building.,"88,316 ft 2",Blue Star Land,"8000 Warren Parkway, Suite 100, Frisco, Texas 75034",(214) 869-8076,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016428,O'Brien Architects,"1722 Routh Street, Suite 122, Dallas, Texas 75201",(972) 788-1010,
