project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,project_url,design_name,design_address,design_phone
MELISSA 1 DENTAL OFFICE,TABS2025007686,NA,"140 BUCEES BLVD., SUITE 1000, Melissa, TX 75454",Collin,4/21/2025,8/19/2025,"$230,880",Renovation/Alteration,"This project is privately funded, on private land for private use.","DENTAL OFFICE, NON STRUCTURAL PARTITIONS, TWO RESTROOMS, MECHANICAL DISTRIBUTION SUPPLY/RETURNS, PLUMBING, T-BAR CEILING, LIGHTS, OUTLETS, SWITCHES","3,552 ft 2",YCP MELISSA LAND HOLDINGS LLC,"5950 SHERRY LN STE 480, DALLAS, Texas 75225",210-938-8145,NICK SOBEL,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007686,,,
24319-Lovett Industrial - B2 Spec Office,TABS2025007669,Lovett Industrial,"1619 King Street, Garland, TX 75044",Collin,5/1/2024,8/4/2025,"$600,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",New Spec Office ,"3,920 ft 2",LOVETT INDUSTRIAL,"401 Frankin Street, Houston, Texas 77002",(713) 503-3264,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007669,"Meinhardt & Associates Architects, P.L.L.C.","14643 Dallas Parkway, Dallas, Texas 75254",(972) 980-8980
24319-Lovett Industrial - B1 Spec Office,TABS2025007666,Lovett Industrial,"1617 King Street, Garland, TX 75044",Collin,5/1/2024,8/4/2025,"$600,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",New Spec Office ,"3,470 ft 2",LOVETT INDUSTRIAL,"401 Frankin Street, Houston, Texas 77002",(713) 503-3264,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007666,"Meinhardt & Associates Architects, P.L.L.C.","14643 Dallas Parkway, Dallas, Texas 75254",(972) 980-8980
HENDRICK MCKINNEY COLLISION CENTER,TABS2025007662,HENDRICK MCKINNEY COLLISION CENTER,"PID:2860843, MCKINNEY TX, 75071, Mckinney, TX 75071",Collin,3/1/2025,3/1/2026,"$15,000,000",New Construction,"This project is privately funded, on private land for private use.",ALL NEW GROUND UP AUTOMOTIVE COLLISION CENTER,"60,209 ft 2",HEDRICK AUTOMOTIVE GROUP,"6000 MONROE ROAD, SUITE 100, CHARLOTTE, NC, 28212, CHARLOTTE, North Carolina 28212",(704) 568-5550,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007662,DAVID EVE,"925 TUCKASEEGEE, SUITE 110, CHARLOTTE NC, 28208, CHARLOTTE, North Carolina 28208",(704) 377-2990
Plano Gateway - Core/Shell Building 5B,TABS2025007616,Plano Gateway,"Southwest Corner of Wyngate Blvd & Wynview Dr, Plano, TX 75074",Collin,2/3/2025,8/2/2025,"$1,200,000",New Construction,"This project is privately funded, on private land for private use.","8,875 sf new core/shell construction of a 1 story wood framed MOB","8,874 ft 2",Huffman Builders,"5880 Ashmill Drive Suite 100, Plano, Texas 75024",(469) 951-5959,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007616,Boulder Associates Architects,"240 Milton Street Suite 240, Dallas, Texas 75206",214-420-5700
Optimal Blue,TABS2025007609,The Campus at Legacy,"5340 Legacy Drive Suite 200, Plano, TX 75024",Collin,1/15/2025,3/31/2025,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement to an existing building,"22,251 ft 2","TCAL Property Owner, LLC","5340 Legacy Drive Suite 140, Plano, Texas 75024",(972) 473-2525,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007609,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",214-668-8884
COMFORT DENTAL (FRISCO),TABS2025007608,COMFORT DENTAL,"8745 GARY BURNS DR. SUITE 154, Frisco, TX 75034",Collin,1/13/2025,4/28/2025,"$362,548",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR REMODEL AND EXPANSION OF EXISTING DENTAL OFFICE,"3,616 ft 2","TUCKER NYC, LLC","3228 COLLINSWORTH ST, FORT WORTH, Texas 76107",817-709-7371,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007608,,,
SAVEGO WHOLESALE,TABS2025007598,-,"915 W PARKER RD #STE. 311, Plano, TX 75023",Collin,12/12/2024,3/15/2025,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",RENOVATION ,"29,180 ft 2",PARKER LANDMARK INVESTMENT GROUP,"915 W PARKER RD #STE. 311, PLANO, Texas 75023",(214) 325-9037,JESSY ZHANG,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007598,,,
Lifeway Church,TABS2025007578,Lifeway Church,"COUNTY ROAD 58, Celina, TX 75009",Collin,2/1/2024,2/3/2025,"$4,530,000",New Construction,"This project is privately funded, on private land for private use.",New construction of 15330 sqft building used for religious assembly.,"15,330 ft 2",Lifeway Church,"701 E Pecan St, Celina, Texas 75009",9-723-82--8111,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007578,,,
Hmart suite 120,TABS2025007575,Hmart shopping center,"3420 Ave K suite 120, Plano, TX 75074",Collin,1/10/2025,4/3/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","clean up for landlord items, install 2 new unisex bathrooms and a mop sink","7,385 ft 2",Retail Plazas,"2929 CARLISLE STREET SUITE 170, DALLAS, Texas 75204",972-250-1486,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007575,melika rafiei,"5826 Gramercy Place,, dallas, Texas 75230",(214) 763-3095
