project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
Nwokeabia Series L.L.C. - Series A,TABS2025011428,The woods at watters,"610 South Watters Road suite 160, Allen, TX 75013",Collin,4/1/2025,6/15/2025,"$450,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",finish out of a 3158 medical office ,"3,158 ft 2",David Nwokeabia,"1059 Miller Road, allen, Texas 75013",(215) 859-2638,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011428,,,,
IVX (Plano),TABS2025011412,IVX Health,"4701 W. PARK BLVD. #107, Plano, TX 75093",Collin,3/31/2025,8/25/2025,"$393,230",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR REMODEL FOR MEDICAL OFFICE ,"2,002 ft 2",EDENS,"4801 Woodway Drive, Suite 450 E., HOUSTON, Texas 77056",(713) 860-4931,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011412,,,,
Best Brains Lot 7 Bldg D4,TABS2025011406,D4,"Coit Road Lot 7 Block A, Frisco, TX 75035",Collin,7/1/2025,12/1/2025,"$1,200,000",New Construction,"This project is privately funded, on private land for private use.",New Shell Building,"11,859 ft 2","Suniksha Lexington, LP","2472 Twin Oaks Dr., Little Elm, Texas 75068",(214) 784-0568,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011406,"East Star Design, LLC","PO Box 53, Forney, Texas 75126",(972) 200-7340,
Best Brains Lot 7 Bldg D3,TABS2025011405,D3,"Coit Road Lot 7 Block A, Frisco, TX 75035",Collin,7/1/2025,12/1/2025,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.",New Shell Building,"14,650 ft 2","Suniksha Ventures, LP","2472 Twin Oaks Dr., Little Elm, Texas 75068",(214) 784-0538,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011405,"East Star Design, LLC","PO Box 53, Forney, Texas 75126",(972) 200-7340,
Best Brains Lot 7 Building D2,TABS2025011402,D2,"Coit Road Lot 7 Block A, Frisco, TX 75035",Collin,7/1/2025,12/1/2025,"$450,000",New Construction,"This project is privately funded, on private land for private use.",New shell building,"3,212 ft 2","Suniksha Lexington, LP","2472 Twin Oaks Dr., Little Elm, Texas 75068",(214) 784-0538,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011402,"East Star Design, LLC","2000  Rushing Creek DR, Heartland, Texas 75126",(972) 200-7340,
Best Brains Lot 7 D1,TABS2025011397,D1,"Coit Road Block A Lot 7, Frisco, TX 75035",Collin,7/1/2025,12/1/2025,"$1,300,000",New Construction,"This project is privately funded, on private land for private use.",New shell building,"13,139 ft 2","Suniksha Lexington, LP","2472 Twin Oaks Dr., Little Elm, Texas 75068",(214) 784-0538,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011397,"East Star Design, LLC","PO Box 53, Forney, Texas 75126",(972) 200-7340,
"25-0008 Ono - McKinney, TX",TABS2025011394,Ono Hawaiian BBQ,"4592 W University Dr, Mckinney, TX 75071",Collin,5/30/2025,9/26/2025,"$650,000",New Construction,"This project is privately funded, on private land for private use.",1st generation TI,"1,800 ft 2",BMS INVESTMENT GROUP LLC,"6383 FRANCIS LANE FRISCO Suite 100, Frisco, Texas 75035",214-986-4538,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011394,Rogue Architects,"513 Main St Ste 200, Fort Worth, Texas 76102",(817) 529-6882,
Cubeworks,TABS2025011366,Plano,"910 10th St., Plano, TX 75074",Collin,2/17/2025,3/21/2025,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior remodel in existing shell building ,"325,876 ft 2",910 Plano LLC,"218 Machlin Ct., walnut, California 91789",(909) 991-6669,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011366,Lo Architecture,"1911 Westheimer Rd. Suite 200, Houston, Texas 77098",(346) 250-2471,
Symetria Health (Frisco),TABS2025011328,Symetria Health (Frisco),"5220 Legendary Rd., Frisco, TX 75034",Collin,4/1/2025,7/31/2025,"$290,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR REMODEL,"3,852 ft 2",ROSELLE FRISCO LLC,"5900 BALCONES DRIVE #100, AUSTIN, Texas 78731",(818) 606-4478,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011328,"J.A. GREENE CONSTRUCTION SERVICES, LLC","11960 BARKER CYPRESS RD. #400, CYPRESS, Texas 77433",(832) 220-6371,
Marble Creamery,TABS2025011321,Best Brains Addition,"10010 Coit Road Suite 201, Frisco, TX 75035",Collin,3/1/2025,9/1/2025,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior finish-out for approximately 1,200 sf Ice Cream Shop","1,200 ft 2","Suniksha Ventures, LP","2472 Twin Oaks Drive, Little Elm, Texas 75068",(214) 784-0538,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011321,Klemm Design,"13151 Emily Road Suite 135, Dallas, Texas 75240",817-269-4154,Ganga Bhavani Akuthota
