project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
Atwell,TABS2026006591,HALL Park Lakes IV,"2600 Network Suite 610, Frisco, TX 75034",Collin,12/1/2025,3/1/2026,"$181,440",Renovation/Alteration,"This project is privately funded, on private land for private use.","Approximately 5,444 sf of demolition and renovation commercial office build out.","5,444 ft 2",Hall Office Portfolio DB LLC,"6801 Gaylord Pkwy Ste 100, Frisco, Texas 75034",(214) 470-4266,"Joshua Hall, Atwell",Vaughan Myers Design Inc.,"1112 Cool River, Southlake, Texas 76092",(214) 460-6485,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006591
Lockwood Andrews and Newman,TABS2026006590,HALL Park I,"2601 Network Suite 650, Frisco, TX 75034",Collin,12/1/2025,3/1/2026,"$395,370",Renovation/Alteration,"This project is privately funded, on private land for private use.","Approximately 7,300 rsf of demolition and renovation commercial office build out.","7,300 ft 2","Hall 2601 Network Associates, LLC","2323 Ross Avenue Ste 200, Dallas, Texas 75201",(214) 470-4266,"Michelle Archie, Lockwood Andrews & Newman",Vaughan Myers Design Inc.,"1112 Cool River, Southlake, Texas 76092",(214) 460-6485,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006590
UPTOWN CHEAPSKATE,TABS2026006586,380 MARKETPLACE,"2414 W UNIVERSITY DR #STE. 115, Mckinney, TX 75071",Collin,12/1/2025,1/31/2026,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",REMODEL ,"5,295 ft 2",380 MARKETPLACE LLC,"5850 GRANITE PARKWAY #STE. 220, PLANO, Texas 75024",(945) 994-2520,AMANDA WALLS,GOLESKI ARCHITECTURAL DESIGN,"2123 TAMPICO DR, CARROLLTON, Texas 75006",(214) 693-1999,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006586
Facade Alteration,TABS2026006582,Custer Medical Commons,"11605 Custer Road, Frisco, TX 75035",Collin,12/15/2025,3/15/2026,"$187,399",Renovation/Alteration,"This project is privately funded, on private land for private use.",Facade alteration and Hallway stud walls,"21,646 ft 2",Base to Final LLC,"5345 Town Square Drive, Sutie 215, Plano, Texas 75024",(972) 979-5888,,SSARCO,"325 N St Paul #2600, Dallas, Texas 75201",214-494-1420,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006582
Sherley Farms Phase 1,TABS2026006562,Sherley Farms Phase 1 Residential Subdivision,"3824 F.M. 2862, Anna, TX 75409",Collin,11/24/2025,11/30/2026,"$481,852",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",Single Family Subdivision - Publicly Accessible Infrastructure,"5,880,600 ft 2",TELLUS TEXAS III LLC,"5301 HEADQUARTERS DR STE 120, PLANO, Texas 75024",(469) 532-0689,,"SPIARS ENGINEERING, INC.","765 CUSTER RD STE 100, Plano, Texas 75075",(972) 422-0077,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006562
Gateway Community Church Renovation,TABS2026006549,Gateway Community Church,"2201 Country Club Road, Wylie, TX 75098",Collin,12/17/2025,4/15/2026,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior remodel of existing church facility.,"12,000 ft 2",Gateway Community Church,"2201 Country Club Road, Wylie, Texas 75098",(972) 429-0400,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006549
QuikTrip # 910 Fryer Project,TABS2026006539,QuikTrip # 910,"9635 Coit Rd., Plano, TX 75024",Collin,1/11/2026,1/26/2026,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Includes re-organization of existing kitchen equipment and addition of new fryer units. Project 300 sf.,300 ft 2,"QT South, LLC","4705 S. 129th East Avenue, Tulsa, Oklahoma 74134",(945) 455-6426,,"Daniel D. Filuk, Architect","1747 E. Morten Ave., Suite 111, Phoenix, Arizona 85020",(602) 234-1868,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006539
Aerie/Offline # 6846,TABS2026006525,Stonebriar Mall,"2601 Preston Road Suite 2160, Frisco, TX 75034",Collin,3/2/2026,6/4/2026,"$470,991",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior alteration to existing space to include demo, mech, elect & plumb work","6,877 ft 2",Stonebriar Mall LLC,"PO Box 101042, Chicago, Illinois 60610",(469) 920-2186,"AEO, Inc. Sara Novak","Benchmark Group, Architect","1805 N 2nd. St. Suite 3981, Rogers, Arkansas 72756",(479)636-5004,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006525
Plano Gateway - Building 8 - Suite 840 - Pediatric Clinic,TABS2026006520,Plano Gateway MOB,"201 Wyngate Blvd, Bldg 8, Suite 840, Plano, TX 75074",Collin,1/5/2026,4/30/2026,"$550,000",New Construction,"This project is privately funded, on private land for private use.",3600 SF tenant finish-out of a newly constructed 1-story wood framed medical office building,"3,600 ft 2",BB-8 Holdings LLC,"5880 Ashmill Drive Suite 100, Plano, Texas 75024",(469) 333-1031,,Boulder Associates,"5646 Milton Street Suite 240, Dallas, Texas 75206",(214) 420-5700,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006520
Firefly Park Pavilion,TABS2026006512,Firefly Park Pavilion,"Fireglass Way, Frisco, TX 75078",Collin,12/1/2025,1/1/2026,"$400,000",New Construction,"This project is privately funded, on private land for private use.",Outdoor stage structure with equipment and storage room,200 ft 2,Firefly Land Holdings I LLC,"1321 Markum Gate Way Ste 100, Forth Worth, Texas 76034",(817) 850-5334,,SASAKI,"110 CHAUNCY STREET, BOSTON, Massachusetts 02111",(857) 939-0729,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006512
