project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
Wells Fargo Refurb,TABS2026010797,Wells Fargo,"5936 W PARK BLVD, Plano, TX 75093",Collin,6/22/2026,7/20/2026,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","PROPOSED New AS-ATM, Passageway, EPD & Welcome Touchpoint. New (3) Tellers. Install wall cover finishes at (1) wall at the offices as shown. Sand doors, wood trims and baseboards and paint warm gray. New (FULL) Workstations & offices furniture. New F","5,082 ft 2",John Megas,"420 Montgomery Street, 94104, Florida 33896",(737) 349-5088,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010797,,,,
Dollar Tree,TABS2026010775,Store #10922,"525 West Parker Road, Plano, TX 75074",Collin,5/18/2026,7/30/2026,"$703,125",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of existing tenant retail space.,"12,968 ft 2",Ernst Family Trust,"12 N Kukui Pl, Kihei, Hawaii 96753",(408) 887-5549,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010775,CASCO,"12 Sunnen Dr. Suite 100, Saint Louis, Missouri 63143",(314) 821-1100,
Children’s Health BHIG Plano SPC 1 4th Floor,TABS2026010724,Children’s Medical Center Plano Specialty Center 1,"7609 Preston Road, Plano, TX 75024",Collin,2/18/2026,5/12/2026,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of an existing clinic suite, including waiting lobby, exam rooms and consult rooms.","5,100 ft 2",CHILDRENS MEDICAL CTR LEGACY,"1935 Medical District Drive, Dallas, Texas 75235",972-740-2266,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010724,Corgan,"401 North Houston Street, Dallas, Texas 75202",(214) 977-3540,
Coffee Lane,TABS2026010715,TDX Realty,"960 W exchange, Allen, TX 75013",Collin,1/31/2026,9/26/2026,"$60,000",New Construction,"This project is privately funded, on private land for private use.",inside finish out of coffee shop ,"1,750 ft 2",TDX Realty,"960 W Exchange, allen, Texas 75013",(972) 984-8335,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010715,,,,Nida Rehman
Yogurtland McKinney,TABS2026010700,Towne Crossing,"2050 W University Dr Suite 130, Mckinney, TX 75071",Collin,4/20/2026,7/20/2026,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Proposed interior tenant improvement/alteration of existing yogurt restaurant to a Yogurtland, yogurt restaurant. No proposed changes to the mechanical system. Existing restrooms to be altered per accessibility requirements, see sheet A2.1. Existing ","1,472 ft 2",380 YOUNGER LLC,"14643 Dallas Parkway Suite 950, Dallas, Texas 75254",214-294-4400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010700,AEP America,"PO Box 123655, Fort Worth, Texas 76121",(214) 702-1528,Allan Yang
MCP - SIMULATION LAB,TABS2026010685,Medical City Plano,"3801 WEST 15TH STREET, SUITE 214, PLANO, TX 75075, Plano, TX 75075",Collin,3/14/2026,5/31/2026,"$943,090",Renovation/Alteration,"This project is privately funded, on private land for private use.",Modification of existing second floor doctor's office into a new simulation lab. New finishes will be installed throughout. ,"3,147 ft 2",Columbia Medical Ctr of Plano Subsidary,"13455 Noel Road, Twentieth Floor  Dallas, Texas, Pl, Texas 75240",972-519-1530,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010685,Imangine Unlimited,"9155 Sterling #120 Irving,, Dallas, Texas 75063",817-808-2617,Abbey Dugas
Max Strength McKinney,TABS2026010678,Max Strength Fitness,"3783 S Lake Forest Dr ste 200, Mckinney, TX 75070",Collin,8/1/2026,11/20/2026,"$90,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",New Max Strength Fitness,"3,000 ft 2",Jaipur Investments LLC,"1087 Norwich St, Allen, Texas 75013",(214) 404-7477,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010678,ND Enterprises,"6501 E Greenway Pkwy #103-707, Scottsdale, Arizona 85254",(480) 297-5577,Vanessa Ware
Grady Littlejohn Softball & Baseball Complex,TABS2026010675,Concession Stand,"1401 Wilson Creek Pkwy, Mckinney, TX 75069",Collin,2/1/2026,2/28/2027,"$4,000,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","New concession stand building, field spectator seating, plazas, expanded dugouts, concrete paving for vehicular and pedestrian use","129,553 ft 2",City of Mckinney,"401 E. Virginia St, McKinney, Texas 75069",972-547-7490,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010675,LJA Engineering. Inc,"2150 S Central Expy Ste 300, McKinney, Texas 75070",214-620-2748,
Burn Boot Camp,TABS2026010674,Heritage Park,"3520 N Louisiana Drive, Suite 130, Celina, TX 75009",Collin,3/1/2026,7/1/2026,"$650,000",New Construction,"This project is privately funded, on private land for private use.",Interior Finishout,"5,460 ft 2",Celina 58 LP,"1061 N. Coleman, Suite 90, Prosper, Texas 75078",(972) 347-9900,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010674,Abaya Design Studio,"215 S. Denton Tap Road Suite # 215 Suite # 215, Coppell, Texas 75019",(214) 606-0951,
VEDORA NAIL LOUNGE,TABS2026010652,PREMIER OAKS @ TWIN CREEKS,"960 W. EXCHANGE PKWY #200, Allen, TX 75013",Collin,2/23/2026,7/30/2026,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",FINISH OUT FOR NAIL SALON,"3,722 ft 2",TDX REALTY LLC,"15769 PLEAT LEAF RD, FRISCO, Texas 75033",(832) 998-4818,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010652,"JAX DESIGN STUDIO, LLC","1522 TURNING LEAF LANE, GARLAND, Texas 75040",(214) 477-4112,KATIE DIEM NGUYEN
QuikTrip # 896 Fryer Project,TABS2026010612,QuikTrip # 896,"900 Jupiter Rd., Plano, TX 75074",Collin,3/29/2026,4/26/2026,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Includes re-organization of existing kitchen equipment and addition of new fryer units. Project 300 sf.,300 ft 2,"QT South, LLC","4705 S. 129th East Avenue, Tulsa, Oklahoma 74134",(945) 455-6426,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010612,"Daniel D. Filuk, Architect","1747 E. Morten Ave., Suite 111, Phoenix, Arizona 85020",(602) 234-1868,
CNS River Hill,TABS2026010604,CNS River Hill,"17402 River Hill Drive, Dallas, TX 75287",Collin,2/8/2026,5/31/2026,"$600,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Remodel - Bathrooms, Kitchen, Laundry, Doorways and Patio.","2,944 ft 2","CNFS Texas, LLC","5215 Ashe Road, Bakersfield, California 93313",661-872-3408,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010604,Covenant Architecture,"106 E Church Street,, Weatherford, Texas 76086",(817) 565-9826,
Integrity 1st - Anna,TABS2026010601,Integrity 1st - Anna,"609 Victoria Falls, Anna, TX 75409",Collin,2/9/2026,8/21/2026,"$1,300,000",New Construction,"This project is privately funded, on private land for private use.",Ground up 4838 SF Auto repair shop,"4,838 ft 2",Integrity 1st Development - Anna,"PO Box 195128, Dallas, Texas 75219",(214) 357-4694,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010601,Greenlight Studio LLC,"100 N Cottonwood Drive Suite 104, Richardson, Texas 75080",(214) 810-4535,
SH 5 (CSJ: 0047-04-032),TABS2026010581,CSJ: 0047-04-032,"Fr.: N of Collin CO Outer Lp To: N of Hackberry Ln, Anna, TX 75409",Collin,8/2/2028,2/2/2030,"$47,630,021",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Reconstruct and Widen 2 lane to 4 lane roadway with sidewalks, shared use path, turn lanes and signals.","121,773 ft 2",TxDOT District: Dallas,"4777 E. Highway 80, Mesquite, Texas 75150",(214) 320-6200,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010581,Woolpert,"11750 Katy Freeway, Suite 1260, Houston, Texas 77079",(346) 409-2067,
FedEx Office Celina TX - Preston Rd (LL Scope),TABS2026010556,FedEx Office,"4393 S Preston Rd Suite 2, Celina, TX 75078",Collin,3/2/2026,5/1/2026,"$225,000",New Construction,"This project is privately funded, on private land for private use.","Tenant improvement construction for a new FedEx Office retail store. Scope includes new interior partitions, ceiling, lighting, and related mechanical, electrical, and plumbing work.","1,798 ft 2",AGTX Celina Preston RE Holdings,"600 N Robinson Ave Suite 1000, Oklahoma City, Oklahoma 73102",(405) 973-5514,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010556,The idGROUP,"2641 Irving Blvd, Dallas, Texas 75207",(214) 638-6800,
Interior Improvement for P&O Legacy Holdings,TABS2026010525,307 N Jackson Ave,"307 N Jackson Ave Wylie, Tx 75098, Wylie, TX 75098",Collin,1/21/2026,5/21/2026,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovations only to improve functionality of space,"1,148 ft 2",P&O Lagacy Holdings,"1700 Redbay drive, Wylie, Texas 75098",(901) 218-9479,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010525,Franklin Lamar Drafting Design Specialist LLC,"4500 Valleydale Road, Suite 80, Birmingham, Alabama 35242",(205) 253-7958,
Waffle House #20622,TABS2026010524,Waffle House,"00 N. Central Expressway, Anna, TX 75409",Collin,11/1/2026,4/1/2027,"$300,000",New Construction,"This project is privately funded, on private land for private use.",New Restaurant,"1,760 ft 2","Waffle House, Inc.","5986 Financial Drive, Norcross, Georgia 30071",770-729-5897,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010524,"Mark D. Pavey, AIA - Architect","PO Box 1365, Gulf Shores, Alabama 36547",(334) 546-3624,
EKI SUSHI,TABS2026010522,EKI SUSHI,"1700 N CENTRAL EXPRESSWAY #STE. 300, Plano, TX 75074",Collin,3/1/2026,11/30/2026,"$270,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR REMODEL ,"3,800 ft 2",1700 N CENTRAL REALTY LLC,"1606 FREDERICKSBURG DR, ALLEN, Texas 75013",(972) 792-9888,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010522,,,,CHANG SHENG YE
THE OFFICES AT MCKINNEY CROSSING BLDG 8,TABS2026010521,THE OFFICES AT MCKINNEY CROSSING,"3801 N CENTRAL EXPRESSWAY SB BLDG 8, Mckinney, TX 75071",Collin,3/1/2026,9/1/2026,"$400,000",New Construction,"This project is privately funded, on private land for private use.",NEW GROUND UP SHELL ,"5,500 ft 2",CLF - MCKINNEY 1 LLC,"8072 PRESTON RD #STE. 205, FRISCO, Texas 75034",(214) 497-7725,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010521,NOVE STUDIOS LLC,"1721 W PLANO PKWY #STE. 218, PLANO, Texas 75075",(214) 814-1178,
QuikTrip # 916 Fryer Project,TABS2026010496,QuikTrip # 916,"1700 S McDonald Street, Mckinney, TX 75069",Collin,4/5/2026,4/20/2026,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Includes re-organization of existing kitchen equipment and addition of new fryer units. Project 300 sf.,300 ft 2,"QT South, LLC","4705 S. 129th East Avenue, Tulsa, Oklahoma 74134",(945) 455-6426,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010496,"Daniel D. Filuk, Architect","1747 E. Morten Ave., Suite 111, Phoenix, Arizona 85020",(602) 234-1868,
Melissa Shopping Plaza - Building 2,TABS2026010493,Melissa Shopping Plaza - Building 2,"Bucees Blvd, Melissa, TX 75454",Collin,2/1/2026,5/1/2026,"$1,649,550",New Construction,"This project is privately funded, on private land for private use.",New construction of retail building ,"10,997 ft 2","BMS Investment Group, LLC","6383 Francis Lane, Frisco, Texas 75035",(214) 986-4538,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010493,,,,
QuikTrip # 913 Fryer Project,TABS2026010492,QuikTrip # 913,"4151 Stacy Rd, Mckinney, TX 75070",Collin,4/5/2026,4/20/2026,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Includes reorganization of existing kitchen equipment and addition of new fryer units. ,300 ft 2,"QT SOUTH, LLC","4705 S. 129th E Ave, Tulsa, Oklahoma 74134",(945) 455-6423,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010492,"DANIEL D. FILUK, ARCHITECT","1747 E. MORTEN AVE SUITE 111, PHOENIX, Arizona 85020",(602) 234-1868,
Melissa Shopping Plaza - Building 1,TABS2026010478,Melissa Shopping Plaza - Building 1,"Bucees Blvd, Melissa, TX 75075",Collin,2/1/2026,5/1/2026,"$1,635,900",New Construction,"This project is privately funded, on private land for private use.",New construction of shopping center building,"10,906 ft 2","BMS Investment Group, LLC","6383 Francis Lane, Frisco, Texas 75035",(214) 986-4538,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010478,,,,
Parker Social,TABS2026010469,West Plano Village,"5973 Parker Road, Plano, TX 75093",Collin,3/2/2026,8/3/2026,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior - Bar - Dining Room renovation,"8,333 ft 2",WEST PLANO VILLAGE LTD,"3102 MAPLE AVE Suite 500, Dallas, Texas 75201",(214) 954-0600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010469,B. Russo Designs,"15914 Midway Road, Addison, Texas 75201",(214) 957-2946,Robert Clayton
"PLAYA BOWLS - MCKINNEY, TX",TABS2026010452,Eldorado Neighborhood Shops,"3200 South Stonebridge Drive, Suite 104, Mckinney, TX 75070",Collin,3/1/2026,6/1/2026,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Fit-up Playa Bowls Restaurant,"1,565 ft 2",Eldorado Neighborhood Shops Holdings,"5830 Granite Parkway, Suite 100-215, Plano, Texas 75024",(214) 907-5356,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010452,GRA Design Studio,"239 US Hwy 22; Suite 301, Green Brook, New Jersey 08812",(908) 356-0132,Acai North LLC c/o James Smethie
Shops at Willow Grove Phase 1,TABS2026010441,Shops at Willow Grove,"NE Corner of State Highway 75 & Willow Grove Way, Melissa, TX 75434",Collin,3/1/2026,12/1/2026,"$2,900,000",New Construction,"This project is privately funded, on private land for private use.",Single story retail building with,"12,086 ft 2",Willow Grove Commercial Partners LLC,"13361 Rembrandt Dr, Frisco, Texas 75035",(980) 229-1468,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010441,Rashmi C Inc.,"4117 Old Pleasant Ridge Road, Arlington, Texas 76016",817-891-7918,
25095 - Elliot Electric TI,TABS2026010397,McKinney Commerce Center - Building A,"3200 N. Central Expy Suite 100, Mckinney, TX 75074",Collin,1/1/2026,4/30/2026,"$750,000",New Construction,"This project is privately funded, on private land for private use.","New open office area with private offices, conference room, restrooms and storage","4,903 ft 2",Kapman Childrens Trust,"153 Treeline Park Suite 200, San Antonio, Texas 78209",(212) 282-2000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010397,RGA Architects Inc.,"301 S. Oak Street Suite 100, Roanoke, Texas 76262",(817) 430-3382,
