project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
Wylie Executive Suite,TABS2026027311,Wylie Executive Suites,"514 N Ballard Ave, Wylie, TX 75098",Collin,9/1/2026,11/15/2026,"$75,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodeling residential to 3 commercial private suites,"1,720 ft 2",JTEZ Holdings LLC,"1760 Old Millwood Rd, Rockwall, Texas 75087",(469) 667-0176,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026027311,,,,
Prosper Fresh Initiative,TABS2026027269,HEB Prosper,"2145 W Frontier Parkway, Prosper, TX 75078",Collin,12/7/2026,1/11/2027,"$739,190",Renovation/Alteration,"This project is privately funded, on private land for private use.",Minor interior remodel,475 ft 2,HEB LP,"646 S Flores St, San Antonio, Texas 78204",(956) 337-8833,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026027269,Absolute Design Partners,"32600 US Hwy 281 N, Bulverde, Texas 78163",(210) 885-9338,
Raytheon MK Z1n CMD Ops ATP Vibe Area Changes,TABS2026027265,RTX Enterprise Services - Wing Z North,"2501 W. University Dr., Mckinney, TX 75071",Collin,9/1/2026,11/30/2026,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","1,129 of interior renovation to the existing Vibe area.","1,129 ft 2",RTX Enterprises Services,"2501 W. University Dr., McKinney, Texas 75071",945.333.4809,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026027265,REES,"2777 N. Stemmons Freeway Suite 1140, Dallas, Texas 75207",214.232.5332,
McKinney Fresh Initiative,TABS2026027260,HEB McKinney,"8700 Eldorado Parkway, Mckinney, TX 75070",Collin,11/30/2026,12/21/2026,"$560,155",Renovation/Alteration,"This project is privately funded, on private land for private use.",Minor interior remodel,250 ft 2,HEB Grocery Company LP,"646 S Flores St, San Antonio, Texas 78204",(956) 337-8833,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026027260,Absolute Design Partners,"32600 US Hwy 281 N, Bulverde, Texas 78163",(210) 885-9338,
THE OFFICE AT PRESTONBROOK #1003,TABS2026027224,THE OFFICES AT PRESTONBROOK,"7700 PRESTON RD #STE. 1003, Frisco, TX 75034",Collin,9/1/2026,2/1/2027,"$150,000",New Construction,"This project is privately funded, on private land for private use.",FINISH OUT ,"3,055 ft 2",CLE-FRISCO 1 LLC,"8072 PRESTON RD #STE. 205, FRISCO, Texas 75034",(214) 497-7725,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026027224,NOVE STUDIOS LLC,"1721 W PLANO PKWY #STE. 218, PLANO, Texas 75075",(214) 814-1178,
Allen Fresh Initiative,TABS2026027187,HEB Allen,"575 E. Exchange Pkwy. Suite #1100, Allen, TX 75002",Collin,12/7/2026,1/11/2027,"$750,752",Renovation/Alteration,"This project is privately funded, on private land for private use.",Minor interior remodel,300 ft 2,HEB Grocery Company LP,"646 S Flores St, San Antonio, Texas 78204",(956) 337-8833,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026027187,Absolute Design Partners,"32600 US Hwy 281 N, Bulverde, Texas 78163",(210) 885-9338,
Cigna Right Size + Refresh,TABS2026027129,*,"1640 Dallas Pkwy,, Plano, TX 75093",Collin,9/1/2026,12/31/2026,"$1,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Refresh of existing tenant space. Project includes new partitions, finishes, and two new single-user restrooms. Modifications to existing MEP to accommodate.","6,552 ft 2",Cole CI Plano TX LLC,"PO BOX 460069, Houston, Texas 77056",512-325-1347,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026027129,HSB Architects + Engineers,"1250 Old River Rd. Suite 201, Cleveland, Ohio 44113",216-586-0229,Timothy J Barba
Celestica CRT3,TABS2026027058,Celestica CRT3,"2801 Telecom Parkway, Richardson, TX 75083",Collin,9/3/2026,3/15/2027,"$70,000,000",New Construction,"This project is privately funded, on private land for private use.","Tenant fit out of manufacturing space, 225,000 SF","225,000 ft 2","HIG/DSP Richardson Owner, LLC","350 W. Hubbard St., Suite 605, Chicago, Illinois 60654",630-204-9352,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026027058,Pope Design Group,"767 N. Eustis Ave, St Paul, Minnesota 55114",651-354-1690,
"Dutch Bros Coffee - Celina, TX",TABS2026026942,Dutch Bros Coffee,"1500 W Frontier Pkwy, Prosper, TX 75078",Collin,10/25/2026,4/30/2027,"$600,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior remodel for a 986 sq ft Dutch Bros Coffee.,986 ft 2,"DW Frontier Bros, LLC","4403 N. Central Expressway, Suite 110, Dallas, Texas 75205",214-720-0004,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026026942,Franz Architects,"7608 Benbrook Parkway, Benbrook, Texas 76126",(817) 737-9922,
Brunch Loft,TABS2026026914,"2549 Bldg, LOT 9","2549 Rosamond Pkwy. Ste 100, Anna, TX 75071",Collin,9/15/2026,2/8/2027,"$800,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant improvements for Brunch Loft, a modern breakfast and lunch restaurant. ","5,000 ft 2","SGI ANNA SEC-1, LLC","1110 Cowan Road, Celina, Texas 75009",(877) 244-8532,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026026914,,,,Jack Amiti
Celina Downtown WRF Improvements,TABS2026026890,Administration Building,"700 North Florida Drive,, Celina, TX 75009",Collin,1/1/2025,6/30/2027,"$1,202,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","1,992 Gross SF building for use by the City for administrative office and wastewater treatment plant management. Includes office spaces, control room, lab, electrical room, break/conference room, restrooms, and mechanical room.","1,992 ft 2",City of Celina,"142 N Ohio St, Celina, Texas 75009",(972) 382-2682,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026026890,"Garver, LLC","4701 Northshore Drive, North Little Rock, Arkansas 72118",501-537-3248,
