project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
Sunrider - Phase 1B,TABS2024022465,Sunrider,"5048 Tennyson Parkway, Plano, TX 75024",Collin,9/2/2024,1/3/2025,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of building reception and entry areas.,"1,168 ft 2",Sunrider,"5048 Tennyson Parkway, Plano, Texas 75024",903-235-8646,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022465,,,,
Sunrider - Phase 1A,TABS2024022464,Sunrider,"5048 Tennyson Parkway, Plano, TX 75024",Collin,9/2/2024,1/3/2025,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior renovation of spec suite, restrooms, common corridor, cafe, wellness, and janitor closet.","5,930 ft 2",Sunrider,"5048 Tennyson Parkway, Plano, Texas 75024",903-235-8646,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022464,,,,
Accessibility Updates and Office and Sunday School Room Reconfiguration,TABS2024022455,CITIZENS CHURCH,"4501 LEGACY DR, Plano, TX 75024",Collin,9/1/2024,8/1/2025,"$1,160,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR RENOVATION ,"19,333 ft 2",CITIZENS CHURCH,"4501 LEGACY DR, PLANO, Texas 75024",(972) 467-8382,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022455,TLS ARCHITECT LLC,"1615 BARCLAY DR, CARROLLTON, Texas 75007",(214) 533-9899,
THE MANIFEST BARBERSHOP,TABS2024022448,FLORENCE MIXED USE,"4051 S Custer Rd, Suite 2250, Mckinney, TX 75070",Collin,7/30/2024,11/27/2024,"$80,000",New Construction,"This project is privately funded, on private land for private use.",Interior finish out,"1,450 ft 2",Ahmadov Teymur,"8701 Desert Dunes Trail, McKinney, Texas 75070",(917) 495-6987,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022448,,,,
Office Shell Building B,TABS2024022420,Villages of Melissa,"Scott St. & McKinney St., Melissa, TX 75454",Collin,8/26/2024,5/26/2025,"$852,035",New Construction,"This project is privately funded, on private land for private use.",New Construction-cold shell building for office use,"7,409 ft 2",Ashish Maddi,"15015 Snowshill Dr. Ste 127-627, Frisco, Texas 75035",(469) 363-2259,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022420,MCP Architects PLLC,"8901 Tehama Ridge Pkwy Ste 127-627, FORT WORTH, Texas 76177",(214) 227-8469,
Star Business Park Bldg 3 Spec Office,TABS2024022392,Star Business Park,"Frisco, TX, Frisco, TX 75033",Collin,8/1/2024,10/15/2024,"$400,000",New Construction,"This project is privately funded, on private land for private use.",Construction of a small spec office within a warehouse. ,"29,801 ft 2",Blue Star Land,"8000 Warren Pkwy Suite 100, Frisco, Texas 75034",(214) 437-3653,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022392,"Alliance Architects, Inc.","1600 N. Collins Blvd. Suite 1000, Richardson, Texas 75080",(972) 233-0400,
DFW01B - DH 120,TABS2024022389,STACK DFW01B,"6715 PINECREST DRIVE, Plano, TX 75024",Collin,8/1/2024,8/1/2025,"$16,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","26,000 SF Fit Out of an existing Data Hall and support spaces including 1,000 SF office and storage space.","26,000 ft 2",STACK INFRASTRUCTURE,"1700 BROADWAY, SUITE 1750, DENVER, Colorado 80290",(815) 354-7513,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022389,,,,
TLG- Frisco TX,TABS2024022341,Frisco Little Gym,"8250 Gaylord Pkwy, Frisco, TX 75034",Collin,9/1/2024,10/1/2024,"$270,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of indoor gymnastics facility.,"4,102 ft 2",Brooke Tanner,"8250 Gaylord Pkwy, Frisco, Texas 75034",(903) 413-1292,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022341,Pistil Consortia L.L.C.,"600 parker sq, Frisco, Texas 75034",(817) 718-4721,
Red River Title Company,TABS2024022322,Anna Retail Addition,"751 Buddy Hayes Blvd, Suite 101, Anna, TX 75409",Collin,8/5/2024,10/7/2024,"$340,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior finish-out for Red River Title Company office with reception, conference rooms, offices, a break room and restrooms.","2,507 ft 2","Sapphire Retail One, LLC","4708 N. FM 1417, Sherman, Texas 75092",(903) 813-1415,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022322,"Bluestone Partners, LLC","4708 FM 1417, Sherman, Texas 75092",903-813-1415,Doris Caston
7th Floor Corridor & Lobby,TABS2024022318,Granite Park 6,"5525 Granite Parkway, 7th Floor, Plano, TX 75024",Collin,7/3/2024,9/27/2024,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Construct corridor and elevator lobby from shell condition.,"2,269 ft 2",Granite Properties,"5601 Granite Parkway, Suite 1200, Plano, Texas 75024",(972) 731-2300,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022318,Entos Design,"5400 Lyndon B Johnson Frwy, Suite 125, Dallas, Texas 75240",(972) 770-2222,
