project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
Cajun Claws,TABS2026009112,Frisco Bridges North,"3685 Preston Rd #167, Frisco, TX 75034",Collin,1/7/2026,3/7/2026,"$320,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of 2,565 SF including paint, flooring, ceiling, equipment replacement, new kitchen hood, new HVAC, and and  countertop replacement.","2,565 ft 2","NWC Preston/Warren, Ltd","3102 Maple Ave #500, Dallas, Texas 75034",(214) 720-6600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009112,,,,
Select Medical - Specialty Hospital Renovation,TABS2026009105,Lifecare Hospital of Plano,"6800 Preston Rd., Plano, TX 76112",Collin,1/14/2026,7/30/2026,"$16,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of an existing 3-story hospital facility.  The alteration consists of 51 patient beds, support spaces, admin areas, and lab on levels 1 and 2. Level 3 alteration includes the existing pharmacy, dialysis suite, storage, and admin areas.","80,167 ft 2",Nant Real Estate Plano,"1420 W. Mockingbird Lane, ste #420, Dallas, Texas 75247",(214) 477-1411,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009105,Select Medical,E4H Architecture,"801 Cherry Lane, ste #500, Fort Worth, Texas 76102",(817) 226-1917
Hancock Whitney Bank,TABS2026009102,Hancock Whitney Bank,"Preston Rd, Plano, TX 75093",Collin,3/26/2026,9/20/2026,"$600,000",New Construction,"This project is privately funded, on private land for private use.",new ground up construction ,"2,820 ft 2",Aiden Xu,"2600 S Gesser Rd suite 500, Houston, Texas 77096",(713) 435-2236,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009102,,Fusion AE,"6201 Campus Circle Dr E 6201 Campis Circle Dr E, Irving, Texas 75063",(972) 870-1288
1st India Plaza Office,TABS2026009098,1st India Plaza LLC,"8450 Angles Dr, Plano, Texas 75024, Plano, TX 75024",Collin,2/20/2026,7/30/2026,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","THIS PROJECT IS A FIRST-TIME TENANT INFILL OF A 2,391 SQ. FT. OFFICE","2,391 ft 2",Gopal Pabari,"6217 monte Cristo Lane, Plano, Tx 75024, Plano, Texas 75024",(469) 982-2587,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009098,,Design Group LLC,"2494 Bunnels Fork Road, Frisco, Tx 75036, Frisco, Texas 75036",901.603.8765
EverOak Dermatology and Aesthetics Center,TABS2026009072,EverOak Dermatology and Aesthetics Cente,"3925 S. Preston Rd. Suite 103, Celina, TX 75078",Collin,1/26/2026,4/30/2026,"$129,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"2,318 ft 2",Mahsa Karavan,"3925 S Preston Rd. Suite 103, Celina, Texas 75078",(206) 992-7192,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009072,,"J.A. Greene Construction Services, LLC.","11960 Barker Cypress Road Suite 400, Cypress, Texas 77433",(832) 220-6371
Tenant Lounge,TABS2026009062,Offices 3 At Frisco Station,"5844 John Hickman Parkway 2nd Floor, Frisco, TX 75034",Collin,1/1/2026,6/30/2026,"$257,362",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation/ Alteration,"1,297 ft 2",Offices 3 at Frisco Station LP,"4900 Main Street Suite 800, Kansas City, Missouri 64112",(816) 569-1441,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009062,,Schwabauer Design,"1600 N Collins Suite 1900, Richardson, Texas 75080",(469) 804-2400
Spec Suite 280,TABS2026009060,Offices 3 At Frisco Station,"5844 John Hickman Parkway Suite 280, Frisco, TX 75034",Collin,1/1/2026,6/30/2026,"$219,824",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation/ Alteration,"2,032 ft 2",Offices 3 at Frisco Station LP,"4900 Main Street Suite 800, Kansas City, Missouri 64112",(816) 569-1441,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009060,,Schwabauer Design,"1600 N Collins Suite 1900, Richardson, Texas 75080",(469) 804-2400
Spec Suite 220,TABS2026009057,Offices 3 At Frisco Station,"1600 N Collins Suite 1900, Frisco, TX 75080",Collin,1/1/2025,6/30/2026,"$366,039",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation/ Alteration,"4,085 ft 2",Offices 3 at Frisco Station LP,"4900 Main Street Suite 800, Kansas City, Missouri 64112",(816) 569-1441,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009057,,Schwabauer Design,"1600 N Collins Suite 1900, Richardson, Texas 75080",(469) 804-2400
Spec Suite 210,TABS2026009055,Offices 3 At Frisco Station,"5844 John Hickman Parkway Suite 210, Frisco, TX 75034",Collin,1/1/2026,6/30/2026,"$321,027",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation/ Alteration,"5,218 ft 2",Offices 3 at Frisco Station LP,"4900 Main Street Suite 800, Kansas City, Missouri 64112",(816) 569-1441,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009055,,Schwabauer Design,"1600 N Collins Suite 1900, Richardson, Texas 75080",(469) 804-2400
Spec Suite 200,TABS2026009051,Offices 3 At Frisco Station,"5844 John Hickman Parkway Suite 200, Frisco, TX 75034",Collin,1/1/2025,6/30/2026,"$205,263",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation/ Alteration,"2,244 ft 2",Offices 3 at Frisco Station LP,"4900 Main Street Suite 800, Kansas City, Missouri 64112",(816) 569-1441,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009051,,Schwabauer Design,"1600 N Collins Suite 1900, Richardson, Texas 75080",(469) 804-2400
