project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
Skyway Villas Apartments Renovations,TABS2026011957,Skyway Villas Apartments,"2000 Skyline Drive, Mckinney, TX 75071",Collin,7/1/2026,1/1/2028,"$20,000,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Interior and exterior renovation of 233 existing apartment units,"212,000 ft 2",Skyway Villas LTD,"4401 N. Mesa St., El Paso, Texas 79902",(213) 533-3769,Benton Design Group,"1520 S. Fifth Street Suite 304, St. Charles, Missouri 63033",(636) 515-0382,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011957,
Edikted,TABS2026011955,Stonebriar Centre,"2601 Preston rd, Suite 1217, Frisco, TX 75034",Collin,4/1/2026,7/1/2026,"$375,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","New fixtures, finishes, power, lighting, restroom, mop sink, storefront & hvac ductwork","5,556 ft 2",Stonebriar Mall LLC,"P.O Box 101042, Chicago, Illinois 60610",469-920-2180,Simone Architecture,"822 E 22nd Ave, New Smyrna Beach, Florida 32169",(973) 214-4084,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011955,Isaac Bachar
MVH - Frisco Tower Spec Suite,TABS2026011915,MCF Medical Office building,"5575 Frisco Square Blvd Suite 330, Frisco, TX 75034",Collin,2/7/2026,5/1/2026,"$350,000",New Construction,"This project is privately funded, on private land for private use.",Interior Design 2193,"2,193 ft 2",Medical City of Frisco,"8140 Walnut Hill Lane Suite 360, Dallas, Texas 75231",(214) 461-2354,MPI Architects,"4949 Addison Circle, Addison, Texas 75001",972-788-0078,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011915,
Spec Suite 240,TABS2026011885,Legacy Center,"5445 Legacy Drive Suite 240, Plano, TX 75024",Collin,2/6/2026,4/20/2026,"$170,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of existing office space in a high rise building.,"6,606 ft 2",LEGACY CENTER LLC,"14567 N OUTER 40 RD Suite 350, CHESTERFIELD, Missouri 63017",(972) 759-7700,Go Studio,"1201 Main Street Suite 1370, Dallas, Texas 75202",(214) 420-4646,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011885,
AirPark Business Center Building 2,TABS2026011882,AirPark Business Center Building 2,"TBD, Mckinney, TX 75069",Collin,4/1/2026,4/1/2027,"$10,820,000",New Construction,"This project is privately funded, on private land for private use.",New Concrete Tilt up Shell Buidling,"108,241 ft 2",CRP IV McKinney TX,"1300 Dove street Suite 200, Newport Beach, California 92660",817-808-7275,Alliance Architects,"1600 N. Collins Blvd. Suite 1000, Richardson, Texas 75080",(972) 233-0400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011882,
Spec Suite 220,TABS2026011879,Legacy Center,"5445 Legacy Drive Suite 220, Plano, TX 75024",Collin,2/6/2026,4/20/2026,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of existing office space in a high rise building,"4,041 ft 2",LEGACY CENTER LLC,"14567 N OUTER 40 RD Suite 350, CHESTERFIELD, Missouri 63017",(972) 759-7700,Go Studio,"1201 Main Street Suite 1370, Dallas, Texas 75202",(214) 420-4646,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011879,
AirPark Business Center Building 1,TABS2026011878,AirPark Business Center Building 1,"TBD, Mckinney, TX 75069",Collin,4/1/2026,4/1/2027,"$14,000,000",New Construction,"This project is privately funded, on private land for private use.",New Concrete Tilt Up Shell,"139,912 ft 2",CRP IV McKinney TX,"1300 Dove street Suite 200, Newport Beach, California 92660",817-808-7275,Alliance Architects,"1600 N. Collins Blvd. Suite 1000, Richardson, Texas 75080",(972) 233-0400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011878,
FANGTASTIC MUSIC STUDIO,TABS2026011877,-,"201 E BETHANY DR #STE. 15, Allen, TX 75002",Collin,3/1/2026,6/1/2026,"$58,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR RENOVATION ,"1,659 ft 2",DAVID & GIOVANNI ROMAN,"201 E BETHANY DR #STE. 1, ALLEN, Texas 75002",(903) 449-7118,MAAXIV DESIGN STUDIO,"1704 VINE BROOK RD, WYLIE, Texas 75098",(505) 400-1415,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011877,MICHAEL FANG
Peak Physical Therapy - Melissa,TABS2026011876,"Haimark Center, LLC","1520 Scott St Ste 300, Melissa, TX 75454",Collin,2/16/2026,4/3/2026,"$199,350",Renovation/Alteration,"This project is privately funded, on private land for private use.","This project is the tenant buildout of a 1824 SF ground level suite in an existing tenant building. Intended use is for outpatient physical therapy. No change in egress, occupancy, or structure are anticipated in this scope of work. ","1,824 ft 2","Haimark Center, LLC","1520 Scott St Ste 800, Melissa, Texas 75454",(972) 589-7589,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011876,
Price Firm,TABS2026011863,Price Firm,"5677 W Spring Creek Pkwy Suite 205, Plano, TX 75024",Collin,3/15/2026,6/15/2026,"$270,000",New Construction,"This project is privately funded, on private land for private use.",Interior finish out of shell space to create a general office space for a law firm,"2,166 ft 2",Spring Creek Office Plaza LLC,"16818 DALLLAS PKWY SUITE 100, Dallas, Texas 75248",972-897-0562,Ramsey and Reyes,"2235 RIDGE ROAD SUITE 300, Rockwall, Texas 75087",972-345-1684,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011863,Warren Price
Light Farms Lot 05,TABS2026011861,Light Farms Lot 05,"3540 S. Dallas Parkway, Celina, TX 75009",Collin,3/1/2026,12/31/2026,"$1,900,000",New Construction,"This project is privately funded, on private land for private use.","New building with 12,627 s.f. ","12,637 ft 2","Tru Property Development, LLC","6010 W. Spring Creek Parkway #95, Plano, Texas 75024",(469) 766-8736,Materia Architecture Studio,"8500 Lakehurst Road, El Paso, Texas 79912",(210)563-0186,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011861,
Spec Suite 200,TABS2026011838,Legacy Center,"5445 Legacy Drive Suite 200, Plano, TX 75024",Collin,2/5/2026,4/20/2026,"$160,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of existing office space in a high rise building.,"2,707 ft 2",LEGACY CENTER LLC,"14567 N OUTER 40 RD Suite 350, CHESTERFIELD, Missouri 63017",(972) 759-7700,Go Studio,"1201 Main Street Suite 1370, Dallas, Texas 75202",(214) 420-4646,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011838,
