project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
North Watters Retail,TABS2025023916,North Watters Retail,"981 SH 121 & 981 SH 121 2, Allen, TX 75013",Collin,9/1/2025,7/31/2026,"$3,000,000",New Construction,"This project is privately funded, on private land for private use.","Two New Construction Building Shells , one bldg 9,026 SF, one bldg 6,268 SF","15,294 ft 2",Ghalambor Properties XII LLC,"981 SH 121 Suite 4150, Allen, Texas 75013",(469) 766-7967,Triune Architects,"11966 Salisbury Dr., Frisco, Texas 75035",(972) 363-6155,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023916,
Watters Creek Surgery Center,TABS2025023913,North Watters Retail,"999 SH 121, Allen, TX 75013",Collin,9/1/2025,9/1/2026,"$1,750,000",New Construction,"This project is privately funded, on private land for private use.","New Construction, interior finish out, 5,857 SF medical facility","5,857 ft 2",Ghalambor Properties XII LLC,"981 SH 121 Suite 4150, Allen, Texas 75013",(469) 766-7967,Guide Architecture,"1108 Quaker St. Suite 130, Dallas, Texas 75207",(214) 960-9773,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023913,
BLACKLAND PARTNERS,TABS2025023908,6500 Meyer Way,"6500 Meyer Way, Suite 302, Mckinney, TX 75070",Collin,8/4/2025,10/31/2025,"$520,000",New Construction,"This project is privately funded, on private land for private use.",8081 SF Office Tenant Finish-out in existing shell space.,"8,081 ft 2","RPMx Construction, LLC","6500 Meyer Way, Suite 100, McKinney, Texas 75070",(469) 446-4130,Kline Hardin Architects,"1921 State Hwy 121, Suite 250, Lewisville, Texas 75056",(972) 331-5699,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023908,Chuck Wright
J jill,TABS2025023898,Preston Park Village,"1900 Preston Road, Suite 161, Plano, TX 75093",Collin,8/29/2025,11/21/2025,"$650,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","3,925 SF.  Tenant Improvement including new non-structural walls, finishes, fixtures, plumbing, electrical and mechanical","3,925 ft 2",BRE Throne Preston Park LLC,"3259 Preston Road, Suite 2, Frisco, Texas 75034",215.936.7177,Shremshock Architects,"7775 Walton Pkwy, Suite 250, New Albany, Ohio 43054",614-545-4550,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023898,Allen Sandish
Level 3 - Multi-tenant Corridor,TABS2025023897,6500 Meyer Way,"6500 Meyer Way, 3rd Floor, Mckinney, TX 75070",Collin,8/4/2025,10/31/2025,"$120,000",New Construction,"This project is privately funded, on private land for private use.","Interior construction of a new 2,500 SF multi-tenant corridor in existing shell space.","2,500 ft 2","RPMx Construction, LLC","6500 Meyer Way, Suite 100, McKinney, Texas 75070",(469) 446-4130,Kline Hardin Architects,"1921 State Hwy 121, Suite 250, Lewisville, Texas 75056",(972) 331-5699,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023897,
HORIZON MEDICAL CENTER - REHAB HOSPITAL,TABS2025023873,HORIZON MEDICAL CENTER,"6601 W. UNIVERSITY DR., Mckinney, TX 75071",Collin,8/1/2025,7/2/2026,"$8,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",ADDING REHAB GYM AND PT. BEDS ,"19,000 ft 2",HEALTHCARE AMERICA LLC,"2515 MCKINNEY AVE. SUITE 920, DALLAS, Texas 75201",(214) 298-3762,"STROHMEYER ARCHITECTS, INC","2701 SUNSET RIDGE RD. #601, ROCKWALL, Texas 75032",(214) 952-0527,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023873,DENNISE ERWIN
Office / Maintenance,TABS2025023868,1876 Country Club,"3300 North Legacy Drive, Celina, TX 75009",Collin,8/1/2025,11/1/2025,"$300,000",New Construction,"This project is privately funded, on private land for private use.",New construction of a prefabricated metal building with offices and a maintenance garage for the golf course facility.  ,"1,975 ft 2",1876 Country Club LLC,"1800 Valley View Lane Suite 300, Farmers Branch, Texas 75234",(972) 890-7904,Midtown Architects,"1801 Wittington Place Suite 120, Famers Branch, Texas 75234",(214) 396-5573,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023868,
Comfort Station - Large,TABS2025023865,1876 Country Club,"3500 North Legacy Drive, Celina, TX 75009",Collin,8/1/2025,11/1/2025,"$76,000",New Construction,"This project is privately funded, on private land for private use.","New construction of a wood framed golf course comfort station containing two restrooms, a commercial kitchen and small dining area.","1,523 ft 2",1876 Country Club LLC,"1800 Valley View Lane Suite 300, Farmers Branch, Texas 75234",(972) 890-7904,Midtown Architects,"1801 Wittington Place Suite 120, Famers Branch, Texas 75234",(214) 396-5573,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023865,
Baylor Scott & White McKinney SPD Washer Installation,TABS2025023863,Baylor Scott & White Medical Center of Mckinney,"5252 W. University Drive, Mckinney, TX 75071",Collin,8/15/2025,10/15/2025,"$131,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",This 100-sf project involves the installation of a new pass-through disinfection washer. It requires the removal of an existing stainless-steel panel and modification to existing MEP.,100 ft 2,Baylor Scott and White Medical Center of McKinney,"301 N. Washington, Dallas, Texas 75246",(281) 733-9801,"Beck Architecture, LLC.","1601 Elm Street, Suite 2800, Dallas, Texas 75201",(214) 303-6200,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023863,
OccMD,TABS2025023847,Tower at Lakeside,"2221 Lakeside Blvd 1110, Richardson, TX 75082",Collin,7/21/2025,8/31/2025,"$149,554",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"4,013 ft 2",Lakeside Commercial 2024 LP,"10210 N Central Expressway, Dallas, Texas 75231",(214) 697-8781,Entos Design,"5400 LBJ FREEWAY SUITE 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023847,
ANGEL WAREHOUSE,TABS2025023841,ANGEL WAREHOUSE,"620 SHILOH ROAD, SUITE 160, Plano, TX 75074",Collin,9/1/2025,9/1/2027,"$5,000,000",New Construction,"This project is privately funded, on private land for private use.",WAREHOUSE,"49,000 ft 2","Angel Hospitality, LLC","620 Shiloh Road, Suite 160, Plano, Texas 75074",(469) 367-5190,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023841,
AGHA JUICE & CAFE,TABS2025023821,RETAIL CENTER,"2040 SPRING CREEK PKWY #STE, 138, Plano, TX 75023",Collin,8/10/2025,2/10/2026,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",REMODEL ,"2,500 ft 2",PLANO CUSTER CREEK LP,"11237 SOUTHWEST FREEWAY #STE, 100, HOUSTON, Texas 79424",(832) 404-6060,CORINTHIAN DESIGN ASSOCIATES LLC,"10420 AMBERGATE LN, FRISCO, Texas 75035",(214) 223-4501,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023821,LAREB SAEED
Coram Deo Academy Collin County 1st Floor Reno,TABS2025023820,Coram Deo Academy,"9725 Independence Pkwy, Plano, TX 75025",Collin,7/21/2025,8/29/2025,"$86,703",Renovation/Alteration,"This project is privately funded, on private land for private use.","demolition of interior non load bearing walls, doors, finishes, non-compliant in-classroom convenience restrooms.  Build back non-structural wall partitions, doors and finishes","3,027 ft 2","Coram Deo Academy, Inc.","417 Oakbend Dr, Lewisville, Texas 75067",(972) 691-5648,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023820,
Kiddie Academy Princeton,TABS2025023799,Kiddie Academy Educational Child Care,"2121 Monte Carlo Blvd., Princeton, TX 75407",Collin,10/1/2025,10/30/2026,"$4,200,000",New Construction,"This project is privately funded, on private land for private use.","New Construction for a single-story Childcare center, 11,729 SF with Architectural, Structural, MEP and Civil site work.","11,729 ft 2","Kiddie Academy Domestic Franchising, LLC","3415 Box Hill Corp. Center Drive, Abingdon, Maryland 21009",469-422-0889,Jarmel Kizel Architects and Engineers Inc.,"42 Okner Parkway, Livingston, New Jersey 07039",(973) 996-9669,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023799,
claw machine,TABS2025023798,bearbit claw master,"2001 coit rd ste 310, Plano, TX 75075",Collin,8/1/2025,9/30/2025,"$80,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",remodeling,"2,485 ft 2",kevin kwan,"11611 curate wind ct, richmond, Texas 77407",(832) 841-0818,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023798,
Dick's Sporting Goods,TABS2025023787,Stonebriar Center,"2605 Preston Road, Frisco, TX 75034",Collin,11/24/2025,11/6/2026,"$16,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Selective demolition of vacant tenant space (formerly used by sears department store) for a Dick's Sporting Goods House of Sports. ,"142,415 ft 2",Dick's Sporting Goods,"345 Court Street, Coraopolis, Pennsylvania 15108",412-925-8311,ONYX Creative,"25001 Emery Dr, Emery Dr, Suite 400, Cleveland, Ohio 44128",216-223-3242,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023787,
Planet Fitness - Plano,TABS2025023786,Planet Fitness - Plano,"6401-125 W. Plano Pkwy, Plano, TX 75093",Collin,9/1/2025,12/19/2025,"$850,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior remodel of vacant tenant space to new Planet Fitness gym,"24,832 ft 2",Inland Park Place LP,"PO BOX 37082 Suite 200, Charlotte, North Carolina 28237",(210) 413-6779,pb2 architecture + engineering,"PO BOX 2076, Rogers, Arkansas 72757",(479) 878-3731,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023786,
REI Co-Op,TABS2025023774,The Gates of Prosper,"1081 Gates Parkway #300, Prosper, TX 75078",Collin,11/10/2025,2/13/2026,"$1,250,000",New Construction,"This project is privately funded, on private land for private use."," Tenant improvement of a demised retail space. Work includes: general build out of the interior space, including but not limited to retail areas, cashier, offices, restrooms, storage areas and storage racking. 23845 SF","23,845 ft 2",Blue Star Land,"8000 Warren Parkway #100, Frisco,, Texas #100",(972) 497-4854,"Robert F. Vanney, Architect","149 Thompson Avenue East #115, West Saint Paul, Minnesota 55118",651-222-4642,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023774,Trevor Cottell
Naveen Jindal School of Management,TABS2025023763,JSOM III,"800 W. Campbell Road, Richardson, TX 75080",Collin,1/30/2025,6/30/2026,"$76,417,333",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","126,650 square feet new construction three levels above grade. Site improvements include new sidewalks and landscape terraces. Building program includes classrooms, offices, computer labs, and multi-purpose room.","126,650 ft 2",University of Texas at Dallas,"210 W. 7th Street, Austin, Texas 78701",(972) 883-5377,Perkins & Will,"2218 Bryan Street, Suite 200, Dallas, Texas 75201",214-624-5586,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023763,
Andalous Mediterranean Grill,TABS2025023761,Panther Creek Crossing,"5199 Panther Creek Parkway Building-B Suite #300, Frisco, TX 75068",Collin,10/1/2025,2/1/2026,"$300,000",New Construction,"This project is privately funded, on private land for private use.",Interior Finish out for Restaurant - 2404 square feet,"2,404 ft 2","SWC Dallas North Tollway, Panther Creek","4588 Kentucky Dr., Plano, Texas 75024",(214) 796-6489,Rashmi C Inc.,"4117 Old Pleasant Ridge Road, Arlington, Texas 76016",(817) 891-7918,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023761,Wassim Merched
