project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
Ericsson Speed Gates - Phase I,TABS2025013426,Ericsson,"6300 Legacy Drive, Plano, TX 75024",Collin,3/19/2025,8/15/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Replace few Speed gates at (4) locations and adding Turnstiles - Revolving doors with Exit doors and (3) locations.,"1,100 ft 2",Ericsson Inc.,"6300 Legacy Drive, Plano, Texas 75024",(469) 929-7934,Gensler,"5005 Greenville Avenue, Dallas, Texas 75206",(214) 273-1579,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013426,
One Community Church Event Center - Phase 3,TABS2025013411,One Community Church Event Center,"1701 S. Central Expy, Mckinney, TX 75069",Collin,8/15/2025,2/15/2026,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation/Alteration of 16,900sf portion of existing movie theater. Use of space to be exercise rooms and assembly","16,900 ft 2",One Community Church,"2400 State Highway 121, Plano, Texas 75025",(469) 854-1280,Hall Architecture Studio,"5307 E. Mockingbird Lane, Suite 660, DALLAS, Texas 75206",214-801-8108,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013411,
Plano Market Street #A1030,TABS2025013390,Plano Market Street,"1941 Preston #A1030, Plano, TX 75093",Collin,3/31/2025,5/31/2025,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","demo of existing tenant space, build out new restroom only, no new tenant ","5,978 ft 2",Plano Station LLC,"11501 Northlake Dr, Cincinnati, Ohio 45249",(513) 823-7133,CDA Architects,"20445 State Hwy 249 Suite 200, Houston, Texas 77070",(832) 678-9232,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013390,
Ricoh,TABS2025013342,R&D at Legacy,"5220 Tennyson Pkwy Suite 400, Plano, TX 75024",Collin,3/4/2025,7/4/2025,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The scope of this project is a non-structural interior finish-out in an existing single floor suite. Scope includes hvac, electrical, and plumbing.","7,777 ft 2",BH Properties,"2701 Dallas Parkway Suite 350, Plano, Texas 75093",(346) 225-3353,idgroup,"2641 Irving Blvd, Dallas, Texas 75207",214.638.6800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013342,
Smart Residenze,TABS2025013341,The Shops at Willow Bay,"11910 Coit Rd. Bldg-1 #400 B-1 #400, Frisco, TX 75035",Collin,5/1/2025,9/1/2025,"$232,800",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant improvement finish out of approximately 1450 sf for audio/visual company. Will include main open retail space, private room for equipment testing, two large display areas, and unisex restroom.","1,450 ft 2",SriKara Realty LLC,"13859 Copper Lake Trl, Frisco, Texas 75035",(818) 331-4834,Parish Line Studio,"300 E Davis St. #123, McKinney, Texas 75069",318-282-4243,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013341,Gopi Swaminathan
Aesthetic Collective,TABS2025013328,Headquarters 1,"7800 N. Dallas Pkwy. Suite 100, Plano, TX 75024",Collin,3/25/2025,5/7/2025,"$149,300",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel of an office to a med spa,"2,533 ft 2",Blue Horseshoe LTD,"2500 N. Dallas Pkwy. Suite 550, Plano, Texas 75093",469 241 0303,ANPH Architects,"5499 Glen Lakes Dr Suite 110, Dallas, Texas 75231",(214) 369-9066,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013328,
ADG (Frisco),TABS2025013327,ANIMAL DERMATOLOGY CLINIC,"11560 TEEL PARKWAY SUITE 100, Frisco, TX 75034",Collin,3/24/2025,6/30/2025,"$170,225",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR REMODEL FOR VET CLINIC ,"2,393 ft 2","FRC FRISCO MAGIC, LLC","1801 CENTURY PARK EAST, LOS ANGELES, California 90067",310-623-0434,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013327,
Velocity Physical Therapy Princeton,TABS2025013295,Velocity Physical Therapy Princeton,"200 Cypress Bend Pkwy Bldg D #3-4, Princeton, TX 75407",Collin,4/1/2025,6/1/2025,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant finish out of current shell space,"2,250 ft 2","Princeton Landmed Holdings, LLC","5950 Berkshire Ln. #200, Dallas, Texas 75225",(469) 774-6501,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013295,Doug Soell
McKinney Crossing Flex Warehouse,TABS2025013283,McKinney Crossing Flex Warehouse,"551 E. University Drive, Mckinney, TX 75069",Collin,5/1/2025,11/3/2025,"$2,000,000",New Construction,"This project is privately funded, on private land for private use.",Freestanding Office/Warehouse Shell building and associated site work.,"22,093 ft 2","380 & Hwy 5 McKinney, LLC","6000 Columbus Avenue, Unit 1809, Plano, Texas 75024",(972) 636-8730,"Genesis Design Group, Inc.","9500 Ray White Road, Ste 200, Fort Worth, Texas 76244",817-856-2760,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013283,
WAREHOUSE EXPANSION,TABS2025013277,MOBILE MOUNTING SOLUTIONS,"406 INTERCHANGE, Mckinney, TX 75071",Collin,3/17/2025,1/30/2026,"$2,779,672",Additions to Existing Building,"This project is privately funded, on private land for private use.",ADDITIONS AND REMODEL ,"13,224 ft 2",MOBILE MOUNTING SOLUTIONS,"406 INTERCHANGE, MCKINNEY, Texas 75071",(214) 699-3611,DALLAS DESIGN BUILD,"1411 RANCHO VISTA, MCKINNEY, Texas 75072",(972) 877-6630,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013277,
Plano Signature Med,TABS2025013271,Plano Pavilion I,"4708 Alliance Blvd Suite 770, Plano, TX 75093",Collin,3/17/2025,7/31/2025,"$545,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of three existing suites to become one medical office suite,"4,000 ft 2","Healthcare Realty Holdings, LP","3310 West End Ave Suite 700, Nashville, Tennessee 37203",(972) 964-4440,Schwabauer Design,"1600 N Collins Suite 1900, Plano, Texas 75093",(469) 804-2400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013271,Melissa Harvey
Walmart Store #6300 Zipline Drone Delivery,TABS2025013248,Walmart,"500 Richland Blvd, Prosper, TX 75078",Collin,7/30/2025,9/28/2025,"$750,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","install drone delivery system and equipment by vendor, install new foundation for drone delivery system. ","5,000 ft 2",WAL-MART REAL ESTATE BUSINESS TRUST,"Walmart Property Tax Dept, Mail Stop 0555 PO Box 8050, Bentonville, Arkansas 72712",479-371-2055,"Kimley-Horn and Associates, Inc.","10101 Reunion Place Suite 400, San Antonio, Texas 78216",210-660-2943,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013248,
ARDEA AT GRAND PLACE,TABS2025013221,ARDEA AT GRAND PLACE,"8800 LEGACY DR., Frisco, TX 75034",Collin,9/30/2025,11/30/2027,"$97,500,000",New Construction,"This project is privately funded, on private land for private use.","5-STORY WRAP, STICK, STRUCTURED PARKING, 270,298 NRSF FOR 301 MULTIFAMILY UNITS","270,298 ft 2",WEINREB VENTURES,"5530 N 40 PL, Dallas, Texas 75252",214-728-1717,WDG | Architecture. Planning. Interiors,"2001 Bryan Street Suite 3100, Dallas, Texas 75201",214-529-6292,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013221,
WellMed at McKinney,TABS2025013217,The Medical Center at Craig Ranch,"8080 State Hwy 121, Suite 300, Mckinney, TX 75070",Collin,3/10/2025,7/31/2025,"$850,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior finish out renovation to tenant's existing lease area of 13,850 square feet.","13,850 ft 2","PMAK MCKINNEY, LLC","800 W MADISON ST, SUITE 400, CHICAGO, Illinois 60607",(972) 340-3994,"The Dawley Group, Inc","3631 Barrington St, San Antonio, Texas 78217",210-241-9392,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013217,WellMed Medical Management
Intertek TI,TABS2025013197,1809 10th St.,"1809 10th St. Suite 400, Plano, TX 75075",Collin,3/6/2025,6/10/2025,"$700,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of 2nd generation office area and new office area expansion within existing warehouse area.,"34,000 ft 2",Nuveen,"2300 N. Field St. Suite 1650, Dallas, Texas 75201",(817) 946-5846,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013197,
"Club Car Wash- Stacy Rd, Mckinney",TABS2025013162,Club Car Wash,"8870 Stacy Rd, Mckinney, TX 75070",Collin,3/17/2025,4/10/2025,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Replace car wash equipment in the wash bay ,"4,460 ft 2",Roland Bartels,"1591 E Prathersville Rd, Columbia, Missouri 65202",(573) 289-0077,Timberlake,"912 Old Highway 63 South, Columbia, Missouri 65201",(913) 498-1550,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013162,
The UPS Store,TABS2025013160,FRISCO VILLAGE,"4760 PRESTON RD SUITE 244, Frisco, TX 75034",Collin,3/10/2025,6/15/2025,"$78,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Demo some walls, ceiling and flooring. Construct two new walls, install new ACT ceiling, install fixtures. One restroom will remain as-is.","2,348 ft 2","SEC PRESTON/LEBANON, LTD","3102 Maple Ave #500, Dallas, Texas 75201",(214) 954-0600,"JD RIVERO, LLC","550 S. Watters Rd Suite 241, Allen, Texas 75013",(214) 254-4420,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013160,Brad Scales
"Installation/Improvement of Traffic Signals (CSJ: 0047-06-173, etc.)",TABS2025013157,"CSJ: 0047-06-173, etc.","Various Locations, Richardson, TX 75080",Collin,1/1/2026,1/1/2027,"$675,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Safety improvement projects consisting of: signal upgrades, dedicated turn lanes, MBGF and pavement markings .","2,994 ft 2",TxDOT District: Dallas,"4777 E. Highway 80, Mesquite, Texas 75150",(214) 320-6200,"AECOM Technical Services, Inc.","600 West 6th Street, Ste 406, Fort Worth, Texas 76102",(210) 844-9375,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013157,
EyeVisible Optometry,TABS2025013148,Frontier Crossing,"1580 W. Frontier Parkway Suite 120, Prosper, TX 75708",Collin,3/17/2025,7/21/2025,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","A 3,129 sqft interior finish-out within an existing two-story shell building.","3,129 ft 2",Gamini Group LLC,"3113 Sleepy Hollow Drive Suite 102, Plano, Texas 75093",(214) 535-5015,Triplett,"14555 Dallas Parkway Suite 100-304, Dallas, Texas 75254",(806) 223-6611,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013148,
Vykunt Princeton,TABS2025013146,Vykunt Shell Building Lot 3,"NE Corner of U.S. Hwy. 380 & Monte Carlo Blvd. DAVID CHERRY SURVEY, ABSTRACT NO. 166, Princeton, TX 75407",Collin,4/1/2025,1/1/2026,"$3,500,000",New Construction,"This project is privately funded, on private land for private use.","A single story 19,640 GSF. shell retail building located in Princeton, TX. ","19,640 ft 2",Vykunt Developers,"5005 W. Royal Lane Suite 216, Irving, Texas 75063",(917) 769-8014,McCalla Design Group Architecture,"780 N. Watters Road Suite 100, Allen, Texas 75013",(517) 488-8048,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013146,
Dallas Addiction Center - Interior Renovation - Phase 3,TABS2025013144,Dallas Addication Center,"5217 Village Creek Drive,, Plano, TX 75093",Collin,5/1/2025,12/1/2025,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The project encompasses the Phase 3 renovation of the building. Upon completion, the renovation portion will function as a 52-Bed Residential Treatment Facility. ","3,200 ft 2",5217 Village Creek Drive Owner LLC,"250 First Avenue, Suite #202, Needham, Massachusetts 02494",781.559.3301,Nelson Architect,"6601 S. Central Ave., Bedford Park, Illinois 60638",(708) 275-1901,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013144,Mike Rocks
Plano Event Center Street Improvements,TABS2025013117,Plano Event Center,"2000 E Spring Creek Parkway, Plano, TX 75074",Collin,2/5/2024,4/15/2025,"$4,550,760",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","The project includes new infrastructure at the Plano Event Center to support future development on the site. Improvements include approximately 13,000 square yards of new street pavement, 3,500 linear feet of new 6” and 8” waterline installation, 3,4","13,000 ft 2",City of Plano,"2000 E Spring Creek Parkway, Plano, Texas 75074",(972) 941-7767,HP Civil Engineering LLC,"5339 Alpha Road, Suite 300, Dallas, Texas 75240",(972) 701-9636,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013117,
Star Business Park BLDG 1,TABS2025013116,Building 1,"8101 Corporate Way, Frisco, TX 75035",Collin,3/30/2025,8/30/2025,"$577,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",addition to existing building,"50,995 ft 2",Blue Star Land,"8000 Warren Parkway Suite 100, Frisco, Texas 75035",(817) 892-4179,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013116,
