project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
The Clara Hotel,TABS2026011356,The Clara Hotel,"8201 Preston Rd., Plano, TX 75024",Collin,2/10/2026,3/15/2026,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of lobby, restaurant- finishes, new bar, new front desk.","10,000 ft 2",Supreme Bright Plano III LLC,"1785 State Hwy 26, Suite 400, Grapevine, Texas 76051",(214) 491-8095,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011356,,,,
Heart Hospital / Plano Advanced Imaging,TABS2026011336,6800 Preston Road,"6800 Preston Road Suite 102, Plano, TX 75024",Collin,1/30/2026,5/30/2026,"$1,477,810",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement / Renovation ,"8,693 ft 2",Nant Real Estate Plano LLC,"1420 W. Mockingbird Lane Suite 420, Dallas, Texas 75247",(214) 477-1411,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011336,Melissa C. Harvey,Schwabauer Design,"1600 North Collins Blvd Suite 1900, Richardson, Texas 75080",(469) 804-2400
LANDLORD RE-DEMISE SPACE 173 & 174,TABS2026011314,Allen Premium Outlets,"820 W Stacy Rd Suite#  173 & 174, Allen, TX 75013",Collin,3/1/2026,5/1/2026,"$180,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",LANDLORD RE-DEMISE INTO 2 SPACES,"5,033 ft 2","Allen Premium Outlets, LP","PO Box 6120, Indianapolis, Indiana 46206",(972) 678-7001,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011314,,CORTLAND MORGAN ARCHITECT,"711 N. FIELDER RD, ARLINGTON, Texas 76012",817.635.5696
Liberty Hills Phase 2 & Roadway Phase 1C,TABS2026011278,Liberty Hills Phase 2 & Roadway Phase 1C,"Various CR 368 and US 75, Anna, TX 75409",Collin,1/1/2027,3/31/2027,"$185,000",New Construction,"This project is privately funded, on private land for private use.","SIDEWALK & BFR (APPROXIMATELY 26,200 SF)","26,200 ft 2","PH Land Holdings, LLC","5055 W Park Blvd., Suite 500, Plano, Texas 75093",972.629.3881,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011278,,Kimley-Horn,"13455 Noel Road, Suite 700, Dallas, Texas 75240",972.587.6423
Liberty Hills Phase 1 & Roadway Phase 1A & 1B,TABS2026011275,Liberty Hills Phase 1 & Roadway Phase 1A & 1B,"Various CR 368 and US 75, Anna, TX 75409",Collin,7/1/2026,9/30/2026,"$600,000",New Construction,"This project is privately funded, on private land for private use.","SIDEWALK AND BRF - APPROXIMATELY 75,500 SF","75,500 ft 2","PH Land Holdings, LLC","5055 W Park Blvd., Suite 500, Plano, Texas 75093",972.629.3881,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011275,,Kimley-Horn,"13455 Noel Road, Suite 700, Dallas, Texas 75240",972.587.6423
"The School House, A New Day Care Facility",TABS2026011265,"The School House, A New Day Care Facility","5799 North Custer Road, Prosper, TX 75071",Collin,5/1/2026,5/31/2027,"$2,000,000",New Construction,"This project is privately funded, on private land for private use.","Construct new 2 story building with barn, greenhouse & teaching lab","6,839 ft 2",The School House Real Estate Holding Company,"31A Rhea Mills Circle, Prosper, Texas 75078",(214) 418-0455,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011265,,Gregory Hagmann Architects,"404 Provincetown Lane, Richardson, Texas 75989",(214) 926-7575
Firefly Park,TABS2026011257,Firefly Park Hotel Garage,"S.E. Corner of Breezeway Blvd. & Brixley Blvd. 16300 Brixley Blvd., Frisco, TX 75033",Collin,4/1/2026,11/1/2027,"$50,000,000",New Construction,"This project is privately funded, on private land for private use.","4-Story Parking Garage, 278,685 GSF (765 Spaces) and associated Site Work.","278,685 ft 2","Frisco Development North, LLC","17018 Interstate Highway 20, Cisco, Texas 76437",(817) 850-3600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011257,,"BOKA Powell, LLC","8080 Park Lane, Suite 800, Dallas, Texas 75231",972.701.9000
Little Caesars Pizza,TABS2026011242,Murphy Market Place,"102 N Murphy Rd., Murphy, TX 75904",Collin,3/2/2026,6/26/2026,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Finish out of existing Lease Space,"1,217 ft 2",MURPHY MARKETPLACE STATION LLC,"11501 NORTHLAKE DR, Cincinnati, Ohio 45249",(801) 415-4357,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011242,Brent Jones,"Acheson Architecture, LLC","16905 White Rock Circle, Flint, Texas 75762",(903) 245-7153
Ramble,TABS2026011237,Hillwood House,"2287 N Preston Road, Celina, TX 75009",Collin,2/1/2026,5/1/2026,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of an exiting 1,409 sq ft garage, renovation of an existing 160 sq ft utility room and construction of a new 57 sq ft addition into a new marketing center and coffee bar.","1,409 ft 2",Ramble Phase I LLC,"3000 Turtle Creek Boulevard, Dallas, Texas 75219",(972) 201-2813,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011237,,Blackmon Architecture LLC,"6333 E Mockingbird Lane Suite 147-547, Dallas, Texas 75214",(214) 695-5345
Quick Quack Car wash,TABS2026011229,Quick Quack Car wash,"4001 W Spring Creek Pkwy, Plano, TX 75024",Collin,5/11/2026,1/20/2027,"$1,000,000",New Construction,"This project is privately funded, on private land for private use.",new ground up construction ,"3,166 ft 2","JAHCO Realty, LP","1717 Main Street Suite 2600, Dallas, Texas 75201",(214) 220-0274,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011229,,ID Studio 4,"6201 Campus Circle Dr E, Irving, Texas 75063",(972) 870-1288
