project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
Coit 18MW Upgrade,TABS2025020765,Lincoln Property Company,"1000 Coit Rd., Plano, TX 75075",Collin,4/11/2023,6/30/2025,"$76,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Addition of generators, cooling towers, UPSes, switchboards, and other  equipment inside existing facility to support 18MW of critical data hall load (cooling & power).","650,000 ft 2","Principal Real Estate Investors,LLC","711 High Street Department H-137, Des Moines, Iowa 50392",(515) 537-4499,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020765,,,,
PHRG,TABS2025020722,Summit Park,"2150 S. Central Expressway Suite 180, Mckinney, TX 75070",Collin,6/16/2025,8/29/2025,"$162,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation to existing interior office space.,"2,786 ft 2","Brandon Summit Hui, LLC","400 East Las Colinas Blvd Suite 300-105, Irving, Texas 75039",(801) 634-2125,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020722,Melynda Hirtle,Interprise Design,"14241 Dallas Parkway Suite 260, Dallas, Texas 75254",(972) 385-3991
ALDI Store #110,TABS2025020708,ALDI Store #110,"W University Dr & Hollyhock Rd, Frisco, TX 75078",Collin,8/18/2025,2/4/2026,"$2,650,000",New Construction,"This project is privately funded, on private land for private use.","New construction of a one-story structural-steel frame on poured in place foundations over concrete footings; masonry veneer with metal stud backup, and aluminum storefront windows; new plumbing, HVAC, and electrical work.","20,529 ft 2",Frisco Hollyhock 380 LP,"7001 Preston Road, Suite 410, Dallas, Texas 75205",(214) 224-4600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020708,Sheena Miles,"SGA Design Group, P.C.","1437 South Boulder Ave, Suite 550, Tulsa, Oklahoma 74119",(918) 587-8600
Meadows Elementary School Playgrounds,TABS2025020697,Meadows Elementary School,"2800 18th Street, Plano, TX 75074",Collin,5/1/2025,1/1/2026,"$400,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",One new playground (6539 sf),"6,539 ft 2",Plano ISD,"6600 Alma Drive, Plano, Texas 75074",469 752-1484,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020697,,"RLK Engineering, Inc","111 W Main Street, Allen, Texas 75013",972 359-1733
Sachse,TABS2025020691,7200 State Hwy 78,"7200 State Hwy 78, Sachse, TX 75048",Collin,6/6/2025,12/6/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The scope of this project is a non-structural first generation interior finish-out in an existing single floor suite for the above named tenant. Scope includes HVC, plumbing, electrical. ","5,034 ft 2","KB Investment Group, LLC","6233 Danburry Lane, Dallas, Texas 75214",(682) 561-6997,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020691,Laura Furr,idGROUP,"2641 Irving Blvd, Dallas, Texas 75207",(214) 638-6800
Retail/Restaurant Concept,TABS2025020678,Hub 121,"7700 SH 121, Mckinney, TX 75070",Collin,8/15/2025,2/13/2026,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.","NEW BUILDING SHELL FOR PROPOSED FUTURE RESTAURANT USE. SCOPE TO INCLUDE NEW TRASH ENCLOSURE, ELECTRIC VEHICLE CHARGING STATIONS AND  RELATED STRUCTURAL AND MEP COORDINATION. ADDITIONAL SCOPE TO INCLUDE SITE CIVIL MODIFICATIONS COORDINATED FOR THE NEW","6,219 ft 2",Ramana Lomada,"7020 Martel Pl, Frisco, Texas 75035",(408) 507-1275,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020678,,OTTO Architecture & Design,"601 N Hampton St Apt 1201, Fort Worth, Texas 76102",(949) 939-7105
KURAPATI INVESTMENTS,TABS2025020633,DBA: MIRAGE LOUNGE HOOKAH BAR & BITES,"3750 mckinney ranch pkwy #STE. 100, Mckinney, TX 75070",Collin,6/9/2025,8/30/2025,"$250,000",New Construction,"This project is privately funded, on private land for private use.",HOOKAH BAR AND RESTAURANT ,"3,034 ft 2",Prasad Basani & Ramesh Ravi,"616 WINDING RIDGE TRAIL , SOUTHLAKE, Texas 76092",(469) 360-1738,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020633,Venkata Rao Kurapati,INTEGRATED DESIGN AND BIM SOLUTIONS,"5000 CEDAR ELM DR, MCKINNEY, Texas 75050",(214) 903-1216
Folsom ES Reno,TABS2025020629,Folsom Elementary School,"800 Somerville Drive, Prosper, TX 75078",Collin,7/1/2025,8/1/2025,"$20,000,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",renovation,"94,824 ft 2",Prosper ISD,"605 E 7th St #500, Prosper, Texas 75078",(469) 219-2000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020629,,Huckabee,"801 Cherry St. #500, Fort Worth, Texas 76102",800-687-1229
BSW Plano Enabling Office,TABS2025020594,BSW Plano Enabling Office,"4700 Alliance Blvd., Plano, TX 75093",Collin,7/1/2025,12/31/2025,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",minor renovation of existing hospital office areas,"2,410 ft 2",Baylor Scott & White Health,"301 N. Washington System Administration Building, Dallas, Texas 75246",(281) 733-9801,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020594,,"Page Southerland Page, Inc.","1800 Main Street, Suite 123, Dallas, Texas 75201",(214) 522-3900
Spec Suite 600,TABS2025020587,Hall Park - Park II,"2801 Network Boulevard, Suite 600, Frisco, TX 75034",Collin,6/9/2025,11/1/2025,"$310,252",Renovation/Alteration,"This project is privately funded, on private land for private use.","6,981 sft of Interior renovation and new finishes.","6,981 ft 2",Hall 2801 Network Assoc. Ltd.,"3000 Internet, Suite 100, Frisco, Texas 75034",(214) 336.4330,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020587,,Vaughan Myers Design Inc,"1112 Cool River, Southlake, Texas 76092",(214) 4606485
"By the Yard, Frisco",TABS2025020569,By the Yard,"8820 John Hickman Parkway, Frisco, TX 75034",Collin,6/16/2025,7/30/2025,"$75,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Addition of new office and breakroom,"6,830 ft 2","Malani, Inc","739 DeKalb Industrial Way Suite  2100, Decatur, Georgia 30033",(678) 667-2060,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020569,Robert Croatt,"cbd-architecture, llc","1132 n bishop, dallas, Texas 75208",(214) 683-9125
Lake Breeze Retail,TABS2025020538,Lake Breeze Retail,"Hwy 78 & Oak Street, Lavon, TX 75166",Collin,8/1/2025,7/1/2026,"$500,000",New Construction,"This project is privately funded, on private land for private use.",9200 sf retail restaurant building (shell) and related utility work,"9,200 ft 2",sunju park,"2828 E. Trinity Mills Road #300 #300, carrollton, Texas 75006",(817) 308-6243,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020538,,,,
