project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
DAL-648 New Fuel Center,TABS2026017349,DAL-648 Fuel Center,"5850 N. Custer Road, Mckinney, TX 75078",Collin,7/20/2026,1/25/2027,"$1,100,000",New Construction,"This project is privately funded, on private land for private use.",Construct New Fuel Center on Kroger owned lot.  Total SF is 179.,179 ft 2,SEC Custer/Frontier LTD,"3102 Maple Ave Ste 500, Dallas, Texas 75201",(214) 954-0600,Winkelmann & Associates Inc.,"6750 Hillcrest Plaza Dr Ste. 215, Dallas, Texas 75230",(972) 490-7090,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017349,
Osmow’s Mediterranean,TABS2026017339,WESTRIDGE BY SLATE BLDG A,"215 S. COIT ROAD, SUITE 106, Mckinney, TX 75072",Collin,5/1/2026,11/1/2026,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Alteration for a new 'Osmow's' Restaurant,"1,600 ft 2",SV Westridge Retail 1,"17130 DALLAS PKWY, STE 230, Dallas, Texas 75248",214-718-2626,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017339,
3rd Floor Corridor (North),TABS2026017333,The Tennyson,"6105 Tennyson Parkway 3rd Floor, Plano, TX 75024",Collin,5/1/2026,9/1/2026,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Capital Improvement ,"1,580 ft 2",Tennyson Campus Owner,"One Market Plaza Suite 1050, San Francisco, California 94105",415-222-7434,ENTOS Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017333,
McKinney Public Safety Renovation,TABS2026017320,McKinney Public Safety Building,"2200 Taylor Burk Dr, Mckinney, TX 75071",Collin,6/1/2026,8/31/2027,"$5,000,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Renovation and Alteration of work areas,"21,973 ft 2",The City of McKinney,"3501 N Central Expy, McKinney, Texas 75071",(972) 672-1945,Conduit Architecture and Design,"711 N Tennessee St, McKinney, Texas 75069",(972) 302-9747,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017320,
"Big Air Trampoline Park - Plano, TX",TABS2026017277,"COLLIN CREEK VILLAGE ADDITION (CPL), BLK IV, LOT 1","700 Alma Dr Suite 119, Plano, TX 75075",Collin,5/1/2026,10/30/2026,"$1,400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovate 24,712 SQFT Interior to accommodate Big Air Trampoline Park","24,712 ft 2",700 ALMA INVESTMENTS LLC,"2622 COMMERCE ST, DALLAS, Texas 75226",214-212-0022,JKRP Architects,"1601 Market Street Suite 2400, Philadelphia, Pennsylvania 19103",678-860-3147,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017277,Rich Obleada
NVA - Wylie,TABS2026017199,National Veterinary Associates,"791 S State Hwy 78, Wylie, TX 75098",Collin,5/1/2026,12/31/2026,"$1,240,800",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior Renovation from medical office to vet clinic including mechanical, electrical, plumbing","6,610 ft 2",791 S Hwy 78 LP,"4514 Travis St Suite 300, Dallas, Texas 75205",(214) 364-6881,JPlus Architects Inc,"211 Bulen St, Roseville, California 95678",916-813-7429,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017199,James Thomas
Little Caesars-Lavon,TABS2026017196,Little Caesars,"845 S STATE HWY 78, Lavon, TX 75166",Collin,5/1/2026,8/1/2026,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Finish-Out of Existing Building Shell ,"1,200 ft 2",FM 78 & 205 RETAIL DEVELOPMENT LLP,"3381 BERKWOOD PL, Frisco, Texas 75034",469-714-5160,"Acheson Architecture, LLC","16905 White Rock Circle, Flint, Texas 75762",(903) 245-7153,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017196,"B&B Team Pizza, LLC"
BSW THH Plano Cath 4 Equip Renovation,TABS2026017195,BSW The Heart Hospital Plano,"1100 Allied Drive, Plano, TX 75093",Collin,5/4/2026,9/11/2026,"$1,100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The project will replace the equipment in Cath 4, the Control Room and Viewing Room will be reconfigured to accommodate an Equipment Room and more efficient Control Room.  Upgrades to finishes, mechanical, electrical, and plumbing systems included.","1,270 ft 2",Baylor Regional Medical Center at Plano,"301 N. Washington Avenue, Dallas, Texas 75201",(214) 820-8521,E4H Architecture,"801 Cherry Street Suite 500, Fort Worth, Texas 76102",(817) 226-1917,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017195,
UTSW - Frisco Medical Pavilion II,TABS2026017151,Frisco Medical Pavilion,"12850 Dallas Parkway, Frisco, TX 75033",Collin,6/1/2026,12/1/2026,"$3,300,000",New Construction,"This project is privately funded, on private land for private use.","INTERIOR FINISH OUT ON THE 1ST AND 2ND FLOOR WITHIN AN EXISTING 3-STORY MEDICAL OFFICE BUILDING. 1ST FLOOR, SUITE 100 7 150, INCLUDES EXAMS, PROCEDURE ROOMS, AND STAFF SPACES. 2ND FLOOR, SUITE 230, INCLUDES STAFF, AND OTHER SUPPORTING SPACES.","15,232 ft 2",Frisco MOB,"5949 Sherry Ln Ste. 760, Dallas, Texas 75225",(843) 494-8233,Grace Design Studios,"5000 Quorum Dr, St 500, Dallas, Texas 75254",(214) 378-9810,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017151,Joscelyn Azaria
Yardi,TABS2026017092,Liberty Mutual Plano - South Tower,"7900 Windrose Ave, Floors 16 & 17, Plano, TX 75024",Collin,5/25/2026,11/1/2026,"$10,200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","59,000sf Renovation of Floors 16 & 17 in a multi-story building to include new walls, doors, ceiling conditions, plumbing, electrical and a monumental stair","59,000 ft 2","Liberty Mutual Plano, LLC","7900 Windrose Ave, Plano, Texas 75024",(715) 302-3968,Corgan,"401 North Houston Street, Dallas, Texas 75202",214-757-1839,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017092,Sam Thomas
