project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
JK Swagruha Foods LLC,TABS2025003065,INDEPENDENCE PLAZA,"5266 INDEPENDENCE PKWY, UNIT: 105, Frisco, TX 75035",Collin,11/20/2024,2/15/2025,"$150,000",New Construction,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT,"1,152 ft 2","Juttukonda, Venkateswarlu","10871 Kingsford Ln, FRISCO, Texas 75035",972-520-0045,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003065,,,,
FENG CHA,TABS2025003063,FENG CHA,"3949 LEGACY DR #STE. 106, Plano, TX 75023",Collin,12/1/2024,6/30/2025,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",REMODEL ,"1,240 ft 2",PINE TREE,"814 COMMERCE DR #STE. 300, OAKBROOK, Illinois 60523",(630) 451-8607,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003063,DAVE NGUYEN,BEAR DESIGN BUILD,"2965 VILLA CREEK DR #STE. 110, DALLAS, Texas 75234",(469) 682-7038
Sri Krishna Jewelers - Interior Finish-out,TABS2025003060,Sri Krishna Jewelers,"13145 Main Street, Frisco, TX 75035",Collin,2/1/2025,8/30/2025,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior finish-out for a jewelry store in a shell shopping center.,"49,386 ft 2",Dodda Real Estate LLC,"6044 Royal Crest Drive, Dallas, Texas 75230",(214) 909-8903,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003060,Haribabu,Rashmi C Incorporated,"4117 Old Pleasant Ridge Road, Arlington, Texas 76016",(817) 891-7918
CANYON BROOK/VALLEY PAVEMENT & UTILITIES,TABS2025003052,CITY OF RICHARDSON,"MULTIPLE LOCATIONS, Richardson, TX 75080",Collin,11/4/2024,8/20/2025,"$185,400",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Project scope is for replacement of sidewalks, accessible ramps, street paving, water, sewer, & drainage improvements. Pedestrian facilities scope of work includes 2300 sq ft of sidewalk and 66 Barrier Free Ramps","2,300 ft 2",CITY OF RICHARDSON,"2360 CAMPBELL CREEK BLVD #STE. 525, RICHARDSON, Texas 75082",(972) 744-4286,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003052,,BINKLEY & BARFIELD INC,"1801 GATEWAY BLVD #STE. 101, RICHARDSON, Texas 75080",(972) 644-2800
2377 Plano ISD Jackson ES Renovations,TABS2025003051,Jackson Elementary School,"1101 Jackson Dr, Plano, TX 75075, Plano, TX 75075",Collin,5/23/2025,8/1/2025,"$3,500,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Replacement of corridor floor finishes, replacement of fire sprinkler valves, replacement of HVAC controls, replacement of (5) HVAC equipment, replacement of HVAC equipment screens, replacement of marquee sign, replacement of roof, fix cafe window","20,000 ft 2",Plano Independent School District,"2700 W. 15th St., Plano, Texas 75075",(469) 752-1484,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003051,,,,
2443 Plano ISD Hendrick MS Renovations,TABS2025003048,Hendrick Middle School,"7400 Red River Dr, Plano, TX 75025",Collin,11/1/2024,8/1/2025,"$1,275,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Replacement of approximately 820 SF of concrete pavement, marquee sign replacement,. Application of entry resistant film to glass. Updates to HVAC equipment and controls.",820 ft 2,Plano Independent School District,"2700 W. 15th St., Plano, Texas 75075",(469) 752-1484,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003048,,,,
Gates of Prosper - Retail (Building 2) Block E - Lot 3,TABS2025003044,Building - 2 (Shell Building),"Preston Rd & 1st Street, Prosper, TX 75078",Collin,1/15/2025,11/15/2025,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.",One-story mercantile shell building.,"11,265 ft 2",Blue Star Land,"8000 Warren Parkway, Suite 100, Frisco, Texas 75034",(214) 869-8076,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003044,,O'Brien Architects,"1722 Routh Street, Suite 122, Dallas, Texas 75201",(972) 788-1010
Gates of Prosper - Retail (Building 1) Block E - Lot 4,TABS2025003040,`Building - 1 (Shell Building),"Preston Rd & 1st Street, Prosper, TX 75078",Collin,1/15/2025,11/15/2025,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.",One-story mercantile shell building.,"5,432 ft 2",Blue Star Land,"8000 Warren Parkway, Suite 100, Frisco, Texas 75034",(214) 869-8076,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003040,,O'Brien Architects,"1722 Routh Street, Suite 122, Dallas, Texas 75201",(972) 788-1010
Alpha Graphics,TABS2025003029,Prosper Business Park,"780 Corporate Dr. Suite 30, Prosper, TX 75078",Collin,12/9/2024,4/30/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",First Generation office build out within vacant warehosue shell.,"5,000 ft 2",Crossland Texas Industrial LLC,"710 iNDUSTRY Suite 100, Prosper, Texas 75078",972-347-5659,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003029,,,,
Fitzy Shades Med Spa,TABS2025003026,Fitzy Shades Med Spa,"250 S.Preston Rd. suite 10, Prosper, TX 75078",Collin,11/12/2024,2/13/2025,"$305,000",New Construction,"This project is privately funded, on private land for private use.",interior finish out med spa,"1,770 ft 2",Diane Gibson,"6812 David Ln., Colleyville, Texas 76034",(214) 995-6159,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003026,,,,
Community HS Ag Facility,TABS2025003015,CHS Agricultural Science Facility,"440 N Farm To Market 1138, Nevada, TX 75173",Collin,1/2/2025,12/31/2025,"$8,536,492",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",New pre-engineered metal building to be used as an ag barn with associate site work. ,"16,190 ft 2",Community Independent School District,"611 North FM 1138, Nevada, Texas 75173",(972) 843-6000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003015,,WRA Architects,"12377 Merit Drive United States, Dallas, Texas 75251",(682) 521-9360
