project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
Albert Retail Shell -Wylie Tx,TABS2025000998,Albert Retail Shell,"902 W FM 544, Wylie, TX 75098",Collin,2/7/2025,10/7/2025,"$950,000",New Construction,"This project is privately funded, on private land for private use.",new exterior shell building ,"10,002 ft 2",SCSD-Finnell LTD,"14114 Dallas Parkway, Dallas, Texas 75254",(214) 483-0400,"ID Studio 4, LLC","6201 Campus Circle Dr E, Irving, Texas 75063",(972) 870-1288,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000998,
Bath & Body Works,TABS2025000963,Preston Park Village,"1900 Preston Road, Space 271, Plano, TX 75093",Collin,11/18/2024,1/17/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Partial remodel of an existing retail tenant space for a new Bath & Body Works store,"4,491 ft 2",Brixmor Property Group,"3259 Preston Rd. Suite 2, Plano, Texas 75034",(858) 202-1110,"Shremshock Architects, Inc","7775 Walton Parkway, Suite 250, New Albany, Ohio 43054",915-545-4550,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000963,Kareen Balooga
"LEXINGTON SQUARE, BLDG 01 & 02",TABS2025000962,LEXINGTON SQUARE,"BLOCK A, LOT 5 COIT HARELI ADDITION FRISCO, TX, Frisco, TX 75025",Collin,1/15/2025,12/16/2025,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.",SHELL BUILDING 01 & SHELL BUILDING 02; NEW CONSTRUCTION,"41,600 ft 2","ELITE INFRA DEVELOPERS, LLC.","12915 TALL GRASS TRL, FRISCO, Texas 75035",972-655-8174,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000962,
Spec Suite 310,TABS2025000951,Granite Park 2,"5700 Granite Parkway Suite 310, Plano, TX 75024",Collin,10/15/2024,12/30/2024,"$145,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Capital Improvement,"1,766 ft 2",Granite Properties,"5601 Granite Parkway Suite 1200, Plano, Texas 75024",(972) 731-2300,Entos Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000951,
Ready Suite 710,TABS2025000945,Granite Park 6,"5525 Granite Parkway Suite 710, Plano, TX 75024",Collin,9/13/2024,12/31/2024,"$120,567",Renovation/Alteration,"This project is privately funded, on private land for private use.",Capital Improvement,"1,543 ft 2",Granite Properties,"5601 Suite 1200, Plano, Texas 75024",(972) 731-2308,Entos Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000945,
Residential Concrete Pavement Repair Zone P3 South PW-S-00061,TABS2025000927,CITY OF PLANO,"MULTIPLE LOCATIONS, Plano, TX 75086",Collin,1/10/2025,1/9/2027,"$266,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",12000 SQFT SIDEWALK AND 57 GFR ,"12,000 ft 2",CITY OF PLANO,"PO BOX 860358, PLANO, Texas 75086",(972) 769-4128,CITY OF PLANO,"PO BOX 860358, PLANO, Texas 75086",(972) 469-4140,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000927,
Dunkin' TI (Remodel),TABS2025000924,Dunkin' PC# 345827,"7212 Independence Pkwy, Plano, TX 75025",Collin,1/6/2025,1/24/2025,"$185,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","THE PROJECT CONSISTS OF THE INTERIOR REMODEL OF THE FRONT OF HOUSE CUSTOMER AND SERVICE AREA OF AN EXISTING DUNKIN. WORK TO INCLUDE BUT NOT LIMITED TO REPLACEMENT OF SERVICE AREA CASEWORK AND RELOCATION OF SERVICE AREA EQUIPMENT, NEW WALL & CEILING, ","2,083 ft 2",Weitzman Group,"3102 Maple St. Suite 500, Dallas, Texas 75201",(217) 720-3686,"QSR and R, LLC","584 Bellerive rd Suit 3D Suit 3D, Annapolis, Maryland 21409",301-364-9880,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000924,Shane Clark Quality Brand Group Texas LLC
Blackbox Expansion,TABS2025000907,Parkway Centre IV,"2701 Dallas Parkway Suite 510, Dallas, TX 75093",Collin,10/1/2024,3/31/2025,"$68,500",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of existing interior office space.,"19,361 ft 2",BH 2701 Dallas Parkway LLC,"2701 Dallas Parkway Suite 350, Plano, Texas 75093",(972) 472-4340,Interprise Design,"14241 Dallas Parkway Suite 260, Dallas, Texas 75254",(972) 385-3991,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000907,Skylar Hollis
Marines Recruiting Office,TABS2025000902,380 Town Centre,"1620 N. Hardin Blvd. Suite 1000, Mckinney, TX 75071",Collin,9/30/2024,2/24/2025,"$320,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Alteration of an existing space. Most of the existing construction to be demolished for the new user finish-out,"1,750 ft 2",Crawford Gee Properties,"3832 Somerset Avenue, Castro Valley, California 94546",(510) 881-7856,MCP Architects PLLC,"8901 Tehama Ridge Pkwy Ste 127-627, FORT WORTH, Texas 76177",(214) 227-8469,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000902,
Burning Rice Custer Frisco,TABS2025000853,Burning Rice Custer Frisco,"5999 Custer Rd #100, Frisco, TX 75035",Collin,10/31/2024,12/24/2024,"$75,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Partial interior remodeling by tenant,"2,000 ft 2",Jon Glaser,"5999 Custer Rd #100, Frisco, Texas 75035",903-815-0224,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000853,
Thrivent,TABS2025000852,One Bethany East at Watters Creek,"900 West Bethany Drive Suite 200, Allen, TX 75013",Collin,9/16/2024,3/3/2025,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior office renovation,"3,418 ft 2","Credit Union of Texas C/O Pillar Commercial, LLC","900 W. Bethany Drive SUITE 100, Allen, Texas 75013",(214) 437-2444,Schwabauer Design,"1600 N. Collins Suite 1900, Richardson, Texas 75080",(469) 804-2400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000852,
Plano ISD | New Career and Technology Education Center,TABS2025000839,Plano ISD | New Career and Technology Education Center,"Alma Drive and West Park Boulevard, Plano, TX 75075",Collin,10/15/2024,6/7/2026,"$76,665,600",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",Plano ISD | New Career and Technology Education Center,"159,463 ft 2",Plano ISD,"2700 West 15th Street, Plano, Texas 75075",(469) 752-8100,Huckabee,"5830 Granite Pkwy Ste. 750, Plano, Texas 75024",(800) 687-1229,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000839,
MRI Centers of Texas McKinney,TABS2025000821,MRI Centers of Texas McKinney,"2156 N. Lake Forest Dr. suite 500, Mckinney, TX 75071",Collin,10/14/2024,1/14/2025,"$540,863",New Construction,"This project is privately funded, on private land for private use.",Interior remodel of a cold dark shell,"3,724 ft 2",Newport Advance Solution LLC.,"8220 S. FM 549, Heath, Texas 75032",(469) 222-8837,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000821,
WRA HQ - Legacy West - Block H (Phase 1),TABS2025000775,Block H - Legacy West,"6000 Headquarters Drive Suite 600, Plano, TX 75024",Collin,10/7/2024,1/3/2025,"$1,400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior Renovation to include mechanical, electrical, and lighting alterations. ","45,500 ft 2","Parcel H Investors, LP","2300 N. Field Street #1200, Dallas, Texas 75201",(404) 892-0896,WRA Architects,"12377 Merit Dr Suite 1800, Dallas, Texas 75251",(469) 344-5573,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000775,Madalyn Montreuil
THE OFFICES AT PROSPER TRAIL #840,TABS2025000649,THE OFFICES AT PROSPER TRAIL,"1630 W PROSPER TRAIL #STE. 840, Prosper, TX 75078",Collin,11/1/2024,5/1/2025,"$100,000",New Construction,"This project is privately funded, on private land for private use.",NEW CONSTRUCTION ,"1,122 ft 2",CLOUD LOFT,"8072 PRESTON RD #STE. 205, PROSPER, Texas 75034",(214) 497-7725,NOVE STUDIOS LLC,"5050 QUORUM DR #STE. 150, DALLAS, Texas 75254",(214) 814-1178,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000649,
THE OFFICES AT PROSPER TRAIL #830,TABS2025000648,THE OFFICES AT PROSPER TRAIL,"1630 W PROSPER TRAIL #STE. 830, Prosper, TX 75078",Collin,11/1/2024,5/1/2025,"$100,000",New Construction,"This project is privately funded, on private land for private use.",NEW CONSTRUCTION ,"1,122 ft 2",CLOUD LOFT,"8072 PRESTON RD #STE. 205, FRISCO, Texas 75034",(214) 497-7725,NOVE STUDIOS LLC,"5050 QUORUM DR #STE. 150, DALLAS, Texas 75254",(214) 814-1178,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000648,
THE OFFICES AT PROSPER TRAIL #820,TABS2025000647,THE OFFICES AT PROSPER TRAIL,"1630 W PROSPER TRAIL #STE. 820, Prosper, TX 75078",Collin,11/1/2024,5/1/2025,"$100,000",New Construction,"This project is privately funded, on private land for private use.",NEW CONSTRUCTION,"1,122 ft 2",CLOUD LOFT,"8072 PRESTON RD #STE. 205, FRISCO, Texas 75034",(214) 497-7725,NOVE STUDIOS LLC,"5050 QUORUM DR #STE. 150, DALLAS, Texas 75254",(214) 814-1178,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000647,
THE OFFICES AT PROSPER TRAIL #810,TABS2025000646,THE OFFICES AT PROSPER TRAIL,"1630 W PROSPER TRAIL #STE. 810, Prosper, TX 75078",Collin,11/1/2024,5/1/2025,"$100,000",New Construction,"This project is privately funded, on private land for private use.",NEW CONSTRUCTION ,"1,122 ft 2",CLOUD LOFT,"8072 PRESTON RD #STE. 205, FRISCO, Texas 75034",(214) 497-7725,NOVE STUDIOS LLC,"5050 QUORUM DR #STE. 150, DALLAS, Texas 75254",(214) 814-1178,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000646,
THE OFFICES AT PROSPER TRAIL BLDG 8,TABS2025000645,THE OFFICES AT PROSPER TRAIL,"1630 W PROSPER TRAIL BLDG 8, Prosper, TX 75078",Collin,11/1/2024,5/1/2025,"$300,000",New Construction,"This project is privately funded, on private land for private use.",GROUND UP SHELL ,"5,000 ft 2",CLOUD LOFT,"8072 PRESTON RD #STE. 205, FRISCO, Texas 75034",(214) 497-7725,NOVE STUDIOS LLC,"5050 QUORUM DR #STE. 150, DALLAS, Texas 75254",(214) 814-1178,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000645,
Exterior Walkway and Ramp,TABS2025000625,2400 Glenville,"2400 Glenville Drive, Richardson, TX 75082",Collin,10/1/2024,12/1/2024,"$51,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Provide TAS compliant walkway,1 ft 2,"2400 Glenville, LLC c/o Cushman & Wakefield U.S., Inc.","2400 N. Glenville Drive Suite #B130, Richardson, Texas 75082",972-528-8632,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000625,
TH Allen - RAD and Fluoro Renovation,TABS2025000605,Texas Health Presbyterian Hospital Allen,"1105 North Central Expressway, Allen, TX 75013",Collin,10/10/2024,4/10/2025,"$160,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Thiis project includes replacing equipment in an existing radiology room within the ED and minor renovation within the room, 320 sqft approx.",320 ft 2,Texas Health Presbyterian Hospital,"1105 Central Expressway North, Allen, Texas 75013",(214) 345-6151,"Perkins Will, Inc.","2218 Bryan Street Suite 200, Dallas, Texas 75201",(214) 283-8700,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000605,
Body20,TABS2025000601,Shops @ Legacy North,"5840 Legacy Circle, Ste D165, Plano, TX 75024",Collin,9/25/2024,12/20/2024,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","tenant fit out: new int wall construction, finishes, lighting, receptacles, modification to existing plumbing infrastructure; new HVAC ductwork /grille/ diffusers","1,426 ft 2",CTO21 Acquisitions LLC,"5900 Balcones Drive, Ste 100, Austin, Texas 78731",(817) 312-9621,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000601,
Ready Suite 720,TABS2025000563,Granite Park 6,"5525 Granite Parkway Suite 720, Plano, TX 75024",Collin,9/10/2024,12/31/2024,"$107,390",Renovation/Alteration,"This project is privately funded, on private land for private use.",Capital Improvement,"1,374 ft 2",Granite Properties,"5601 Granite Parkway Suite 1200, Plano, Texas 75024",(972) 731-2308,Entos Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000563,
