project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
Central Heart Care-PET CT Eqpt Installation,TABS2026007365,2517 Virginia Parkway,"2517 Virginia Parkway #101, Mckinney, TX 75071",Collin,1/26/2026,4/17/2026,"$275,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",1600sf renovation of existing clinic to install new PET CT camera and create new control room and new exam room,"1,600 ft 2",Four Star Alliance LLC,"2517 Virginia Parkway #101, Mckinney, Texas 75071",(214) 551-5772,"Hashmet Wali & Associates, Inc","8914 Daffodil Street, Houston, Texas 77063",(713) 334-3200,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007365,
Urban Outfitters - Frisco,TABS2026007354,Stonebriar Centre,"2601 Preston Road Suite 1239, Frisco, TX 75034",Collin,1/16/2026,4/15/2026,"$781,307",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant fit-out of an existing interior mall tenant space with new walls, fixtures, storefront, lighting, mechanical etc. ","7,500 ft 2",Stonebriar Mall LLC,"PO Box 101042, Chicago, Illinois 60610",(469) 920-2186,NewStudio Architecture,"2303 Wycliff St Suite E100, Saint Paul, Minnesota 55114",(651) 983-6946,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007354,Urban Outfitters Inc. Jenna Murphy
LEGACY RANCH PLAZA ADDITION BLDG 2,TABS2026007339,LEGACY RANCH PLAZA ADDITION BLDG 2,"2105 MCKINNEY ST, Melissa, TX 75454",Collin,8/1/2026,12/1/2028,"$2,000,000",New Construction,"This project is privately funded, on private land for private use.",NEW CONSTRUCTION ,"13,202 ft 2",SRI CHAKRA ESTATES MELISSA,"7360 BERANGER DR, IRVING, Texas 75063",(972) 400-0449,BEAR DESIGN BUILD,"2965 VILLA CREEK DR #STE. 110, DALLAS, Texas 75234",(469) 682-7038,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007339,
LEGACY RANCH PLAZA ADDITION BLDG 1,TABS2026007338,LEGACY RANCH PLAZA ADDITION BLDG 1,"2101 MCKINNEY ST, Melissa, TX 75454",Collin,8/1/2026,12/1/2028,"$1,000,000",New Construction,"This project is privately funded, on private land for private use.",NEW CONSTRUCTION - BUILDING ,"6,161 ft 2",SRI CHAKRA ESTATES MELISSA,"7360 BERANGER DR, IRVING, Texas 75063",(972) 400-0449,BEAR DESIGN BUILD,"2965 VILLA CREEK DR #STE. 110, DALLAS, Texas 75234",(469) 682-7038,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007338,
FOOD STREET III LLC,TABS2026007327,PREMIER OAKS AT TWIN CREEKS,"960 W EXCHANGE PKWY, Allen, TX 75013",Collin,2/1/2026,6/1/2026,"$300,000",New Construction,"This project is privately funded, on private land for private use.",FINISH OUT FOR NEW RESTAURANT,"2,200 ft 2",TDX REALTY LLC,"15769 PLEAT LEAF RD, FRISCO, Texas 75033",657-500-9126,JIM HILLS DESIGNS,"3540 BROAD STREET SUITE 120 PO BOX 275, MANSFIELD, Texas 76063",214-973-0186,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007327,HASSAN SHAHID
Black Rock Coffee -Friso Tx,TABS2026007324,Black Rock Coffee,"7030 Stonebrook Pkwy suite 200, Frisco, TX 75034",Collin,1/29/2026,4/20/2026,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",tenant finish of an existing leased space ,"2,107 ft 2",Frisco Sun LLC,"2430 Victory Park Lane, Ste. 2404 Unit 1902, Dallas, Texas 75219",(541) 531-2149,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007324,Tony Pallotta - Black Rock Coffee
"SHEIKH, KARISHMA",TABS2026007318,PROCARE DENTAL STUDIO,"215 S. COIT RD. SUITE 102, Mckinney, TX 75072",Collin,12/21/2025,3/27/2026,"$350,000",New Construction,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT ,"2,400 ft 2",SV WESTRIDGE LLC,"5729 LEBANON RD # 144589, FRISCO, Texas 75034",773-610-1619,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007318,
Telephone Road Improvements Phase 3,TABS2026007313,N/A,"Telephone Rd from Sunset Canyon Dr North of Throckmorton Creek, Melissa, TX 75454",Collin,5/1/2026,12/31/2026,"$4,800,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Construct approximately 3,000 LF of 2-lane concrete roadway with a 10' wide concrete trail along the east side of the road.","3,000 ft 2",City of Melissa,"3411 Barker Avenue, Melissa, Texas 75454",(281) 610-0322,"Teague Nall & Perkins, Inc","825 Watters Creek Blvd, Suite M300, Allen, Texas 75013",214-988-9921,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007313,
DFW SWEETS AND SNACKS LLC,TABS2026007311,Frisco Marketplace,"7010 Preston Rd, STE 240, Frisco, TX 75035",Collin,1/1/2026,6/30/2026,"$450,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",TENANT INFILL OF 4437 SQ. FT OF RESTAURANT W/ 103 SEATING CAPACITY OF AN EXISTING BUILDING,"4,437 ft 2",FRISCO MARKETPLACE LLC IREIT,"2901 Butterfield Road, Oak Brook, Illinois 60523",630-218-8000,Design Group LLC,"2494 Bunnels Fork Road, frisco, Texas 75036",(832) 291-6843,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007311,Vivek Agrawal
D-SPOT DESSERTS,TABS2026007308,-,"3432 EAST HEBRON PKWY #STE. 100, Carrollton, TX 75093",Collin,2/12/2026,6/25/2026,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR BUILD OUT ,"3,483 ft 2","IBP Retail No. 3, LP c/o Billingsley Company","1722 Routh Street, #STE. 770, DALLAS, Texas 75201",(972) 820-2236,PDS ARCHITECTURE,"12800 UNIVERSITY DR #STE. 402, FORT MYERS, Florida 33901",(239) 437-8090,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007308,Faizan Mirza & Abdul Khan
