project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
IDEAL (CUSTER/121),TABS2025024415,IDEAL DENTAL,"1480 N. CUSTER RD. SUITE 120, Allen, TX 75013",Collin,9/1/2025,12/16/2025,"$328,620",New Construction,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT ,"2,200 ft 2",CUSTER FOUR CORNERS LTD,"15640 QUORUM DRIVE, ADDISON, Texas 75001",214-676-3532,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025024415,,,,
KHA Accountants,TABS2025024388,Hall Park - Technology I,"2401 Internet Blvd, Suite 103, Frisco, TX 75034",Collin,8/15/2025,12/1/2025,"$197,987",Renovation/Alteration,"This project is privately funded, on private land for private use.","Approximately 5,659 rsf of minor commercial office build out and finishes","5,659 ft 2","Hall 2401 Internet II, LLC","2323 Ross Avenue Ste 200, Dallas, Texas 75201",(214) 470-4266,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025024388,"Jennifer Sicking, KHA",Vaughan Myers Design Inc,"1112 Cool River, Southlake, Texas 76092",(214) 460-6485
"SPRING CREEK MOB 3 - PLANO, TX",TABS2025024371,"SPRING CREEK MOB 3 - PLANO, TX","5681 SPRING CREEK PKWY, Plano, TX 75024",Collin,10/1/2025,3/31/2026,"$1,200,000",New Construction,"This project is privately funded, on private land for private use.",New Construction MOB Shell Building,"8,000 ft 2",SPRING CREEK OFFICE PLAZA LLC,"825 WATTERS CREEK BLVD STE 230, ALLEN, Texas 75013",(972) 897-0562,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025024371,,"JAW ARCHITECTS, INC.","6115 CAMP BOWIE BLVD STE 200, FORT WORTH, Texas 76116",(817) 705-3387
KAR Development Group LLC,TABS2025024328,KAR Development Group LLC,"old shepard place and preston park court, Plano, TX 75093",Collin,9/15/2025,9/15/2026,"$300,000",New Construction,"This project is privately funded, on private land for private use.","Construction of a new office shell building including the foundation, structural framing, exterior walls, roof, and utility stubs. No interior build-out is included; future tenant spaces will be completed under separate permits","7,700 ft 2",Reza Kazemi Mohammadi,"4433 Punjab Way, Frisco, Texas 75033",(214) 529-6953,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025024328,,Design Group Memphis,"2494 Bunnela Fork Rd, Frisco, Texas 75036",(901) 603-8765
THE PLAZA AT SPRING CREEK - PARKING GARAGE B,TABS2025024320,THE PLAZA AT SPRING CREEK,"SPRING CREEK PARKWAY, Plano, TX 75024",Collin,12/1/2025,12/1/2027,"$13,776,000",New Construction,"This project is privately funded, on private land for private use.","New construction of a non-sprinklered, cast in place, 4 story parking garage.176,204 sqft with 492 spaces intended for use by adjacent commercial buildings. Work includes Structural and MEP. Civil and landscape under separate permits.","176,204 ft 2",NWC SPRING CREEK & DNT LP,"7500 SAN JACINTO PL, Plano, Texas 75024",(972) 980-9686,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025024320,,"DWELL DESIGN STUDIO, LLC","1280 HIGHTOWER TRAIL, Atlanta, Georgia 30350",770-864-1035
THE PLAZA AT SPRING CREEK - PARKING GARAGE A,TABS2025024317,THE PLAZA AT SPRING CREEK,"SPRING CREEK PARKWAY, Plano, TX 75024",Collin,12/1/2025,12/1/2027,"$13,776,000",New Construction,"This project is privately funded, on private land for private use.","New construction of a non-sprinklered, cast in place, 4 story parking garage. 176,204 sqft, with 492 spaces intended for use by adjacent commercial buildings. Work includes Structural and MEP. Civil and landscape under separate permits.","176,204 ft 2",NWC SPRING CREEK & DNT LP,"7500 SAN JACINTO PL, Plano, Texas 75024",(972) 980-9686,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025024317,,"DWELL DESIGN STUDIO, LLC","1280 HIGHTOWER TRAIL, Atlanta, Georgia 30350",770-864-1035
"Shell Building Shops B - Celina, TX",TABS2025024315,Shell Building Shops B,"3515 S Preston Rd, Celina, TX 75078",Collin,11/1/2025,8/31/2026,"$4,300,000",New Construction,"This project is privately funded, on private land for private use.","Scope of work is for construction of a new retail shell building and site development. The building is a 32,993 sq ft one-story structure.","32,993 ft 2","Celina East R-MF, LLC","1110 Cowan Road, Celina, Texas 75009",(214) 223-9077,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025024315,,Franz Architects,"7608 Benbrook Parkway, Benbrook, Texas 76126",(817) 737-9922
Orangestar - Demising,TABS2025024304,Orangestar,"5700 WEST PLANO PARKWAY SUITE 1000 PLANO, TX 75093, Plano, TX 75093",Collin,7/25/2025,9/15/2025,"$88,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR ALTERATION OF PARTIAL 1ST FLOOR INCLUDING MEP,"1,445 ft 2","Orangestar Kingspark, LLC","5700 W Plano Pkwy Suite 2700, Plano, Texas 75093",214-417-4905,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025024304,,OTJ Architects,"2811 Mckinney Ave Suite 225 Dallas TX, 75204, Dallas, Texas 75204",(903) 270-4589
THE PLAZA AT SPRING CREEK- CONCIERGE BUILDING,TABS2025024297,THE PLAZA AT SPRING CREEK,"SPRING CREEK PARKWAY BLOCK A, LOT 2, Plano, TX 75024",Collin,12/1/2025,12/1/2027,"$120,428",New Construction,"This project is privately funded, on private land for private use.","New construction of a 523 sqft retail building. Type II-B, Sprinklered, one story shell. Intended for business use by the owner. Work includes Structural, Mechanical, Electrical and Plumbing. Civil and Landscape under separate permit",523 ft 2,NWC SPRING CREEK & DNT LP,"7500 SAN JACINTO PL, Plano, Texas 75024",(972) 980-9686,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025024297,,"DWELL DESIGN STUDIO, LLC","1280 HIGHTOWER TRAIL, Atlanta, Georgia 30350",770-864-1035
THE PLAZA AT SPRING CREEK- BUILDING 700,TABS2025024296,THE PLAZA AT SPRING CREEK,"SPRING CREEK PARKWAY BLOCK A, LOT 2, Plano, TX 75024",Collin,12/1/2025,12/1/2027,"$3,018,838",New Construction,"This project is privately funded, on private land for private use.","New construction of a 21,525 sqft retail building. Type II-B, Sprinklered, one story shell. Intended for commercial use by future tenants.Work includes Structural, Mechanical, Electrical and Plumbing. Civil and Landscape under separate permit","21,525 ft 2",NWC SPRING CREEK & DNT LP,"7500 SAN JACINTO PL, Plano, Texas 75024",(972) 980-9686,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025024296,,"DWELL DESIGN STUDIO, LLC","1280 HIGHTOWER TRAIL, Atlanta, Georgia 30350",770-864-1035
