project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
"Specs Liquor - Sachse, TX",TABS2024013936,Spec's Liquor,"Miles Road & Pres George Bush Freeway, Sachse, TX 75048",Dallas,5/1/2024,12/2/2024,"$2,750,000",New Construction,"This project is privately funded, on private land for private use.","Freestanding 15,019 sf retail package liquor store and associated site work.","15,019 ft 2","Miles Freckles, LLC","4011 Commerce Street, Sachse, Texas 75048",(214) 874-0468,"Genesis Design Group, Inc.","9500 Ray White Road, Ste 200, Fort Worth, Texas 76244",817-285-7444,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013936,
HRT Obstetrix,TABS2024013924,Tom Landry Tower,"411, Dallas, TX 75246",Dallas,4/1/2024,7/24/2024,"$508,800",Renovation/Alteration,"This project is privately funded, on private land for private use.","A 3,392 Sq. ft. tenant finish renovation in Landry Tower within Dallas, Texas. ","3,392 ft 2",Healthcare Realty Services LLC,"3900 Junius Street Suite 640, Dallas, Texas 75246",(214) 747-1600,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013924,
Lanshire Road,TABS2024013921,Lanshire Road,"9718 Lanshire Road, Dallas, TX 75238",Dallas,1/15/2023,3/4/2024,"$350,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",Street Construction,"1,000 ft 2",City of Dallas,"320 East Jefferson Blvd., Dallas, Texas 75203",(214) 948-4163,Henry Nguyen Consulting,"1330 Glenfield Ave., Dallas, Texas 75224",(214) 773-4075,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013921,
Broken Bow Road,TABS2024013919,Broken Bow Road,"9635 Broken Bow Road, Dallas, TX 75238",Dallas,1/15/2023,3/4/2024,"$350,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",Street Construction,"1,000 ft 2",City of Dallas,"320 East Jefferson Blvd., Dallas, Texas 75203",(214) 948-4163,Henry Nguyen Consulting,"1330 Glenfield Ave., Dallas, Texas 75224",(214) 773-4075,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013919,
Weblambi DFW LLC DBA Prime IV,TABS2024013899,Mockingbird Central,"5400 E Mockingbird Lane, Suite 117, Dallas, TX 75206",Dallas,3/23/2024,6/23/2024,"$175,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR BUILD-OUT - 1542 SF TENANT WITHIN EXISTING SHOPPING CENTER -MOCKINGBIRD CENTRAL,"1,542 ft 2","Corsair Mockingbird, LLC","2850 N. Harwood Street, Suite 1600, Dallas, Texas 75201",469-232-0000,BR Design and Architecture,"11S220 Carpenter Street, Lemont, Illinois 60439",708-508-7281,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013899,Weblambi DFW LLC
IMPERIAL CORNER,TABS2024013889,IMPERIAL CORNER,"3143 Airport Fwy, Irving, TX 75062",Dallas,6/1/2024,6/1/2025,"$767,000",New Construction,"This project is privately funded, on private land for private use.","New 5,905 SF ground-up commercial building with 4 lease spaces, one drive thru, 40 parking spaces, front yard area and dumpster in the back. 44,250 SF property land.","5,905 ft 2",Bayview Tower GP,"489 Crocker Sperry Dr, Santa Barbara, California 93108",805-455-7784,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013889,
RTM Engineering Expansion,TABS2024013866,Quorum Place,"14901 Quorum Drive, Suite 565, Addison, TX 75254",Dallas,3/15/2024,6/28/2024,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"6,268 ft 2",G & I VII 5050 Quorum LP,"575 Fifth Avenue, 38th Floor, New York, New York 10017",(212) 973-3814,Entos Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013866,
welch capital holdings llc,TABS2024013861,2054 Irving,"2054 Irving Blvd, Dallas, TX 75207",Dallas,3/29/2024,4/4/2024,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation and refresh.,"6,000 ft 2","2050 Irving Boulevard, LLC","2050 Irving Blvd, Dallas, Dallas 75207",(214) 280-5229,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013861,
SRG 17-6004 Geraldine and Nagle Street Improvements,TABS2024013841,Department of Public Works,"320 E. Jefferson Blvd #307, Dallas, TX 75203",Dallas,3/15/2024,3/14/2025,"$3,857,710",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Roadway improvements for Geraldine and Nagle St. This includes sidewalk, curb and gutter, stormwater drainage and other miscellaneous items needed to complete the project.","101,000 ft 2",Department of Public Works,"320 E. Jefferson Blvd #307, Dallas, Texas 75203",(214) 948-4570,"Solaray Engineering, Inc.","5605 N. MacArthur Blvd Ste. 550, Irving, Texas 75038",(972) 247-1516,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013841,
Real Floors,TABS2024013835,Malibu Industrial Building 2,"11110 Goodnight Lane, Suite 100, Dallas, TX 75229",Dallas,4/3/2024,9/30/2024,"$1,061,053",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant improvement of existing shell building,"60,022 ft 2","Malibu Industrial, LP","3819 Maple Avenue, Dallas, Texas 75219",(214) 661-8341,Azimuth Architecture,"10228 E Northwest Hwy, Box #66, Dallas, Texas 75238",(214) 261-9060,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013835,Matt Gilbreth
WF DVC,TABS2024013821,One Main Place,"1201 Main Street, Dallas, TX 75202",Dallas,5/1/2024,8/1/2024,"$480,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of existing space,"11,099 ft 2",KFK Group,"1201 Canal St Suite C-2, New Orleans, Louisiana 70112",(214) 267-0400,"SGDesign, Inc","3311 Elm Street Suite 105, Dallas, Texas 75226",(469) 865-1910,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013821,Wells Fargo
Trinity Gateway - Sylvan Trail,TABS2024013817,Sylvan Avenue,"Sylvan Ave-Trinity Strand Trail to Trammel Crow Pk, Dallas, TX 75207",Dallas,4/1/2024,10/31/2024,"$60,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Modifying road way to have median protected bike lanes. The pedestrian facility stretches for about 2000 ft on both sides of the road.,"24,000 ft 2",City of Dallas Parks and Recreation,"1500 Marilla, 6FS, Dallas, Texas 75201",(214) 670-5454,"Simon Engineering and Consutling, Inc","15443 Knoll Trail Drive, Suite 200, Dallas, Texas 75248",(214) 466-7870,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013817,
Gregory's Suite 1365,TABS2024013815,Dallas Galleria,"13350 Dallas Pkwy Suite 3080, Dallas, TX 75240",Dallas,4/1/2024,7/31/2024,"$670,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of existing 4,219 SF including back of house and Sales Area","4,219 ft 2",Galleria Mall Investors LP,"13350 Dallas Parkway Space #3080, Dallas, Texas 75240",817-870-1122,"Studio Mas Architects, PLLC","10440 E Northwest Highway, Suite 301, Dallas, Texas 75238",214-669-4684,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013815,
Maple Food Hall Renovation,TABS2024013812,Maple Street Food Hall,"4711 Maple Ave, Dallas, TX 75219",Dallas,5/15/2024,7/30/2024,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Exterior facade renovation and landscape improvements.  The total square footage is 1,167.","1,167 ft 2",Quintanilla Technologies Inc.,"4739 Maple Ave, Dallas, Texas 75219",(214) 773-6783,Rouch Architects,"1445 Ross Ave #5700, Dallas, Texas 75202",214-997-6029,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013812,Gilbert Aranza
