project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
Ruisseau Village Renovation,TABS2025018094,Phase 1,"3033-3039 N Central Expressway, Plano, TX 75023",Dallas,6/16/2025,11/17/2025,"$1,050,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of existing Retail space to raise the existing roof and turn back to shell space,"21,800 ft 2",Legend Property Group LLC,"430 N Coit Road, Richardson, Texas 75080",(972) 697-8808,Accolade Design Studio LLC,"2311 Texas Drive suite 103, Irving, Texas 75062",(972) 360-0608,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025018094,
DISRUPTIVE OFFICE FINISH OUT,TABS2025018087,THE CRESCENT,"200 CRESCENT COURT, SUITE 1175, Dallas, TX 75201",Dallas,6/1/2025,8/1/2025,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","6,304 SF. Interior reno of existing office suite including: demolition of existing interior walls,ceilings,electrical, plumbing fixtures, and construction of new interior walls, ceilings, lighting, power & equipment. No modification to base building.","6,304 ft 2","GPIF TC Owner, LLC","200 Crescent Court Suite 250, Dallas, Texas 75201",(817) 321-2100,GFF Design,"3030 Nowitzki Way Suite 400, Dallas, Texas 75219",(214) 303-1500,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025018087,SARA KHALAFI
Resource Center - P3,TABS2025018083,Resource Center Building,"2603 Inwood Road, Dallas, TX 75235",Dallas,6/1/2025,10/1/2025,"$81,100",Renovation/Alteration,"This project is privately funded, on private land for private use.","New elevator, ramp and stairs",100 ft 2,Resource Center,"5750 Cedar Springs Road, Dallas, Texas 75207",(469) 385-9742,Kirksey Architecture,"143 Manufacturing Street, Dallas, Texas 75207",(214) 762-9871,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025018083,
Rental Car @ 26th E-NS Bus Stop and Sidewalk Improvement,TABS2025018066,DART Bus Stop Located Across From Uline T6 Building,"2600 Rental Car Drive, Irving, TX 75261",Dallas,5/5/2025,5/23/2025,"$55,630",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",The 67' of sidewalk will be constructed and an ADA ramp installed at the DART stop. Also an 3.5'x35' concrete amenity pad will be constructed.,450 ft 2,DFW Airport,"2400 Aviation Drive, DFW Airport, Texas 75261",(972) 973-4653,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025018066,Jennifer Jones - DART
4 AT&T - LEVEL 5 RENOVATION,TABS2025018042,4 AT&T,"311 AKARD ST., Dallas, TX 75202",Dallas,6/16/2025,12/29/2025,"$1,800,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of an existing space.  To include restroom work. ,"6,349 ft 2",AT&T,"311 S. Akard St., Dallas, Texas 75202",225.247.8076,Corgan,"401 N Houston St, Dallas, Texas 77046",(832) 652-3640,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025018042,
Clubhouse Renovation - Lakeside at Coppell,TABS2025018037,Clubhouse,"620 N Coppell Rd., Coppell, TX 75019",Dallas,10/1/2025,2/27/2026,"$900,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior renovation of existing apartment complex clubhouse (leasing office, fitness room, tenant amenity spaces), and conversion of portion of space into a rentable apartment unit.","8,220 ft 2","Independence Realty Trust, Inc.","1835 Market St. Suite 2601, Philadelphia, Pennsylvania 19103",(312) 924-1600,Dimit Architects,"14725 Detroit Ave Suite 210, Lakewood, Ohio 44107",(216) 221-9021,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025018037,
Daisy Brand Research and Innovation Center,TABS2025018027,Daisy Brand Research and Innovation Center,"2025 Wall Street, Garland, TX 75041",Dallas,6/1/2025,7/31/2026,"$24,000,000",Additions to Existing Building,"This project is privately funded, on private land for private use.","Renovation of an existing warehouse of approx. 27,000 s/f and an attached new 2-story addition of approx. 29,000 s/f","56,000 ft 2",Daisy Brand LLC,"12750 Merit Drive, Dallas, Texas 75251",(920) 328-3102,Kirsey Architecture,"143 Manufacturing Street, Dallas, Texas 75207",(214) 466-2713,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025018027,
Carrollton Detention Center,TABS2025018021,Carrollton Detention Center,"2001 E Jackson Road, Carrollton, TX 75006",Dallas,8/1/2025,7/1/2026,"$4,800,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Renovation of various areas within the existing City Jail,"2,500 ft 2",City of Carrollton,"1945 E Jackson Rd, Carrollton, Texas 75006",(972) 466-3547,"Grace Hebert Curtis Architects, LLC","5000 Qurorum Drive Suite 500, Dallas, Texas 75254",(214) 378-9810,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025018021,
DSM (N DALLAS),TABS2025018015,DYNAMIC SPORTS MEDICINE,"11700 PRESTON RD. SUITE 730, Dallas, TX 75230",Dallas,5/29/2025,7/30/2025,"$195,540",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR REMODEL FOR PHYSICAL THERAPY ,"2,576 ft 2","PRESTON FOREST SC, LLC","5950 BERKSHIRE LANE #800, DALLAS, Texas 75225",214-518-8773,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025018015,
Project Mesquite,TABS2025018009,Project Mesquite,"2500 E. Scyene Rd, Mesquite, TX 75181",Dallas,6/3/2025,5/15/2026,"$18,000,000",New Construction,"This project is privately funded, on private land for private use.",two-building industrial development,"251,000 ft 2",Daniel Garcia,"1 Riverway Drive, Houston, Texas 77056",523331011243,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025018009,
CFBS ISD - Title IX Concessions Buildings at R.L. Turner,TABS2025017998,R.L. Turner Softball Fields,"1600 S. Josey Ln, Carrollton, TX 75006",Dallas,6/6/2025,12/19/2025,"$1,350,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","New construction of a concession & restroom building, approximately 1,000 SF, which supports a related softball field.","1,000 ft 2",Carrollton Farmers Branch ISD,"1505 Randolph St., Carrolton, Texas 75006",(469) 752-1484,Corgan Associates Inc.,"401 N Houston St, Dallas, Texas 75202",(214) 977-3404,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017998,
Derby Park Clubhouse Addition,TABS2025017995,Derby Park Clubhouse,"606 W. I.H.-30, Grand Prairie, TX 75050",Dallas,6/9/2025,6/8/2026,"$850,000",New Construction,"This project is privately funded, on private land for private use.","Build a 1 story wood frame building with a 2nd level mechanical mezzanine, brick and hardy exterior, landscaping & irrigation and ADA improvements to an existing parking lot.  The clubhouse is inside an existing apartment complex.  ","3,431 ft 2","Obsidian Derby Park Owner, LLC","2601 Network Blvd., Suite 400, Frisco, Texas 75034",(214) 773-3262,"Simply Custom Dev., LLC","737 South R. L. Thornton Fwy, Dallas, Texas 75203",(214) 256-6887,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017995,
CFBS ISD - Title IX Concessions Buildings at Kelly Field,TABS2025017994,Kelly Softball Fields,"2000 Kelly Blvd, Carrollton, TX 75006",Dallas,6/6/2025,12/19/2025,"$2,150,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","New construction of a concession & restroom building, approximately 1,600 SF, which supports a related softball field.","1,600 ft 2",Carrollton Farmers Branch ISD,"1505 Randolph St., Carrolton, Texas 75006",(469) 752-1484,Corgan Associates Inc.,"401 N. Houston St., Dallas, Texas 75202",(214) 977-3404,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017994,
Camp Wisdom Apartments,TABS2025017985,Camp Wisdom Apartments,"8351 Clark Road, Dallas, TX 75236",Dallas,12/1/2025,1/31/2028,"$1,182,500",New Construction,"This project is privately funded, on private land for private use.","Multi-family project with clubhouse, leasing offices, and associated parking. ","6,101 ft 2",ROSEBRIAR CAMP WISDOM LP,"PO BOX 541208, DALLAS, Texas 75354",(844) 677-0002,EDI International,"3250 Briarpark Drive #140, Houston, Texas 77042",(713) 375-1400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017985,
MDMC ICU/Burn Unit Upgrade,TABS2025017974,Methodist Dallas Medical Center,"1441 North Beckley Ave, Dallas, TX 75203",Dallas,5/15/2025,10/1/2025,"$2,300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Upgrading 6 existing ICU rooms to serve burn patients. Renovating the existing space within the ICU unit to build out a Hydrotherapy room for burn patients. ,"3,200 ft 2",Methodist Health System,"401 W Campbell Road, Richardson, Texas 75080",(469) 733-2256,Perkins&Will,"2218 Bryan Street, Suite 200, Dallas, Texas 75201",(214) 325-2674,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017974,
MDMC OR Buildout,TABS2025017969,Methodist Dallas Medical Center,"1441 North Beckley Ave, Dallas, TX 75203",Dallas,5/15/2025,12/31/2025,"$2,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",This project includes renovation of existing areas within the Surgery Suite to build out 2 new operation rooms and 6 PACU beds in currently shelled spaces ,"4,750 ft 2",Methodist Health System,"401 W Campbell Road, Richardson, Texas 75080",(469) 733-2256,Perkins&Will,"2218 Bryan Street, Suite 200, Dallas, Texas 75201",(214) 325-2674,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017969,
"FNF Lawyers Title of Texas, Inc.",TABS2025017958,Premier Place,"5910 north central expressway, suite 1040, Dallas, TX 75206",Dallas,5/15/2025,8/31/2025,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior finish out of existing office space,"3,282 ft 2","5910 NCX owner, LLC","5910 north central expressway, suite 125, dallas, Texas 75206",(214) 891-6860,interprise design,"14241 dallas parkway, suite 260, dallas, Texas 75254",(972) 385-3991,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017958,
