project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,project_url,design_name,design_address,design_phone
OSSETRA SEAFOOD,TABS2026011980,VILLAGE ON THE PARKWAY,"5100 BELTLINE RD #STE. 875, Addison, TX 75254",Dallas,2/15/2026,7/15/2026,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",REMODEL ,"1,707 ft 2",VILLAGE ON THE PARKWAY MANAGMENT OFFICE,"5100 BELT LINE RD #STE. 316, DALLAS, Texas 75254",(214) 334-3560,Rohith Rallagudem,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011980,,,
L'Agence NorthPark,TABS2026011977,NorthPark Mall,"8687 North Central Expressway 1112, Dallas, TX 75225",Dallas,4/1/2026,6/1/2026,"$700,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior retail fit out,"1,835 ft 2",NorthPark Land Partners,"8080 N. Central Expressway Suite 1100, Dallas, Texas 75206",(214) 369-1234,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011977,,,
Knox-Cole Retail Re-Tenant,TABS2026011974,3212 Knox Street,"3212 Knox Street, Dallas, TX 75205",Dallas,2/15/2026,4/1/2026,"$600,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Demising of a single-tenant retail building into four tenant spaces with common area.  21,520 total building area","21,520 ft 2","Knox District Intermediate Holding Company, LLC dba. KD Knox Street Village Holdco, LLC","2100 McKinney Avenue Suite 800, Dallas, Texas 75201",214-244-9951,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011974,"GFF Architects, Inc.","3030 Nowitzki Way Suite 400, Dallas, Texas 75219",469-249-1566
Lane Boots,TABS2026011943,The Galleria Dallas,"13350 NORTH DALLAS PKWY, SUITE 1145, Dallas, TX 75240",Dallas,2/23/2026,4/10/2026,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of existing suite; combining two retail tenant suites into one.,"1,800 ft 2",GMV (Mall) Owner LLC,"13350 Dallas Parkway, Suite 3080, Dallas, Texas 75240",(972) 702-7171,Stefania Allmeta,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011943,Agent Design LLC,"1414 Belleview Street, Suite 150, Dallas, Texas 75215",(214) 775-0823
FieldPulse,TABS2026011935,The Gild North,"8350 North Central Expressway, Suites 500 & 1600, Dallas, TX 75206",Dallas,3/16/2026,5/15/2026,"$1,343,038",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of existing office space in high rise building,"23,251 ft 2","FACW CC PropCo, LLC","312 S Cedros, Suite 301, Solana Beach, California 92075",(858) 436-3600,Gabriel Pinchev,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011935,Go Studio,"1201 Main Street, Suite 1370, Dallas, Texas 75202",(214) 420-4646
T-Mobile Remodel:  #9795- Hwy 67 & Pleasant Run,TABS2026011926,Pleasant Run Towne Crossing,"416 E Pleasant Run Rd., Suite 200, Cedar Hill, TX 75104",Dallas,5/4/2026,6/26/2026,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Remodel of an existing T-Mobile retail store to update to the latest design concept.  Includes new fixtures, finishes and lighting in retail area and updates to BOH","2,407 ft 2","KRG Cedar Hill Pleasant Run, LLC","30 S Meridian Street, Ste 1100, Indianapolis, Indiana 46021",(312) 219-2527,Anna Smith,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011926,"JLL Architecture, LLC","4300E Camelback Road, Suite 100, Phoenix, Arizona 85018",480-401-3660
25145 - Graybar,TABS2026011902,DFW Logistics HUB Building 1,"2925 Valley View Lane, Dfw Airport, TX 75261",Dallas,4/1/2026,7/31/2026,"$10,000,000",New Construction,"This project is privately funded, on private land for private use.","5,360 sq ft of new office space","5,360 ft 2",City of Dallas/DFW Airport Division,"3003 South Service Road, DFW Airport, Texas 75261",(972) 973-1784,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011902,RGA Architects Inc.,"301 S. Oak Street Suite 100, Roanoke, Texas 76262",(817) 430-3382
White Box - Forest Lane,TABS2026011898,Park Forest Southwest,"3610 Forest Lane, Dallas, TX 75234",Dallas,2/15/2026,5/1/2026,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","9,400 Sq/Ft white box broke out of larger existing retail space","9,400 ft 2",MDF Investment LLC,"16475 Dallas Parkway Suite 880, Dallas, Texas 75001",(972) 931-7400,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011898,,,
Mas Chingon Roof Top Patio Addition,TABS2026011886,Mas Chingon Cantina,"312 W Davis St, Dallas, TX 75208",Dallas,3/1/2026,5/30/2026,"$450,000",Additions to Existing Building,"This project is privately funded, on private land for private use.","New Roof Top Patio 1,747 sq ft addition","1,747 ft 2",HISPANIC SERV UNLTD INC,"300 W Davis St, Dallas, Texas 75208",(214) 398-7777,Jesse Botello,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011886,BTR Construction Group LLC,"9982 Monroe Dr, Suite 401, Dallas, Texas 75220",(214) 241-9169
HILTON ANATOLE - GRAND BALLROOM LIGHTING,TABS2026011865,HILTON ANATOLE HOTEL,"2201 N. STEMMONS HWY., Dallas, TX 75207",Dallas,8/19/2026,11/3/2026,"$1,700,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",UPGRADE EXISTING LIGHTING IN THE GRAND BALLROOM MEETING SPACE ...,"17,338 ft 2","ANATOLE PARTNERS III, LC.","2201 N. STEMMONS FWY., DALLAS, Texas 75207",(214) 661-8345,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011865,ROSSI ARCHITECTURE,"3952 CLAIREMONT MESA BLVD, #D-384, SAN DIEGO, Texas 75207",(619) 291-8372
