project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
Port Coffee - Richardson,TABS2026019202,Habibi Plaza,"801 S Sherman St. Suite 101, Richardson, TX 75081",Dallas,5/4/2026,8/1/2026,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",3000 s/f Interior Finish-Out ,"3,000 ft 2",Victory Real Estate Group,"600 S Sherman Street Ste 108, Richardson, Texas 75080",(972) 707-9555,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019202,,,,
10741 KING WILLIAM DR SPEC OFFICE INTERIOR RENOV,TABS2026019185,INTERSTATE 6,"10741 KING WILLIAM DR, Dallas, TX 75220",Dallas,5/1/2026,8/1/2026,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR RENVOATION OF EXISTING OFFICE AND WAREHOUSE ,"4,325 ft 2",EAST GROUP PROPERTIES LP,"400 WEST PARKWAY PLACE #STE. 100, RIDGELAND, Mississippi 39157",(972) 386-8700,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019185,GARY LEVY ARCHITECT LLC,"PO BOX 192334, DALLAS, Texas 75219",(214) 766-2686,
BBQ,TABS2026019184,BBQ,"107 E Main, Richardson, TX 75110",Dallas,5/1/2026,2/4/2027,"$75,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior remodel ,"3,000 ft 2",MSR VENTURES LP,"2808 FAIRMOUNT ST STE 100, Dallas, Texas 75111",(972) 800-0039,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019184,,,,
TERREPOWER,TABS2026019177,INTELLICENTER,"3701 REGENT BLVD, Irving, TX 78746",Dallas,6/15/2026,1/6/2027,"$3,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR TENANT RENOVATION,"27,000 ft 2",CCI INTELLICENTER OWNER LLC,"500 N CAPITAL OF TEXAS HWY BLGD 1 STE 200, AUSTIN, Texas 78746",(512) 472-6990,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019177,HOK,"717 N. Harwood St Suite 2850 LB8, DALLAS, Texas 75201",214.231.5845,TERREPOWER
Kirby Ice House Irving,TABS2026019175,Kirby Ice House,"1251 W Royal Lane, Irving, TX 77039",Dallas,1/4/2027,3/1/2029,"$5,000,000",New Construction,"This project is privately funded, on private land for private use.","Bar with utility room area and beverage cooler, kitchen, indoor and outdoor seating areas, restrooms, storage, and office.","13,200 ft 2",Piedmont Royal Lane LP,"PO Box 20197, Atlanta, Georgia 20197",(214) 939-7139,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019175,Energy Architecture,"2777 Allen Parkway Suite 460, Houston, Texas 77019",(713) 213-6868,
Switch,TABS2026019174,8080 NCX,"8080 North Central Expressway Suite 950, Dallas, TX 75206",Dallas,5/1/2026,11/30/2026,"$378,874",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"7,118 ft 2",8080 NCX Texas LLC,"1270 Soldiers Field Road, Boston, Massachusetts 02135",(617) 779-0419,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019174,ENTOS Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 7520",(972) 770-2222,
E1.410G Glass Wall,TABS2026019171,University of Texas Southwestern Medical Center,"5323 Harry Hines Blvd., Dallas, TX 75390",Dallas,7/1/2026,10/1/2026,"$80,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",288 SF tenant-improvement of a conference and storage room of an existing multi-story office building.,288 ft 2,University of Texas Southwestern Medical Center,"5323 Harry Hines Blvd., Dallas, Texas 75390",(214) 645-7132,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019171,Boulder Associates,"5646 Milton Street, Suite 240, Dallas, Texas 75206",(214) 420-5700,
NEXT Oncology Admin,TABS2026019139,Las Colinas Medical Plaza I,"6750 North MacArthur Boulevard Suite 209, Irving, TX 75039",Dallas,5/11/2026,7/3/2026,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",renovations to an existing suite within an existing buillding,"1,425 ft 2",MOB 105 of Texas LP,"3000 Meridian BLVD STE 200 Franklin TN 37067, Franklin, Tennessee 37607",615.324.6946,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019139,"LPC Commercial Services Enterprises, Inc.","8140 Walnut Hill Lane, Ste 700, Dallas, Texas 75231",(214) 461-2354,
Kathrine's House,TABS2026019129,Kathrine's House,"2800 Swiss Ave., Dallas, TX 75204",Dallas,6/1/2026,10/31/2026,"$800,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","ADA compliant restroom remodel with added shower, change out doors and hardware, rework of interior stair, food prep refresh, minor electrical and LV work as required, new exterior ramp, new exterior stair.","4,069 ft 2",Meadows Foundation Wilson Historic District,"3003 Swiss Avenue, Dallas, Texas 75204",(214) 860-8140,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019129,Kirksey Architecture,"143 Manufacturing St., Dallas, Texas 75207",(214) 466-2710,Chris Culak
KIEHLS SINCE 1851,TABS2026019110,NORTHPARK CENTER,"8687 N Central Expy #762, Dallas, TX 75225",Dallas,5/18/2026,5/29/2026,"$85,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","2862 SF SPACE, MINOR COSMETIC UPDATES, PAINT + LIGHTING. ","2,862 ft 2",NorthPark Land Partners,"8080 N. Central Expressway Suite 1100, Dallas, Texas 75206",214-369-1234,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019110,,,,AMY SNIDER
