project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
WALMART #0789 FASHION TEST 2.0,TABS2026002555,WALMART,"200 E. US HWY 80, Mesquite, TX 75149",Dallas,10/10/2025,10/17/2025,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",* IMPLEMENT FASHION TEST 2.0 * STAIN BAND CHANGE * SHOES WILL MOVE FROM CURRENT (2) LOCATIONS ON BACK WALL TO (1) LOCATION AT THE STAIN BAND AREA * STORE OF THE FUTURE INITIATIVE INCLUDING DISPLAYS & LIGHTING * RELOCATE FITTING ROOMS ,"32,500 ft 2",WAL MART REAL ESTATE BUSINESS TRUST,"PO BOX 8050, BENTONVILLE, Arkansas 72716",(479) 277-0654,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026002555,,,,
Truck Yard Richardson,TABS2026002534,Truck Yard Richardson,"740 S CENTRAL EXPRESSWAY, Richardson, TX 75080",Dallas,11/3/2025,3/3/2026,"$2,400,000",Additions to Existing Building,"This project is privately funded, on private land for private use.","REMODEL AND NEW CONSTRUCTION OF VARIOUS BUILDINGS ON SITE, INCLUDING SITE IMPROVEMENTS","8,737 ft 2",TRUCK YARD RICHARDSON LLC,"5601 SEARS ST STE B, Richardson, Texas 75206",(469) 866-4514,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026002534,JRAF Studio,"10520 Plano Rd. #202, Dallas, Texas 75238",(214) 725-8832,
Brian Hall,TABS2026002523,10440 Meadow Park Tower,"10440 North Central Expressway Suite 1450, Floor 14, Dallas, TX 75231",Dallas,11/1/2025,2/1/2026,"$90,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Renovation,"5,011 ft 2","Bradford MPT Partners, LLC","10440 N Central Expy Suite 1150, Dallas, Texas 75231",(972) 776-7000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026002523,,,,
Bowser Multifamily,TABS2026002511,Bowser Multifamily,"4516 Bowser Avenue, Dallas, TX 75219",Dallas,11/3/2025,4/5/2027,"$3,327,450",New Construction,"This project is privately funded, on private land for private use.","Three story, 28 unit multifamily","31,659 ft 2",SIEKIELSKI MATT & SHEA LIVING TRUST,"1407 POST OAK PL, Westlake, Texas 76262",214 232 9984,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026002511,Midtown Architects,"1801 Wittington Place Suite 120, Farmers Branch, Texas 75234",(214) 396-5573,
UPPERROOM PHASE 02 TENNANT FINISH OUT,TABS2026002500,UPPERROOM Offices,"1910 Wall St, Dallas, TX 75215",Dallas,11/5/2025,1/5/2026,"$1,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",A tenant finishes the interior renovation of an existing warehouse for offices for the church staff,"12,000 ft 2",UPPER ROOM DALLAS,"1350 MANUFACTURING ST STE 107, Dallas, Texas 75207",(817) 228-7807,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026002500,,,,
ACS,TABS2026002495,Collins Plaza,"1755 N Collins Suite 420, Richardson, TX 75080",Dallas,10/13/2025,12/19/2025,"$133,431",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"4,085 ft 2",Sunflower Bank NA,"8117 Preston Rd Suite 220, Dallas, Texas 75225",(785) 827-5564,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026002495,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,
Summit Electric,TABS2026002484,MacArthur Plaza,"5525 N. MacArthur Plaza 760, Irving, TX 75038",Dallas,10/2/2025,12/15/2025,"$190,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"6,576 ft 2",Brookwood Properties Subsidiary,"5605 N. MacArthur Blvd. 150, Irving, Texas 75038",(972) 503-2400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026002484,Entos Design,"5400 LBJ FREEWAY SUITE 125, Dallas, Texas 75240",(972) 770-2222,
KA BEAUTY & NAIL BAR,TABS2026002464,IRVING MARKET CENTER,"3903 W AIRPORT FRWY #STE. 101, Irving, TX 75062",Dallas,10/15/2025,1/15/2026,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",RENOVATION / REMODEL ,"2,700 ft 2",CORSAIR IRVING OWNER LLC,"2850 N HARWOOD ST #STE. 1600, DALLAS, Texas 75201",(512) 779-6600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026002464,MJ DESIGN,"14001 GOLDMARK DR #STE. 222A, DALLAS, Texas 75240",(972) 839-8399,NHUNG NGUYEN
Nationwide Mutual Insurance Company,TABS2026002448,The Madison,"15851 Dallas Parkway Suite No: 660, Addison, TX 75001",Dallas,10/10/2025,12/20/2025,"$204,245",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"4,695 ft 2",PAR CAPITALMADISON LLC,"2201 W. Royal Lane Suite No:165, Irving, Texas 75063",(469) 349-7701,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026002448,ENTOS Design,"5400 Lyndon B Johnson Fwy Suite 125, Dallas, Texas 75240",(972) 770-2222,
BSW Irving Soiled Renovation,TABS2026002428,Baylor Scott and White Medical Center - Irving,"1901 N. MacArthur Blvd, Irving, TX 75061",Dallas,10/20/2025,11/26/2025,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",This project is finishing out a shell storage space into a soiled utility room.,230 ft 2,Irving Hospital Authority,"301 N Washington Ave, Dallas, Texas 75246",214-820-8521,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026002428,GUIDE Architecture,"1108 Quaker St. Suite 130, Dallas, Texas 75207",(214) 960-9773,
