project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
La Lupita,TABS2025022711,La Lupita,"1201 Oak Lawn Avenue Suite 160, Dallas, TX 75207",Dallas,8/1/2025,10/20/2025,"$1,300,000",Additions to Existing Building,"This project is privately funded, on private land for private use.","Renovation of existing restaurant space, new construction to expand the existing structure.","4,255 ft 2",LLUSA-Dallas LLC,"500 N Akard St Suite 2010, Dallas, Texas 75201",(847) 630-7606,"Premier Architecture, LLC","14185 Dallas Parkway Suite 1400, Dallas, Texas 75254",214.794.8581,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022711,
DSV Breakroom and Office Expansion,TABS2025022707,Midpoint Logistics 1,"3701 Midpoint Drive, Lancaster, TX 75134",Dallas,8/11/2025,12/31/2025,"$961,100",New Construction,"This project is privately funded, on private land for private use.",The addition of a central breakroom and office.,"3,700 ft 2",Sterling Investments,"712 5th Ave., Suite 11A, New York, New York 10019",(212) 430-1800,Alliance Architects,"1600 N. Collins Blvd, Richardson, Texas 75080",(972) 233-0400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022707,
Galleria Dallas - Level 1 Corridor & Restroom Renovation,TABS2025022693,Galleria Dallas,"13350 Dallas Parkway, Dallas, TX 75240",Dallas,7/7/2025,11/1/2025,"$1,400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","SELECTIVE DEMO AND ISOLATED MALL RENOVATION THAT INCLUDES A NEW CONCOURSE EXTENSION TO AN EXTERIOR  EXIT, ADDITION OF MEN'S AND WOMEN'S RESTROOMS, FAMILY RESTROOM ADDITION, NURSING ROOM & ADDITION OF  OTHER ANCILLARY SPACES. AT THE LOCATION OF THE NE","2,987 ft 2",GMV (Mall) Owner LLC,"13350 Dallas Parkway Suite 3080, Dallas, Texas 75240",972-702-7122,OMNIPLAN,"1845 Woodall Rodgers Freeway, Dallas, Texas 75201",(972) 375-2410,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022693,
Frost Bank - Lake Ridge Financial Center,TABS2025022692,Frost Bank - Lake Ridge Financial Center,"2575 W. Camp Wisdom Road, Grand Prairie, TX 75052",Dallas,9/1/2025,2/28/2026,"$10,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Construction of new frost bank with drive-thru motor bank lanes,"4,500 ft 2",Frost Bank,"111 W. Houston St, San Antonio, Texas 78205",(210) 220-5842,Grace Design Studio,"200 Bailey Avenue, Fort Worth, Texas 76107",(817) 921-5928,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022692,
La Stella Restaurant,TABS2025022682,La Stella Restaurant,"14655 Dallas Pkwy, Dallas, TX 75254",Dallas,8/1/2025,11/1/2025,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Refresh of the existing restaurant 4531.0 sq.ft  mostly cosmetic, updating the paint, refreshing wood finishes & trim ","4,531 ft 2",ADDISON LA STELLA LLC,"6136 Frisco sq blvd suite 400, Frisco, Texas 75034",469-223-2319,Terzyan Design LLC,"1712 Hackberry Branch Drive, Allen, Texas 75002",240-535-2507,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022682,
Berkner Wriedt Lab Finish Out,TABS2025022669,The University of Texas Dallas – Berkner Hall,"2600 Rufford Ave, Richardson, TX 75080",Dallas,8/15/2025,2/20/2026,"$1,800,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Interior remodel an existing space in an existing building. No exterior scope. No restroom scope,"2,110 ft 2",UTD Berkner Hall - Kevin McDowell,"2600 Rufford Ave, Richardson, Texas 75080",972.883.2478,Stantec Architecture Inc.,"6080 Tennyson Parkway Suite 200, Plano, Texas 75024",(214) 473-2522,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022669,
Science building Level 4 Finish Out – Lab Wing,TABS2025022668,The University of Texas Dallas – Science Building,"2600 Rufford, Richardson, TX 75080",Dallas,7/2/2025,2/20/2026,"$5,400,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Interior finish out an existing building. No exterior scope. No restroom scope,"18,965 ft 2",UTD - Carmen Wright,"2600 Rufford Av., Richardson, Texas 75080",972.883.6963,Stantec Architecture Inc.,"6080 Tennyson Parkway Suite 200, Plano, Texas 75024",(214) 473-2452,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022668,
Birch - Grand Prairie - Building B,TABS2025022658,Grand Prairie Retail - Building B,"3735 State Highway 161, Grand Prairie, TX 75052",Dallas,7/24/2025,3/25/2026,"$2,000,000",New Construction,"This project is privately funded, on private land for private use.","One single story cold, wet, dark retail shell building","8,057 ft 2",Rise Up Venture,"957 Park Ridge Drive., Allen, Texas 75013",(847) 471-7716,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022658,
Fred Astaire Dance Studio,TABS2025022654,"Berkeley Square (Edens), LLC","4701 W Park Blvd., Suite 109, Plano, TX 75093",Dallas,8/5/2025,12/10/2025,"$575,640",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant improvement by demolition of the existing space and interior renovation improvements.,"3,200 ft 2",Edens Limited Partnership,"1221 Main Street, Suite 1000, Columbia, South Carolina 29201",(214) 691-2300,Perez Architecture Studio,"1412 Fernwood Dr, Mesquite, Texas 75149",214.718.0584,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022654,Stephanie Leyva
Taco Bell Mesquite,TABS2025022653,Taco Bell,"201 W Cartwright Rd, Mesquite, TX 75149",Dallas,9/15/2025,10/6/2025,"$69,900",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior tenant improvement in FOH. New +/- 127 sf Beverage station with new equipment, fixtures, finishes and new front counter. Other dining updates include new furniture, new ceiling and lighting","1,165 ft 2",Taco Bell of America LLC,"1 Glen Bell Way MD 534, Irvine, California 92618",(949) 863-4500,Valerio Architects,"5858 Wilshire Blvd. #200, Los Angeles, California 90036",(323) 954-8996,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022653,
