project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
TANG MASSAGE,TABS2025008537,-,"3105 IRA E WOODS AVE #STE. 134, Grapevine, TX 76051",Dallas,1/20/2025,3/31/2025,"$50,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",REMODEL ,"1,500 ft 2",JULIE YU,"3105 IRA E WOODS AVE #STE. 134, GRAPEVINE, Texas 76051",(972) 908-9558,AMOI,"8750 N CENTRAL EXPRESSWAY, DALLAS, Texas 75225",(972) 908-6885,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008537,
Mountjoy Aquatics,TABS2025008511,Central Park Business Center,"1900 Firman Suite 300, Richardson, TX 75081",Dallas,1/1/2025,3/1/2025,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Tenant Finish Out,"6,123 ft 2",Avistone,"400 Inverness Pkwy. Suite 160, Englewood, Colorado 80112",(858) 480-7131,DRAWbridge,"2650 FM 407E Suite 145, #149, Bartonville, Texas 76226",(214) 395-2375,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008511,
SL 12 (CSJ: 0581-01-184),TABS2025008501,CSJ: 0581-01-184,"From N. of Maddox Ave to Hillburn Dr, Dallas, TX 75217",Dallas,9/2/2025,5/4/2026,"$102,554",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",Installation of traffic signals.,"3,448 ft 2",TxDOT District: Dallas,"4777 E. Highway 80, Mesquite, Texas 75150",(214) 320-6200,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008501,
Armstrong Vineyards,TABS2025008489,Old Parkland,"4030 Maple Ave, Suite 475, Dallas, TX 75219",Dallas,1/1/2025,4/30/2025,"$279,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Construction of a tenant suite from shell building condition.,"1,289 ft 2",Crow Holdings,"3819 Maple Ave, Dallas, Texas 75219",(214) 922-8484,Entos Design,"5400 Lyndon B Johnson Frwy, Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008489,
University Plaza,TABS2025008476,Bank of America Plaza,"901 Main Street suite 4300, Dallas, TX 75202",Dallas,12/27/2024,4/25/2025,"$1,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation to Tenant Suite ,"19,500 ft 2",Dallas Main LP,"455 N. Cityfront Plaza Dr., suite 2400, Chicago, Illinois 60611",(312) 416-9130,Entos Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",972-770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008476,
Marco's Pizza #3711,TABS2025008464,Wilderness Plaza,"1336 N Galloway Ave, Ste. #124A, Mesquite, TX 75149",Dallas,2/3/2025,4/14/2025,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",1530sf remodel. Convert lease space into QSR pizza shop. Scope includes MEP improvements.,"1,530 ft 2",Winsight LLC,"515 W Main St, Ste. #104, Allen, Texas 75013",(469) 606-4528,Gnich Architecture Studio,"1001 SE Sandy Blvd, Ste. 100, Portland, Oregon 97214",(503) 552-9079,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008464,Eric Somer
LAKE MEADOW APARTMENTS,TABS2025008455,LAKE MEADOW APARTMENTS,"5421 ZION RD, Garland, TX 75043",Dallas,1/4/2025,8/31/2025,"$2,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",NEW REBUILD OF BURNED STRUCTURE ,"8,126 ft 2",5409 ZION LLC - LAKE MEADOW APARTMENTS,"5409 ZION RD, GARLAND, Texas 75043",(972) 897-8046,IKEMIRE ARCHITECS,"16660 N DALLAS PKWY #STE. 2900, DALLAS, Texas 75024",(972) 248-2486,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008455,
Cockrell Hill Rd from La Reunion Pkwy to Singleton Blvd,TABS2025008452,"City of Dallas, Depart. Transportation and Public Works","1801 S Cockrell Hill Rd 320 E. Jefferson Blvd, Dallas, TX 75203",Dallas,7/14/2025,12/31/2027,"$254,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Paving, Drainage and Bridge Construction","1,000 ft 2","City of Dallas, Department of Transportation and Public Works","320 E. Jefferson Blvd, Room 307, Dallas, Texas 75203",(214) 948-4601,"APM & Associates, Inc.","1700 Pacific Ave, Suite 1020, Dallas, Texas 75201",214-748-4888,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008452,
"PHD24041.1 DALLAS, TX GALLERIA",TABS2025008450,Portillo's Hot Dogs,"13904 DALLAS PARKWAY, Dallas, TX 75240",Dallas,7/17/2024,12/17/2025,"$4,500,000",New Construction,"This project is privately funded, on private land for private use.","New quick service restaurant with drive thru. Interior and exterior patio dining, multi-occupant restrooms.","6,250 ft 2",Four River Capital,"4514 Cole Ave, Suite 1220, Dallas, Texas 75205",(214) 924-7192,"PM Design Group, inc.","1101 Central Expressway South, #100, Allen, Texas 75013",(972) 499-8084,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008450,Matthew Gilbert
Make Ready,TABS2025008449,Valwood Dist Center 13,"2323 McDaniel Dr,, Carrollton, TX 75006",Dallas,1/6/2025,5/2/2025,"$1,200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Remodel of existing lease area to provide approx 8,533 SF of office/rr area and 213,642 sf of whse area in existing shell building.","222,275 ft 2",Prologis,"2021 McKinney Ave Suite 1050, Dallas, Texas 75201",(972) 884-9210,Meinhardt & Associates Architects P.L.L.C.,"14643 Dallas Parkway Suite 636, Dallas, Texas 75254",(972) 980-8980,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008449,
