project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,project_url,design_name,design_address,design_phone
Hyper Kidz,TABS2025015396,Best Buy Plaza,"9384 N Central Expy, Dallas, TX 75231",Dallas,4/7/2025,6/7/2025,"$530,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","This project involves the interior build-out of an 11,801 sq. ft. The scope includes the construction of 4 party rooms, lobby/reception area, an office, a lactation room, restrooms, a janitor closet, and an electrical & storage room.","11,801 ft 2","9358 North Central Expressway Dallas, LLC","P O Box 131237, Carlsbad, California 92013",(323) 860-7413,Jeevan Muppidi,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025015396,,,
UNITY MANUFACTURING,TABS2025015375,UNITY MANUFACTURING,"210 E. BUCKINGHAM RD., Garland, TX 75040",Dallas,3/15/2025,12/16/2025,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",1-STORY INTERIOR FINISH-OUT,"4,650 ft 2",ERD HOLDINGS,"210 E. BUCKINGHAM RD., GARLAND, Texas 75040",(972) 272-9502,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025015375,ESTUDIO RICARDO TORRES,"3300 MAIN ST., DALLAS, Texas 75226",915.541.5746
Best Price DTF,TABS2025015373,Best Price DTF,"1111 Digital Drive, Suite 175, Richardson, TX 75081",Dallas,4/1/2025,5/15/2025,"$97,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",New indoor wall and electricity on it,"13,000 ft 2",Bilgin Sonkaya,"1111 Digital Drive, Suite 175, Richardson, Texas 75081",(469) 703-7113,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025015373,,,
"Tesla - Dallas, TX",TABS2025015352,Tesla,"39739 Lyndon B Johnson Freeway, Dallas, TX 75237",Dallas,4/28/2025,5/4/2026,"$180,000",New Construction,"This project is privately funded, on private land for private use.",electrical infrastructure,"1,200 ft 2",Tesla,"3500 Deer Creek Road, Palo Alto, California 94304",(504) 812-7053,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025015352,GPD Group Professional Corporation,"520 South Main Street, Suite 2531, Akron, Ohio 44311",(330) 572-2100
CHI Wildlife Pickleball Court & Restrooms,TABS2025015344,Wildlife 14-15,"705 W. Wildlife Parkway, Grand Prairie, TX 75050",Dallas,5/1/2025,9/1/2025,"$1,000,000",New Construction,"This project is privately funded, on private land for private use.","Adding two restrooms, parking area and pickleball court",299 ft 2,"CHI Wildlife 14-15, LP","3819 Maple Avenue Suite 180, dallas, Texas 75219",(214) 661-8341,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025015344,"Pross Design Group, Inc.","5310 Harvest Hill Road Suite 180, Dallas, Texas 75230",(972) 759-1400
Timothy Devolt & Co.,TABS2025015341,MacArthur Plaza,"5525 N. MacArthur Blvd, Suite 940, Irving, TX 75038",Dallas,3/31/2025,6/27/2025,"$215,568",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"4,035 ft 2","Brookwood Real Estate Management, LLC","1431 Greenway Drive, Suite 375, Irving, Texas 75038",(972) 550-7662,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025015341,Entos Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222
Spec Suite 240,TABS2025015335,3300 Olympus,"3300 OLYMPUS BLVD. Suite 240, Dallas, TX 75019",Dallas,3/28/2025,9/28/2025,"$418,160",Renovation/Alteration,"This project is privately funded, on private land for private use.",A non-structural interior finish-out in an existing single floor suite.,"5,227 ft 2",Billingsley Company,"1722 Routh Street, Dallas, Texas 75201",(214) 270-0942,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025015335,idGROUP,"2641 Irving Blvd, Dallas, Texas 75207",(214) 638-6800
Casey's Sunnyvale,TABS2025015333,Casey's,"224 S Collins Road, Sunnyvale, TX 75182",Dallas,5/19/2025,11/17/2025,"$425,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior remodel of an existing Casey's store.,"4,457 ft 2",Todd Felger,"One Convenience Blvd, Ankeny, Iowa 50021",(515) 381-4095,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025015333,,,
Hydrate IV Bar,TABS2025015329,Hillcrest Village Shopping Center,"6959 Arapaho Road, Suite 117, Dallas, TX 75248",Dallas,5/23/2025,1/22/2026,"$99,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior tenant improvement of existing shell space for a 1,130 s.f. IV Therapy Spa and Hydration Bar","1,130 ft 2",HV Development Partners LP,"4809 Cole Ave. #330, Dallas, Texas 75205",(214) 393-1833,Blair Ramsing,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025015329,One Architecture PLC,"8686 N. Central Ave. Suite 166, Phoenix, Arizona 85020",(602) 266-2712
Amazon IAH1 RELO - PH. 2,TABS2025015315,Amazon IAH1 RELO,"Southlink Logistics Center, 9155 Southlink Drive, Dallas, TX 75241",Dallas,5/1/2025,11/1/2025,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","TENANT IMPROVEMENT TO THE INTERIOR WHICH INCLUDES THE FOLLOWING: DEMOLITION OF EXISTING OFFICES TO CREATE A SECURE ENTRY VESTIBULE, SECURITY AREA, AND NEW LOCKER ROOM","4,700 ft 2",Southlink Owner LLC,"9 W 57TH ST STE 4200, NEW YORK, New York 10019",(713) 853-7687,"C. Walker Olsen, P.E.",https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025015315,Stantec,"600 Grant Street Suite 4940 Pittsburgh Pa 15219, Pittsburgh, Pennsylvania 15219",(412) 806-8051
The Bread Club,TABS2025015306,The Quad,"2681 Howell Street Suite BU4, Dallas, TX 75204",Dallas,4/15/2025,12/31/2025,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","2,615 SF bakery build-out","2,615 ft 2","SRPF B/Quadrangle Property, L.L.C","2001 Ross Avenue Suite 400, Dallas, Texas 75201",214-267-0400,Henry Cohanim,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025015306,INK+ORO,"1025 N Stemmons Fwy Suite 410, Dallas, Texas 75207",214-629-1707
BJs Wholesale Club #264 Retail Gas Station,TABS2025015295,BJs Wholesale Club #264 Retail Gas Station,"1021 Ikea Way, Grand Prairie, TX 75052",Dallas,9/15/2025,2/28/2026,"$950,000",New Construction,"This project is privately funded, on private land for private use.","Installation of a new retail gasoline station with employee only attendant kiosk, overhead canopy, underground storage tanks and all associated fuel system equipment. 8400 sf.","8,400 ft 2",BJs Wholesale Club,"350 Campus Drive, Marlborough, Massachusetts 01752",(360) 450-9514,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025015295,"Stantec Consulting Services, Inc.","6800 College Blvd. Suite 750, Overland Park, Kansas 66211",(913)202-6867
Grain & Berry,TABS2025015293,Multi tenant,"1389 W CAMPBELL RD, Richardson, TX 75080",Dallas,4/30/2025,7/1/2025,"$275,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior remodel,"1,630 ft 2",pavillion east ltd,"1221 west campbell rd, richardson, Texas 75080",(972) 733-4900,krishna Mohan,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025015293,2 young architects inc,"1532 OWLS RETREAT, TARPON SPRINGS, Florida 34688",(572) 794-3008
Luis Rivera,TABS2025015278,Rivera Trucking,"122 pleasant Dr, Dallas, TX 75217",Dallas,6/1/2025,10/31/2025,"$320,000",New Construction,"This project is privately funded, on private land for private use.","New concrete slab, new metal framing industrial building, grading and fencing","6,000 ft 2",Luis Miguel Rivera Verdecia,"5206 Vista Verde Drive, Arlington, Texas 76017",(214) 206-5959,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025015278,Design and Construction Multiservices LLC,"1310 N Cockrell Hill Rd #824, Dallas, Texas 75211",(214) 862-5101
Maverick Capital (39-2415900),TABS2025015267,1900 Pearl,"1900 Pearl Street Suite 2000, Dallas, TX 75201",Dallas,4/1/2025,7/1/2025,"$80,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","14,283 USF TOTAL, ACTUAL MODIFICATIONS = 500 SF","14,283 ft 2",Lincoln Property Company,"8111 Douglas Ave., Suite 600, Dallas, Texas 75225",214.740.3467,Tony Hairston,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025015267,DLR Group,"2500 Pacific Ave., Suite 1600, Dallas, Texas 75226",(214) 747-2511
SM commissary,TABS2025015263,San Martin Commissary,"13733 Neutron Rd, Farmers Branch, TX 75244",Dallas,5/1/2025,9/1/2025,"$585,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel existing building to be used as commissary ,"13,000 ft 2",AC Capital,"15280 Addison Rd, ste 120, Addison, Texas 75001",(469) 516-8895,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025015263,Alias Architects LLC,"903 18th street suite 229 suite 229, Plano, Texas 75074",(972) 985-3900
gardner haas,TABS2025015260,international plaza III,"14241 dallas parkway, suite 650, Dallas, TX 75254",Dallas,3/31/2025,6/20/2025,"$301,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior finish out of existing office space,"5,403 ft 2","IP III Dallas, JV, LP","700 Louisiana Street, Suite 1750, Houston, Texas 77002",(214) 220-3309,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025015260,interprise design,"14241 dallas parkway, suite 260, dallas, Texas 75254",(972) 385-3991
Gruns - Separation wall,TABS2025015256,215 Fairway,"215 Fairway Dr Suite100, Roanoke, TX 75262",Dallas,3/31/2025,7/30/2025,"$398,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Build separation wall within warehouse to separate product/ equipment.,"5,842 ft 2",Beacon Land Company,"225 Airport Circle, Corona, California 92878",(951) 372-9555,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025015256,,,
New restaurant and bar - Dallas,TABS2025015250,Texas Roadhouse,"3407 Cyn Blf Blvd, Dallas, TX 75211",Dallas,7/6/2026,12/28/2026,"$2,000,000",New Construction,"This project is privately funded, on private land for private use.",New construction of a sit down restaurant and bar ,"8,043 ft 2","Texas Roadhouse Holdings, LLC","6040 Dutchman's Lane, Louisville, Kentucky 40205",(502) 550-0554,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025015250,GreenbergFarrow,"251 West 30th Street 10th Floor, New York, New York 10001",(614) 674-4761
Ford Harrison LLP,TABS2025015246,Santander Tower,"1601 Elm Street Suite 4000, Dallas, TX 75201",Dallas,4/1/2025,6/30/2025,"$105,250",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"6,354 ft 2","1601 Elm Holdings, L.P.","1601 Elm Street Suite 3110, Dallas, Texas 75201",(469) 236-6070,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025015246,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222
