project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
Thermomix - Annex,TABS2024024074,One Mckinney,"3232 One Mckinney Ave. Suite 150, Dallas, TX 75204",Dallas,7/26/2024,1/26/2025,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The scope of this project is a non-structural interior finish-out in an existing single floor suite. Scope includes hvac, electrical, and plumbing.","4,788 ft 2",Gaedeke Group,"3710 Rawlins St. Suite 1100, Dallas, Texas 75219",(469) 613-6892,idgroup,"2641 Irving blvd., Dallas, Texas 75207",214.638.6800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024074,
Highland Park Village Landlord Remodel Work Suite 105,TABS2024024069,Highland Park Village,"105 Highland Park Village, Dallas, TX 75205",Dallas,7/15/2024,8/12/2024,"$185,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Partial removal of existing tenant improvement on Level 1, unoccupied Suite 105. Re-demise suite into 2 separate units. Suite 105 utilities and storefront to remain. Provide new restroom in Suite 105 for future tenant. New Suite 106 return to shell. ","3,992 ft 2","HP Village Partners, LLP","47 Highland Park Village, Dallas, Texas 75205",(000) 000-0001,Droese Raney,"2120 Sylvan Ave., Dallas, Texas 75208",(214) 987-1902,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024069,
Redding Trail Dog Park and Extension to Midway Road,TABS2024024057,N/A,"14661 Midway Road, Addison, TX 75244",Dallas,10/1/2024,5/1/2025,"$750,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Construction of 1500 square yards of concrete paving and trail, 385 linear feet of retaining wall, and 860 linear feet of dog park fencing.","20,500 ft 2",Town of Addison,"16801 Westgrove Drive, Addison, Texas 75001",214-738-1376,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024057,
HTPN FMC,TABS2024024052,3434 Swiss,"3434 Swiss Avenue Suite 300, Dallas, TX 75204",Dallas,9/16/2024,12/16/2024,"$839,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior finish out of an existing suite,"7,449 ft 2",Baylor Health Care System,"301 N Washington Ave Suite 1420, Dallas, Texas 75246",(214) 870-8231,Schwabauer Design,"1600 N Collins Blvd Suite 1900, Richardson, Texas 75080",(469) 804-2400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024052,
QI Tech,TABS2024024046,QI Manufacturing,"7410 Ambassador Row, Dallas, TX 75247",Dallas,8/15/2024,11/1/2024,"$160,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation / Alteration,"30,000 ft 2",QI Tech Inc.,"9298 Points Drive NE, Yarrow Point, Washington 98004",(469) 588-9229,Develop Inc Architectural,"9244 Prestmont Place Suite 306, Frisco, Texas 75035",(469) 634-4625,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024046,
Street Reconstruction Group 17-1405,TABS2024024039,"Goodwin Ave., McCommas Blvd., Willis Ave.","MULTIPLE LOCATIONS, Dallas, TX 75203",Dallas,4/1/2023,10/1/2024,"$148,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",17680 OF SIDEWALK AND BFR ,"17,680 ft 2",CITY OF DALLAS,"320 E JEFFERSON BLVD ROOM 307, DALLAS, Texas 75203",(214) 948-4482,BINKLEY & BARFIELD INC,"1801 GATEWAY BLVD #STE. 10, RICHARDSON, Texas 75080",(972) 644-2800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024039,
DFW A29 Sink Replacement,TABS2024024031,DFW Terminal A,"2400 Aviation Dr., Dfw Airport, TX 75261",Dallas,8/1/2024,10/1/2024,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Removal of Sinks in Men's , Women's and Family Toilet rooms in like kind. Sinks deteriorated and new sinks are by a different manufacturer to take more traffic/ abuse. ","2,400 ft 2",Iliana Diaz,"PO Box 612008, DFW Airport, Texas 75261",972.973.2351,Muller & Muller Ltd,"750 N St Paul St, Suite 610, Dallas, Texas 75201",214-552-4167,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024031,
Nolan Group,TABS2024024010,4040 NCX,"4040 North Central Expressway, Suite 850, Dallas, TX 75204",Dallas,8/12/2024,10/18/2024,"$105,092",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"1,439 ft 2",Areit RE 4040 NCX LLC,"W 38th St, 31, Floor 12, New York, New York 10018",(469) 609-2012,Entos Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024010,
HTPN AHU Replacement,TABS2024024009,3434 Swiss,"3434 Swiss Avenue, Dallas, TX 75204",Dallas,9/16/2024,1/13/2025,"$682,700",Renovation/Alteration,"This project is privately funded, on private land for private use.",AHU Replacement for levels 3 and 4,500 ft 2,Baylor Health Care System,"301 N Washington Ave Suite 1420, Dallas, Texas 75246",(214) 870-8231,Schwabauer Design,"1600 N Collins Blvd Suite 1900, Richardson, Texas 75080",(469) 804-2400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024009,
Tom Thumb Redbird,TABS2024024006,Tom Thumb Redbird,"7200 S Westmoreland Rd., Dallas, TX 75237",Dallas,9/1/2024,11/30/2025,"$7,750,000",New Construction,"This project is privately funded, on private land for private use.",New construction for shell and interiors for a Tom Thumb store. ,"50,321 ft 2",The shops at Redbird,"3662 W. Camp Wisdom Rd. Suite 1084, Dallas, Texas 75220",(650) 464-8137,"GSO Architects, Inc.","5310 Harvest Hill Rd. Suite 226 LB. 156, Dallas, Texas 75230",(972) 385-9651,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024006,
