project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,project_url,design_name,design_address,design_phone
Olfactory West Village,TABS2025017587,Ste 103A,"3699 McKinney Ave Ste 103A, Dallas, TX 75204",Dallas,6/2/2025,10/1/2025,"$188,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of 3699 McKinney Ave to convert to a retail store that sells perfume and home goods ,"1,098 ft 2","West Village 2004 PO Limited Partnership, a Texas Limited Partnership","3600 McKinney Ave Ste 200, Dallas, Texas 75204",(469) 759-2890,Rebekah Kondrat,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017587,,,
Armani Exchange The Galleria,TABS2025017563,The Galleria,"13350 DALLAS PKWY, SUITE #1530, Dallas, TX 75240",Dallas,7/16/2025,10/22/2025,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior remodel,"3,333 ft 2",Simon Group,"225 W Washington St, Indianapolis, Indiana 46204",(317) 263-7916,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017563,Antonio Maiulo Architect PLLC,"75 Virginia Rd #W6, White Plains, New York 10603",(914) 816-0263
Lockton - Granite Park 6,TABS2025017539,Granite Park 6,"5525 Granite Parkway, Suite 1000, Plano, TX 75024",Dallas,6/30/2025,4/1/2026,"$7,000,000",New Construction,"This project is privately funded, on private land for private use.",First time office tenant finish out,"61,149 ft 2",Lockton,"5525 Granite Parkway, Suite 1000, Plano, Texas 75024",(214) 969-6110,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017539,,,
Lockton - Victory Commons,TABS2025017538,Victory Commons One,"2601 Victory Ave, Suite 1500, Dallas, TX 75219",Dallas,6/30/2025,4/1/2026,"$9,000,000",New Construction,"This project is privately funded, on private land for private use.",First time tenant finish out for an office space,"61,149 ft 2",Lockton,"2601 Victory Ave, Suite 1500, Dallas, Texas 75219",(214) 969-6110,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017538,,,
WISH 8th and 9th Floors Finish-Out,TABS2025017529,Parkland Health,"5200 Harry Hines Blvd, Dallas, TX 75235",Dallas,6/23/2025,6/15/2026,"$36,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Finish out of shell space for 112 patient beds between 2 floors. ,"66,500 ft 2",Parkland Health,"5200 Harry Hines Blvd, Dallas, Texas 75235",(214) 354-9505,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017529,Beck Architecture LLC,"1601 Elm Street, Suite 2800, Dallas, Texas 75201",469 387 7231
Johnston & Murphy #1740,TABS2025017526,"DFW International Airport, Terminal D","2333 S. International Parkway, Dallas, TX 75261",Dallas,7/30/2025,10/15/2025,"$489,250",Renovation/Alteration,"This project is privately funded, on private land for private use.",New retail store located inside of an existing airport,"1,089 ft 2",DFW Dallas Fort Worth International Airport,"2400 Aviation Drive, Dallas, Texas 75261",(972) 973-5696,Clayton Graves,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017526,Jencen Architecture LLC,"2850 Euclid Avenue, Cleveland, Ohio 44115",(216) 781-0131
Mesquite Dental Suite PLLC.,TABS2025017525,Mesquite Dental Suite PLLC.,"2111 N. Beltline Road, Mesquite, TX 75150",Dallas,5/23/2025,8/25/2025,"$399,987",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel of dental office ,"2,624 ft 2",Josee Jansen,"4609 Rusk Ave., Dallas, Texas 75204",(712) 301-4439,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017525,,,
Sweet Paris Creperie & Cafe,TABS2025017523,Sweet Paris Creperie & Cafe,"5290 Belt Line Road Unit 110, Addison, TX 75254",Dallas,7/14/2025,11/17/2025,"$1,600,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Build out of new restaurant in an existing demised space in an building. Work includes demolition, carpentry, plumbing, mechanical, and electrical work.","2,588 ft 2","Bugale Dallas, LLC","7531 Woodvine Pl Ct, Houston, Texas 77055",(346) 345-3625,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017523,DxU Architects,"412 South Wells Street 2nd Floor, Chicago, Illinois 60607",312.955.0334
Spec Suite 705,TABS2025017516,2626 Cole,"2626 Cole Avenue Suite 705, Dallas, TX 75204",Dallas,5/1/2025,7/31/2025,"$245,913",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"2,250 ft 2","Talon 2626 Cole, LLC","2626 Cole Avenue Suite 500, Dallas, Texas 75204",(214) 971-8776,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017516,ENTOS DESIGN,"5400 LBJ FREEWAY SUITE 125, DALLAS, Texas 75240",972-770-2222
JFS Main Campus,TABS2025017515,Jewish Family Service of Dallas - Main Campus,"16301 Quorum Drive, Addison, TX 75001",Dallas,6/5/2025,4/30/2026,"$13,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of an existing two-story office building. Work to include general construction and modifications to the MEP, life safety and fire sprinkler systems (~68,000sf).","68,000 ft 2",Jewish Family Service of Dallas Inc.,"5402 Arapaho Drive, DALLAS, Texas 75001",(469) 206-1645,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017515,GFF Design,"3030 Nowitzki Way Suite 400, Dallas, Texas 75219",(214) 303-1500
Spec Suite 675,TABS2025017509,2626 Cole,"2626 Cole Avenue Suite 675, Dallas, TX 75204",Dallas,5/1/2025,7/31/2025,"$114,924",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,924 ft 2,"Talon 2626 Cole, LLC","2626 Cole Avenue Suite 500, Dallas, Texas 75204",(214) 971-8776,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017509,ENTOS DESIGN,"5400 LBJ FREEWAY SUITE 125, DALLAS, Texas 75240",972-770-2222
