project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
Bridge One Insurance,TABS2025019737,Bridge One Insurance,"2700 Old Denton Rd S#114, Carrollton, TX 75007",Dallas,7/1/2025,10/24/2025,"$65,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior finish out by tenant,"2,500 ft 2",CS LEE,"2700 Old Denton Rd #114, Carollton, Texas 75007",(214) 228-6225,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019737,,,,
Walmart Neighborhood Market 3287 CapX HVAC,TABS2025019730,Walmart Neighborhood Market 3287,"1515 Justin Rd, Lewisville, TX 75077",Dallas,4/22/2024,5/22/2024,"$104,078",Renovation/Alteration,"This project is privately funded, on private land for private use.",Add New AHU,"42,988 ft 2",WMT US REAL ESTATE,"2608 SE J Street, Bentonville, Arkansas 72716",(479) 380-5484,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019730,Case Dickinson,"8345 Lenexa Dr #300, Lenexa, Kansas 66214",(913) 742-5636,
Heritage Grocer / El Rancho Grocery,TABS2025019703,Heritage Grocer / El Rancho Grocery,"1515 Buckner Blvd, Dallas, TX 75217",Dallas,6/16/2025,7/7/2025,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior and exterior remodel of an existing grocery store.,"50,249 ft 2",Nafal Enterprises Inc,"1515 S Buckner Blvd, Dallas, Texas 75217",909.923.7426,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019703,The Dimension Group,"10755 Sandhill Rd, Dallas, Texas 75238",(214) 343-9400,Veronica Jimenez
James Park and Quail Creek Park Improvements,TABS2025019699,James Park and Quail Creek Park,"1213 High Meadow Drive 1400 S Country Club Road, Garland, TX 75040",Dallas,7/7/2025,10/31/2025,"$1,300,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Replacement of playground, trails, curb ramps and site furniture. Renovation of outdoor gathering space with addition of outdoor grill, seating and parking.","100,000 ft 2",City of Garland,"200 N. Fifth Street, Garland, Texas 75040",(972) 205-2897,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019699,MHS Planning & Design,"12222 Merit Drive, Dallas, Texas 75251",(214) 845-7008,
Lavazza,TABS2025019680,One Arts Plaza,"1722 Routh Street Suite 960, Dallas, TX 75201",Dallas,5/23/2025,11/23/2025,"$209,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","THE SCOPE OF THIS PROJECT IS A NON-STRUCTURAL INTERIOR FINISH-OUT IN AN EXISTING SINGLE FLOOR SUITE. SCOPE INCLUDES HVAC, ELECTRICAL, PLUMBING.","1,558 ft 2",Billingsley,"1722 Routh Street Suite 770, Dallas, Texas 75201",2-142-707-5201,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019680,idGroup,"2641 Irving Blvd., Dallas, Texas 75207",(214) 638-6800,
Accenture Level 13 Reconfiguration,TABS2025019644,Williams Square West Tower,"5205 North O'Connor Blvd. Suite 1300, Irving, TX 75039",Dallas,6/23/2025,10/31/2025,"$1,100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation to a portion of Level 13,"7,000 ft 2","AGRE Williams Square Holdings, LLC","5221 N O'Connor Blvd Suite 100, Irving, Texas 75039",(972) 869-5900,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019644,Corgan,"401 North Houston Street, Dallas, Texas 75202",214-748-2000,
Magnit,TABS2025019631,Spectrum Center,"5080 Spectrum Drive, Suite 650E, Addison, TX 75001",Dallas,5/27/2025,8/8/2025,"$245,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","7,792 SF of tenant improvement.","7,792 ft 2",Spectrum Drive Owner LLC,"5080 Spectrum Drive, Addison, Texas 75001",(972) 490-6200,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019631,Entos Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222,
Mehr Consultancy,TABS2025019625,State Bank of Texas HQ,"111 W. John W. Carpenter Fwy, Suite 202, Irving, TX 75039",Dallas,6/1/2025,7/31/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant improvement, first generation","3,532 ft 2",State Bank of Texas,"111 W John W. Carpenter Fwy, Irving, Texas 75039",(972) 252-6000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019625,Malone Maxwell Dennehy Architects,"8350 N Central Expy Suite 1900, Dallas, Texas 75206",(214) 969-5440,Manjot Bains
Hightower Holdings Offices,TABS2025019620,Preston Financial Center,"8411 Preston Road, Suite 700, Dallas, TX 75225",Dallas,6/2/2025,11/3/2025,"$145,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior Office finish out to include offices, conference rooms, break room and reception","10,300 ft 2","Dallas Berkshire Partners, LTD","8411 Preston Road, Suite 750, Dallas, Texas 75225",(214) 987-4888,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019620,"James E. Langford, Architects and Planners, L.L.C.","3001 Bookhout Street, Dallas, Texas 75201",(214) 862-6210,Hightower Holdings
Travis Middle School-Secure Vestibules at Various Campuses,TABS2025019593,Travis Middle School,"1600 Finley Road, Irving, TX 75062",Dallas,6/17/2025,6/28/2025,"$552,618",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Addition of secure vestibule into existing school entrance; and addition of a lobby and reception into existing cafeteria.,680 ft 2,Irving Independent School District,"2621 West Airport Freeway, Suite 2450, Irving, Texas 75062",(972) 600-5103,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019593,Orcutt | Winslow,"222 W. Las Colinas Blvd, Suite 749e, Irving, Texas 75039",817-235-8364,
Nooma,TABS2025019591,Mockingbird Central,"5400 E Mockingbird Lane Suite 222, Dallas, TX 75206",Dallas,6/1/2025,8/15/2025,"$275,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel of existing space to create new Yoga Studio,"2,998 ft 2","Corsair Mockingbird, LLC c/o Venture Commercial Management","8383 Preston Center Plaza Drive Suite 330, Dallas, Texas 75225",(469) 232-0000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019591,"Presto Interior Design, LLC","709 W Rusk St Suite 823, Rockwall, Texas 75087",(214) 740-3498,Casey Cox
DFW RCC Master Renovation & BAS/HVAC Rehab,TABS2025019590,Rental Car Center,"2424 E. 38th Street, Dallas, TX 75261",Dallas,9/11/2025,5/19/2026,"$12,000,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Renovation of transaction areas in which rental car companies use to do their business, and rehabilitation of HVAC system for the entire building.","35,000 ft 2",Dallas Fort Worth International Airport,"2400 Aviation Drive, DFW Airport, Texas 75261",(972) 973-1718,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019590,Gresham Smith,"500 N Akard St Suite 3210, Dallas, Texas 75201",(214) 366-6516,
Jack Singley Academy-Secure Vestibules at Various Campuses,TABS2025019589,Jack Singley Academy,"4601 N. MacArthur Blvd, Irving, TX 75038",Dallas,6/17/2025,6/28/2025,"$1,119,435",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Renovation of reception area and lobby; replacement of partial existing sidewalk, and addition of 2 ADA parking stalls.","2,071 ft 2",Irving Independent School District,"2621 West Airport Freeway, Suite 2450, Irving, Texas 75062",(972) 600-5103,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019589,Orcutt | Winslow,"222 W. Las Colinas Blvd, Suite 749e, Irving, Texas 75062",817-235-8364,
Dollar Tree,TABS2025019584,Dollar Tree @ Trinity Plaza,"2540 N Josey Ln Ste 126, Carrollton, TX 75006",Dallas,6/16/2025,7/24/2025,"$72,900",Renovation/Alteration,"This project is privately funded, on private land for private use.","interior renovation - removing previous tenant fixture and finishes and graphics. Install new store gondola, pre-fab office system, new finishes and relamp lighting to LED. 11655sf","11,655 ft 2",Josey Trinity Plaza Ltd,"3102 Maple Ave Suite 500, Dallas, Texas 75201",(214) 954-0600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019584,RRMM Architects,"1317 Executive Blvd Suite 200, Chesapeake, Virginia 23320",(757) 213-6330,"Keith Neal, Dollar Tree"
Nimitz High School-Secure Vestibules at Various Campuses,TABS2025019582,Nimitz High School,"100 W. Oakdale Rd., Irving, TX 75060",Dallas,6/17/2025,6/28/2025,"$600,029",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Renovation of existing vestibule, existing lobby into reception, conference, and new enclosed lobby.",912 ft 2,Irving Independent School District,"2621 West Airport Freeway, Suite 2450, Irving, Texas 75062",(972) 600-5103,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019582,Orcutt | Winslow,"222 W. Las Colinas Blvd, Suite 749e, Irving, Texas 75039",817-235-8364,
Farmers Insurance,TABS2025019581,19111 North Dallas Parkway,"19111 North Dallas Parkway Suite 300, Dallas, TX 75287",Dallas,6/6/2025,9/1/2025,"$90,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",TENANT IMPROVEMENT,"16,112 ft 2","BROOKWOOD INTERCHANGE OFFICE I & II, LLC","138 CONANT STREET Ste 250, BEVERLY, Massachusetts 01915",(978) 720-7570,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019581,Entos Design,"5400 LYNDON B JOHNSON FWY 125, DALLAS, Texas 75240",(972) 770-2222,
MacArthur High School-Secure Vestibules at Various Campuses,TABS2025019576,MacArthur High School,"3700 N. MacArthur Blvd, Irving, TX 75062",Dallas,6/17/2025,6/28/2025,"$1,003,029",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Addition of secure vestibule into existing school entrance, and renovation of existing administration area.","4,866 ft 2",Irving Independent School District,"2621 West Airport Freeway, Suite 2450, Irving, Texas 75062",(972) 600-5103,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019576,Orcutt | Winslow,"222 W. Las Colinas Blvd, Suite 749e, Irving, Texas 75039",817-235-8364,
Canvas,TABS2025019573,One Panorama Center,"7701 Las Colinas Ridge, Suite 295, Irving, TX 75063",Dallas,5/26/2025,8/11/2025,"$111,144",Renovation/Alteration,"This project is privately funded, on private land for private use.","4,360 SF of tenant improvement.","4,360 ft 2",One Panorama Center / CRE Holdings Sub 2 LLC,"12100 Wilshire Blvd., Suite 1750, Los Angeles, California 90025",(760) 497-0553,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019573,Entos Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222,
Lamar Middle School-Secure Vestibules at Various Campuses,TABS2025019570,Lamar Middle School,"219 Crandall Road, Irving, TX 75060",Dallas,6/17/2025,6/28/2025,"$790,648",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Renovation of existing classroom into secure vestibule, lobby, receptionist, and conference room. Replacement of existing canopy concrete paving.","1,003 ft 2",Irving Independent School District,"2621 West Airport Freeway, Suite 2450, Irving, Texas 75062",(972) 600-5103,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019570,Orcutt | Winslow,"222 W. Las Colinas Blvd, Suite 749e, Irving, Texas 75039",817-235-8364,
Irving High School-Secure Vestibules at Various Campuses,TABS2025019563,Irving High School,"900 N. O'Connor Rd, Irving, TX 75061",Dallas,6/17/2025,6/28/2025,"$835,987",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Addition of secure vestibule into existing school entrance. Demolition of existing reception into a lobby, new reception and a conference room. ","1,877 ft 2",Irving Independent School District,"2621 West Airport Freeway, Suite 2450, Irving, Texas 75062",(972) 235-8364,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019563,Orcutt | Winslow,"222 W. Las Colinas Blvd, Suite 749e, Irving, Texas 75039",817-235-8364,
