project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
7-Eleven_Store#41933,TABS2026000808,7-ELEVEN,"2646 S Jupiter Road, Garland, TX 75041",Dallas,11/1/2025,10/1/2026,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The scope of work includes replacing existing food service equipment,casework,making minor wall modifications, installing new wall finish, and carrying out minor electrical, and plumbing work.","4,614 ft 2",7-Eleven Inc.,"PO BOX 711, Dallas, Texas 75211",(800) 255-0711,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000808,,,,
McKesson Corporation,TABS2026000802,McKesson,"6555 State Highway 161, Irving, TX 75039",Dallas,1/1/2025,12/31/2026,"$7,184,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Demolition of exterior courtyard, new hardscape, landscape design, added shade structure spanning between both buildings, new security gate and screens between Building A and Garage. Demolition of level 01 cafe storefront to install operable doors.","37,500 ft 2",McKesson,"6555 State Highway 161, Irving, Texas 75039",(214) 776-4292,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000802,,,,
Lockwood Distilling Co. Restaurant & Bar,TABS2026000763,532 Main Street,"532 Main Street, Garland, TX 75040",Dallas,10/1/2025,2/1/2026,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvements within an existing building.,"4,720 ft 2",Carlos & Jodi Porras,"3302 S Country Club Rd., Garland, Texas 75043",(214) 734-8197,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000763,Evan Batt,S-Cubed Architects,"124 Donald Drive, Hurst, Texas 76053",(817) 431-0741
Skybox Expansion,TABS2026000748,3131 Turtle Creek,"3131 Turtle Creek Blvd. 650, Dallas, TX 75219",Dallas,9/12/2025,12/19/2025,"$315,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"1,845 ft 2",STRS Ohio TX Real Estate Investment Inc,"275 E. Broad St SUITE 125, Columbus, Ohio 43215",(404) 386-1763,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000748,,Entos Design,"5400 LBJ FREEWAY SUITE 125, Dallas, Texas 75240",(972) 770-2222
CyrusOne DFW6 - Office Fit-Out,TABS2026000718,DFW6,"1510 E Lookout Dr., Richardson, TX 75082",Dallas,11/1/2025,3/1/2026,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Data Center Office up-fit of an existing facility. There will be no added SF. Work will be done in only a portion of the front of house area, for two open offices including private offices within (4,700SF).","4,700 ft 2",CyrusOne,"2850 N Harwood St, Dallas, Texas 75201",(469) 289-2036,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000718,,JHET Architects,"2554 Elm Suite 230, Dallas, Texas 75226",817-929-6997
11461 Hillguard Demo Make Ready,TABS2026000713,11461 Hillguard,"11461 Hillguard, Dallas, TX 75243",Dallas,9/26/2025,12/31/2025,"$650,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Demolition and renovation to Make Ready condition.,"5,019 ft 2",Nuveen,"2300 N. Field St. Suite 1650, Dallas, Texas 75201",(972) 972-7603,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000713,,,,
Parkside,TABS2026000710,Parkside,"5005 Bunker Hill Rd, Garland, TX 75040",Dallas,2/2/2026,8/2/2027,"$1,573,144,579",New Construction,"This project is privately funded, on private land for private use.","Construction of 150, 45' front-load single-family lots to include civil infrastructure, grading, paving, etc.  ","1,156,082 ft 2",Liberty Bankers Life Insurance Company,"1605 Lyndon B Johnson, Dallas, Texas 75234",(817) 734-5360,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000710,,,,
166.201-Global Asset,TABS2026000692,Freeport Crossing 121 Building 2,"4051 Freeport Parkway, Suite 300, Grapevine, TX 76051",Dallas,10/7/2025,12/1/2025,"$275,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant improvements within existing finish out,"5,004 ft 2",DCT DFW LP,"1800 Wazee St, Denver, Colorado 80202",(972) 884-9238,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000692,,Meinhardt & Associates,"14643 Dallas Pkwy, suite 636, Dallas, Texas 75254",1-972-934-5406
Dallas Zoo Savanna Entry,TABS2026000685,Dallas Zoo Savanna Entry,"650 South R.L. Thornton Freeway, Dallas, TX 75203",Dallas,3/1/2026,3/1/2027,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.",New construction of a prefabricated ticket booth with 160 SF and a Restroom Building of 330 SF,490 ft 2,Dallas Zoo Management,"650 South R.L. Thornton Freeway Suite 800, Dallas, Texas 75203",(469) 554-7501,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000685,,GFF Design,"3030 Nowitzki Way Suite 400, Dallas, Texas 75219",(214) 303-1500
Republic,TABS2026000659,Offices at Park Lane,"8080 Park Lane Suite 100 & 110, Dallas, TX 75231",Dallas,10/31/2025,3/1/2026,"$650,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",tenant improvement ,"6,460 ft 2",Northwood Retail,"8080 Park Lane Suite 600, Dallas, Texas 75231",(469) 828-3317,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000659,,Entos Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222
