project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
TASHAN,TABS2025012013,TOYOTA MUSIC FACTORY,"320 W LAS COLINAS BLVD., Irving, TX 75039",Dallas,5/15/2025,10/15/2025,"$1,200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",TI PROJECT FOR A RESTAURANT.,"5,000 ft 2",BROOKFIELD PROPERTIES,"6181 SOUTH SLATE STREET, MURRAY, Utah 84107",(801) 859-5452,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012013,,,,
Coram Deo Academy,TABS2025011999,Coram Deo Academy,"1301 Abrams Road, Richardson, TX 75081",Dallas,3/17/2025,2/1/2026,"$4,300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovations of existing building for use as a school.  Addition to building for Tornado Shelter.,"53,823 ft 2",Coram Deo Academy,"1301 Abrams Road, Richardson, Texas 75231",(972) 639-5843,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011999,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(469) 482-9143,
Marlow 3k Prokect,TABS2025011986,Marlow 3k Project,"2501 Silverado Drive, Dallas, TX 75087",Dallas,5/5/2025,12/15/2025,"$875,400",New Construction,"This project is privately funded, on private land for private use.",new ground-up building and office interiors,"3,100 ft 2",Carl Marlow,"11810 C. F. Hawn Frwy, Dallas, Texas 75253",(214) 926-8188,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011986,"Carroll Architects, Inc.","750 E. Interstate 30, Ste. 110, Rockwall, Texas 75087",(972) 732-6085,
Spec Suite 650,TABS2025011982,10000 NCX,"10000 N. Central Expressway, Suite 650, Dallas, TX 75231",Dallas,2/24/2025,6/30/2025,"$208,469",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of existing office space in high rise building.,"3,646 ft 2",Stream Realty,"10000 N. Central Expressway, Suite 815, Dallas, Texas 75231",(972) 232-8777,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011982,Go Studio,"1201 Main Street #1370, Dallas, Texas 75202",(214) 420-4646,
Pottery Barn at NorthPark Center,TABS2025011971,Pottery Barn,"8687 N Central Expy Suite 1010, Dallas, TX 75225",Dallas,4/14/2025,10/4/2025,"$850,000",New Construction,"This project is privately funded, on private land for private use.","Tenant improvement of a leased space in an existing multi-story building. Work includes selective demolition, new non-structural partitions, new ceilings, new finishes and associated plumbing, mechanical, electrical, and structural storefront work. ","14,909 ft 2","Williams Sonoma, Inc.","3250 Van Ness Ave., San Francisco, California 94109",(415) 823-9553,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011971,"Interior Architects, Inc.","728 Northwestern Ave Bldg A, Austin, Texas 78702",(737) 218-5228,
Vizient Irving Amenities,TABS2025011969,Vizient Irving Amenities,"290 E. John Carpenter Freeway, Irving, TX 75062",Dallas,3/21/2025,7/1/2025,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of approx. 5,820 sf of existing interior office space on floors 2-4 for a single tenant","5,820 ft 2","Vizient, Inc.","290 E. John Carpenter Freeway, Irving, Texas 75062",(978) 830-0531,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011969,"Partners By Design, Inc.","363 Erie, Suite 600, Chicago, Illinois 60654",(773) 680-4679,
Universal Technical Institute,TABS2025011949,Universal Technical Institute,"1350 Lakeshore Drive, Suite 100, Coppell, TX 75019",Dallas,3/12/2025,8/26/2025,"$3,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Second generation renovation of an existing office building. Space will include business offices, assembly break rooms, and business vocational training rooms. Total square footage: 30,658","30,658 ft 2","Columbia Texas Lakeshore II Industrial, LLC c/o Lincoln Property Company Commercial, LLC","120 North LaSalle Street, Suite 2900, Chicago, Illinois 60602",(214) 740-3573,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011949,Ware Malcomb,"2626 Cole Avenue, Suite 501, Dallas, Texas 75204",469.396.7520,Pierre Smith
"McCalla, Raymer, Leibert, & Pierce Expansion",TABS2025011940,Tower 1320,"1320 Greenway Dr. Suite 780, Irving, TX 75038",Dallas,3/31/2025,5/2/2025,"$80,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Expansion to existing tenant,"4,533 ft 2","BOF TX Tower 1320, LLC","1800 Parkway PI Suite 235, Mariette, Georgia 30067",(404) 907-3100,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011940,Entos Design,"5400 LBJ Freeway, Dallas, Texas 75240",(972) 770-2222,
Balomede office warehouse,TABS2025011880,Balomede office,"3350 balomede ave, Lancaster, TX 75134",Dallas,4/1/2025,4/30/2026,"$150,000",New Construction,"This project is privately funded, on private land for private use.",Construction of new building office and warehouse ,"3,000 ft 2",Salvador perez,"8922 whitehall ln, Dallas, Texas 75232",(214) 650-3949,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011880,,,,
REES Tenant Finish out,TABS2025011863,Trinity Towers,"2777 N. Stemmons Freeway, Suite 1140 2777 N. Stemmons Freeway, Dallas, TX 75207",Dallas,3/14/2025,6/27/2025,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement ,"6,976 ft 2","HPiii Dallas IV, LLC","2777 N. Stemmons Freeway, Dallas, Texas 75207",(214) 634-2777,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011863,"REES ASSOCIATES, INC.","1025 N Stemmons Fwy Ste 737, Dallas, Texas 75207",(214) 232-5332,Chris Johnston
