project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
PRO-TECH - FINISH OUT,TABS2025008347,PRO-TECHT,"2330 SPRINGLAKE DR, Farmers Branch, TX 75234",Dallas,1/1/2025,2/28/2025,"$160,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR RENOVATION ,"5,000 ft 2",JNH REALTY LLC,"1942 N IH 35 E, CARROLLTON, Texas 75006",(214) 549-8818,WRIGHT GROUP ARCHITECTS PLLC,"1430 SOUTH BROADWAY ST, CARROLLTON, Texas 75006",(972) 242-1015,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008347,
"8200 Springwood, Ste 230-235",TABS2025008342,Springwood I,"8200 Springwood Dr, Irving, TX 75063",Dallas,1/20/2025,2/28/2025,"$91,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Separation of an existing suite, with interior finish out and returning space back to warehouse","7,113 ft 2",Entrada Partners,"16160 Midway Rd Ste 200, Addison, Texas 75001",(972) 215-8589,idGROUP,"2641 IRVING BLVD, DALLAS, Texas 75207",(214) 638-6800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008342,
CenterWell DeSoto,TABS2025008332,Walmart,"951 W BELTLINE RD, Desoto, TX 75115",Dallas,12/30/2024,2/7/2025,"$470,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Remove dental exam rooms, dental xray and dental lab, 4 new exam rooms built out with furniture wall system, new hand wash station in existing dental exam room, new lobby reception desk, new provider offices in former lab and xray room. ","5,206 ft 2","Walmart, Inc.","PO BOX 8050, BENTONVILLE, Arkansas 72712",479-407-4827,Little Diversified Architectural Consulting,"615 S College St. Suite 1600 Suite 1600, Charlotte, North Carolina 28202",704.561.3213,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008332,Christian Staples
The Commons - Ground Floor Lisinski,TABS2025008325,The Commons,"15110 Dallas Parkway Suite 100, Dallas, TX 75248",Dallas,2/1/2025,6/30/2025,"$625,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of a tenant office suite,"9,722 ft 2",Rox Trep Tollway LP,"15110 Dallas Parkway, Dallas, Texas 75248",(832) 615-1417,Agent Architecture,"1414 Belleview St Suite 150, Dallas, Texas 75215",(214) 775-0823,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008325,
Care.com,TABS2025008313,One West Village,"2801 N Central Expy, Dallas, TX 75204",Dallas,1/15/2025,10/15/2025,"$900,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior build out of demising tenant space including new walls/doors/millwork and all supporting mechanical, electrical and plumbing design. ","13,978 ft 2",AGOM 2801 Property Owner L.P.,"2801 N Central Exp, Dallas, Texas 75204",(214) 971-8847,Studio8 Architects,"1608 West 5th St. Suite 100, Austin, Texas 78703",(512) 473-8989,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008313,Jacob Davis
SENOR OINK - TENANT FINISH OUT,TABS2025008312,THE SHOPS AT MUSTANG STATION,"12990 BEE ST #STE. 120, Farmers Branch, TX 75234",Dallas,1/2/2025,3/2/2025,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",REMODEL ,"1,912 ft 2",FB LAND LRD,"2626 HOWELL ST #STE. 850, DALLAS, Texas 75204",(403) 781-8122,VIZUAL ARCHITECTURE,"400 N SAINT PAUL ST #STE. 1120, DALLAS, Texas 75201",(214) 515-2106,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008312,MAURICIA GALLEGOS RUIZ
Bruckners Dallas Storage Building,TABS2025008302,Storage Building,"35680 Lyndon B Johnson  Fwy, Dallas, TX 75241",Dallas,2/17/2025,7/18/2025,"$650,000",New Construction,"This project is privately funded, on private land for private use.",New Pre-Engineered Metal storage Building on an existing property,"7,500 ft 2",Bruckners Mack & Volvo,"35680 Lyndon B. Johnson Fwy, Dallas, Texas 75241",(866) 849-4712,Downs Design Solutions,"801 E Campbell Rd Suite 600, Richardson, Texas 75082",(469) 663-0433,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008302,
DFW Open MRI - Garland,TABS2025008300,DFW Open MRI,"3921 Broadway Blvd., Garland, TX 75043",Dallas,2/15/2025,10/15/2025,"$800,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","This project renovates existing 5526 saft. of retail spaces into an imaging center, imaging types include MRI, CT and X-Ray along with other functions.","5,526 ft 2",DFW Open MRI,"1450 Regal Row, Dallas, Texas 75247",(972) 345-5597,"GUIDE Architecture, Inc.","1108 Quaker Street Suite 130, Dallas, Texas 75207",(817) 366-2360,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008300,
"Ci Design, Inc.",TABS2025008299,Walnut Glen Tower,"8144 Walnut Hill Ln. #409, Dallas, TX 75231",Dallas,1/15/2025,3/15/2025,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior fit out.,"4,200 ft 2","Walnut Glen Texas, LLC","3819 Maple Ave., Dallas, Texas 75219",(214) 996-9802,Ci-Design Inc.,"5910 N. Central Expressway #350, Dallas, Texas 75206",(972) 213-3340,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008299,Dutch Wickes
Speculative Suite 400,TABS2025008289,Tollway Plaza South,"15950 Dallas Parkway Suite 400, Dallas, TX 75248",Dallas,12/30/2024,4/14/2025,"$925,204",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior remodel speculative suite,"20,849 ft 2",Buchanan Street,"3501 Jamboree Rd Ste 4200, Newport Beach, California 92660",(312) 596-6903,ENTOS Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008289,
