project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
Ameritemps,TABS2025012525,Irving Temporaries Staffing Inc dba AmeriTemps,"2913 N Beltline Rd. 2913 N Beltline Rd., Irving, TX 75062",Dallas,3/1/2025,5/30/2025,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior finish out of 2400 sq ft to include metal wall framing, drywall, interior windows and fire rated doors, plumbing, HVAC, drop grid ceiling, polished concrete floor.","2,400 ft 2",Cesareo Rodriguez,"1413 Drexel Dr., Irving, Texas 75061",469-446-5207,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012525,,,,
Solis TX Addison HQ Renovation,TABS2025012504,Addison Circle One,"15601 Dallas Parkway, Suite 300, Addison, TX 75001",Dallas,4/1/2025,6/27/2025,"$761,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","19,300 SF partial renovation of existing office. Scope of Work includes new ceiling, lighting, partitions, doors, casework, mill work, interior finishes & furniture. Existing building systems are to be reconfigured as indicated in the new layout.","19,300 ft 2",FSP Addison Circle LP,"15601 Dallas Parkway, Suite 175, Addison, Texas 75001",(972) 239-7945,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012504,Todd Bradbury,RS&H,"4835 LBJ Freeway Suite 700, Dallas, Texas 75244",214-985-8838
Rowlett Trail Extension: South Section,TABS2025012496,Rowlett Creek Trail South,"S Trail: From 1125 Caleb Dr to US 75/Rowlett Cr bridge (Lat/long= 33.0761N, 96.6868) (approx), Rowlett, TX 75088",Dallas,12/1/2025,8/31/2026,"$2,670,000",New Construction,"This project is privately funded, on private land for private use.","Construction of 3,801 LF of 12-ft wide concrete multi-use trail (45,612 SF) within City-owned parcels along Rowlett Creek and Watters Branch","45,612 ft 2","City of Allen, TX","900 S. Greenville Avenue, Allen, Texas 75002",(214) 509-3314,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012496,,"Ardurra Group, Inc.","11355 McCree Rd, Dallas, Texas 75238",(214) 341-9900
Zoetis PCR Lab Irving TX,TABS2025012472,4100 W Royal Ln,"4100 W Royal Ln Suite 175, Irving, TX 75063",Dallas,3/4/2025,4/29/2025,"$330,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior Renovation of Existing Interior White Box into PCR Labs. Adding partitions, MEP, new finishes. 1,694 Square Feet","1,694 ft 2","RJM Holdings, Inc.","1292 Portola Rd PO Box 1219, Pebble Beach, California 93953",831-238-3788,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012472,,"Meyer Architects, Inc.","227 E Lancaster Ave, Ardmore, Pennsylvania 19003",610-649-8500
Kirkland & Ellis Dallas - Phase 2 & 3,TABS2025012462,Weirs Plaza,"4550 Travis St, Dallas, TX 75206",Dallas,3/31/2025,2/27/2026,"$46,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Phase 2: Interior remodel of first generation space to include a Catering Kitchen, Cafe and Coffee Bar with hot and cold serveries, Cafe seating, and Game Lounge.   Phase 3: Interior remodel to remove existing Pantry and Cafe seating, adding private ","45,000 ft 2",Weirs Plaza Owner LLC/Four Rivers Capital,"2311 Cedar Springs Rd #300, Dallas, Texas 75201",214-924-7192,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012462,,,,
Pariveda,TABS2025012459,One Mckinney,"3232 McKinney Ave Suite 1400, Dallas, TX 75204",Dallas,4/30/2025,7/31/2025,"$800,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Corporate interior finish out. Existing floor is white box. ,"10,500 ft 2","Gaedeke Group, LLC","3710 Rawlins St Suite 1100, DALLAS, Texas 75219",214.273.3312,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012459,,Corgan,"401 N Houston St., Dallas, Texas 75202",214-757-1616
Texas Capital Level 17 Finish Out,TABS2025012416,Texas Capital Center,"2000 McKinney Ave, Dallas, TX 75201",Dallas,5/1/2025,12/31/2025,"$4,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Entire floor interior renovation including walls, finishes, mechanical, electrical and plumbing.","25,000 ft 2",Texas Capital Bank,"2000 McKinney, Dallas, Texas 75201",945.229.5918,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012416,,Corgan,"401 North Houston Street, Dallas, Texas 75201",(214) 757-1616
1201 Ave. S #200,TABS2025012395,1201 Ave. S,"1201 Ave. S Suite 200, Grand Prairie, TX 75050",Dallas,3/6/2025,6/10/2025,"$180,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of existing office pod and reworking of ADA ramp to front door,"3,500 ft 2",DWS,"300 Crescent Court Suite 1795, Dallas, Texas 75201",(214) 740-7929,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012395,,,,
USTC TI,TABS2025012374,USTC TI,"3601 Pinnacle Point Dr, Dallas, TX 75211",Dallas,2/8/2025,8/1/2025,"$547,706",New Construction,"This project is privately funded, on private land for private use.","New construction of a 3,888 SF office space with private offices, conference room, break area, and restrooms.","3,888 ft 2","LIT HWI, LP","2323 Victory Ave Suite 1500, Dallas, Texas 75129",214-775-7677,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012374,,RGA Architects,"301 South Oak St Suite 100, Roanoke, Texas 76262",(817) 430-3382
Stonelake Skyport Building 2 Spec Office,TABS2025012363,Stonelake Skyport Building 2,"1020 Gateway Blvd., Coppell, TX 75019",Dallas,4/1/2025,5/1/2026,"$405,000",New Construction,"This project is privately funded, on private land for private use.","Spec office that consists of gyp. board walls, carpet, lighting, etc.","2,500 ft 2","SL7 DFW Industrial, LP","100 Crescent Court, Suite 850, Dallas, Texas 75201",214-220-7297,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012363,,Alliance Architects,"1600 N. Collins Blvd. #1000, Richardson, Texas 75080",(972) 233-0400
Stonelake Skyport Building  1 Spec Office,TABS2025012362,Stonelake Skyport Building 1,"850 S. Royal Ln, Coppell, TX 75019",Dallas,4/1/2025,5/1/2026,"$405,000",New Construction,"This project is privately funded, on private land for private use.","Spec Office that includes, Gyp bd. walls, carpet, paint, lighting, etc.","2,500 ft 2","SL7 DFW Industrial, LP","100 Crescent Court, Suite 850, Dallas, Texas 75201",214-220-7297,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012362,,Alliance Architects,"1600 N. Collins Blvd. #1000, Richardson, Texas 75080",(972) 233-0400
Stonelake Skyport Building 2,TABS2025012358,Stonelake Skyport Building 2,"1020 Gateway Blvd., Coppell, TX 75019",Dallas,4/1/2025,5/1/2026,"$11,265,000",New Construction,"This project is privately funded, on private land for private use.","New Shell Warehouse Construction building of 164,904 SF that consists of slab on grade, concrete tilt-up panels, etc.","164,904 ft 2","SL7 DFW Industrial, LP","100 Crescent Court, Suite 850, Dallas, Texas 75201",214-220-7297,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012358,,Alliance Architects,"1600 N. Collins Blvd. #1000, Richardson, Texas 75080",(972) 233-0400
