project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
"Zika Enterprises LLC, DBA , Frontier Express Mail",TABS2026018019,"Zika Enterprises LLC,","400 E Pleasant Run Rd., Desoto, TX 75115",Dallas,6/8/2026,7/25/2026,"$50,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",We are relocating a 1680 SQFT TDLR approved commercial modular building to a 0.86-acre business lot in Desoto. A handicap ramp will be added to the modular building The parking lot will also have handicap space. We are developing an office center.,"1,680 ft 2",Ike and Ngozi Nwosu,"1313 Glencoe Dr, Glenn Heights, Texas 75154",(214) 794-2878,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026018019,,,,
Confidential,TABS2026018008,SAINT ANN COURT,"2501 NORTH HARDWOOD ST, Dallas, TX 75201",Dallas,5/5/2026,8/1/2026,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR RENOVATION ON LEVEL 19 OF EXISTING BUILDING. RENOVATION INCLUDES THE ADDITION OF SECURE DOORS. ,"23,000 ft 2",HORIZON PROPCO I LP,"345 CALIFORNIA ST Ste 3300, San Francisco, California 94104",214-679-3461,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026018008,Molly Cordell,Gensler,"5005 Greenville Ave, Dallas, Texas 75206",(214) 866-3181
Black Bear Diner Grand Prairie,TABS2026017989,Blak Bear Diner,"3715 S Highway 161, Grand Prairie, TX 75052",Dallas,5/18/2026,12/15/2026,"$600,000",New Construction,"This project is privately funded, on private land for private use.",New TI work in a new shell for a full service family restaurant.,"4,800 ft 2","Grand Prairie SLX Holdings, LLC","5830 Granite Parkway, Suite 100-215, Plano, Texas 75024",(214) 907-5356,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017989,Marc Swanson,"Nichols, Melburg & Rossetto","300 Knollcrest Dr., Redding, California 96002",530-222-3300
"Traffic Signal Improvements (CSJ: 0047-07-250, etc.)",TABS2026017975,"CSJ: 0047-07-250, etc.","Various Locations, Dallas, TX 75205",Dallas,1/1/2028,10/31/2028,"$601,650",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Install new traffic signal and pedestrian elements, upgrade pedestrian ramps, and update pavement markings at 5 diamond intersections.","7,671 ft 2",TxDOT District: Dallas,"4777 E. Highway 80, Mesquite, Texas 75150",(214) 320-6200,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017975,,"WSP USA, Inc.","3102 Oak Lawn Avenue , Suite 450, Dallas, Texas 75219",(214) 521-1661
"Poly America, New Manufacturing Building",TABS2026017973,Building 9,"2000 W. Marshall Drive, Grand Prairie, TX 75051",Dallas,4/1/2026,6/30/2027,"$30,000,000",New Construction,"This project is privately funded, on private land for private use.",Construction of a new manufacturing building.,"339,054 ft 2",Mars Partners LTD,"2000 W. Marshall Dr., Grand Prairie, Texas 75051",(972) 337-7391,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017973,,Richardson Wetzel Architects LLC,"4300 E. Sunset Rd., Ste E-3, Henderson, Nevada 89014",702-736-8822
Lincoln Technical Institute,TABS2026017968,Lincoln Tech Rowlett,"8161 Merritt Rd, Rowlett, TX 75089",Dallas,4/15/2026,8/15/2026,"$12,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","interior build out approx 75,000 SF","75,000 ft 2",JSC CCI Lakeview I LLC,"4890 Alpha Rd Suite 100, Dallas, Texas 75244",(214) 604-8121,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017968,"Kimberly M. Trignano, VP","Herbst-Musciano, LLC","611 Main Street, Boonton, New Jersey 07005",(973) 538-3815
Base Building and Site Renovation,TABS2026017954,DSG Warehouse,"1333 N. Stemmons Freeway, Dallas, TX 75207",Dallas,8/7/2026,12/16/2026,"$475,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Build a new end wall after the demolition of part of the building - 217 sq. ft,217 ft 2,"DSG Event Space, LLC","410 S. Rampart Blvd. Suite 440, Las Vegas, Nevada 89145",781-277-1001,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017954,,"BSA Design Group, Inc.","2929 N Central Expressway, Richardson, Texas 75080",214-818-0563
Everlong Capital,TABS2026017948,5950 Sherry,"5950 Sherry Lane Suite 205, Dallas, TX 75225",Dallas,4/17/2026,6/30/2026,"$180,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"1,306 ft 2","5950 Sherry Property, LLC","5950 Sherry Lane Suite 110, Dallas, Texas 75225",(214) 530-0253,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017948,,ENTOS DESIGN,"5400 LBJ FREEWAY Suite 125, Dallas, Texas 75240",(972) 770-2222
Elliott Electric Supply Lancaster,TABS2026017936,Elliott Electric Supply Lancaster,"1630 N. IH-35, Lancaster, TX 75134",Dallas,7/15/2026,10/1/2027,"$700,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of an existing warehouse and office component,"11,262 ft 2",Elliott Electric Supply,"2526 N. Stallings Dr. Suite 303, Nacogdoches, Texas 75964",(936) 205-1291,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017936,,Element Architects,"1250 Wood Branch Park Dr Suite 480 Suite 480, HOUSTON, Texas 77079",(713) 874-0775
MCMC Family Practice Refresh,TABS2026017931,Methodist Charlton Medical Center,"3500 W Wheatland Road, Dallas, TX 75237",Dallas,4/20/2026,6/30/2026,"$190,836",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior finish renovation,"1,800 ft 2",Methodist Health System,"PO BOX 655999, Dallas, Texas 75265",(469) 204-6706,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017931,,Guide Architecture,"1108 Quaker Street Suite 130, Dallas, Texas 75207",(682) 241-6339
