project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
DFWSS02 Spice & Bean Remodel,TABS2026013797,HEB Corp#805,"7700 Samuell Blvd, Dallas, TX 75227",Dallas,6/20/2026,8/1/2026,"$54,668",Renovation/Alteration,"This project is privately funded, on private land for private use.",276 SF at DFWSS 02 comprises of remodel of 16 linear feet of wall cases and installing new refrigerated cases and relocating display bins. The existing building foot print will remain unchanged.,276 ft 2,"H-E-B Grocery Company, LP","646 South Flores Street, San Antonio, Texas 78204",(210) 347-1735,RSP Architects,"600 W 6th Street, Ste 100, Fort Worth, Texas 76102",(682) 200-0340,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013797,
DFWSS01 Spice & Bean Remodel,TABS2026013796,HEB Corp#803,"4101 West Wheatland Road, Dallas, TX 75237",Dallas,6/20/2026,8/1/2026,"$54,668",Renovation/Alteration,"This project is privately funded, on private land for private use.",288 SF at DFWSS01 comprises of removal of 16 linear feet of wall cases and installing new refrigerated cases and relocating display bins. The existing building foot print will remain unchanged.,288 ft 2,"H-E-B Grocery Company, LP","646 South Flores Street, San Antonio, Texas 78204",(210) 347-1735,RSP Architects,"600 W 6th Street, Ste 100, Fort Worth, Texas 76102",(682) 200-0340,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013796,
9th Floor Spec Suites,TABS2026013733,Banner Place,"12770 Coit Road 9th Floor, Dallas, TX 75251",Dallas,3/10/2026,6/12/2026,"$438,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","THE SCOPE OF THIS PROJECT IS A NON-STRUCTURAL INTERIOR FINISH-OUT IN MULTIPLE SINGLE FLOOR SUITES. SCOPE INCLUDES HVAC, ELECTRICAL, PLUMBING.","6,466 ft 2",JP Banner LP,"12770 Coit Road Suite 200, Dallas, Texas 75207",(972) 458-7600,idGroup,"2641 Irving Blvd., Dallas, Texas 75207",(214) 638-6800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013733,
Project Aviator - Phase 3,TABS2026013723,"Cedar Alt Distribution Center, LLC","3486 Cedardale Rd., Dallas, TX 75241",Dallas,3/15/2026,6/15/2026,"$1,700,000",Additions to Existing Building,"This project is privately funded, on private land for private use.","Truckers' entry, single-hole restrooms, and multi-user restrooms. ","1,050 ft 2",Raymond Kieffer,"C/O Trammell Crow Company 2100 McKinney Ave, Ste 8, Dallas, Texas 75201",(469) 203-2614,"Alliance Architects, Inc.","1600 N Collins Blvd # 1000, Richardson, Texas 75080",(972)233-0400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013723,
Project Aviator - Phase 2.1,TABS2026013712,"Cedar Alt Distribution Center, LLC","3484 Cedardale Rd., Dallas, TX 75241",Dallas,3/15/2026,6/15/2026,"$1,700,000",Additions to Existing Building,"This project is privately funded, on private land for private use.","Truckers' entry, single-hole restrooms, and multi-user restrooms. ","1,153 ft 2",Raymond Kieffer,"C/O Trammell Crow Company 2100 McKinney Ave, Ste 8, Dallas, Texas 75201",(469) 203-2614,"Alliance Architects, Inc.","1600 N Collins Blvd # 1000, Richardson, Texas 75080",(972) 233-0400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013712,
Scotiabank HUB,TABS2026013692,Victory Commons One,"2601 Victory Suite 1100, Dallas, TX 75219",Dallas,4/6/2026,1/8/2027,"$20,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvements,"100,000 ft 2",2601 Victory LLC,"9800 Hillwood Pkwy Suite 300, Fort Worth, Texas 76177",(214) 303-5523,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013692,
"Colin Smith Law, PLLC",TABS2026013687,5000 Quorum,"5000 Quorum Drive 150, Addison, TX 75254",Dallas,3/3/2026,4/20/2026,"$65,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"2,254 ft 2",Stream Realty Partners,"2001 Ross Avenue 400, Dallas, California 75201",(903) 316-2527,ENTOS Design,"5400 LBJ Freeway 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013687,
what a good dog training center,TABS2026013685,wpg,"304 south cottonwood drive, Richardson, TX 75080",Dallas,3/31/2026,6/30/2026,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",renovation of existing building and change of use,"5,200 ft 2","wagd richardson, tx llc","10550 john w. elloitt drive suite 200 suite 500, frisco, Texas 75033",(214) 297-3000,nick manesh engineering,"17630 davenport suite 109, dallas, Texas 75252",(469) 615-0430,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013685,
Bibbentuckers,TABS2026013624,5930 Royal Lane,"5938 Royal Lane, Dallas, TX 75230",Dallas,2/28/2026,5/1/2026,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior Remodel, approximately 2752 Square Feet","2,752 ft 2","Meaders Leasehold, LLC","c/o Burk Interests, Inc. 8215 Westchester Dr., STE 207, Dallas, Texas 75225",(214) 212-2353,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013624,John Palms
Traffic Signal Improvements,TABS2026013620,"Mountain Crk/Fox Crk, Lake June/Houghton, Knox/Katy Tr","Mountain Crk/Fox Crk, Lake June/Houghton, Knox/Kat, Dallas, TX 75201",Dallas,8/1/2026,5/1/2027,"$50,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",Installation of New Traffic Signals at 3 intersections,"1,000 ft 2",City of Dallas,"1500 Marilla St, Dallas, Texas 75201",(214) 670-3182,Lee Engineering,"3030 LBJ Freeway, Suite 1660, Dallas, Texas 75234",(972) 456-9037,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013620,
