project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
Mercer 7,TABS2026013164,Mercer 7,"I35-E & Morgan Pkwy, Farmers Branch, TX 75234",Dallas,4/1/2026,2/1/2027,"$6,000,000",New Construction,"This project is privately funded, on private land for private use.","New 82,189 SF shell warehouse and site modifications","82,189 ft 2","Mercer Crossing Industrial No. 7, LTD","1722 Routh St., Suite 1313 Suite 250, Dallas, Texas 75201",(214) 270-1000,O'Brien Architects,"1722 Routh St., Suite 122, Dallas, Texas 75204",(972) 788-1010,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013164,
Atelier Yoga,TABS2026013161,Atelier,"4912 Greenville Ave, Dallas, TX 75206",Dallas,2/27/2026,4/1/2026,"$90,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior remodel of an existing 2,000 square foot (please adjust your sf as needed) building for a yoga studio and associated support rooms.  Building construction type VB, occupancy Type B (yoga studio under 50 persons).","2,000 ft 2",David Coon Sr,"4912 GREENVILLE AVE, Dallas, Texas 75206",214-641-9400,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013161,Frank Zaccanelli
FS Network,TABS2026013144,One Glen Lakes,"8140 Walnut Hill Lane, Dallas, TX 75231",Dallas,3/6/2026,6/25/2026,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of existing office space in high rise building,"2,318 ft 2","ICM One Glen Lakes, LP","3155 Roswell Rd NE, Suite 330, Atlanta, Georgia 30305",(678) 642-3986,Go Studio,"1201 Main Street, Suite 1370, Dallas, Texas 75202",(214) 420-4646,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013144,Boris Vaisman
QTS DFW2-DC5,TABS2026013132,DFW2 DC5,"421 Mason Rd, Wilmer, TX 75172",Dallas,7/1/2026,9/1/2027,"$290,000,000",New Construction,"This project is privately funded, on private land for private use.","New 363,500 square foot 2 story building with Office and shell Data Hall space. ","363,500 ft 2","QTS Dallas I, LLC","12851 Foster St, Overland Park, Kansas 66213",469.332.6394,"Corgan Associates, Inc.","401 N. Houston St., Dallas, Texas 75202",214.748.2000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013132,
DFW Hospital Council,TABS2026013131,Crestview Tower,"105 Decker Court, Suite 1150, Irving, TX 75062",Dallas,3/1/2026,7/1/2026,"$600,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",tenant improvement,"8,374 ft 2",RCP Crestview SPE LLC,"12404 Park Central Dr. Suite 350S, Dallas, Texas 75251",(214) 983-1360,ENTOS Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013131,
QTS DFW2-DC6,TABS2026013130,DFW2 DC6,"421 Mason Rd, Wilmer, TX 75172",Dallas,7/1/2026,9/1/2027,"$290,000,000",New Construction,"This project is privately funded, on private land for private use.","New 363,500 square foot 2 story building with Office and shell Data Hall space. ","363,500 ft 2","QTS Dallas I, LLC","12851 Foster St, Overland Park, Kansas 66213",469.332.6394,"Corgan Associates, Inc.","401 N. Houston St., Dallas, Texas 75202",214.748.2000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013130,
QuikTrip #924 Fryer Project,TABS2026013120,QuikTrip #924,"102 E Camp Wisdom Rd, Duncanville, TX 75116",Dallas,7/26/2026,8/10/2026,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Includes reorganization of existing kitchen equipment and addition of new fryer units. Project 300 sf,300 ft 2,QT SOUTH LLC,"4705 S 129th East Ave., Tulsa, Oklahoma 74134",(945) 455-6426,"Daniel D Filuk, Architects","1747 E. MORTEN AVE SUITE 111, PHOENIX, Arizona 85020",(602) 234-1868,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013120,
Maman - Design District,TABS2026013119,Maman,"1444 Oak Lawn Ave Suite 190, Dallas, TX 75207",Dallas,5/4/2026,11/16/2026,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",tenanf finish out of an existing lease space ,"2,467 ft 2","1444 Oak Lawn, LP","640 Taylor Street, Suite 1402, Fort Worth, Texas 76102",214.560.5121,Fusion-AE,"6201 Campus Cirlce Dr E, Irving, Texas 75232",(469) 579-2227,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013119,
Spreetail Racking - Hutchins,TABS2026013098,Spreetail,"1200 W Wintergreen Road Suite 100, Hutchins, TX 75134",Dallas,3/9/2026,4/3/2026,"$702,008",Renovation/Alteration,"This project is privately funded, on private land for private use.","Installation of pallet racking. No mechanical, electrical, or plumbing to be completed within this scope. 54,000 sq ft","54,000 ft 2",CIVF VI TX1B01 LLC,"1 Beacon Street Suite 2800, Boston, Massachusetts 02108",(469) 912-7464,Structural Engineering & Designd,"1815 Wright Ave Suite 200, La Vern, California 91750",(909) 596-1351,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013098,Zachary Kupfer
Roy Orr Quickturn - MRO,TABS2026013089,GE Aerospace,"3550 Roy Orr Blvd. Suite 180, Grand Prairie, TX 75050",Dallas,4/1/2026,8/1/2026,"$2,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant improvement project converting the warehouse/manufacturing space to an aircraft engine ""quick turn"" shop and maintenance facility. (122,277 SF)","122,277 ft 2",IPT Dallas Distribution Portfolio LP,"2021 Mckinney Ave Suite 900, Dallas, Texas 75201",(972) 663-9683,Burns & McDonnell,"9400 Ward Parkway, Kansas City, Missouri 64144",(816) 276-1548,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026013089,Matthew J. Griggs
