project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
Frontier Direct Care - Duncanville,TABS2026028557,SHOPS AT WATERVIEW PARK,"150 E Highway 67, Suite 130, Duncanville, TX 75137",Dallas,9/7/2026,11/30/2026,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant finish out,"2,932 ft 2","INTERRA WATERVIEW, LLC","4801 Woodway, Suite 420-W, Houston, Texas 77056",713-574-9900,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028557,,,,
"ENDODONTIC PRACTICE PARTNERS, LLC",TABS2026028531,North Central Plaza III,"12801 N Central Expressway Suite 1260, Dallas, TX 75243",Dallas,10/1/2026,1/1/2027,"$452,784",Renovation/Alteration,"This project is privately funded, on private land for private use.","THE SCOPE OF THIS PROJECT IS A NON-STRUCTURAL INTERIOR FINISH-OUT IN AN EXISTING SINGLE FLOOR SUITE. SCOPE INCLUDES HVAC, ELECTRICAL, PLUMBING.","3,080 ft 2","JP-NCP III, LP","12770 Coit Road Suite 200, Dallas, Texas 75251",(972) 458-7600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028531,idGroup,"2641 Irving Blvd., Dallas, Texas 75207",(214) 638-6800,
Teso X,TABS2026028527,Firewheel Town Center,"440 Cedar Sage, Garland, TX 75040",Dallas,10/15/2026,1/30/2027,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior lease space remodel,"2,062 ft 2","SIMON PROPERTY GROUP (TEXAS), L.P","PO Box 6120 MS11C, Indianapolis, Indiana 46204",(972) 538-3365,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028527,Loaded Design Services,"24010 Cane Fields Rd., Katy, Texas 77493",(832) 647-4215,Mency Yang
JA SUITES OLFIELD,TABS2026028517,Oldfield Building,"1101 S Broadway St, Carrollton, TX 75006",Dallas,8/19/2026,2/24/2027,"$1,600,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","9000 sq ft RENOVATION MECHANICAL, ELECTRICAL, PLUMBING ","9,000 ft 2",1101 S Broadway Street LLC,"1101 S Broadway St, Carrollton, Texas 75006",(407) 421-0652,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028517,,,,
Frontier Direct Care - Mesquite,TABS2026028512,Gus Thomasson Plaza,"2670 Gus Thomasson Rd Ste 107, Mesquite, TX 75150",Dallas,9/7/2026,11/30/2026,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Finish out,"2,550 ft 2",Safe and Bound Inc.,"2357 Jupiter Rd, Plano, Texas 75074",(214) 334-8165,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028512,,,,
Artsy Cakery,TABS2026028497,OLD TOWN BLK D LT 4R ACS 0.251,"767 W Main St, Coppell, TX 75019",Dallas,11/16/2026,2/22/2027,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Finish out,"2,890 ft 2",Dobba Inc.,"137 KINGSRIDGE DR Office B, Coppell, Texas 75019",817-939-3379,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028497,Renovis Design LLC,"2309 Coit Rd B, Plano, Texas 75075",(469) 669-2661,Poya Eghterafi
"The UPS Store #8423 - DeSoto, TX",TABS2026028479,The UPS Store,"204 E. Pleasant Run Road, De Soto, TX 75115",Dallas,10/15/2026,11/15/2026,"$73,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior TI for new UPS Store,"1,351 ft 2",Concourse Plaza II LTD,"4560 Belt Line Road; Suite 400 Suite 210, Addison, Texas 75001",(972) 934-8414,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028479,WD Partners,"7007 Discovery Boulevard, Dublin, Ohio 43017",(614) 634-7000,Nate Hanson
Maman - Highland Park,TABS2026028474,Maman,"4260 OAK LAWN AVe, Dallas, TX 75219",Dallas,9/28/2026,4/16/2027,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",tenant finish out of an existing lease space ,"1,613 ft 2",HIGHLAND PARK SHOPS LLC,"5950 BERKSHIRE LN STE 800, Dallas, Texas 75225",214.220.3426,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028474,Fusion-AE,"6201 Campus Cirlce Dr E, Irving, Texas 75232",(469) 579-2227,Maman
Sewell Premium Showroom,TABS2026028461,Sewell Lexus Pre-Owned,"3500 Manor Way, Dallas, TX 75235",Dallas,1/4/2027,7/15/2027,"$2,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","A 4,077 SF renovation of the first floor of an existing factory building currently used as S-2 vehicle storage into a vehicle showroom with exterior modifications,","4,077 ft 2",Sewell Corporation,"3860 W Northwest Hwy Ste 102, Dallas, Texas 75220",(817) 739-6925,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028461,Gensler,"5005 Greenville Ave, Dallas, Texas 75206",(214) 273-1627,
Streetscape/Urban Design Group 17-7006,TABS2026028459,N/A,"Ferguson Rd & Lakeland Dr & Ferguson & Highland Rd, Dallas, TX 75228",Dallas,5/8/2024,4/29/2026,"$2,642,645",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Colored textured concrete crosswalks, enhanced sidewalk pavement, gateway markers, pedestrian lighting, barrier free ramps, and other miscellaneous items necessary to complete the project. Linear footage is 7155.","7,155 ft 2","City of Dallas, Department of Transportation and Public Works","320 E Jefferson Blvd., Room 307, Dallas, Texas 75203",214-948-4448,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028459,City of Dallas,"320 E Jefferson Blvd., Room 307, Dallas, Texas 75203",214-948-4448,
Tylock Nasser,TABS2026028453,Tylock Nasser Vision,"3100 North MacArthur Blvd., Irving, TX 75062",Dallas,9/1/2026,3/30/2027,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation/Remodeling of finishes. New design and MEP's included.,"4,556 ft 2",GEORGE MICHAEL R MD,"3100 N MACARTHUR BLVD, Irving, Texas 75062",(214) 317-7614,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028453,Svara Studio,"1108 Summit Ave Ste 1, Plano, Texas 75074",(201)680-8197,
PHO SOUL,TABS2026028447,THE GREAT OASIS,"2235 OLD DENTON RD #STE. 280, Carrollton, TX 75066",Dallas,9/1/2026,12/1/2026,"$150,000",New Construction,"This project is privately funded, on private land for private use.",REMODEL ,"2,422 ft 2",TANJI LLC,"2235 OLD DENTON RD, CARROLLTON, Texas 75006",(640) 399-3922,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028447,NGUYEN CHAU DESIGNER & CONSULTING,"1207 FOX CHASE DR, MANSFIELD, Texas 76063",(682) 583-0921,NGHI TRAN
The Core Locker Rooms Remodels,TABS2026028444,The Core,"234 E Parkway Blvd, Coppell, TX 75019",Dallas,9/1/2026,3/31/2027,"$443,918",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Remodel of Men's and Women's locker rooms.  Replacement of fixtures, finishes, amenities, tiles, countertops, lighting, and ADA items.","10,000 ft 2",City Of Coppell,"255 E Parkway Blvd, Coppell, Texas 75019",(682) 351-8991,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028444,,,,
SIGNET CORPORATE OFFICE - 2ND FLOOR / PHASE 4,TABS2026028440,SIGNET CORPORATE OFFICE,"9797 ROMBAUER ROAD 2nd Floor, Coppell, TX 75019",Dallas,9/1/2026,10/31/2026,"$325,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Remodel of 2nd floor - new conference room, office spaces, waiting area. Associated Mech, Elec, Plumb, Fire Suppression - 1100 sf","1,100 ft 2",CWO6 LAND LTD,"1722 ROUTH ST STE 770, Dallas, Texas 75201",214-270-1000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028440,JENCEN ARCHITECTURA LLC.,"2850 EUCLID AVE, Cleveland, Ohio 44115",216-781-0131,
THD Cath Lab 2,TABS2026028439,Texas Health Dallas,"8200 Walnut Hill Lane, Dallas, TX 75231",Dallas,10/1/2026,4/30/2027,"$1,489,405",Renovation/Alteration,"This project is privately funded, on private land for private use.",replacing the equipment in the existing Cath Lab. Enlarging the Cath lab and reconfiguring the equipment closet. - 1452 sf,"1,452 ft 2",Texas Health Resources,"612 E Lamar Blvd Fl 6, Arlington, Texas 76011",214.345.6010,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028439,"HKS, Inc","350 N. St Paul St Ste 100, Dallas, Texas 75201",1.214.969.3221,
