project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
Fabletics North Park,TABS2025010858,North Park Center,"8687 North Central Expressway, #2242, Dallas, TX 75225",Dallas,3/3/2025,6/6/2025,"$850,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Alterations to the existing defined space and within an existing shell building.  All new work consists of storefront, interior partitions, millwork, electrical work, mechanical and flooring modifications.","3,854 ft 2",North Park Center,"8080 North Central Expressway, Dallas, Texas 75206",(214) 369-1234,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010858,,,,
Landmark Sunnyvale - Spec Office,TABS2025010849,Landmark Sunnyvale - Spec Office,"201 S Clay Rd, Sunnyvale, TX 75182",Dallas,5/1/2025,9/1/2025,"$400,000",New Construction,"This project is privately funded, on private land for private use.","New offices, break room, open office space & restrooms","3,026 ft 2",Landmark Industrial at Sunnyvale,"21500 Biscayne Boulevard Suite 402, Aventura, Florida 33180",954-455-0336,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010849,RGA Architects,"301 S Oak St Suite 100, Roanoke, Texas 76262",(817) 430-3382,
Landmark Building,TABS2025010806,Landmark,"1801 N. Lamar St., Suite 100 & 130, Dallas, TX 75202",Dallas,1/17/2025,2/28/2025,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Minor interior remodel with some new finishes, also includes Electrical & Mechanical alterations.","6,070 ft 2","LC Redux, LP","208 North Market St., Suite 500, Dallas, Texas 75202",(214) 939-1111,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010806,Ghassan E. Jahchan,"1805 N. 2nd St., Suite 3891, Rogers, Arkansas 72756",(479) 636-5004,
ePayResources,TABS2025010798,125 E. John Carpenter,"125 E. John Carpenter Fwy Suite 950, Irving, TX 75062",Dallas,2/1/2025,4/26/2025,"$269,013",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant finish out,"4,217 ft 2","Kore 125 John Carpenter, LLC","3200 Park Center Drive suite 800, Costa Mesa, California 92626",(949) 630-0752,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010798,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,Sarah Dufek
Laundro Lab DFW 3,TABS2025010794,TOWNE CROSSING SHOPPING CENTER,"3600 GUS THOMASSON ROAD Suite 112, Mesquite, TX 75150",Dallas,3/3/2025,6/2/2025,"$520,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Build out for a laundry mat,"4,520 ft 2",Nora Colindres,"3600 GUS THOMASSON RD Suite 112, Mesquite, Texas 77150",(513) 338-2730,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010794,HA Design,"13831 Northwest Fwy, Houston, Texas 77040",(956) 607-4160,
Palladino's,TABS2025010781,Palladino's,"5959 Royal Lane Suite 735, Dallas, TX 75230",Dallas,4/20/2025,10/30/2025,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","a full service restaurant to be built within suite 635. This includes a new commercial kitchen. work includes, construction of interior walls /partitions, wall fixtures, flooring, ceiling, light fixtures and mechanical ,electrical and plumbing ","9,848 ft 2",Brynne Grisham,"4801 Woodway Drive suite 450 E., Houston, Texas 77056",(713) 860-4931,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010781,ID Studio 4,"6201 Campus Circle Dr E, Irving, Texas 75063",(972) 870-1288,"TPG Steak (DAL), LLC -Nicole King"
Caruth Protection Services,TABS2025010779,Caruth Protection Services,"Beltline Road, Sunnyvale, TX 75182",Dallas,4/1/2025,4/1/2026,"$4,000,000",New Construction,"This project is privately funded, on private land for private use.",One story office building with partial mezzanine.,"21,000 ft 2",Caruth Protection Services LLC,"2611 Beltline Road Suite 113, Sunnyvale, Texas 75182",(214) 919-2231,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010779,Killian Design LLC,"3400 N Central Expwy Suite 110-307, Richardson, Texas 75080",(214) 457-3652,
Make-A-Wish,TABS2025010774,Lincoln Centre III,"5420 LBJ Freeway Suite 260, Dallas, TX 75240",Dallas,2/10/2025,5/16/2025,"$538,150",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"5,683 ft 2",Nuveen,"4675 MacArthur Court 115th Floor, Newport Beach, California 92660",(949) 826-3953,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010774,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,
STACK - DFW02A,TABS2025010772,DFW02A,"1000 E Beltline Road, Lancaster, TX 75146",Dallas,5/21/2025,3/1/2027,"$79,738,000",New Construction,"This project is privately funded, on private land for private use.","Site improvements & construction of a new data center building. The proposed project consist of a two-story building including space for office and data halls with support rooms and storage. the building is approx. 360,028 sqft.","360,028 ft 2","SI DFW02A, LLC","1700 Broadway Suite 1750, Denver, Colorado 80290",404-644-0803,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010772,Corgan,"401 N. Houston St., Dallas, Texas 75202",214.748.2000,
Duncanville ISD | Duncanville High School CTE Addition and Renovations – Package 2,TABS2025010771,Duncanville ISD | Duncanville High School CTE Addition and Renovations – Package 2,"900 W Camp Wisdom Road, Duncanville, TX 75116",Dallas,3/24/2025,7/17/2027,"$28,000,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Duncanville ISD | Duncanville High School CTE Addition and Renovations – Package 2,"962,600 ft 2",Duncanville ISD,"710 South Cedar Ridge Drive, Duncanville, Texas 75137",(972) 708-2000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010771,Huckabee,"5830 Granite Pkwy Ste. 750, Plano, Texas 75024",(800) 687-1229,
