project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
Barro East Dock,TABS2025027088,East Dock Oak Cliff,"900 E. Clarendon Drive, Suite 100, Dallas, TX 75203",Dallas,9/2/2025,1/31/2026,"$80,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior remodel of existing warehouse for restaurant use. Lot area is 150,000 SF. The total existing building is 62,680 SF. Suite 100 is 3,905 SF, and will be occupied by a restaurant tenant.","3,905 ft 2","900 E. Clarendon QOZB, LLC","1923 N. Edgefield Ave, Dallas, Texas 75208",(214) 769-4134,Robert Ramirez,"JQAQ Atelier, LLC","277 N. Shore Drive, Dallas, Texas 75216",214-215-7474,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025027088
Citco,TABS2025027068,Park Central 7,"12750 Merit Drive Suite 850, Dallas, TX 75251",Dallas,8/28/2025,12/4/2025,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvements,"10,209 ft 2",Morning Calm Management,"1700 Rockville Pike Suite 330, Rockville, Maryland 20852",(240) 621-3010,,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025027068
Spec Suite 1540,TABS2025027061,Rosewood Court,"2101 Cedar Springs Rd Suite 1540, Dallas, TX 75201",Dallas,9/2/2025,12/1/2025,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"2,789 ft 2","Rosewood Court, LLC","2101 Cedar Springs Rd, Suite 1600, Dallas, Texas 75201",(972) 977-6209,,Entos Design,"5400 LBJ Freeway, Suite 125, dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025027061
Interior Uplift for Frost Bank Downtown Irving,TABS2025027041,Frost Bank Downtown Irving,"202 East Irving Blvd, Irving, TX 75060",Dallas,10/15/2025,1/30/2026,"$3,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior re-fit, exterior parking","3,400 ft 2",Four Corners Property Company,"15640 Quorum Drive, Addison, Texas 75001",(214) 676-3532,Ross Wood,Grace Design Studio,"200 Bailey Avenue, Fort Worth, Texas 76107",(817) 921-5928,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025027041
Security National Bank- Preston Road,TABS2025027029,Park Cities Tower,"7001 Preston Road STE 100, Dallas, TX 75205",Dallas,10/1/2025,12/1/2025,"$600,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","RENOVATION OF AN EXISTING 2,800 sf GROUND LEVEL OFFICE SUITE IN AN EXISTING MULTI-TENANT OFFICE BUILDING. ","2,800 ft 2",JJ Ponce,"2300 N. Field Street STE 100, Dallas, Texas 75201",(469) 479-8960,,Parscale Group,"1317 Botham Jean Blvd., Dallas, Texas 75215",405.380.5810,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025027029
Two Roads,TABS2025027022,Spectrum Center,"5080 Spectrum Drive, Suite 600W, Addison, TX 75001",Dallas,8/11/2025,12/29/2025,"$875,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","6,453 SF of tenant improvements.","6,453 ft 2",Spectrum Drive Owner LLC,"5080 Spectrum Drive, Addison, Texas 75001",(972) 490-6200,,Entos Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025027022
T1489 Garland East,TABS2025027009,Target,"5301 Garland Avenue, Garland, TX 75040",Dallas,3/2/2026,8/14/2026,"$8,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Exterior and Interior remodel of existing store,"40,000 ft 2",Target Corporation,"1000 Nicollet Mall, Minneapolis, Minnesota 55403",(651) 592-1241,,Sargenti Architects,"461 From Road, Paramus, New Jersey 76521",(201) 364-1227,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025027009
Trains at NorthPark,TABS2025026995,NorthPark Center,"8687 N. Central Expressway, Suite 1804, Dallas, TX 75225",Dallas,8/27/2025,11/1/2025,"$70,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","6,705 SF of demolition of existing seating, bar, and misc. walls with addition of misc. walls and electrical.","6,705 ft 2",NorthPark Center,"8687 N. Central Expressway, Dallas, Texas 75225",(214) 363-7441,Anyika Herod,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025026995
Superior fiber & Data Service LLC,TABS2025026964,Superior fiber & Data Services LLC,"1920 Hutton Ct suite #100, Farmers Branch, TX 75234",Dallas,9/30/2025,11/20/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Construct of individual offices,"17,093 ft 2",Tony Landrum,"1711 Briercroft Ct Ste 154, Carrollton, Texas 75006",1-817-829-3963,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025026964
Point South Bldg. 1 Spec Office-RR Add Expansion & Renov,TABS2025026962,Point South Logistics & Commerce Centre Bldg. 1,"950 North Interstate 45 Suite 109, Hutchins, TX 75141",Dallas,9/1/2025,12/31/2025,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation for an existing office/warehouse facility,"1,013,833 ft 2",Majestic Realty Company,"131 E. Exchange Avenue Suite 220, Fort Worth, Texas 76164",(972) 726-0700,,"Gary Levy Architect, LLC","PO Box 192334, Dallas, Texas 75219",214-766-2686,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025026962
