project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
Hibbett Sports,TABS2024017753,Promenade North,"800 N Coit Suite 2500, Richardson, TX 75080",Dallas,7/1/2024,8/31/2024,"$348,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior TI,"6,724 ft 2",Shop Companies,"4809 Cole Ave #330, Dallas, Texas 75205",(214) 501-5108,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017753,,,,
"Hibbett 1607 Richardson, TX",TABS2024017745,Promenade North,"900 N COIT Suite #2500, Richardson, TX 75080",Dallas,7/1/2024,8/20/2024,"$382,168",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant build out of an existing vacant retail space: Construct new sales area, stock room, corridor & fitting room; New lighting & power per plan-connect to existing electrical panel"" ","6,724 ft 2",Promenade Partners LP,"4809 Cole Ave, #330, Dallas, Texas 75205",214-393-1833,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017745,Hibbett - Jeremy Brown,Core States Group,"111 3rd AVE S, Suite 400, Minneapolis, Minnesota 55401",612.547.1338
JAXON,TABS2024017742,TOYOTA MUSIC FACTORY BUILDING C-1,"349 W LAS COLINAS BLVD #STE. 110, Irving, TX 75039",Dallas,6/1/2024,10/22/2024,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR RENOVATION ,"6,000 ft 2",BROOKFIELD PROPERTIES,"6181 SOUTH STATE ST, MURRYA, Utah 84107",(801) 859-5452,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017742,KEVIN LILLIS,THE FERRO COLLECTIVE,"6943 CLAYTON AVE, DALLAS, Texas 75214",(972) 741-6817
COCKTAIL LOUNGE,TABS2024017741,TOYOTA MUSIC FACTORY BUILDING C-1,"349 W LAS COLINAS BLVD #STE. 220, Irving, TX 75039",Dallas,6/1/2024,10/22/2024,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR RENOVATION ,"6,000 ft 2",BROOKFIELD PROPERTIES,"6181 SOUTH STATE ST, MURRAY, Utah 84107",(801) 859-5452,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017741,KEVIN LILLIS,THE FERRO COLLECTIVE,"6943 CLAYTON AVE, DALLAS, Texas 75214",(972) 741-6817
SHOALS,TABS2024017739,TOYOTA MUSIC FACTORY C-1,"349 W LAS COLINAS BLVD #STE. 120, Irving, TX 75039",Dallas,6/1/2024,10/22/2024,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR RENOVATION ,"6,000 ft 2",BROOKFIELD PROPERTIES,"6181 SOUTH STATE ST, MURRY, Utah 84107",(801) 859-5452,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017739,KEVIN LILLES,THE FERRO COLLECTIVE,"6943 CLAYTON AVE, DALLAS, Texas 75214",(972) 741-6817
Conference Center,TABS2024017724,The Gild South Lofts,"8150 N. Central Expressway Suite M1008, Dallas, TX 75206",Dallas,6/1/2024,8/30/2024,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of existing office space in low-rise office building.,"3,348 ft 2",STREAM REALTY,"2001 ROSS AVENUE SUITE 400, DALLAS, Texas 75201",214.267.0485,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017724,,Go Studio,"1201 Main St Suite 1370, Dallas, Texas 75202",(214) 420-4646
Haynes & Boone LLP - Level 19 Lease Suites,TABS2024017707,Harwood 14,"2801 N. Harwood St, Dallas, TX 75201",Dallas,5/3/2024,12/3/2024,"$1,440,855",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior finish out of interior space of floor 19 (partial floor),"10,673 ft 2","HIC XIV Limited Owner, LLC","2501 N. Harwood St. Suite 1200, Dallas, Texas 75201",(214) 871-0871,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017707,Henry Melikian,Gensler,"5005 Greenville Ave., Dallas, Texas 75206",(214) 273-1500
"9th Floor Corridor, Restrooms & Lobby",TABS2024017682,4040 NCX,"4040 N. Central Expressway 9th Floor, Dallas, TX 75204",Dallas,5/15/2024,9/2/2024,"$260,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Capital Improvement,"1,705 ft 2",Areit Re 5050 NCX LLC,"500 N Central Expressway Suite 261, Plano, Texas 75074",(469) 609-2012,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017682,,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222
Sleep Technologies TI,TABS2024017680,One Addison Place,"4900 Arapaho Road, Suite #300, Addison, Texas, Addison, TX 75001",Dallas,4/15/2024,7/15/2024,"$1,100,000",New Construction,"This project is privately funded, on private land for private use.","Tenant infill within an existing 4 story mixed use building. The new build out will be utilized for mercantile, light assemblage (fabrication), and office space.","8,258 ft 2",Bob Duncan,"4900 Arapaho Road Suite 300, Addison, Texas 75001",(972) 839-8428,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017680,,BRNS Design,"1301 Solana Blvd Suite 5200, Westlake, Texas 76262",(817) 675-4905
The Hub - Rowlett,TABS2024017673,The Hub - Rowlett,"3825 Main Street, Rowlett, TX 75088",Dallas,6/10/2024,5/5/2025,"$2,000,000",New Construction,"This project is privately funded, on private land for private use.",New construction multi-story office building,"8,982 ft 2","CoWork Holdings, LLC","6010 Glen Abbey Court, Garland, Texas 75044",(469) 430-9368,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017673,,Rawls Culver Architects,"901 North McDonald Street Suite 203, McKinney, Texas 75069",(972) 529-9790
