ProjectId,ProjectNumber,ProjectName,ProjectCreatedOn,ProjectStatus,FacilityName,City,County,TypeOfWork,EstimatedCost,DataVersionId,EstimatedStartDate,EstimatedEndDate,URL
490d7313-a9dd-4a54-a536-2243673d9f10,TABS2025020753,SGF CAPITAL,2025-06-06T15:26:15.15,3008,8111 DOUGLAS,415,2057,9001,7000000.0,900001,2025-07-01T00:00:00,2025-12-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020753
fe443412-122b-4045-a4c5-ddd822d9deec,TABS2025020750,Stridecare South Dallas,2025-06-06T15:12:56.037,3008,South Dallas COE,415,2057,9002,305000.0,900001,2025-07-15T00:00:00,2025-09-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020750
e370c96b-1dfb-4722-8f3a-836802301f13,TABS2025020742,Baylor Institute of Rehabilitation,2025-06-06T14:42:28.943,3008,Valoris Healthpark,641,2057,9002,310000.0,900001,2025-06-15T00:00:00,2025-09-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020742
89441a03-77fe-4292-b96e-8a043cd5ba1a,TABS2025020740,Trinity Forest Spine Trail - North Phase 2,2025-06-06T14:17:49.497,3008,Trinity Forest Spine Trail - North Phase 2,415,2057,9001,21500000.0,900001,2025-12-15T00:00:00,2027-04-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020740
a4d97fc0-1d94-4a11-9421-40d890a3f8ef,TABS2025020732,Lonestar Neurology,2025-06-06T13:44:48.133,3008,Valoris Healthpark,641,2057,9002,230000.0,900001,2025-06-16T00:00:00,2025-07-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020732
ad9a7206-0f9b-4653-b3e5-f610285958c1,TABS2025020725,The Village - Administrative Offices,2025-06-06T12:55:23.313,3008,The Village - B2,415,2057,9002,300000.0,900001,2025-06-20T00:00:00,2025-09-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020725
a42ee8ca-0867-4b63-a108-5c384fc3e835,TABS2025020715,"25-0032 Foot Locker - Dallas, TX (Galleria Dallas )",2025-06-06T11:49:06.99,3008,Foot Locker,415,2057,9002,637000.0,900001,2025-07-28T00:00:00,2025-10-24T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020715
82d9a6aa-eb82-41b5-8b6e-cd304971e4ac,TABS2025020712,BLINDFOLDED BBQ,2025-06-06T11:37:16.093,3008,WHEATLAND PLAZA,489,2057,9002,150000.0,900001,2025-06-09T00:00:00,2025-08-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020712
a70f430d-9483-4f10-97e9-85cbb329ad2b,TABS2025020704,TORTAS LAS TORTUGAS,2025-06-06T10:29:08.55,3008,TORTAS LAS TORTUGAS,415,2057,9002,150000.0,900001,2025-07-01T00:00:00,2025-08-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020704
d92393cf-17c4-47d9-8b04-5220591243f2,TABS2025020688,Southwest Dallas Eye Care,2025-06-06T08:30:19.127,3008,Hampton Village,415,2057,9002,175000.0,900001,2025-06-30T00:00:00,2025-08-29T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020688
0fd4ddaf-3851-4746-84ec-d15c2d2af492,TABS2025020683,HNTB Dallas (39-24152-00),2025-06-06T07:54:33.4,3008,Ross Tower,415,2057,9002,1500000.0,900001,2025-07-15T00:00:00,2026-01-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020683
3d6af225-300d-4283-99f0-452d3a4b4ed9,TABS2025020673,Oncor NE Dallas,2025-06-05T17:49:28.373,3008,Oncor NE Dallas Service Center,415,2057,9001,7000000.0,900001,2025-08-15T00:00:00,2026-07-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020673
0a5a251c-ced1-4259-a718-9f1d5668aef7,TABS2025020662,Texas Capital - Level 14 Suite,2025-06-05T17:00:05.297,3008,Texas Capital Center,415,2057,9002,65000.0,900001,2025-04-01T00:00:00,2025-06-10T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020662
2a206dbb-f863-43cb-9d24-eef7107956fc,TABS2025020655,NFCU Dallas Training Center,2025-06-05T16:19:40.547,3008,Navy Federal Credit Union,415,2057,9002,1500000.0,900001,2025-07-28T00:00:00,2025-11-21T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020655
b14cbe71-9337-44a1-b3cb-f4ce36d44b4a,TABS2025020641,IKEA - University Park,2025-06-05T15:15:08.683,3008,IKEA,415,2057,9002,5000000.0,900001,2025-10-01T00:00:00,2025-12-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020641
82e1afb5-5fee-491e-b08f-ba1185bf8020,TABS2025020637,Taco Bell - Dallas,2025-06-05T14:39:06.34,3008,Taco Bell,415,2057,9002,96660.0,900001,2025-09-29T00:00:00,2025-10-29T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020637
857324d2-1af4-4998-8d64-ac4ed0f65868,TABS2025020622,TREAZURE STUDIOS - TRINITY GROVE,2025-06-05T13:02:39.07,3008,WESTERLY,415,2057,9002,800000.0,900001,2025-07-15T00:00:00,2025-11-15T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020622
d1d8adb9-ee3d-4ec7-91b4-bea5e54dd77a,TABS2025020620,Lakewood ES Playground Ph 1 & 2,2025-06-05T12:55:36.07,3008,Lakewood Elementary School,415,2057,9002,475000.0,900001,2025-06-16T00:00:00,2025-08-15T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020620
8442ae93-bd56-47b2-b565-3f8ed9a9d8e0,TABS2025020549,Mr.Winston's,2025-06-04T15:37:58.71,3008,Pavillion on Lovers Ln,415,2057,9001,250000.0,900001,2025-06-30T00:00:00,2025-08-25T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020549
e6334407-3b80-4407-9c43-34a64bf08932,TABS2025020544,Barcel Group,2025-06-04T15:16:18.527,3008,MacArthur Plaza,821,2057,9002,116000.0,900001,2025-06-06T00:00:00,2025-08-15T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020544
1025a89a-e468-4670-ab8d-23b54f5dcd3d,TABS2025020537,Tom Thumb Site Accessibility - Grand Prairie,2025-06-04T14:30:28.7,3008,Tom Thumb #1786,686,2057,9002,90000.0,900001,2025-08-11T00:00:00,2025-08-29T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020537
eb6a7a08-13a6-4512-b27b-f657e0844128,TABS2025020536,Cedar Hill - Building 3 - Truck Express,2025-06-04T14:27:50.957,3008,Cedar Hill - Building 3,281,2057,9001,823000.0,900001,2025-06-10T00:00:00,2025-08-26T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020536
0424c524-6b65-4e3b-84cd-546d3189b52a,TABS2025020535,Remote South Parking Lot Improvements,2025-06-04T14:23:36.963,3008,Parking Lot,415,2057,9002,16000000.0,900001,2025-12-28T00:00:00,2026-09-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020535
1e9cf7b3-c6e8-4136-843f-9b1c8c0902b5,TABS2025020529,Steelecreek Management,2025-06-04T13:53:51.757,3008,Douglas,415,2057,9002,189000.0,900001,2025-06-30T00:00:00,2025-09-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020529
808f9713-a460-45a0-a91f-3062dc47a1d2,TABS2025020527,Cawley Grassmere Lane,2025-06-04T13:47:11.587,3008,Cawley Grassmere Lane,415,2057,9001,20000000.0,900001,2025-09-01T00:00:00,2027-02-26T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020527
607eaf18-6724-4595-b930-726c926877e3,TABS2025020525,GS Dallas Temp Space - Harwood Hilltop Securities Lvls 25-26,2025-06-04T13:46:02.473,3008,717 Harwood,415,2057,9002,450000.0,900001,2025-06-23T00:00:00,2026-02-28T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020525
17b0d6a0-35a2-4b25-ac53-bc83d57609dd,TABS2025020521,GS Dallas Temp Space - TCC Level 17,2025-06-04T13:31:03.517,3008,Trammell Crow Center,415,2057,9002,150000.0,900001,2025-06-23T00:00:00,2025-12-26T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020521
e3e6d2a2-0184-4dfc-97a9-6132ba1240af,TABS2025020517,FOX 4,2025-06-04T13:21:55.43,3008,KDFW-FOX 4,821,2057,9001,389850.0,900001,2025-10-27T00:00:00,2025-11-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020517
